不该说	bugaishuo
不敢说	buganshuo
不敢问	buganwen
不甘心	buganxin
不隔音	bugeyin
不攻下	bugongxia
不够多	bugouduo
不够深	bugoushen
不管用	buguanyong
不规范	buguifan
不规则	buguize
不过时	buguoshi
不过问	buguowen
不害怕	buhaipa
不好看	buhaokan
不好了	buhaole
不好说	buhaoshuo
不合格	buhege
不合算	buhesuan
不和谐	buhexie
不化妆	buhuazhuang
不会变	buhuibian
不回答	buhuida
不回家	buhuijia
不会说	buhuishuo
不急促	bujicu
不计较	bujijiao
不及时	bujishi
不加糖	bujiatang
不见得	bujiande
不见了	bujianle
不见血	bujianxue
不讲价	bujiangjia
不解恨	bujiehen
不介意	bujieyi
不仅能	bujinneng
不尽然	bujinran
不仅少	bujinshao
不惊慌	bujinghuang
不具备	bujubei
不惧怕	bujupa
不倦的	bujuande
不觉得	bujuede
不开眼	bukaiyan
不可爱	bukeai
不可怜	bukelian
不可能	bukeneng
不可少	bukeshao
不肯吃	bukenchi
不肯说	bukenshuo
不快乐	bukuaile
不来唤	bulaihuan
不拦他	bulanta
不冷了	bulengle
不礼貌	bulimao
不理他	bulita
不例外	buliwai
不理想	bulixiang
不了解	buliaojie
不吝啬	bulinse
不留痕	buliuhen
不留神	buliushen
不留意	buliuyi
不露面	buloumian
不卤莽	bulumang
不乱花	buluanhua
不啰唆	buluosuo
不瞒过	bumanguo
不迷失	bumishi
不勉强	bumianqiang
不明白	bumingbai
不耐烦	bunaifan
不难看	bunankan
不脑力	bunaoli
不能动	bunengdong
不能喝	bunenghe
不能停	bunengting
不能言	bunengyan
不怕冷	bupaleng
不疲倦	bupijuan
不起眼	buqiyan
不恰当	buqiadang
不强迫	buqiangpo
不抢眼	buqiangyan
不切实	buqieshi
不轻弹	buqingtan
不情愿	buqingyuan
不求得	buqiude
不去讲	buqujiang
不去想	buquxiang
不缺的	buquede
不热爱	bureai
不热闹	burenao
不惹眼	bureyan
不忍眠	burenmian
不认帐	burenzhang
不上算	bushangsuan
不少人	bushaoren
不少伤	bushaoshang
不舍得	bushede
不胜任	bushengren
布施了	bushile
不顺利	bushunli
不顺心	bushunxin
不说话	bushuohua
不算短	busuanduan
不算多	busuanduo
不算难	busuannan
不算穷	busuanqiong
不太急	butaiji
不太辣	butaila
不太远	butaiyuan
不讨好	butaohao
不体力	butili
不调笑	butiaoxiao
不停抽	butingchou
不停地	butingde
不停说	butingshuo
不通车	butongche
不痛快	butongkuai
不偷听	butouting
不推辞	butuici
不完美	buwanmei
不完整	buwanzheng
不忘本	buwangben
不习惯	buxiguan
不稀罕	buxihan
不下来	buxialai
不下桌	buxiazhuo
不现实	buxianshi
不响动	buxiangdong
不响亮	buxiangliang
不相识	buxiangshi
不想说	buxiangshuo
不晓得	buxiaode
不消化	buxiaohua
不小心	buxiaoxin
不协调	buxietiao
步行街	buxingjie
步行了	buxingle
不锈钢	buxiugang
不虚让	buxurang
不需要	buxuyao
不寻常	buxunchang
不雅观	buyaguan
不要变	buyaobian
不要当	buyaodang
不要急	buyaoji
不要了	buyaole
不夜城	buyecheng
不一般	buyiban
不易居	buyiju
不依赖	buyilai
不一样	buyiyang
不影响	buyingxiang
不用看	buyongkan
不用了	buyongle
不用扔	buyongreng
不用听	buyongting
不愉快	buyukuai
不愿放	buyuanfang
不在场	buzaichang
不在家	buzaijia
不再忆	buzaiyi
不赞成	buzancheng
不造作	buzaozuo
不张扬	buzhangyang
不真实	buzhenshi
不正当	buzhengdang
不正经	buzhengjing
不争气	buzhengqi
布置了	buzhile
不知情	buzhiqing
不只是	buzhishi
不指望	buzhiwang
不知晓	buzhixiao
不至于	buzhiyu
不专长	buzhuanchang
捕捉过	buzhuoguo
不自在	buzizai
不作声	buzuosheng
擦玻璃	caboli
擦不掉	cabudiao
擦伤了	cashangle
擦太多	cataiduo
擦一遍	cayibian
才罢休	caibaxiu
猜猜看	caicaikan
才得以	caideyi
才惊觉	caijingjue
踩上去	caishangqu
踩一个	caiyige
才知道	caizhidao
残疾人	canjiren
参加者	canjiazhe
残酷着	cankuzhe
残缺的	canquede
参赛者	cansaizhe
餐厅秀	cantingxiu
残余下	canyuxia
参与者	canyuzhe
餐桌上	canzhuoshang
藏干戈	canggange
苍老得	canglaode
藏起来	cangqilai
草场上	caochangshang
草地上	caodishang
草叶上	caoyeshang
岑寂后	cenjihou
曾有过	cengyouguo
曾知晓	cengzhixiao
差不多	chabuduo
插几枝	chajizhi
刹那间	chanajian
叉烧肉	chashaorou
差一点	chayidian
拆字法	chaizifa
产床上	chanchuangshang
搀扶着	chanfuzhe
缠绕在	chanraozai
缠上了	chanshangle
颤巍巍	chanweiwei
掺香料	chanxiangliao
长脖子	changbozi
长不大	changbuda|zhangbuda
唱不好	changbuhao
常常换	changchanghuan
唱出来	changchulai
常处于	changchuyu
尝到了	changdaole
常发生	changfasheng
唱红了	changhongle
唱坏了	changhuaile
常见到	changjiandao
常见的	changjiande
敞开怀	changkaihuai
长空下	changkongxia
长明灯	changmingdeng
唱起来	changqilai
唱情歌	changqingge
长时间	changshijian
唱首歌	changshouge
常听到	changtingdao
长头发	changtoufa|zhangtoufa
畅想曲	changxiangqu
长眼睛	changyanjing
常用词	changyongci
唱赞歌	changzange
常站在	changzhanzai
长坐至	changzuozhi
抄袋中	chaodaizhong
超负荷	chaofuhe
吵过架	chaoguojia
超豪华	chaohaohua
炒红了	chaohongle
吵架时	chaojiashi
朝圣者	chaoshengzhe
超越了	chaoyuele
扯不上	chebushang
车底下	chedixia
车牌号	chepaihao
扯上了	cheshangle
扯一根	cheyigen
尘埃里	chenaili
沉船上	chenchuanshang
趁打折	chendazhe
沉甸甸	chendiandian
沉淀了	chendianle
沉浸在	chenjinzai
沉默的	chenmode
沉默了	chenmole
沉默在	chenmozai
沉实了	chenshile
沉睡在	chenshuizai
沉思着	chensizhe
晨雾中	chenwuzhong
成不了	chengbuliao
称得上	chengdeshang
称分量	chengfenliang
成就感	chengjiugan
呈露在	chengluzai
成年人	chengnianren
承诺到	chengnuodao
撑起伞	chengqisan
逞强了	chengqiangle
撑伞的	chengsande
城市化	chengshihua
成熟期	chengshuqi
成问题	chengwenti
呈现在	chengxianzai
成与败	chengyubai
成灾患	chengzaihuan
承载了	chengzaile
成长史	chengzhangshi
撑着门	chengzhemen
撑着伞	chengzhesan
乘坐的	chengzuode
吃不吃	chibuchi
吃不到	chibudao
吃不惯	chibuguan
吃不完	chibuwan
吃不下	chibuxia
吃不香	chibuxiang
吃不消	chibuxiao
痴痴等	chichideng
痴痴地	chichidi
吃出来	chichulai
吃醋了	chicule
吃大餐	chidacan
吃的多	chideduo
吃得好	chidehao
吃得下	chidexia
吃东西	chidongxi
迟钝了	chidunle
吃过饭	chiguofan
吃好的	chihaode
吃辣椒	chilajiao
吃拉面	chilamian
迟了些	chiliaoxie
吃馒头	chimantou
痴迷于	chimiyu
吃面包	chimianbao
吃牛排	chiniupai
吃披萨	chipisa
吃苹果	chipingguo
吃烧饼	chishaobing
赤条条	chitiaotiao
吃晚餐	chiwancan
吃完饭	chiwanfan
吃晚饭	chiwanfan
吃碗面	chiwanmian
持续到	chixudao
持续在	chixuzai
吃雪糕	chixuegao
吃一顿	chiyidun
吃一惊	chiyijing
吃早饭	chizaofan
赤着脚	chizhejiao
吃主食	chizhushi
崇拜者	chongbaizhe
冲出门	chongchumen
重叠在	chongdiezai
冲动得	chongdongde
冲锋枪	chongfengqiang
重复说	chongfushuo
重复性	chongfuxing
重复着	chongfuzhe
冲个凉	chonggeliang
冲过来	chongguolai
冲击下	chongjixia
充其量	chongqiliang
冲上来	chongshanglai
宠物秀	chongwuxiu
抽出来	chouchulai
丑多了	chouduole
抽卡片	choukapian
抽泣着	chouqizhe
抽取了	chouqule
丑小鸭	chouxiaoya
抽转着	chouzhuanzhe
储备了	chubeile
出不了	chubuliao
出唱片	chuchangpian
触动了	chudongle
出发点	chufadian
出发前	chufaqian
出个头	chugetou
出公差	chugongchai
初见面	chujianmian
出了门	chulemen
处理完	chuliwan
出卖了	chumaile
出门吧	chumenba
出门前	chumenqian
出门去	chumenqu
出门时	chumenshi
触摸到	chumodao
处女身	chunvshen
处女作	chunvzuo
触碰到	chupengdao
出奇地	chuqidi
出去玩	chuquwan
出生时	chushengshi
出生在	chushengzai
初体验	chutiyan
出问题	chuwenti
出污泥	chuwuni
出席了	chuxile
出现时	chuxianshi
出现在	chuxianzai
初相识	chuxiangshi
出虚汗	chuxuhan
出洋相	chuyangxiang
厨与厅	chuyuting
出远门	chuyuanmen
出租车	chuzuche
传遍了	chuanbianle
穿插在	chuanchazai
穿错衣	chuancuoyi
穿荡在	chuandangzai
传递给	chuandigei
穿花衣	chuanhuayi
穿皮袄	chuanpiao
穿旗袍	chuanqipao
穿上身	chuanshangshen
穿雨鞋	chuanyuxie
穿脏了	chuanzangle
穿着时	chuanzhuoshi
穿着靴	chuanzhuoxue
闯红灯	chuanghongdeng
闯进来	chuangjinlai
窗前过	chuangqianguo
床上躺	chuangshangtang
创始人	chuangshiren
创世始	chuangshishi
窗台上	chuangtaishang
闯一闯	chuangyichuang
吹不倒	chuibudao
垂垂老	chuichuilao
吹拂下	chuifuxia
吹海风	chuihaifeng
吹口哨	chuikoushao
吹牛皮	chuiniupi
垂着手	chuizheshou
垂着头	chuizhetou
纯白色	chunbaise
春风来	chunfenglai
纯净水	chunjingshui
唇太薄	chuntaibo
春天般	chuntianban
纯天然	chuntianran
唇之上	chunzhishang
啜完了	chuowanliao
此关头	ciguantou
瓷器般	ciqiban
刺伤了	cishangle
赐一对	ciyidui
从不差	congbucha
从不忘	congbuwang
从不知	congbuzhi
从窗际	congchuangji
从窗前	congchuangqian
匆匆赶	congconggan
从后门	conghoumen
凑合着	couhezhe
凑热闹	courenao
簇留成	culiucheng
猝死于	cusiyu
簇拥下	cuyongxia
簇拥在	cuyongzai
脆弱的	cuiruode
存起来	cunqilai
存在的	cunzaide
存在着	cunzaizhe
错穿了	cuochuanle
错失了	cuoshile
打扮得	dabande
大半天	dabantian
大变身	dabianshen
打不败	dabubai
达不到	dabudao
大不了	dabuliao
打不完	dabuwan
大不易	dabuyi
答出来	dachulai
大刺刺	dacici
大蛋糕	dadangao
搭地铁	daditie
大地震	dadizhen
打电话	dadianhua
打电玩	dadianwan
打动人	dadongren
打对台	daduitai
大恩人	daenren
大而圆	daeryuan
打发掉	dafadiao
打翻在	dafanzai
搭飞机	dafeiji
打个楞	dageleng
打给谁	dageishui
大观园	daguanyuan
大海报	dahaibao
大合唱	dahechang
大灰狼	dahuilang
打几分	dajifen
大减价	dajianjia
打交道	dajiaodao
大教堂	dajiaotang
大街上	dajieshang
大酒杯	dajiubei
打开的	dakaide
打开了	dakailiao
大哭了	dakule
打了个	dalege
大擂台	daleitai
打冷战	dalengzhan
打理得	dalide
大立柜	daligui
搭理他	dalita
大领子	dalingzi
大忙人	damangren
大门外	damenwai
大秘密	damimi
大明星	damingxing
大漠中	damozhong
大男人	dananren
大男生	danansheng
大排档	dapaidang
大篷车	dapengche
打破了	dapoliao|dapole
大气层	daqiceng
打起鼾	daqihan
大起来	daqilai
大气压	daqiya
打七折	daqizhe
大清早	daqingzao
大热天	daretian
大塞车	dasaiche
大上海	dashanghai
大声叫	dashengjiao
大事件	dashijian
大石上	dashishang
大石头	dashitou
大树下	dashuxia
打水漂	dashuipiao
打死结	dasijie
打算到	dasuandao
打探到	datandao
大逃亡	dataowang
大挑战	datiaozhan
打听下	datingxia
大围巾	daweijin
大问号	dawenhao
大文豪	dawenhao
大洗牌	daxipai
大西洋	daxiyang
大笑话	daxiaohua
大鞋子	daxiezi
大眼睛	dayanjing
打样案	dayangan
打烊了	dayangle
打一个	dayige
打印机	dayinji
大赢家	dayingjia
答应了	dayingle
打油诗	dayoushi
大于恨	dayuhen
大杂院	dazayuan
大灾变	dazaibian
打造成	dazaocheng
打招呼	dazhaohu
打着伞	dazhesan
打主意	dazhuyi
大自然	daziran
大嘴巴	dazuiba
代表了	daibiaole
代表性	daibiaoxing
待不下	daibuxia
带了来	dailelai
待领养	dailingyang
代名词	daimingci
黛青色	daiqingse
代替了	daitile
带我走	daiwozou
带香味	daixiangwei
代言人	daiyanren
代用词	daiyongci
单薄了	danbaole
单薄的	danbode
淡淡看	dandankan
丹凤眼	danfengyan
耽搁了	dangele
淡红色	danhongse
单簧管	danhuangguan
淡静到	danjingdao
单身汉	danshenhan
诞生者	danshengzhe
淡忘的	danwangde
淡香气	danxiangqi
单眼皮	danyanpi
胆子大	danzida
弹子机	danziji
淡紫色	danzise
当得起	dangdeqi
荡过来	dangguolai
当偶像	dangouxiang
荡秋千	dangqiuqian
当上了	dangshangle
当事人	dangshiren
当是水	dangshishui
当时小	dangshixiao
当玩乐	dangwanle
当演员	dangyanyuan
倒不是	daobushi
稻草人	daocaoren
倒成了	daochengle
倒出来	daochulai
到处有	daochuyou
到地下	daodixia
到跟前	daogenqian
到空中	daokongzhong
倒垃圾	daolaji
道了谦	daoleqian
道了歉	daoleqian
到那时	daonashi
到年老	daonianlao
刀刃上	daorenshang
到天亮	daotianliang
到头来	daotoulai
倒下去	daoxiaqu
到现在	daoxianzai
道一声	daoyisheng
倒影出	daoyingchu
倒影里	daoyingli
得不到	debudao
得不着	debuzhe
得奖者	dejiangzhe
得了个	deliaoge
等不到	dengbudao
等不来	dengbulai
等房间	dengfangjian
登记了	dengjile
等几天	dengjitian
等明天	dengmingtian
等一等	dengyideng
灯一黑	dengyihei
等一名	dengyiming
等着瞧	dengzheqiao
等着他	dengzheta
等这天	dengzhetian
瞪着眼	dengzhuoyan
低垂在	dichuizai
低等的	didengde
低低的	didide
地底下	didixia
低回的	dihuide
滴落在	diluozai
地平线	dipingxian
第三者	disanzhe
底色上	diseshang
迪斯尼	disini
地铁站	ditiezhan
地下道	dixiadao
低下头	dixiatou
第一间	diyijian
第一束	diyishu
第一线	diyixian
睇一眼	diyiyan
第一眼	diyiyan
第一针	diyizhen
低着头	dizhetou
地之上	dizhishang
递纸条	dizhitiao
地中央	dizhongyang
电冰箱	dianbingxiang
电磁炉	diancilu
电单车	diandanche
颠倒来	diandaolai
电灯泡	diandengpao
奠定了	diandingle
电风扇	dianfengshan
点根烟	diangenyan
电话机	dianhuaji
电话亭	dianhuating
点火柴	dianhuochai
点几下	dianjixia
点开灯	diankaideng
点了烟	dianleyan
点亮了	dianliangle
踮起脚	dianqijiao
电视版	dianshiban
电视前	dianshiqian
电视台	dianshitai
电梯间	diantijian
电梯上	diantishang
电线杆	dianxiangan
电影票	dianyingpiao
点右键	dianyoujian
电与露	dianyulu
点着歌	dianzhaoge
点着火	dianzhaohuo
点着的	dianzhede
店主人	dianzhuren
点缀了	dianzhuile
掉光了	diaoguangle
雕刻得	diaokede
掉了泪	diaolelei
掉下来	diaoxialai
掉眼泪	diaoyanlei
迭夹着	diejiazhe
蝶恋花	dielianhua
跌落于	dieluoyu
跌碎了	diesuile
跌坐在	diezuozai
订不到	dingbudao
订餐卡	dingcanka
定得低	dingdedi
定居在	dingjuzai
订书机	dingshuji
盯着她	dingzheta
定妆膜	dingzhuangmo
冻成冰	dongchengbing
东方人	dongfangren
动飞扬	dongfeiyang
动工程	donggongcheng
东南亚	dongnanya
动脑筋	dongnaojin
懂女人	dongnvren
冬日里	dongrili
冻伤的	dongshangde
动物园	dongwuyuan
冻醒的	dongxingde
动作中	dongzuozhong
都变了	doubianle
都不肯	doubuken
都不怕	doubupa
都不是	doubushi
都不许	doubuxu
斗法去	doufaqu
豆腐干	doufugan
都很难	douhennan
逗开心	doukaixin
都可以	doukeyi
逗乐了	doulele
都没错	doumeicuo
都没带	doumeidai
都没说	doumeishuo
都明白	doumingbai
都认得	dourende
都认为	dourenwei
都试过	doushiguo
都是假	doushijia
都受了	doushoule
都想要	douxiangyao
都需要	douxuyao
都一样	douyiyang
都知道	douzhidao
都只为	douzhiwei
都自愿	douziyuan
毒粉红	dufenhong
度假风	dujiafeng
度假感	dujiagan
读取中	duquzhong
都市秀	dushixiu
读书时	dushushi
独行侠	duxingxia
读一遍	duyibian
赌一场	duyichang
读者群	duzhequn
独自在	duzizai
短大衣	duandayi
端几样	duanjiyang
断了线	duanlexian
锻炼得	duanliande
断落成	duanluocheng
短裙下	duanqunxia
短时期	duanshiqi
端书者	duanshuzhe
断头台	duantoutai
短外套	duanwaitao
短靴子	duanxuezi
断崖上	duanyashang
对比色	duibise
堆放在	duifangzai
兑换券	duihuanquan
堆积成	duijicheng
对讲键	duijiangjian
对角线	duijiaoxian
对面的	duimiande
对未来	duiweilai
对我好	duiwohao
对着墙	duizheqiang
蹲下去	dunxiaqu
多比较	duobijiao
躲不掉	duobudiao
躲藏在	duocangzai
多得多	duodeduo
多得很	duodehen
多得去	duodequ
多方便	duofangbian
多方面	duofangmian
多个人	duogeren
多功能	duogongneng
多看看	duokankan
多可怕	duokepa
多了点	duoledian
躲迷藏	duomicang
多年来	duonianlai
多年前	duonianqian
躲起来	duoqilai
多且杂	duoqieza
多少倍	duoshaobei
多少个	duoshaoge
多少人	duoshaoren
多说话	duoshuohua
多顽强	duowanqiang
多谢了	duoxiele
多心了	duoxinle
多一点	duoyidian
多着呢	duozhene
多珍惜	duozhenxi
多指点	duozhidian
多作怪	duozuoguai
恶狠狠	ehenhen
鹅卵石	eluanshi
额头上	etoushang
耳边问	erbianwen
二重唱	erchongchang
耳朵背	erduobei
二级跳	erjitiao
二人间	errenjian
儿孙们	ersunmen
而这些	erzhexie
发不出	fabuchu
发财梦	facaimeng
发出来	fachulai
发传真	fachuanzhen
发大财	fadacai
发动机	fadongji
发短信	faduanxin
发疯的	fafengde
发福了	fafule
发高烧	fagaoshao
发挥得	fahuide
发挥了	fahuile
乏力中	falizhong
发明者	famingzhe
发怒的	fanude
发胖了	fapangle
发起狠	faqihen
发起者	faqizhe
发请柬	faqingjian
发生在	fashengzai
发丝间	fasijian
发丝上	fasishang
发型师	faxingshi
发言权	fayanquan
发邮件	fayoujian
发着亮	fazheliang
翻白眼	fanbaiyan
帆布包	fanbubao
翻出来	fanchulai
反对者	fanduizhe
反而是	fanershi
繁复的	fanfude
反复键	fanfujian
反复在	fanfuzai
翻个身	fangeshen
翻挂历	fanguali
反过来	fanguolai
返回来	fanhuilai
烦恼时	fannaoshi
反射着	fanshezhe
范思哲	fansizhe
反应好	fanyinghao
反应快	fanyingkuai
方不会	fangbuhui
放不下	fangbuxia
方程式	fangchengshi
放出来	fangchulai
放大镜	fangdajing
放大着	fangdazhe
放得下	fangdexia
房地产	fangdichan
放低的	fangdide
放红姜	fanghongjiang
放进来	fangjinlai
放开她	fangkaita
放辣椒	fanglajiao
放了放	fanglefang
放冷枪	fanglengqiang
放你过	fangniguo
放晴了	fangqingle
放手袋	fangshoudai
放坦荡	fangtandang
放投影	fangtouying
放下来	fangxialai
方向盘	fangxiangpan
放心多	fangxinduo
放一放	fangyifang
放映机	fangyingji
非常大	feichangda
飞机场	feijichang
飞机票	feijipiao
飞机上	feijishang
菲律宾	feilvbin
费去了	feiqule
飞上天	feishangtian
费时间	feishijian
费时在	feishizai
