安眠穴	anmianxue
夹脊穴	jiajixue
肩背	jianbei
肩井	jianjing
肩井穴	jianjingxue
建里	jianli
建里穴	jianlixue
肩髎	jianliao
肩髎穴	jianliaoxue
肩前	jianqian
肩前穴	jianqianxue
肩区	jianqu
间使	jianshi
间使穴	jianshixue
肩外俞	jianwaiyu|jianwaishu
肩外俞穴	jianwaiyuxue|jianwaishuxue
肩穴	jianxue
肩髃	jianyu
肩髃穴	jianyuxue
肩贞	jianzhen
肩贞穴	jianzhenxue
肩中俞	jianzhongyu|jianzhongshu
肩中俞穴	jianzhongyuxue|jianzhongshuxue
交感	jiaogan
角孙	jiaosun
角孙穴	jiaosunxue
角窝中	jiaowozhong
交信	jiaoxin
交信穴	jiaoxinxue
结核点	jiehedian
结节	jiejie
解溪	jiexi
解溪穴	jiexixue
金津	jinjin
金津穴	jinjinxue
金门	jinmen
金门穴	jinmenxue
筋缩	jinsuo
筋缩穴	jinsuoxue
颈百劳	jingbailao
颈百劳穴	jingbailaoxue
颈臂	jingbi
京骨	jinggu
京骨穴	jingguxue
京门	jingmen
京门穴	jingmenxue
睛明	jingming
睛明穴	jingmingxue
经渠	jingqu
经渠穴	jingquxue
经外奇	jingwaiqi
经外奇穴	jingwaiqixue
井穴	jingxue
经穴	jingxue
颈穴	jingxue
颈椎	jingzhui
纠内翻	jiuneifan
纠内翻穴	jiuneifanxue
纠外翻	jiuwaifan
纠外翻穴	jiuwaifanxue
鸠尾	jiuwei
鸠尾穴	jiuweixue
巨骨	jugu
巨骨穴	juguxue
居髎	juliao
巨髎	juliao
居髎穴	juliaoxue
巨髎穴	juliaoxue
聚泉	juquan
聚泉穴	juquanxue
巨阙	juque
巨阙俞穴	juqueshuxue
巨阙穴	juquexue
巨阙俞	juqueyu|juqueshu
绝骨穴	jueguxue
厥阴俞	jueyinyu|jueyinshu
厥阴俞穴	jueyinshuxue|jueyinyuxue
渴点	kedian
孔最	kongzui
孔最穴	kongzuixue
口禾髎	kouheliao
口禾髎穴	kouheliaoxue
口区	kouqu
口穴	kouxue
库房	kufang
库房穴	kufangxue
髋骨	kuangu
髋骨穴	kuanguxue
髋穴	kuanxue
昆仑	kunlun
昆仑穴	kunlunxue
阑尾	lanwei
阑尾穴	lanweixue
劳宫	laogong
劳宫穴	laogongxue
厉兑	lidui
历兑穴	liduixue
厉兑穴	liduixue
蠡沟	ligou
蠡沟穴	ligouxue
里内庭	lineiting
里内庭穴	lineitingxue
利尿	liniao
利尿穴	liniaoxue
廉泉	lianquan
廉泉穴	lianquanxue
梁门	liangmen
梁门穴	liangmenxue
梁丘	liangqiu
梁丘穴	liangqiuxue
列缺	lieque
列缺穴	liequexue
灵道	lingdao
