安眠穴	anmianxue
核仁染色质	herenransezhi
核仁线	herenxian
何人饮	herenyin
核仁组织区	herenzuzhiqu
核融合	heronghe
核溶解	herongjie
褐色萎缩	heseweisuo
褐色硬变	heseyingbian
颌舌骨嵴	hesheguji
鹤虱	heshi
何首乌	heshouwu
何首乌生	heshouwusheng
核酸	hesuan
核酸酶作图	hesuanmeizuotu
核碎裂	hesuilie
核糖核酸	hetanghesuan
核糖核酸酶保护测定	hetanghesuanmeibaohuceding
核糖体	hetangti
核糖体结合糖蛋白	hetangtijiehetangdanbai
核桃承气汤	hetaochengqitang
核桃果	hetaoguo
赫特维希上皮根鞘	heteweixishangpigenqiao
核体	heti
颌外支抗	hewaizhikang
核网期	hewangqi
和胃	hewei
和胃生津	heweishengjin
鹤膝	hexi
颌下腺炎	hexiaxianyan
颌下痈病	hexiayongbing
核纤层	hexianceng
核纤层蛋白	hexiancengdanbai
合线期	hexianqi
核小体	hexiaoti
核心家庭	hexinjiating
核心特质	hexintezhi
核型	hexing
核性别	hexingbie
核型分类学	hexingfenleixue
核型模式图	hexingmoshitu
核星期	hexingqi
核形态学	hexingtaixue
核型图	hexingtu
颌学	hexue
核液	heye
合页皮瓣	heyepiban
何以得其幽微	heyideqiyouwei
核移植	heyizhi
何以知之	heyizhizhi
核质	hezhi
核质比	hezhibi
核质杂种细胞	hezhizazhongxibao
核周体	hezhouti
核桩冠	hezhuangguan
诃子	hezi
合子核	hezihe
合子期	heziqi
诃子肉	hezirou
核组装	hezuzhuang
黑变病	heibianbing
黑菜	heicai
黑丑	heichou
黑大豆	heidadou
黑疸	heidan
黑风藤	heifengteng
黑附片	heifupian
黑棘皮病	heijipibing
黑棘皮瘤	heijipiliu
黑老虎根	heilaohugen
黑勒贲门肌切开术	heilebenmenjiqiekaishu
黑林错觉	heilincuojue
黑林视觉说	heilinshijueshuo
黑毛舌	heimaoshe
黑热病	heirebing
黑色毛结节菌病	heisemaojiejiejunbing
黑色丘疹性皮肤病	heiseqiuzhenxingpifubing
黑色素	heisesu
黑色素瘤	heisesuliu
黑色素母细胞	heisesumuxibao
黑色素神经外胚瘤	heisesushenjingwaipeiliu
黑色素细胞	heisesuxibao
黑色萎缩	heiseweisuo
黑顺片	heishunpian
黑苔	heitai
黑头粉刺	heitoufenci
黑头粉刺样痣	heitoufenciyangzhi
黑锡	heixi
黑锡丹	heixidan
黑箱论	heixianglun
黑逍遥散	heixiaoyaosan
黑脂麻	heizhima
黑踵病	heizhongbing
黑钻	heizuan
痕迹理论	henjililun
恒宝别直参	hengbaobiezhican
恒定刺激法	hengdingcijifa
恒定区	hengdingqu
恒定误差	hengdingwucha
横窦脑膜瘤	hengdounaomoliu
横断设计	hengduansheji
恒古骨伤愈合剂	henggugushangyuheji
横嵴	hengji
恒基托	hengjituo
横结肠造口术	hengjiechangzaokoushu
横褥式缝合	hengrushifenghe
横竖错觉	hengshucuojue
亨廷顿舞蹈症	hengtingdunwudaozheng
横纹肌瘤	hengwenjiliu
横纹肌溶解	hengwenjirongjie
横纹肌肉瘤	hengwenjirouliu
横纹肌样肾母细胞瘤	hengwenjiyangshenmuxibaoliu
横纤维	hengxianwei
横小管	hengxiaoguan
恒牙	hengya
恒牙列	hengyalie
恒压软组织扩张术	hengyaruanzuzhikuozhangshu
红白二丸	hongbaierwan
红白二丸果	hongbaierwanguo
红半边莲	hongbanbianlian
红斑狼疮	hongbanlangchuang
红斑量	hongbanliang
红斑型	hongbanxing
红斑型天疱疮	hongbanxingtianpaochuang
红斑性肢痛病	hongbanxingzhitongbing
红斑性肢痛症	hongbanxingzhitongzheng
红宝石激光疗法	hongbaoshijiguangliaofa
红背桂	hongbeigui
红背马蓝	hongbeimalan
红背酸藤	hongbeisuanteng
红背叶	hongbeiye
红扁藤	hongbianteng
红椽木子	hongchuanmuzi
红穿破石	hongchuanposhi
红川乌	hongchuanwu
红吹风	hongchuifeng
红椿	hongchun
红唇皮肤交界处	hongchunpifujiaojiechu
红唇切除术	hongchunqiechushu
红楤木	hongcongmu|hongsongmu
红大戟	hongdaji
红丹参	hongdancan|hongdanshen
红刀豆	hongdaodou
红地榆	hongdiyu
红豆蔻	hongdoukou
红对节子	hongduijiezi
红痱	hongfei
红粉	hongfen
红枫荷	hongfenghe
红敷地发	hongfudifa
红麸杨根	hongfuyanggen
红绀病	hongganbing
红根	honggen
红根草	honggencao
红梗草	honggengcao
红梗草根	honggengcaogen
红管药	hongguanyao
红光疗法	hongguangliaofa
红果参	hongguocan
红果冬青	hongguodongqing
红果楠	hongguonan
红孩儿	honghaier
红旱莲	honghanlian
红厚壳	honghouke
红蝴蝶疮病	honghudiechuangbing
红胡豆七	honghudouqi
红花菜	honghuacai
红花鹅掌柴	honghuaezhangchai
红花甘草壳赤芍	honghuagancaokechishao
红花栝楼	honghuagualou
红花寄生	honghuajisheng
红花锦鸡儿	honghuajinjier
红花绿绒蒿	honghualvronghao
红花木莲	honghuamulian
红花山牵牛	honghuashanqianniu
红花桃仁煎	honghuataorenjian
红铧头草	honghuatoucao
红花小独蒜	honghuaxiaodusuan
红花雪莲花	honghuaxuelianhua
红花岩黄芪	honghuayanhuangqi
红花月见草	honghuayuejiancao
红茴香根	honghuixianggen
红鸡踢香根	hongjitixianggen
红绛舌	hongjiangshe
红接骨草	hongjiegucao
红茎黄芩	hongjinghuangqin
红景天	hongjingtian
红筷子	hongkuaizi
红筷子冠毛	hongkuaiziguanmao
红榔木	honglangmu
红簕钩	honglegou
洪连	honglian
红椋子	hongliangzi
红绿色盲	honglvsemang
红毛草	hongmaocao
红毛刺五加皮	hongmaociwujiapi
红帽顶	hongmaoding
红毛对筋草	hongmaoduijincao
红毛鸡	hongmaoji
红毛七	hongmaoqi
红毛蛇	hongmaoshe
红毛五加皮	hongmaowujiapi
红毛野海棠	hongmaoyehaitang
红毛叶马蹄香	hongmaoyematixiang
红毛走马胎	hongmaozoumatai
红绵藤	hongmianteng
红木耳	hongmuer
红母鸡草	hongmujicao
红木香	hongmuxiang
红母猪藤	hongmuzhuteng
红木子	hongmuzi
红楠皮	hongnanpi
红娘子	hongniangzi
红牛尾七	hongniuweiqi
红皮	hongpi
红皮病	hongpibing
红皮病性银屑病	hongpibingxingyinxiebing
红皮云杉	hongpiyunshan
红芪	hongqi
红千层	hongqianceng
红茄苳	hongqiedong
红曲	hongqu
红瑞木	hongruimu
红瑞木果	hongruimuguo
红三七	hongsanqi
红色盲	hongsemang
红色毛癣菌	hongsemaoxuanjun
红色新月蕨	hongsexinyuejue
红色血栓	hongsexueshuan
红沙	hongsha
红杉皮	hongshanpi
红山药	hongshanyao
红舌	hongshe
红参	hongshen
红升	hongsheng
红升丹	hongshengdan
红升麻	hongshengma
红石耳	hongshier
红树果	hongshuguo
红树皮	hongshupi
红树叶	hongshuye
红水芋	hongshuiyu
红丝疔病	hongsidingbing
红藤	hongteng
红天葵	hongtiankui
红头草	hongtoucao
红头小仙	hongtouxiaoxian
红土子	hongtuzi
红土子皮	hongtuzipi
红外光显微镜	hongwaiguangxianweijing
红外线疗法	hongwaixianliaofa
红外线热像仪	hongwaixianrexiangyi
红细胞粘附试验	hongxibaonianfushiyan
红线麻	hongxianma
红小麻	hongxiaoma
红癣	hongxuan
红药子	hongyaozi
红叶木姜子根	hongyemujiangzigen
红叶树	hongyeshu
红叶树子	hongyeshuzi
红芋	hongyu
红缘层孔菌	hongyuancengkongjun
红云草	hongyuncao
红泽兰	hongzelan
红粘谷	hongzhangu
红粘谷子	hongzhanguzi
红直当药	hongzhidangyao
红直须	hongzhixu
红子根	hongzigen
红紫苏	hongzisu
红紫珠	hongzizhu
喉痹	houbi
喉痹病	houbibing
喉病	houbing
鲎胆	houdan
候风藤	houfengteng
后概率	hougailv
骺骨干固定术	hougugangudingshu
喉关	houguan
喉关痈病	houguanyongbing
后交通动脉动脉瘤	houjiaotongdongmaidongmailiu
猴接骨草	houjiegucao
喉镜	houjing
喉痉挛	houjingluan
喉菌病	houjunbing
鲎壳	houke
喉裂	houlie
喉瘤病	houliubing
喉咙草	houlongcao
厚膜藻	houmozao
厚腻	houni
后尿道瓣膜	houniaodaobanmo
厚皮树	houpishu
厚皮香	houpixiang
厚皮香花	houpixianghua
厚皮性骨膜病	houpixinggumobing
厚朴温中汤	houpowenzhongtang
厚朴	houpu|houpo
厚朴果	houpuguo
厚朴花	houpuhua
厚朴七物汤	houpuqiwutang
厚朴三物汤	houpusanwutang
厚朴夏苓汤	houpuxialingtang
后期迟延	houqichiyan
后期反应	houqifanying
喉气管切除术	houqiguanqiechushu
鲎肉	hourou
喉痧药	houshayao
后送分类	housongfenlei
后随链	housuilian
猴闼子	houtazi
厚苔	houtai
后天免疫	houtianmianyi
后天性并趾	houtianxingbingzhi
后天性并指	houtianxingbingzhi
猴头菌	houtoujun
喉头水肿	houtoushuizhong
后退接触位	houtuijiechuwei
后推术	houtuishu
后外侧开胸术	houwaicekaixiongshu
鲎尾	houwei
后习俗道德	houxisudaode
后象	houxiang
后向掩蔽	houxiangyanbi
喉癣病	houxuanbing
后牙	houya
后牙言语空隙	houyayanyukongxi
厚叶贯众	houyeguanzhong
厚叶牛耳草	houyeniuercao
厚叶素馨	houyesuxin
厚叶子树	houyezishu
后遗畸形	houyijixing
后阴	houyin
喉痈	houyong
喉痈病	houyongbing
猴枣	houzao
猴枣牛黄散	houzaoniuhuangsan
猴樟	houzhang
喉罩	houzhao
湖北贝母	hubeibeimu
湖北楤木	hubeicongmu|hubeisongmu
湖北地黄	hubeidihuang
湖北海棠	hubeihaitang
湖北海棠根	hubeihaitanggen
湖北桑寄生	hubeisangjisheng
忽布筋骨草	hubujingucao
互补决定区	hubujuedingqu
互补位	hubuwei
狐肠	huchang
互斥相	huchixiang
虎刺	huci
狐胆	hudan
蝴蝶暗消	hudieanxiao
蝴蝶果	hudieguo
蝴蝶花	hudiehua
蝴蝶树	hudieshu
蝴蝶藤	hudieteng
互动论	hudonglun
胡豆草	hudoucao
呼多吸少	huduoxishao
虎耳草	huercao
虎耳还魂草	huerhuanhuncao
虎耳兰	huerlan
互反性	hufanxing
糊粉粒	hufenli
护肝宁片	huganningpian
护肝片	huganpian
虎骨	hugu
湖瓜草	huguacao
湖广草	huguangcao
胡黄连	huhuanglian
狐惑病	huhuobing
槲寄生	hujisheng
护理美学	hulimeixue
狐狸尾	huliwei
护理心理学	hulixinlixue
胡莲	hulian
壶卢	hulu
胡芦巴	huluba
葫芦巴	huluba
葫芦茶	hulucha
葫芦茶根	huluchagen
葫芦壳	huluke
葫芦藓	huluxian
壶卢秧	huluyang
壶卢子	huluzi
胡萝卜	huluobo
胡萝卜素性黄皮病	huluobosuxinghuangpibing
胡萝卜叶	huluoboye
胡萝卜子	huluobozi
胡麻草	humacao
胡麻子	humazi
虎皮草	hupicao
虎皮楠	hupinan
琥珀胆碱	hupodanjian
琥珀粉	hupofen
琥珀型突变	hupoxingtubian
呼气活瓣	huqihuoban
呼气末正压	huqimozhengya
忽弃其本	huqiqiben
呼气延缓	huqiyanhuan
虎潜丸	huqianwan
狐肉	hurou
狐疝病	hushanbing
槲实仁	hushiren
虎石头	hushitou
狐四足	husizu
胡荽	husui
胡荽子	husuizi
胡桃根	hutaogen
胡桃花	hutaohua
胡桃壳	hutaoke
胡桃青皮	hutaoqingpi
胡桃仁	hutaoren
胡桃肉	hutaorou
胡桃树皮	hutaoshupi
胡桃叶	hutaoye
胡桃油	hutaoyou
胡桃枝	hutaozhi
胡桐泪	hutonglei
狐头	hutou
虎头兰	hutoulan
胡颓子	hutuizi
胡颓子根	hutuizigen
胡颓子叶	hutuiziye
虎尾草	huweicao
虎尾兰	huweilan
虎尾兰根	huweilangen
虎尾轮	huweilun
虎尾轮根	huweilungen
呼吸出入	huxichuru
呼吸道出血	huxidaochuxie
呼吸道烧伤	huxidaoshaoshang
呼吸机	huxiji
呼吸窘迫综合征	huxijiongpozonghezheng
呼吸少气	huxishaoqi
护惜身命	huxishenming
呼吸停止	huxitingzhi
呼吸运动	huxiyundong
互相仿效行为	huxiangfangxiaoxingwei
狐心	huxin
护心草	huxincao
护心胆	huxindan
弧形切口	huxingqiekou
胡燕卵	huyanluan
虎咬癀	huyaohuang
槲叶	huye
互引相	huyinxiang
护幼活动	huyouhuodong
虎仗	huzhang
虎杖	huzhang
虎掌草	huzhangcao
虎掌草叶	huzhangcaoye
虎杖叶	huzhangye
胡枝子	huzhizi
胡枝子根	huzhizigen
胡子七	huziqi
化斑汤	huabantang
花斑癣	huabanxuan
花斑叶	huabanye
滑背草鞋	huabeicaoxie
花被单	huabeidan
花槟榔	huabinglang
花剥苔	huabotai
化虫丸	huachongwan
华东瘤足蕨	huadongliuzujue
华东膜蕨	huadongmojue
滑动模型	huadongmoxing
华东瓶蕨	huadongpingjue
滑动器械台	huadongqixietai
滑动性食管裂孔疝	huadongxingshiguanliekongshan
华东阴地蕨	huadongyindijue
花杜仲藤	huaduzhongteng
花朵形梅毒疹	huaduoxingmeiduzhen
华鹅耳枥	huaeerli
花粉超敏反应	huafenchaominfanying
花粉内壁	huafenneibi
花粉培养	huafenpeiyang
花粉皮炎	huafenpiyan
花粉外壁	huafenwaibi
华风车子根	huafengchezigen
华风车子叶	huafengcheziye
华盖散	huagaisan
桦革裥菌	huagejianjun
花拐藤根	huaguaitenggen
花红叶	huahongye
花姬蛙	huajiwa
铧尖草	huajiancao
花椒根	huajiaogen
花椒簕	huajiaole
花椒目	huajiaomu
花椒叶	huajiaoye
花结形成细胞	huajiexingchengxibao
化金丹	huajindan
华金腰子	huajinyaozi
滑精	huajing
滑精病	huajingbing
化橘红	huajuhong
化橘红赖氏红	huajuhonglaishihong
华勒变性	hualebianxing
花脸细辛	hualianxixin
花锚	huamao
画眉草	huameicao
滑膜瘤	huamoliu
滑膜切除术	huamoqiechushu
滑膜肉瘤	huamorouliu
滑膜炎	huamoyan
桦木皮	huamupi
花木通	huamutong
花苜蓿	huamuxu
华南胡椒	huananhujiao
华南桦	huananhua
华南鳞盖蕨	huananlingaijue
华南毛蕨	huananmaojue
华南舌蕨	huananshejue
华南实蕨	huananshijue
华南铁角蕨	huanantiejiaojue
花南星	huananxing
华南皂荚	huananzaojia
华南紫萁	huananziqi
滑囊炎	huanangyan
化脓性汗腺炎	huanongxinghanxianyan
化脓性甲沟炎	huanongxingjiagouyan
化脓性阑尾炎	huanongxinglanweiyan
化脓性门静脉炎	huanongxingmenjingmaiyan
化脓性肉芽肿	huanongxingrouyazhong
化脓性腮腺炎	huanongxingsaixianyan
化脓性血栓性静脉炎	huanongxingxueshuanxingjingmaiyan
化脓性炎	huanongxingyan
化痞	huapi
化气兰	huaqilan
华其外而悴其内	huaqiwaiercuiqinei
华清香藤	huaqingxiangteng
花荵	huaren
花蕊石	huaruishi
滑润剂	huarunji
滑疝	huashan
华山参	huashancan
华山矾	huashanfan
华山矾根	huashanfangen
华山矾果	huashanfanguo
花蛇解痒胶囊	huashejieyangjiaonang
花生凝集素	huashengningjisu
花生油	huashengyou
滑石	huashi
滑石块	huashikuai
滑数	huashu
花束期	huashuqi
滑鼠蛇	huashushe
桦树液	huashuye
花松萝	huasongluo
花酸苔	huasuantai
滑胎	huatai
滑苔	huatai
滑胎病	huataibing
化痰平喘	huatanpingchuan
化痰熄风	huatanxifeng
铧头草	huatoucao
华卫矛	huaweimao
华西小石积	huaxixiaoshiji
化香树果	huaxiangshuguo
化香树叶	huaxiangshuye
滑行截骨术	huaxingjiegushu
化学病理学	huaxuebinglixue
化学剥脱除皱术	huaxuebotuochuzhoushu
化学剥脱术	huaxuebotuoshu
化血胆	huaxuedan
化学发光自显影	huaxuefaguangzixianying
化学番木质	huaxuefanmuzhi
化学感觉	huaxueganjue
化学感受器	huaxueganshouqi
化学感受器瘤	huaxueganshouqiliu
化学睾丸切除	huaxuegaowanqiechu
化学免疫抑制	huaxuemianyiyizhi
化学排斥物	huaxuepaichiwu
化学烧伤	huaxueshaoshang
化学烧伤全身中毒	huaxueshaoshangquanshenzhongdu
化学渗透	huaxueshentou
花血藤	huaxueteng
化学性膀胱炎	huaxuexingpangguangyan
化学性吸入损伤	huaxuexingxirusunshang
化学性阉割	huaxuexingyange
化学引诱物	huaxueyinyouwu
化药	huayao
花药培养	huayaopeiyang
花叶矮沱沱	huayeaituotuo
滑叶跌打	huayedieda
花叶狗牙七	huayegouyaqi
花叶九节木	huayejiujiemu
花叶冷水花	huayelengshuihua
桦叶葡萄根皮	huayeputaogenpi
花叶竹芋	huayezhuyu
花叶子	huayezi
花翳白陷病	huayibaixianbing
花蚁虫	huayichong
华夷愚智	huayiyuzhi
华罂粟	huayingsu
花鱼	huayu
化瘀	huayu
话在嘴边现象	huazaizuibianxianxiang
华泽兰	huazelan
花蜘蛛	huazhizhu
华中瘤足蕨	huazhongliuzujue
化妆品痤疮	huazhuangpincuochuang
化妆品皮肤病	huazhuangpinpifubing
化妆品皮肤损害	huazhuangpinpifusunhai
化妆品皮炎	huazhuangpinpiyan
化浊排脓病自宁	huazhuopainongbingzining
华紫报春花	huazibaochunhua
槐白皮	huaibaipi
槐耳	huaier
槐根	huaigen
槐花	huaihua
槐花槐花米	huaihuahuaihuami
槐花米	huaihuami
槐花散	huaihuasan
槐花炭	huaihuatan
槐胶	huaijiao
槐角	huaijiao
槐角丸	huaijiaowan
坏疽	huaiju
坏疽痘	huaijudou
坏疽性胆囊炎	huaijuxingdannangyan
坏疽性龟头炎	huaijuxingguitouyan
坏疽性口炎	huaijuxingkouyan
坏疽性阑尾炎	huaijuxinglanweiyan
坏疽性牛痘	huaijuxingniudou
坏疽性脓皮病	huaijuxingnongpibing
坏疽性膀胱炎	huaijuxingpangguangyan
坏疽性皮炎	huaijuxingpiyan
槐米	huaimi
怀牛膝	huainiuxi
淮山药	huaishanyao
槐实	huaishi
坏死	huaisi
坏死斑	huaisiban
坏死后肝硬化	huaisihouganyinghua
坏死松解	huaisisongjie
坏死性痤疮	huaisixingcuochuang
坏死性肾乳头炎	huaisixingshenrutouyan
坏死性唾液腺化生	huaisixingtuoyexianhuasheng
坏死性涎腺化生	huaisixingxianxianhuasheng
坏死性胰腺炎	huaisixingyixianyan
怀特黑德手术	huaiteheideshoushu
淮通	huaitong
淮小麦	huaixiaomai
槐叶	huaiye
槐枝	huaizhi
换瓣术后血栓形成	huanbanshuhouxueshuanxingcheng
环丙烷	huanbingwan
患及祸至	huanjihuozhi
环甲膜切开气管插管	huanjiamoqiekaiqiguanchaguan
缓解期	huanjieqi
换锦花	huanjinhua
环境病理学	huanjingbinglixue
环境控制装置	huanjingkongzhizhuangzhi
环境疗法	huanjingliaofa
环境论	huanjinglun
环孔片层	huankongpianceng
环绕结扎术	huanraojiezashu
环绕颧骨结扎术	huanraoquangujiezashu
环绕颧骨悬吊上颌术	huanraoquanguxuandiaoshangheshu
环绕下颌结扎术	huanraoxiahejiezashu
獾肉	huanrou
环枢	huanshu
环缩耳	huansuoer
环套息肉切除术	huantaoxirouqiechushu
环跳疽病	huantiaojubing
换血疗法	huanxieliaofa
环形卡环	huanxingkahuan
环形烧伤	huanxingshaoshang
唤醒试验	huanxingshiyan
环行纤维	huanxingxianwei
还阳参	huanyangcan
还阳草根	huanyangcaogen
獾油	huanyou
鲩鱼	huanyu
鲩鱼胆	huanyudan
还原酶缺乏症	huanyuanmeiquefazheng
幻肢	huanzhi
幻肢痛	huanzhitong
环状瘢痕挛缩	huanzhuangbanhenluansuo
环状扁平苔藓	huanzhuangbianpingtaixian
环状梅毒疹	huanzhuangmeiduzhen
环状染色体	huanzhuangranseti
环状肉芽肿	huanzhuangrouyazhong
环状胰腺	huanzhuangyixian
环状银屑病	huanzhuangyinxiebing
环状脂肪萎缩	huanzhuangzhifangweisuo
黄鹌菜	huangancai
黄柏	huangbai|huangbo
黄斑龙胆	huangbanlongdan
黄背草	huangbeicao
黄背草根	huangbeicaogen
黄背草果	huangbeicaoguo
黄背草苗	huangbeicaomiao
黄藨根	huangbiaogen
黄藨叶	huangbiaoye
黄草花	huangcaohua
黄草乌	huangcaowu
黄茶根	huangchagen
黄臭	huangchou
黄唇鱼肝	huangchunyugan
黄唇鱼鳞	huangchunyulin
黄唇鱼鳃	huangchunyusai
黄唇鱼心	huangchunyuxin
黄刺皮	huangcipi
黄大豆	huangdadou
黄丹	huangdan
黄疸	huangdan
黄疸病	huangdanbing
黄疸树	huangdanshu
黄豆苷元片	huangdouganyuanpian
黄独	huangdu
黄独零余子	huangdulingyuzi
黄断肠草	huangduanchangcao
黄耳伤寒病	huangershanghanbing
黄矾	huangfan
黄藁本	huanggaoben
黄根	huanggen
黄狗肾	huanggoushen
黄鲴鱼	huangguyu
黄瓜根	huangguagen
黄瓜皮	huangguapi
黄瓜仁草	huangguarencao
黄瓜霜	huangguashuang
黄瓜藤	huangguateng
黄瓜叶	huangguaye
黄瓜子	huangguazi
黄果茄	huangguoqie
黄海葵	huanghaikui
黄颔蛇	huanghanshe
黄颔蛇骨	huanghanshegu
黄颔蛇头	huanghanshetou
黄褐斑	huangheban
黄河裸裂尻鱼	huangheluoliekaoyu
黄花菜	huanghuacai
黄花菜子	huanghuacaizi
黄花参	huanghuacan
黄花倒水莲	huanghuadaoshuilian
黄花地锦苗	huanghuadijinmiao
黄花地桃花	huanghuaditaohua
黄花夹竹桃	huanghuajiazhutao
黄花堇菜	huanghuajincai
黄花绿绒蒿	huanghualvronghao
黄花木	huanghuamu
黄花母	huanghuamu
黄花母根	huanghuamugen
黄花稔	huanghuaren
黄花忍冬	huanghuarendong
黄花山柰	huanghuashannai
黄花鼠尾草	huanghuashuweicao
黄花香	huanghuaxiang
黄花香薷	huanghuaxiangru
黄花小二仙草	huanghuaxiaoerxiancao
黄花鸢尾	huanghuayuanwei
黄花獐牙菜	huanghuazhangyacai
黄化质体	huanghuazhiti
黄花紫丹参	huanghuazidanshen
黄花紫堇	huanghuazijin
黄甲综合征	huangjiazonghezheng
黄脚鸡	huangjiaoji
黄接骨丹	huangjiegudan
黄堇	huangjin
黄槿	huangjin
黄金凤	huangjinfeng
黄金线	huangjinxian
黄金子	huangjinzi
黄精	huangjing
黄荆根	huangjinggen
黄荆沥	huangjingli
黄荆叶	huangjingye
黄荆枝	huangjingzhi
黄荆子	huangjingzi
黄桷根	huangjuegen
黄桷浆	huangjuejiang
黄桷皮	huangjuepi
黄桷树根疙瘩	huangjueshugengeda
黄桷叶	huangjueye
黄开口	huangkaikou
黄葵	huangkui
黄葵胶囊	huangkuijiaonang
黄蜡	huangla
黄栎	huangli
黄连阿胶鸡子黄	huanglianejiaojizihuang
黄连阿胶汤	huanglianejiaotang
黄连花	huanglianhua
黄连黄柏与秦皮	huanglianhuangbaiyuqinpi|huanglianhuangboyuqinpi
黄连解毒柏栀芩	huanglianjiedubaizhiqin
黄连解毒汤	huanglianjiedutang
黄楝树	huanglianshu
黄连素	huangliansu
黄连炭	huangliantan
黄连汤	huangliantang
黄连温胆汤	huanglianwendantang
黄粱米	huangliangmi
黄苓滑石汤	huanglinghuashitang
黄苓汤	huanglingtang
黄瘤孢	huangliubao
黄龙汤	huanglongtang
黄龙藤	huanglongteng
黄龙藤叶	huanglongtengye
黄栌	huanglu
黄栌根	huanglugen
黄芦木	huanglumu
黄栌枝叶	huangluzhiye
黄麻根	huangmagen
黄麻灰	huangmahui
黄麻叶	huangmaye
黄麻子	huangmazi
黄毛耳草	huangmaoercao
黄毛榕	huangmaorong
黄毛山牵牛	huangmaoshanqianniu
黄毛舌	huangmaoshe
黄毛岩白菜	huangmaoyanbaicai
黄缅桂	huangmiangui
黄缅桂果	huangmianguiguo
黄明胶	huangmingjiao
黄蘑菇	huangmogu
黄木耳	huangmuer
黄泥菜	huangnicai
黄蘖	huangnie
黄牛茶	huangniucha
黄牛毛藓	huangniumaoxian
黄胖病	huangpangbing
黄皮	huangpi
黄皮根	huangpigen
黄皮果	huangpiguo
黄皮果核	huangpiguohe
黄皮叶	huangpiye
黄嘌呤尿	huangpiaolingniao
黄芪	huangqi
黄杞	huangqi
黄芪桂枝五物汤	huangqiguizhiwuwutang
黄芪建中汤	huangqijianzhongtang
黄杞皮	huangqipi
黄杞叶	huangqiye
黄茄花	huangqiehua
黄芩	huangqin
黄芩滑石汤	huangqinhuashitang
黄芩滑石猪茯苓	huangqinhuashizhufuling
黄芩家种	huangqinjiazhong
黄秦艽	huangqinjiao
黄芩芍药合自良	huangqinshaoyaoheziliang
黄芩炭	huangqintan
黄芩汤	huangqintang
黄芩子	huangqinzi
黄裙竹荪	huangqunzhusun
黄稔根	huangrengen
黄瑞木	huangruimu
黄三七	huangsanqi
黄颡鱼	huangsangyu
黄颡鱼颊骨	huangsangyujiagu
黄颡鱼涎	huangsangyuxian
黄色瘤	huangseliu
黄色瘤病	huangseliubing
黄色肉芽肿性胆囊炎	huangserouyazhongxingdannangyan
黄山鳞毛蕨	huangshanlinmaojue
黄鳝藤	huangshanteng
黄山五叶参	huangshanwuyecan
黄梢蛇	huangshaoshe
黄氏响声丸	huangshixiangshengwan
黄石脂	huangshizhi
黄寿丹	huangshoudan
黄蜀葵根	huangshukuigen
黄蜀葵花	huangshukuihua
黄蜀葵茎	huangshukuijing
黄蜀葵叶	huangshukuiye
黄蜀葵子	huangshukuizi
黄鼠肉	huangshurou
黄水藨叶	huangshuibiaoye
黄水疮病	huangshuichuangbing
黄水茄	huangshuiqie
黄水枝	huangshuizhi
黄锁梅根	huangsuomeigen
黄锁梅叶	huangsuomeiye
黄苔	huangtai
黄藤	huangteng
黄藤素片	huangtengsupian
黄体化激素	huangtihuajisu
黄筒花	huangtonghua
黄土汤	huangtutang
黄菀	huangwan
黄心果	huangxinguo
黄宣	huangxuan
黄癣痂	huangxuanjia
黄芽白菜	huangyabaicai
黄杨根	huangyanggen
黄羊角	huangyangjiao
黄杨木	huangyangmu
黄杨宁片	huangyangningpian
黄羊肉	huangyangrou
黄杨叶	huangyangye
黄羊油	huangyangyou
黄药脂	huangyaozhi
黄药子	huangyaozi
黄液上冲病	huangyeshangchongbing
黄芫花	huangyuanhua
黄樟	huangzhang
黄竹参	huangzhucan
黄珠子草	huangzhuzicao
黄紫堇	huangzijin
晦暗	huian
灰包	huibao
回避型人格	huibixingrenge
回避行为	huibixingwei
回避性训练	huibixingxunlian
回避学习	huibixuexi
挥鞭伤	huibianshang
回肠肛管吻合术	huichanggangguanwenheshu
回肠横结肠吻合术	huichanghengjiechangwenheshu
回肠膀胱扩大术	huichangpangguangkuodashu
回肠膀胱尿流改道术	huichangpangguangniaoliugaidaoshu
回肠膀胱术	huichangpangguangshu
回肠憩室	huichangqishi
回肠造口术	huichangzaokoushu
蛔虫上扰证	huichongshangraozheng
灰锤	huichui
辉葱	huicong
灰藋	huidiao
灰藋子	huidiaozi
灰钉	huiding
灰凤梨	huifengli
恢复期	huifuqi
恢复室	huifushi
回复体	huifuti
回复突变	huifutubian
灰贯众	huiguanzhong
回归心理学	huiguixinlixue
绘画疗法	huihualiaofa
回回豆	huihuidou
回回来	huihuilai
回回蒜	huihuisuan
回回蒜果	huihuisuanguo
灰蓟	huiji
蛔厥	huijue
蛔厥证	huijuezheng
惠勒手术	huileshoushu
回力卡环	huilikahuan
灰绿水苎麻	huilvshuizhuma
回盲部结核	huimangbujiehe
灰毛婆婆纳	huimaopopona
毁灭效应	huimiexiaoying
灰泥角化病	huinijiaohuabing
溃脓期	huinongqi
惠普尔三联征	huipuersanlianzheng
回切口	huiqiekou
灰色新月	huisexinyue
蕙实	huishi
灰树花	huishuhua
毁损伤	huisunshang
回缩睾丸	huisuogaowan
灰苔	huitai
喙突	huitu
喙突后注射法	huituhouzhushefa
绘图模拟	huitumoni
回文序列	huiwenxulie
茴香	huixiang
茴香虫	huixiangchong
