暗带	andai
司天监	sitianjian
岁差	suicha
太史令	taishiling
太阳常数	taiyangchangshu
太阳风	taiyangfeng
太阳辐照度	taiyangfuzhaodu
太阳高度角	taiyanggaodujiao
太阳黑子	taiyangheizi
太阳系	taiyangxi
太阳系仪	taiyangxiyi
探险者	tanxianzhe
逃逸速度	taoyisudu
天底	tiandi
天顶	tianding
天顶距	tiandingju
天干	tiangan
天宫图	tiangongtu
天极	tianji
天箭	tianjian
天空实验室	tiankongshiyanshi
天马	tianma
天猫	tianmao
天琴	tianqin
天球	tianqiu
天球坐标系	tianqiuzuobiaoxi
天体	tianti
天体力学	tiantilixue
天体物理学	tiantiwulixue
天王星	tianwangxing
天文导航	tianwendaohang
天文馆	tianwenguan
天文经度	tianwenjingdu
天文年历	tianwennianli
天文台	tianwentai
天文望远镜	tianwenwangyuanjing
天文纬度	tianwenweidu
天文学	tianwenxue
天象	tianxiang
天象仪	tianxiangyi
天燕	tianyan
同步观测	tongbuguance
通带	tongdai
统计天文学	tongjitianwenxue
图象处理	tuxiangchuli
图象复原	tuxiangfuyuan
土星	tuxing
土星环	tuxinghuan
网状结构	wangzhuangjiegou
卫星激光测距	weixingjiguangceju
温度效应	wenduxiaoying
沃尔夫	woerfu
武仙	wuxian
夏令时	xialingshi
下弦	xiaxian
仙皇	xianhuang
仙王	xianwang
象管	xiangguan
象限仪	xiangxianyi
消光	xiaoguang
小狮	xiaoshi
小行星	xiaoxingxing
协调世界时	xietiaoshijieshi
星斑	xingban
星表	xingbiao
星盘	xingpan
星图	xingtu
星系	xingxi
星子	xingzi
旋臂	xuanbi
宣夜说	xuanyeshuo
选择效应	xuanzexiaoying
耀斑	yaoban
耀发	yaofa
引力波	yinlibo
阴阳历	yinyangli
荧光辐射	yingguangfushe
英仙	yingxian
有效孔径	youxiaokongjing
有效温度	youxiaowendu
宇宙尘	yuzhouchen
宇宙大爆炸	yuzhoudabaozha
远地点	yuandidian
远拱点	yuangongdian
远日点	yuanridian
原子钟	yuanzizhong
月食	yueshi
月相	yuexiang
陨石雨	yunshiyu
暂星	zanxing
札马鲁丁	zhamaluding
占星术	zhanxingshu
章动	zhangdong
真极	zhenji
真近点角	zhenjindianjiao
针状物	zhenzhuangwu
质心坐标	zhixinzuobiao
中间轨道	zhongjianguidao
中性线	zhongxingxian
中星仪	zhongxingyi
中央子午线	zhongyangziwuxian
主焦点	zhujiaodian
主镜	zhujing
姿态参数	zitaicanshu
子午圈	ziwuquan
子午线	ziwuxian
自转	zizhuan
综合孔径	zonghekongjing
总星系	zongxingxi
