风水	fengshui
海中金	haizhongjin
合禄格	heluge
合杀留官	heshaliuguan
互换贵禄	huhuanguilu
虎牛奔巳	huniubensi
虎午奔巳	huwubensi
化气格	huaqige
火空	huokong
稼穑格	jiasege
假伤官	jiashangguan
剑锋金	jianfengjin
荐枕星	jianzhenxing
金白水清	jinbaishuiqing
金箔金	jinbojin
金空	jinkong
金木间隔	jinmujiange
金神格	jinshenge
井栏叉格	jinglanchage
空亡	kongwang
库禄	kulu
两干不杂	liangganbuza
两神成象	liangshenchengxiang
六甲趋乾	liujiaquqian
六壬趋艮	liurenqugen
六乙鼠贵	liuyishugui
六阴朝阳	liuyinzhaoyang
龙吟虎啸	longyinhuxiao
禄马同乡	lumatongxiang
路旁土	lupangtu
禄头财	lutoucai
炉中火	luzhonghuo
裸形桃花	luoxingtaohua
马奔财乡	mabencaixiang
马头带剑	matoudaijian
墨池涌泉	mochiyongquan
木火交辉	muhuojiaohui
木空	mukong
年上比劫	nianshangbijie
年上偏财	nianshangpiancai
年上偏官	nianshangpianguan
年上偏印	nianshangpianyin
年上七煞	nianshangqisha
年上伤官	nianshangshangguan
年上食神	nianshangshishen
年上正财	nianshangzhengcai
年上正官	nianshangzhengguan
年上正印	nianshangzhengyin
霹雷火	pileihuo
偏官	pianguan
偏印夺食	pianyinduoshi
平地木	pingdimu
破禄	polu
弃命从杀	qimingcongsha
墙内桃花	qiangneitaohua
墙外桃花	qiangwaitaohua
倾国倾城	qingguoqingcheng
曲直格	quzhige
泉中水	quanzhongshui
壬骑龙背	renqilongbei
日藏偏财	ricangpiancai
日带比劫	ridaibijie
日带伤官	ridaishangguan
日带食神	ridaishishen
日带正财	ridaizhengcai
日带正官	ridaizhengguan
日带正印	ridaizhengyin
日德格	ridege
日犯岁君	rifansuijun
日贵格	riguige
日禄归时	riluguishi
日刃格	rirenge
日上偏印	rishangpianyin
日元丙丁火	riyuanbingdinghuo
日元庚辛金	riyuangengxinjin
日元甲乙木	riyuanjiayimu
日元壬癸水	riyuanrenguishui
日元戊己土	riyuanwujitu
日主桃花	rizhutaohua
日坐独煞	rizuodusha
日坐伤官	rizuoshangguan
润下格	runxiage
丧门	sangmen
桑松木	sangsongmu
沙中金	shazhongjin
沙中土	shazhongtu
