安永	anyong
明智玉子	mingzhiyuzi
末吉孙左卫门	mojisunzuoweimen
母里友信	muliyouxin
木曾义昌	mucengyichang
木曾义康	mucengyikang
木下昌直	muxiachangzhi
木下家定	muxiajiading
木下藤吉郎	muxiatengjilang
木造具政	muzaojuzheng
牧村兵部	mucunbingbu
那须资晴	naxuziqing
乃美宗胜	naimeizongsheng
奈佐日本助	naizuoribenzhu
南部利直	nanbulizhi
南部晴政	nanbuqingzheng
南部信直	nanbuxinzhi
南海道	nanhaidao
楠长谙	nanchangan
内管领	neiguanling
内藤如安	neitengruan
能登	nengdeng
尼子晴久	niziqingjiu
尼子胜久	nizishengjiu
尼子义久	niziyijiu
鲇贝宗重	nianbeizongzhong
鸟居强右卫门	niaojuqiangyouweimen
鸟居元忠	niaojuyuanzhong
牛尾幸清	niuweixingqing
浓姬	nongji
毘沙门天	pishamentian
平冈房实	pinggangfangshi
平贺元相	pingheyuanxiang
平氏	pingshi
平手汎秀	pingshoufaxiu|pingshoufanxiu
平手经治	pingshoujingzhi
平岩亲吉	pingyanqinji
破竹柴田	pozhuchaitian
蒲池鉴盛	puchijiansheng
蒲池镇涟	puchizhenlian
蒲生定秀	pushengdingxiu
蒲生赖乡	pushenglaixiang
蒲生贤秀	pushengxianxiu
蒲生乡舍	pushengxiangshe
蒲生秀行	pushengxiuxing
浦上宗景	pushangzongjing
七里赖周	qililaizhou
七条兼仲	qitiaojianzhong
千坂景亲	qianbanjingqin
千贺孙兵卫	qianhesunbingwei
千利休	qianlixiu
千叶邦胤	qianyebangyin
千叶胤富	qianyeyinfu
千宗易	qianzongyi
前波吉继	qianbojiji
前田安胜	qiantianansheng
前田庆次	qiantianqingci
前田松	qiantiansong
前田秀继	qiantianxiuji
前野长康	qianyechangkang
浅井井赖	qianjingjinglai
浅井久政	qianjingjiuzheng
浅井亮政	qianjingliangzheng
浅井长时	qianjingchangshi
浅井长政	qianjingchangzheng
浅利胜赖	qianlishenglai
浅野幸长	qianyexingchang
浅野长晟	qianyechangsheng
枪弹正	qiangdanzheng
枪之又左	qiangzhiyouzuo
青山忠成	qingshanzhongcheng
倾奇者	qingqizhe
清水康英	qingshuikangying
清洲	qingzhou
秋山信友	qiushanxinyou
秋上久家	qiushangjiujia
秋田实季	qiutianshiji
曲直濑道三	quzhilaidaosan
泉泽久秀	quanzejiuxiu
犬童赖安	quantonglaian
仁科盛信	renkeshengxin
日本七柱枪	ribenqizhuqiang
日根野弘就	rigenyehongjiu
日向	rixiang
日野富子	riyefuzi
若林镇兴	ruolinzhenxing
若狭	ruoxia
萨摩	samo
三村家亲	sancunjiaqin
三村元亲	sancunyuanqin
三弹正	sandanzheng
三刀屋久佑	sandaowujiuyou
三好康长	sanhaokangchang
三好三人众	sanhaosanrenzhong
三好实休	sanhaoshixiu
三好笑岩	sanhaoxiaoyan
三好义继	sanhaoyiji
三好义贤	sanhaoyixian
三好义兴	sanhaoyixing
三好元长	sanhaoyuanchang
三好长庆	sanhaochangqing
三好长逸	sanhaochangyi
三好长治	sanhaochangzhi
三好政康	sanhaozhengkang
三好政胜	sanhaozhengsheng
三河	sanhe
三条公赖	santiaogonglai
三云成持	sanyunchengchi
三枝守友	sanzhishouyou
三中老	sanzhonglao
桑名吉成	sangmingjicheng
色部胜长	sebushengchang
色部长实	sebuzhangshi
森村春	sencunchun
森下道与	senxiadaoyu
森忠政	senzhongzheng
杀生关白	shashengguanbai
山岸尚家	shananshangjia
山本寺定长	shanbensidingchang
山城	shancheng
山科言继	shankeyanji
山名禅高	shanmingchangao
山名持丰	shanmingchifeng
山名佑丰	shanmingyoufeng
山名政丰	shanmingzhengfeng
山内千代	shanneiqiandai
山内一丰	shanneiyifeng
山浦国清	shanpuguoqing
山崎片家	shanqipianjia
山崎长德	shanqichangde
山上宗二	shanshangzonger
山田匡德	shantiankuangde
山田有信	shantianyouxin
山田长政	shantianchangzheng
山阳道	shanyangdao
山阴道	shanyindao
山中俊好	shanzhongjunhao
山中幸盛	shanzhongxingsheng
杉谷善住坊	shangushanzhufang
杉之坊照算	shanzhifangzhaosuan
上井觉兼	shangjingjuejian
上杉定宪	shangshandingxian
上杉辉虎	shangshanhuihu
上杉景信	shangshanjingxin
上条政繁	shangtiaozhengfan
上野	shangye
上州第一枪	shangzhoudiyiqiang
上总	shangzong
涉谷与右卫门	sheguyuyouweimen
摄津	shejin
深水长智	shenshuichangzhi
深泽利重	shenzelizhong
神保氏张	shenbaoshizhang
神保长城	shenbaochangcheng|shenbaozhangcheng
神保长职	shenbaozhangzhi
神保长住	shenbaochangzhu|shenbaozhangzhu
神户具盛	shenhujusheng
神屋宗湛	shenwuzongzhan
神西元通	shenxiyuantong
生驹亲正	shengjuqinzheng
生驹一正	shengjuyizheng
师冈一羽	shigangyiyu
施药院全宗	shiyaoyuanquanzong
十河一存	shiheyicun
石川高信	shichuangaoxin
石川数正	shichuanshuzheng
石川五右卫门	shichuanwuyouweimen
石川昭光	shichuanzhaoguang
石见	shijian
石母田景赖	shimutianjinglai
石田重家	shitianzhongjia
氏家光氏	shijiaguangshi
氏家行广	shijiaxingguang
氏家守栋	shijiashoudong
氏家直元	shijiazhiyuan
世鬼政时	shiguizhengshi
世濑藏人	shilaicangren
市川经好	shichuanjinghao
柿崎晴家	shiqiqingjia
室町幕府	shidingmufu
室町御所	shidingyusuo
守护代	shouhudai
寿桂尼	shouguini
狩野永德	shouyeyongde
水谷胤重	shuiguyinzhong
水野胜成	shuiyeshengcheng
水野信元	shuiyexinyuan
斯波诠真	siboquanzhen
斯波诠直	siboquanzhi
斯波义达	siboyida
斯波义廉	siboyilian
斯波义良	siboyiliang
斯波义敏	siboyimin
斯波义统	siboyitong
斯波义银	siboyiyin
四国征伐	siguozhengfa
松波义亲	songboyiqin
松仓重信	songcangzhongxin
松仓重政	songcangzhongzheng
松井康之	songjingkangzhi
松井友闲	songjingyouxian
松平信康	songpingxinkang
松平元康	songpingyuankang
松浦隆信	songpulongxin
松浦镇信	songpuzhenxin
松前庆广	songqianqingguang
松田宪秀	songtianxianxiu
松下加兵卫	songxiajiabingwei
松永久通	songyongjiutong
松永久秀	songyongjiuxiu
穗井田元清	suijingtianyuanqing
太田三乐斋	taitiansanlezhai
太田氏资	taitianshizi
太田长知	taitianchangzhi
汤浅五助	tangqianwuzhu
逃弹正	taodanzheng
藤堂高虎	tengtanggaohu
鹈殿氏长	tidianshichang
鹈殿长照	tidianchangzhao
鹈饲孙六	tisisunliu
天文之乱	tianwenzhiluan
天秀尼	tianxiuni
天野康景	tianyekangjing
天野隆重	tianyelongzhong
田北镇周	tianbeizhenzhou
田村清显	tiancunqingxian
田村重显	tiancunzhongxian
田原亲贤	tianyuanqinxian
田中吉政	tianzhongjizheng
田中胜助	tianzhongshengzhu
畠山高政	zaishangaozheng|tianshangaozheng
畠山义纲	zaishanyigang|tianshanyigang
畠山义就	zaishanyijiu|tianshanyijiu
畠山义续	zaishanyixu|tianshanyixu
畠山政国	zaishanzhengguo|tianshanzhengguo
畠山政长	zaishanzhengchang|tianshanzhengchang
畠山植长	tianshanzhichang
筒井顺庆	tongjingshunqing
土居宗珊	tujuzongshan
土岐成赖	tuqichenglai
土岐赖次	tuqilaici
土岐赖艺	tuqilaiyi
土田御前	tutianyuqian
土屋昌次	tuwuchangci
土屋昌恒	tuwuchangheng
拓植三之丞	tuozhisanzhicheng
望月六郎	wangyueliulang
尾张	weizhang
尾张之虎	weizhangzhihu
娓原景宗	weiyuanjingzong
温井景隆	wenjingjinglong
问驻所统景	wenzhusuotongjing
屋代景赖	wudaijinglai
五大老	wudalao
五代友喜	wudaiyouxi
五奉行	wufengxing
武藏	wuzang
武井夕庵	wujingxian
武田逍遥轩	wutianxiaoyaoxuan
武田信吉	wutianxinji
武田信廉	wutianxinlian
武田信胜	wutianxinsheng
武田元明	wutianyuanming
武野绍鸥	wuyeshaoou
雾隐才藏	wuyincaicang
西川仁右卫门	xichuanrenyouweimen
西国无双的大将	xiguowushuangdedajiang
西国之雄	xiguozhixiong
西海道	xihaidao
西园寺公广	xiyuansigongguang
喜入季久	xirujijiu
细川高国	xichuangaoguo
细川晴元	xichuanqingyuan
细川三斋	xichuansanzhai
细川氏纲	xichuanshigang
细川幽斋	xichuanyouzhai
细川元常	xichuanyuanchang
细川昭元	xichuanzhaoyuan
细川政元	xichuanzhengyuan
虾夷	xiayi
下间赖廉	xiajianlailian
下间赖照	xiajianlaizhao
下间仲孝	xiajianzhongxiao
下克上	xiakeshang
下野	xiaye
下总	xiazong
夏目晴信	xiamuqingxin
仙桃院	xiantaoyuan
相良义阳	xiangliangyiyang
相马盛胤	xiangmashengyin
相马显胤	xiangmaxianyin
相马义胤	xiangmayiyin
相模	xiangmo
相模的狮子	xiangmodeshizi
香川亲和	xiangchuanqinhe
香川元景	xiangchuanyuanjing
香宗我部亲泰	xiangzongwobuqintai
向井正纲	xiangjingzhenggang
小滨景隆	xiaobinjinglong
小岛职镇	xiaodaozhizhen
小幡虎盛	xiaofanhusheng
小幡堪兵卫	xiaofankanbingwei
小崛远洲	xiaojueyuanzhou
小濑甫庵	xiaolaifuan
小笠原少斋	xiaoliyuanshaozhai
小笠原长时	xiaoliyuanchangshi
小梁川盛宗	xiaoliangchuanshengzong
小山田信有	xiaoshantianxinyou
小寺政职	xiaosizhengzhi
小田氏治	xiaotianshizhi
小田原征伐	xiaotianyuanzhengfa
小西隆佐	xiaoxilongzuo
小野善鬼	xiaoyeshangui
小野寺辉道	xiaoyesihuidao
小野寺义道	xiaoyesiyidao
小野镇幸	xiaoyezhenxing
小野忠明	xiaoyezhongming
小早川秀包	xiaozaochuanxiubao
筱部堪二郎	xiaobukanerlang
筱原长房	xiaoyuanzhangfang
新发田长敦	xinfatianchangdun
新发田重家	xinfatianzhongjia
新纳忠元	xinnazhongyuan
信浓	xinnong
熊谷信直	xiongguxinzhi
朽木元纲	xiumuyuangang
须田满亲	xutianmanqin
穴户隆家	xuehulongjia
穴户梅轩	xuehumeixuan
穴户元续	xuehuyuanxu
穴山梅雪	xueshanmeixue
穴山小助	xueshanxiaozhu
穴山信君	xueshanxinjun
延历寺	yanlisi
岩成友通	yanchengyoutong
岩城常隆	yanchengchanglong
一乘谷	yichenggu
一门众	yimenzhong
一色义道	yiseyidao
一色义定	yiseyiding
一色义清	yiseyiqing
一色义直	yiseyizhi
一粟放牛	yisufangniu
一条兼定	yitiaojianding
一条信龙	yitiaoxinlong
一万田鉴实	yiwantianjianshi
一向一揆	yixiangyikui
一向宗	yixiangzong
伊达辉宗	yidahuizong
伊达晴宗	yidaqingzong
伊达实元	yidashiyuan
伊达稙宗	yidazhizong
伊丹康直	yidankangzhi
伊地知重兴	yidizhichongxing|yidizhizhongxing
伊地知重秀	yidizhizhongxiu
伊东佑兵	yidongyoubing
伊豆	yidou
伊贺	yihe
伊贺崎道顺	yiheqidaoshun
伊集院忠仓	yijiyuanzhongcang
伊集院忠栋	yijiyuanzhongdong
伊木忠次	yimuzhongci
伊奈忠次	yinaizhongci
伊势贞亲	yishizhenqin
伊藤物十郎	yitengwushilang
依冈左京	yigangzuojing
壹岐	yiqi
以心崇纭	yixinchongyun
益田元祥	yitianyuanxiang
因幡	yinfan
隐岐	yinqi
樱井晴吉	yingjingqingji
鹰司孝子	yingsixiaozi
鹰司信房	yingsixinfang
颖娃久虎	yingwajiuhu
应仁之乱	yingrenzhiluan
由布姬	youbuji
由利镰之助	youlilianzhizhu
游佐续光	youzuoxuguang
游佐长教	youzuochangjiao
友野二郎兵卫	youyeerlangbingwei
有马晴信	youmaqingxin
宇都宫广纲	yudugongguanggang
宇都宫国纲	yudugongguogang|yudougongguogang
宇久纯定	yujiuchunding
宇久纯玄	yujiuchunxuan
宇山久兼	yushanjiujian
宇喜多忠家	yuxiduozhongjia
宇野藤右卫门	yuyetengyouweimen
羽柴秀胜	yuchaixiusheng
雨森弥兵卫	yusenmibingwei
御馆之乱	yuguanzhiluan
御宿堪兵卫	yusukanbingwei
垣屋光成	yuanwuguangcheng
原田宗时	yuantianzongshi
原长赖	yuanchanglai
圆城寺信胤	yuanchengsixinyin
猿渡信光	yuanduxinguang
猿飞佐助	yuanfeizuozhu
源氏	yuanshi
远江	yuanjiang
远山纲景	yuanshangangjing
远山景任	yuanshanjingren
远山康光	yuanshankangguang
远藤基信	yuantengjixin
远藤直经	yuantengzhijing
愿证寺证惠	yuanzhengsizhenghui
越后	yuehou
越后之龙	yuehouzhilong
越前	yueqian
越中	yuezhong
杂贺孙市	zahesunshi
斋村政广	zhaicunzhengguang
斋藤传鬼坊	zhaitengchuanguifang
长坂胜繁	changbanshengfan
长坂长闲	changbanchangxian
长船纲直	changchuangangzhi
长船贞亲	changchuanzhenqin
长谷川等伯	changguchuandengbo
长井道利	changjingdaoli
长连龙	changlianlong
长门	changmen
长束正家	changshuzhengjia
长尾晴景	changweiqingjing
长续连	changxulian
长野具藤	changyejuteng
长野业盛	changyeyesheng
长宗我部国亲	changzongwobuguoqin
沼田佑光	zhaotianyouguang
真壁氏干	zhenbishigan
真柄直澄	zhenbingzhicheng
真田昌辉	zhentianchanghui
真田大助	zhentiandazhu
真田十勇士	zhentianshiyongshi
真田丸	zhentianwan
真田信昌	zhentianxinchang
真田信繁	zhentianxinfan
真田信吉	zhentianxinji
真田信幸	zhentianxinxing
真田信政	zhentianxinzheng
正木赖忠	zhengmulaizhong
正木时茂	zhengmushimao
正木时忠	zhengmushizhong
正亲町天皇	zhengqindingtianhuang
支仓常长	zhicangchangchang
芝迁清右卫门	zhiqianqingyouweimen
芝山监物	zhishanjianwu
织田犬	zhitianquan
织田胜长	zhitianshengchang
织田市	zhitianshi
织田信安	zhitianxinan
织田信包	zhitianxinbao
织田信定	zhitianxinding
织田信高	zhitianxingao
织田信广	zhitianxinguang
织田信行	zhitianxinxing
织田信好	zhitianxinhao
织田信吉	zhitianxinji
织田信胜	zhitianxinsheng
织田信贤	zhitianxinxian
织田信兴	zhitianxinxing
织田信友	zhitianxinyou
织田信贞	zhitianxinzhen
织田信正	zhitianxinzheng
织田信忠	zhitianxinzhong
织田秀孝	zhitianxiuxiao
织田秀信	zhitianxiuxin
织田有乐斋	zhitianyoulezhai
织田长次	zhitianchangci
织田长益	zhitianchangyi
直江实纲	zhijiangshigang
直江信纲	zhijiangxingang
直江状	zhijiangzhuang
志村光安	zhicunguangan
志贺亲次	zhiheqinci
志贺亲守	zhiheqinshou
志摩	zhimo
中川光重	zhongchuanguangzhong
中川清秀	zhongchuanqingxiu
中村一荣	zhongcunyirong
中村一忠	zhongcunyizhong
中岛可之助	zhongdaokezhizhu
中岛重房	zhongdaozhongfang
中山朝正	zhongshanchaozheng
中条景泰	zhongtiaojingtai
中野宗时	zhongyezongshi
钟卷自斋	zhongjuanzizhai
种子岛久时	zhongzidaojiushi
冢原卜传	zhongyuanbuchuan|zhongyuanbochuan
周防	zhoufang
诸角虎定	zhujiaohuding
猪苗代盛国	zhumiaodaishengguo
猪俣邦宪	zhuyubangxian
猪子兵介	zhuzibingjie
竹俣庆纲	zhuyuqinggang
竹中半兵卫	zhuzhongbanbingwei
竹中重门	zhuzhongzhongmen
筑后	zhuhou
筑前	zhuqian
筑田藤左兵卫	zhutiantengzuobingwei
椎名康胤	zhuimingkangyin
宗义调	zongyitiao
宗义智	zongyizhi
诹访大明神	zoufangdamingshen
诹访湖	zoufanghu
诹访赖高	zoufanglaigao
诹访赖满	zoufanglaiman
诹访赖重	zoufanglaizhong
诹访御料人	zoufangyuliaoren
足利成氏	zulichengshi
足利义材	zuliyicai
足利义澄	zuliyicheng
足利义荣	zuliyirong
足利义尚	zuliyishang
足利义氏	zuliyishi
足利义视	zuliyishi
足利义维	zuliyiwei
足利义寻	zuliyixun
足利义稙	zuliyizhi
足利政知	zulizhengzhi
足田丰五郎	zutianfengwulang
组屋源四郎	zuwuyuansilang
最上义光	zuishangyiguang
最上义姬	zuishangyiji
最上义时	zuishangyishi
最上义守	zuishangyishou
佐伯惟定	zuoboweiding
佐渡	zuodu
佐分利猪之助	zuofenlizhuzhizhu
佐甲藤太郎	zuojiatengtailang
佐久间盛政	zuojiujianshengzheng
佐久间盛重	zuojiujianshengzhong
佐世元嘉	zuoshiyuanjia
佐田彦四郎	zuotianyansilang
佐胁良之	zuoxieliangzhi
佐野房纲	zuoyefanggang
佐治信方	zuozhixinfang
佐治一成	zuozhiyicheng
佐竹义久	zuozhuyijiu
佐竹义宣	zuozhuyixuan
佐竹义昭	zuozhuyizhao
佐佐政次	zuozuozhengci
