安永	anyong
佐佐成政	zuozuochengzheng
前田利家	qiantianlijia
蒲生氏乡	pushengshixiang
北条氏政	beitiaoshizheng
小早川隆景	xiaozaochuanlongjing
毛利辉元	maolihuiyuan
织田信雄	zhitianxinxiong
织田信秀	zhitianxinxiu
织田信孝	zhitianxinxiao
竹中重治	zhuzhongzhongzhi
佐久间信盛	zuojiujianxinsheng
滨松	binsong
冈崎	gangqi
那古野	naguye
春日山	chunrishan
踯躅崎馆	zhizhuqiguan
骏府	junfu
吉田郡山	jitianjunshan
八王子	bawangzi
小田原	xiaotianyuan
川中岛合战	chuanzhongdaohezhan
大谷吉继	dagujiji
宇喜多秀家	yuxiduoxiujia
小早川秀秋	xiaozaochuanxiuqiu
真田幸村	zhentianxingcun
真田昌幸	zhentianchangxing
后藤基次	houtengjici
柳生宗严	liushengzongyan
上泉信纲	shangquanxingang
前田利益	qiantianliyi
三方原会战	sanfangyuanhuizhan
桶狭间会战	tongxiajianhuizhan
长筱合战	changxiaohezhan
小豆坂合战	xiaodoubanhezhan
细川胜元	xichuanshengyuan
山名宗全	shanmingzongquan
兵农合一	bingnongheyi
一领具足	yilingjuzu
三河魂	sanhehun
武田信繁	wutianxinfan
山县昌景	shanxianchangjing
武田义信	wutianyixin
饭富虎昌	fanfuhuchang
原虎胤	yuanhuyin
原昌胤	yuanchangyin
真田幸隆	zhentianxinglong
柿崎景家	shiqijingjia
本庄繁长	benzhuangfanchang
宇佐美定满	yuzuomeidingman
儿玉就英	eryujiuying
陶晴贤	taoqingxian
村上武吉	cunshangwuji
来岛通康	laidaotongkang
真田幸昌	zhentianxingchang
小西行长	xiaoxihangzhang
毛利隆元	maolilongyuan
丰臣秀信	fengchenxiuxin
织田信光	zhitianxinguang
斋藤义龙	zhaitengyilong
保科正俊	baokezhengjun
内藤昌丰	neitengchangfeng
马场信房	machangxinfang
伊藤一刀斋	yitengyidaozhai
吉冈宪法	jigangxianfa
丰臣秀赖	fengchenxiulai
淀君	dianjun
大阪冬之阵	dabandongzhizhen
大阪夏之阵	dabanxiazhizhen
关原合战	guanyuanhezhan
上洛	shangluo
小山田信茂	xiaoshantianxinmao
明智秀满	mingzhixiuman
长宗我部盛亲	changzongwobushengqin
酒井家次	jiujingjiaci
松平忠吉	songpingzhongji
德川信康	dechuanxinkang
德川秀忠	dechuanxiuzhong
松平忠辉	songpingzhonghui
酒井忠胜	jiujingzhongsheng
北条纲成	beitiaogangcheng
里见义尧	lijianyiyao
本多正纯	benduozhengchun
本多忠朝	benduozhongchao
本多忠政	benduozhongzheng
柳生宗矩	liushengzongju
九鬼嘉隆	jiuguijialong
森可成	senkecheng
森长可	senchangke
森兰丸	senlanwan
稻叶一铁	daoyeyitie
铃木重意	lingmuzhongyi
铃木重秀	lingmuzhongxiu
杂贺孙一	zahesunyi
堀秀政	kuxiuzheng
水野忠重	shuiyezhongzhong
羽柴秀次	yuchaixiuci
可儿才藏	keercaicang
木下利直	muxializhi
木下利匡	muxialikuang
池田元助	chitianyuanzhu
小牧山长久手之战	xiaomushanchangjiushouzhizhan
末森城之战	mosenchengzhizhan
泷川一益	longchuanyiyi
奥村永福	aocunyongfu
太政大臣	taizhengdachen
中村一氏	zhongcunyishi
筒井定次	tongjingdingci
羽柴秀长	yuchaixiuchang
岛清兴	daoqingxing
高山重友	gaoshanzhongyou
桑山重晴	sangshanzhongqing
蜂屋赖隆	fengwulailong
堀尾吉晴	kuweijiqing
浅野长政	qianyechangzheng
增田长盛	zengtianchangsheng
太田宗正	taitianzongzheng
酒井忠世	jiujingzhongshi
土桥平次	tuqiaopingci
仙石秀久	xianshixiujiu
伊予	yiyu
讃岐	zanqi
土佐	tuzuo
木津城	mujincheng
长宗我部亲吉	changzongwobuqinji
金子元宅	jinziyuanzhai
香川之景	xiangchuanzhijing
金子元春	jinziyuanchun
黑田孝高	heitianxiaogao
阿波	abo
津野亲忠	jinyeqinzhong
十河存保	shihecunbao
谷忠澄	guzhongcheng
九州岛	jiuzhoudao
岛津忠良	daojinzhongliang
岛津贵久	daojinguijiu
岛津实久	daojinshijiu
岛津忠将	daojinzhongjiang
岛津尚久	daojinshangjiu
肝付兼续	ganfujianxu
种子岛时尧	zhongzidaoshiyao
岛津岁久	daojinsuijiu
岛津家久	daojinjiajiu
岩剑城之战	yanjianchengzhizhan
木崎原之战	muqiyuanzhizhan
伊东义佑	yidongyiyou
伊东佑安	yidongyouan
钓野伏	diaoyefu
肝付兼亮	ganfujianliang
大友义镇	dayouyizhen
大内义长	daneiyichang
肥前	feiqian
大友晴英	dayouqingying
二阶崩之变	erjiebengzhibian
吉弘镇种	jihongzhenzhong
真柄直隆	zhenbingzhilong
岛津征久	daojinzhengjiu
户次川之战	hucichuanzhizhan
长宗我部信亲	changzongwobuxinqin
吉川元长	jichuanyuanchang
真田信纲	zhentianxingang
甘利虎泰	ganlihutai
伊势	yishi
伊势盛时	yishishengshi
本多正信	benduozhengxin
长野业正	changyeyezheng
松平清康	songpingqingkang
松平广忠	songpingguangzhong
鸟居忠吉	niaojuzhongji
高木清长	gaomuqingchang
内藤正成	neitengzhengcheng
地黄八幡	dihuangbafan
上杉宪政	shangshanxianzheng
上杉景虎	shangshanjinghu
长尾景虎	changweijinghu
长尾政景	changweizhengjing
斋藤朝信	zhaitengchaoxin
木村重成	mucunzhongcheng
大野治长	dayezhichang
大久保忠佐	dajiubaozhongzuo
大久保忠邻	dajiubaozhonglin
土井利胜	tujinglisheng
天草四郎	tiancaosilang
由比正雪	youbizhengxue
丸目长惠	wanmuchanghui
长尾为景	changweiweijing
北条氏直	beitiaoshizhi
