被动语态	beidongyutai
中性	zhongxing
重音号	zhongyinhao
主补	zhubu
主动词	zhudongci
助动词	zhudongci
主动语态	zhudongyutai
主格	zhuge
主句	zhuju
主谓一致	zhuweiyizhi
主语	zhuyu
主语从句	zhuyucongju
转化法	zhuanhuafa
转移否定	zhuanyifouding
专有名词	zhuanyoumingci
状语	zhuangyu
状语从句	zhuangyucongju
自然语序	ziranyuxu
自由间接引语	ziyoujianjieyinyu
自由直接引语	ziyouzhijieyinyu
最高级	zuigaoji
