阿老	alao
曹衣描	caoyimiao
曹贞吉	caozhenji
曹仲达	caozhongda
曹仲玄	caozhongxuan
侧锋	cefeng
岑龙	cenlong
岑佩嫦	cenpeichang
曾长航	cengchanghang
曾长生	cengchangsheng
曾传兴	cengchuanxing
曾涤臣	cengdichen
曾涤尘	cengdichen
曾凡志	cengfanzhi
曾剑雄	cengjianxiong
曾鲸	cengjing
曾景生	cengjingsheng
曾俊雄	cengjunxiong
曾令仁	cenglingren
曾令馨	cenglingxin
曾茂煌	cengmaohuang
曾妮	cengni
曾清淦	cengqinggan
层染法	cengranfa
曾日文	cengriwen
曾晚妆	cengwanzhuang
曾维华	cengweihua
曾曦	cengxi
曾孝濂	cengxiaolian
曾沂聂	cengyinie
曾玉华	cengyuhua
曾昭强	cengzhaoqiang
曾正元	cengzhengyuan
茶褐	chahe
茶绿	chalv
查士标	chashibiao
柴笔描	chaibimiao
柴作相	chaizuoxiang
颤笔	chanbi
长安雪霁图	changanxuejitu
常斌平	changbinping
长干寺	changgansi
常金祥	changjinxiang
长颈圣母	changjingshengmu
常宽生	changkuansheng
长披麻	changpima
常沙娜	changshana
常世江	changshijiang
常小军	changxiaojun
常星海	changxinghai
常燕燕	changyanyan
常玉	changyu
常跃泼	changyuepo
长治故漳金墓壁画	changzhiguzhangjinmubihua
长治李村沟金墓壁画	changzhilicungoujinmubihua
巢湖图	chaohutu
巢林	chaolin
超现实主义	chaoxianshizhuyi
朝元仙仗图	chaoyuanxianzhangtu
车建全	chejianquan
陈安健	chenanjian
陈安建	chenanjian
陈柏州	chenbaizhou
陈半丁	chenbanding
陈笔政	chenbizheng
陈秉良	chenbingliang
陈昌林	chenchanglin
陈朝瑄	chenchaoxuan
陈承齐	chenchengqi
陈承卫	chenchengwei
陈初电	chenchudian
陈传席	chenchuanxi
陈创洛	chenchuangluo
陈椿	chenchun
陈淳	chenchun
陈春阳	chenchunyang
陈大羽	chendayu
陈丹青	chendanqing
陈道复	chendaofu
陈登木	chendengmu
陈鼎	chending
陈定九	chendingjiu
陈舫枝	chenfangzhi
陈飞龙	chenfeilong
陈冠夫	chenguanfu
陈广良	chenguangliang
陈桂花	chenguihua
沉海凡	chenhaifan
陈海强	chenhaiqiang
陈和西	chenhexi
陈衡恪	chenhengke
陈闳	chenhong
陈鸿翎	chenhongling
陈红旗	chenhongqi
陈宏庆	chenhongqing
陈宏仁	chenhongren
陈洪绶	chenhongshou
陈宏新	chenhongxin
陈鸿志	chenhongzhi
陈活活	chenhuohuo
陈吉昌	chenjichang
陈继群	chenjiqun
陈继武	chenjiwu
陈嘉乐	chenjiale
陈鉴	chenjian
陈剑清	chenjianqing
陈建榕	chenjianrong
陈健壮	chenjianzhuang
陈劼	chenjie
陈金法	chenjinfa
陈锦明	chenjinming
陈金强	chenjinqiang
陈景容	chenjingrong
陈纠	chenjiu
陈遽	chenju
陈居茂	chenjumao
陈居中	chenjuzhong
陈钧德	chenjunde
陈均德	chenjunde
陈俊穆	chenjunmu
陈军琪	chenjunqi
陈君魏	chenjunwei
陈开泉	chenkaiquan
陈克雷	chenkelei
陈克平	chenkeping
陈克雄	chenkexiong
陈克义	chenkeyi
陈来国	chenlaiguo
陈来兴	chenlaixing
陈老莲	chenlaolian
陈丽萃	chenlicui
陈莉丽	chenlili
陈里纳	chenlina
陈立勋	chenlixun
陈联庆	chenlianqing
陈亮洁	chenliangjie
陈麟祥	chenlinxiang
陈林斋	chenlinzhai
陈玲洁	chenlingjie
陈龙生	chenlongsheng
陈绿寿	chenlvshou
陈曼倩	chenmanqian
陈漫天	chenmantian
陈枚	chenmei
陈孟岠	chenmengju
陈明华	chenminghua
陈铭浓	chenmingnong
陈乃秋	chennaiqiu
陈宁尔	chenninger
陈佩秋	chenpeiqiu
陈启基	chenqiji
陈启贤	chenqixian
陈庆珠	chenqingzhu
陈琼琚	chenqiongju
陈秋池	chenqiuchi
衬染	chenran
陈人钰	chenrenyu
陈容	chenrong
陈汝言	chenruyan
陈少立	chenshaoli
陈少梅	chenshaomei
陈少亭	chenshaoting
陈韶瑜	chenshaoyu
陈绍元	chenshaoyuan
陈盛铎	chenshengduo
陈生华	chenshenghua
陈圣颂	chenshengsong
趁湿	chenshi
陈师曾	chenshizeng|chenshiceng
陈世和	chenshihe
陈世集	chenshiji
陈世君	chenshijun
陈石梅	chenshimei
陈石松	chenshisong
陈树东	chenshudong
陈树人	chenshuren
陈树中	chenshuzhong
陈腾光	chentengguang
陈天龙	chentianlong
陈天义	chentianyi
陈霆	chenting
陈通乾	chentongqian
陈皖山	chenwanshan
陈万毅	chenwanyi
陈畏	chenwei
陈维利	chenweili
陈卫闽	chenweimin
陈文鉴	chenwenjian
陈闻霜	chenwenshuang
陈熙承	chenxicheng
陈显栋	chenxiandong
陈向兵	chenxiangbing
谌孝安	chenxiaoan
陈小杰	chenxiaojie
陈晓鸣	chenxiaoming
陈小鸥	chenxiaoou
陈晓钊	chenxiaozhao
陈燮君	chenxiejun
陈欣	chenxin
陈新良	chenxinliang
陈雄勋	chenxiongxun
陈修范	chenxiufan
陈秀煜	chenxiuyu
陈许	chenxu
陈旭林	chenxulin
陈轩齐	chenxuanqi
陈亚莲	chenyalian
陈琰	chenyan
陈延辉	chenyanhui
陈沿青	chenyanqing
陈逸飞	chenyifei
陈义丰	chenyifeng
陈贻福	chenyifu
陈毅刚	chenyigang
陈逸鸣	chenyiming
陈奕文	chenyiwen
陈银辉	chenyinhui
陈银梅	chenyinmei
陈荫罴	chenyinpi
陈宇飞	chenyufei
陈育涵	chenyuhan
陈育培	chenyupei
陈雨顺	chenyushun
陈远大	chenyuanda
陈缘督	chenyuandu
陈越刚	chenyuegang
陈跃华	chenyuehua
陈云山	chenyunshan
陈张莉	chenzhangli
陈章永	chenzhangyong
陈正军	chenzhengjun
陈之佛	chenzhifo
陈治明	chenzhiming
陈忠正	chenzhongzheng
陈主明	chenzhuming
陈子	chenzi
陈子达	chenzida
陈子君	chenzijun
陈子强	chenziqiang
陈子雄	chenzixiong
陈子胄	chenzizhou
陈子庄	chenzizhuang
陈宗光	chenzongguang
陈宗舜	chenzongshun
陈宗耀	chenzongyao
程丛林	chengconglin
承德安远庙壁画	chengdeanyuanmiaobihua
承德堂主人	chengdetangzhuren
程非	chengfei
程继光	chengjiguang
程建嘉	chengjianjia
承杰	chengjie
程静路	chengjinglu
程俊杰	chengjunjie
程开涛	chengkaitao
程克	chengke
程立春	chenglichun
程林新	chenglinxin
程穆倩	chengmuqian
成南炎	chengnanyan
程圣端	chengshengduan
程十发	chengshifa
程水生	chengshuisheng
橙王	chengwang
程文立	chengwenli
程相昭	chengxiangzhao
程雪峰	chengxuefeng
程璋	chengzhang
程正揆	chengzhengkui
程竹	chengzhu
褫画	chihua
赤人	chiren
池振明	chizhenming
冲彩	chongcai
仇德树	choudeshu
仇林	choulin
仇实父	choushifu
抽象派	chouxiangpai
抽象主义	chouxiangzhuyi
仇永波	chouyongbo
楚戈	chuge
楚觅	chumi
出如截	churujie
出枝	chuzhi
传綮	chuanqing
传统年画	chuantongnianhua
传统重彩	chuantongzhongcai
传移模写	chuanyimoxie
垂露	chuilu
莼菜条	chuncaitiao
纯粹主义	chuncuizhuyi
春浮园集	chunfuyuanji
春江垂钓图	chunjiangchuidiaotu
春觉斋论画	chunjuezhailunhua
椿叶点	chunyedian
春颖	chunying
瓷器蓝	ciqilan
慈茹荃	ciruquan
磁铁紫	citiezi
慈源寺	ciyuansi
丛林绿	conglinlv
丛如日	congruri
粗笔山水图扇	cubishanshuitushan
爨响	cuanxiang
崔白	cuibai
崔宝茹	cuibaoru
崔炳良	cuibingliang
崔彩霞	cuicaixia
崔道勇	cuidaoyong
崔根男	cuigennan
崔广平	cuiguangping
崔国强	cuiguoqiang
崔国泰	cuiguotai
崔稼夫	cuijiafu
翠蛟峰	cuijiaofeng
翠蛟峰观泉图	cuijiaofengguanquantu
崔锦	cuijin
崔开尔	cuikaier
崔龙虎	cuilonghu
崔全成	cuiquancheng
崔泉溪	cuiquanxi
崔悫	cuique
崔如琢	cuiruzhuo
崔宪基	cuixianji
崔小东	cuixiaodong
崔小冬	cuixiaodong
崔新周	cuixinzhou
崔彦伟	cuiyanwei
崔永虎	cuiyonghu
皴擦	cunca
皴法章	cunfazhang
大本堂	dabentang
大丛	dacong
达达主义	dadazhuyi
大涤草堂图	dadicaotangtu
大涤堂	daditang
大涤子	dadizi
大斧劈	dafupi
搭杆	dagan
大红灰	dahonghui
打虎亭汉墓壁画	dahutinghanmubihua
大混点	dahundian
大间小	dajianxiao
大青绿	daqinglv
大同华严寺壁画	datonghuayansibihua
大同马家堡辽墓壁画	datongmajiapuliaomubihua
大同善化寺壁画	datongshanhuasibihua
大托	datuo
大小曲直	daxiaoquzhi
大写意	daxieyi
达则变	dazebian
戴碧韵	daibiyun
戴秉心	daibingxin
戴成华	daichenghua
戴成熙	daichengxi
戴闯	daichuang
戴都都	daidoudou
戴刚峰	daigangfeng
戴国顺	daiguoshun
戴海鹰	daihaiying
戴家峰	daijiafeng
戴剑波	daijianbo
戴进	daijin
戴克鉴	daikejian
戴逵	daikui
玳瑁红	daimaohong
戴名杰	daimingjie
代平	daiping
戴沈松	daishensong
戴世和	daishihe
戴仕和	daishihe
代书斌	daishubin
戴双清	daishuangqing
戴嵩	daisong
代涛	daitao
戴熙	daixi
戴雪生	daixuesheng
戴泽伟	daizewei
岱瞻	daizhan
戴仲光	daizhongguang
淡白紫	danbaizi
单邦显	danbangxian
蛋彩	dancai
单凡	danfan
淡粉	danfen
淡粉红	danfenhong
单刚	dangang
旦黄	danhuang
淡绿	danlv
淡玫瑰	danmeigui
淡墨	danmo
淡墨皴擦	danmocunca
淡设色	danshese
弹窝皴	danwocun
单智	danzhi
淡子	danzi
党保华	dangbaohua
当代油画家	dangdaiyouhuajia
党建平	dangjianping
党景贺	dangjinghe
党章龙	dangzhanglong
稻草黄	daocaohuang
倒景	daojing
德珍	dezhen
邓安克	denganke
邓白	dengbai
邓邦镇	dengbangzhen
邓春雷	dengchunlei
邓春儒	dengchunru
邓福帮	dengfubang
邓改山	denggaishan
邓光宝	dengguangbao
邓国源	dengguoyuan
邓海燕	denghaiyan
邓箭今	dengjianjin
邓锦波	dengjinbo
邓金德	dengjinde
邓乃荣	dengnairong
邓平祥	dengpingxiang
邓绍义	dengshaoyi
邓澍	dengshu
邓淑君	dengshujun
邓旭	dengxu
邓育林	dengyulin
邓中华	dengzhonghua
狄静	dijing
邸立丰	dilifeng
地狱变相图	diyubianxiangtu
点彩派	diancaipai
点厾法	diandufa
点垛	dianduo
点刻法	diankefa
淀蓝	dianlan
点苔	diantai
点叶法	dianyefa
刁光胤	diaoguangyin
吊屏	diaoping
刁毅	diaoyi
蝶翅贴画	diechitiehua
蝶野论画	dieyelunhua
丁宝书	dingbaoshu
顶春生	dingchunsheng
丁慈康	dingcikang
丁聪伟	dingcongwei
定点法	dingdianfa
丁东亚	dingdongya
丁皋	dinggao
丁观鹏	dingguanpeng
丁光燮	dingguangxie
丁魁楚	dingkuichu
丁孟芳	dingmengfang
丁明亮	dingmingliang
丁荣魁	dingrongkui
丁枢	dingshu
丁天缺	dingtianque
钉头鼠尾	dingtoushuwei
钉头鼠尾描	dingtoushuweimiao
定县号宋代塔基壁画	dingxianhaosongdaitajibihua
定襄关王庙壁画	dingxiangguanwangmiaobihua
丁小兵	dingxiaobing
丁衍庸	dingyanyong
丁一军	dingyijun
丁一林	dingyilin
丁颖成	dingyingcheng
丁永昌	dingyongchang
丁云鹏	dingyunpeng
丁喆	dingzhe
丁振华	dingzhenhua
丁振清	dingzhenqing
丁卓芹	dingzhuoqin
丁宗江	dingzongjiang
冬白	dongbai
董帮达	dongbangda
董伯仁	dongboren
董琛	dongchen
董春凤	dongchunfeng
董春生	dongchunsheng
董从民	dongcongmin
岽方	dongfang
董福壤	dongfurang
董钢	donggang
东皋主人	donggaozhuren
董贵晗	dongguihan
董国才	dongguocai
董皓云	donghaoyun
东晋霍承嗣墓壁画	dongjinhuochengsimubihua
董久平	dongjiuping
董可	dongke
董璐	donglu
董其昌	dongqichang
董启瑜	dongqiyu
董勤欣	dongqinxin
董勍	dongqing
冬寿墓壁画	dongshoumubihua
董寿平	dongshouping
董顺伟	dongshunwei
董婷秀	dongtingxiu
东魏茹茹公主墓壁画	dongweirurugongzhumubihua
董文杰	dongwenjie
董文通	dongwentong
董仙舟	dongxianzhou
董辛冈	dongxingang
董学强	dongxueqiang
董永健	dongyongjian
董羽	dongyu
董源	dongyuan
董朝阳	dongzhaoyang
董重	dongzhong
豆瓣皴	doubancun
斗方	doufang
豆红	douhong
窦鸿	douhong
豆绿	doulv
豆沙红	doushahong
豆沙色	doushase
杜安安	duanan
读碑窠石图	dubeikeshitu
杜苍略	ducanglue
杜成发	duchengfa
杜崇刚	duchonggang
杜方晓	dufangxiao
杜非	dufei
独峰石桥图	dufengshiqiaotu
杜洪鸣	duhongming
杜红早	duhongzao
杜纪海	dujihai
杜键	dujian
杜堇	dujin
杜可西	dukexi
杜明远	dumingyuan
杜启锋	duqifeng
杜琼	duqiong
杜日天	duritian
杜荣坤	durongkun
杜慎翔	dushenxiang
都市蓝	dushilan
杜晓东	duxiaodong
杜学	duxue
杜应红	duyinghong
杜泳樵	duyongqiao
杜元	duyuan
段常鹏	duanchangpeng
段春晓	duanchunxiao
段建宇	duanjianyu
段江华	duanjianghua
断截横斜	duanjiehengxie
段明	duanming
段娜娜	duannana
段小刚	duanxiaogang
段义松	duanyisong
段玉海	duanyuhai
段震中	duanzhenzhong
段正渠	duanzhengqu
对景不对山	duijingbuduishan
堆绢	duijuan
对临	duilin
对牛弹琴图轴	duiniutanqintuzhou
对山不对景	duishanbuduijing
敦煌藏经洞壁画	dunhuangcangjingdongbihua
敦煌睒子本生图壁画	dunhuangshanzibenshengtubihua
敦煌石窟北朝壁画	dunhuangshikubeichaobihua
敦煌石窟壁画	dunhuangshikubihua
敦煌石窟隋唐壁画	dunhuangshikusuitangbihua
敦煌石窟五代宋壁画	dunhuangshikuwudaisongbihua
敦煌狩猎图壁画	dunhuangshoulietubihua
敦煌四菩萨壁画	dunhuangsipusabihua
敦煌维摩诘变壁画	dunhuangweimojiebianbihua
敦煌五台山围壁画	dunhuangwutaishanweibihua
敦煌西方净土变壁画	dunhuangxifangjingtubianbihua
敦煌西千佛洞壁画	dunhuangxiqianfodongbihua
多层薄染	duocengbaoran|duocengboran
鄂圭俊	eguijun
峨眉峰	emeifeng
鹅仔黄	ezaihuang
恩广智	enguangzhi
而画可从心	erhuakecongxin
二绿	erlv
二色式装裱	erseshizhuangbiao
二羊图	eryangtu
法常	fachang
法若真	faruozhen
法无障	fawuzhang
发舟西苔岛	fazhouxitaidao
法自画生	fazihuasheng
范安翔	fananxiang
范长寿	fanchangshou
樊川春远图	fanchuanchunyuantu
范春艳	fanchunyan
凡代棕	fandaizong
范迪宽	fandikuan
范额伦	fanelun
反复托	fanfutuo
范贯中	fanguanzhong
