对心滚子从动件	duixingunzicongdongjian
对心曲柄滑块机构	duixinqubinghuakuaijigou
对心移动从动件	duixinyidongcongdongjian
对心直动从动件	duixinzhidongcongdongjian
对中符号	duizhongfuhao
多列轴承	duoliezhoucheng
惰轮	duolun
多项式运动规律	duoxiangshiyundongguilv
多楔带	duoxiedai
多质量转子	duozhiliangzhuanzi
额定寿命	edingshouming
二号图纸	erhaotuzhi
法面	famian
法面参数	famiancanshu
法面齿距	famianchiju
法面模数	famianmoshu
法面压力角	famianyalijiao
发生面	fashengmian
发生线	fashengxian
法向齿距	faxiangchiju
法向齿廓	faxiangchikuo
法向直廓蜗杆	faxiangzhikuowogan
范成法	fanchengfa
反馈式组合	fankuishizuhe
反向运动学	fanxiangyundongxue
反转法	fanzhuanfa
放大比例	fangdabili
方箱法	fangxiangfa
方向符号	fangxiangfuhao
仿形法	fangxingfa
防振装置	fangzhenzhuangzhi
非标准齿轮	feibiaozhunchilun
非接触式密封	feijiechushimifeng
飞轮矩	feilunju
非圆齿轮	feiyuanchilun
非周期性速度波动	feizhouqixingsudubodong
非主要尺寸	feizhuyaochicun
分度圆	fenduyuan
分度圆线	fenduyuanxian
分度圆直径	fenduyuanzhijing
分度圆柱导程角	fenduyuanzhudaochengjiao
分度圆柱螺旋角	fenduyuanzhuluoxuanjiao
分度圆锥	fenduyuanzhui
粉末合金	fenmohejin
分析力学	fenxilixue
封闭差动轮系	fengbichadonglunxi
缝焊缝	fenghanfeng
复合铰链	fuhejiaolian
复合轮系	fuhelunxi
复合平带	fuhepingdai
复合式组合	fuheshizuhe
幅面尺寸	fumianchicun
幅面代号	fumiandaihao
附墙附墙框	fuqiangfuqiangkuang
腐蚀	fushi
复式螺旋机构	fushiluoxuanjigou
副斜井	fuxiejing
复杂机构	fuzajigou
杆组	ganzu
刚度	gangdu
刚度准则	gangduzhunze
刚轮	ganglun
钢丝软轴	gangsiruanzhou
刚体导引机构	gangtidaoyinjigou
刚性冲击	gangxingchongji
刚性联轴器	gangxinglianzhouqi
刚性轴承	gangxingzhoucheng
刚性转子	gangxingzhuanzi
高度系列	gaoduxilie
高副	gaofu
高速带	gaosudai
格拉晓夫定理	gelaxiaofudingli
根部半径	genbubanjing
根切	genqie
根锥角	genzhuijiao
工步	gongbu
公差	gongcha
公差带	gongchadai
公差等级	gongchaidengji
工程技术人员	gongchengjishurenyuan
公称应力	gongchengyingli
公称直径	gongchengzhijing
共轭齿廓	gongechikuo
共轭凸轮	gongetulun
公法线	gongfaxian
公共约束	gonggongyueshu
工件	gongjian
工件厚度	gongjianhoudu
工况系数	gongkuangxishu
功率	gonglv
功能分析设计	gongnengfenxisheji
攻丝	gongsi
工业造型设计	gongyezaoxingsheji
公制齿轮	gongzhichilun
工作机构	gongzuojigou
工作循环图	gongzuoxunhuantu
工作载荷	gongzuozaihe
工作阻力	gongzuozuli
工作阻力矩	gongzuozuliju
构件	goujian
钩头楔键	goutouxiejian
固定构件	gudinggoujian
鼓风机	gufengji
固态相变	gutaixiangbian
关节型操作器	guanjiexingcaozuoqi
冠轮	guanlun
惯性力部分平衡	guanxinglibufenpingheng
惯性力矩	guanxingliju
惯性力平衡	guanxinglipingheng
惯性力完全平衡	guanxingliwanquanpingheng
惯性主矩	guanxingzhuju
惯性主失	guanxingzhushi
广义机构	guangyijigou
广义坐标	guangyizuobiao
轨迹发生器	guijifashengqi
轨迹生成	guijishengcheng
滚齿	gunchi
滚道	gundao
滚动体	gundongti
滚动轴承	gundongzhoucheng
滚动轴承代号	gundongzhouchengdaihao
滚针	gunzhen
滚针轴承	gunzhenzhoucheng
滚子	gunzi
滚子半径	gunzibanjing
滚子从动件	gunzicongdongjian
滚子链	gunzilian
滚子链联轴	gunzilianlianzhou
滚子轴承	gunzizhoucheng
过渡节	guodujie
过渡配合	guodupeihe
过渡线	guoduxian
过盈配合	guoyingpeihe
焊缝段数	hanfengduanshu
焊缝有效厚度	hanfengyouxiaohoudu
焊角尺寸	hanjiaochicun
焊接图	hanjietu
函数生成	hanshushengcheng
巷道失修率	hangdaoshixiulv
耗油量系数	haoyouliangxishu
合成进给运动	hechengjinjiyundong|hechengjingeiyundong
合成切削运动	hechengqiexiaoyundong
合成切削运动方向	hechengqiexiaoyundongfangxiang
合成弯矩	hechengwanju
赫兹公式	hezigongshi
桁架	hengjia
后角	houjiao
互换性齿轮	huhuanxingchilun
滑动率	huadonglv
滑动轴承	huadongzhoucheng
花键	huajian
滑键	huajian
滑块	huakuai
换面法	huanmianfa
环面蜗杆	huanmianwogan
换向阀	huanxiangfa
环形弹簧	huanxingtanhuang
回程	huicheng
回风巷道	huifenghangdao
回风上山	huifengshangshan
回风隅角	huifengyujiao
回火	huihuo
回转机构	huizhuanjigou
回转体平衡	huizhuantipingheng
回转支承	huizhuanzhicheng
混合轮系	hunhelunxi
基本尺寸	jibenchicun
基本额定寿命	jibenedingshouming
基本偏差	jibenpiancha
基础机构	jichujigou
基础节	jichujie
机床夹具	jichuangjiaju
机电科	jidianke
机电一体化	jidianyitihua
机电一体化系统设计	jidianyitihuaxitongsheji
机构	jigou
机构分析	jigoufenxi
机构平衡	jigoupingheng
机构学	jigouxue
机构运动简图	jigouyundongjiantu
机构运动设计	jigouyundongsheji
机构综合	jigouzonghe
机构组成	jigouzucheng
急回机构	jihuijigou
急回特性	jihuitexing
急回系数	jihuixishu
急回运动	jihuiyundong
机架	jijia
机架变换	jijiabianhuan
棘轮	jilun
棘轮机构	jilunjigou
机器	jiqi
机器人操作器	jiqirencaozuoqi
技术过程	jishuguocheng
技术经济评价	jishujingjipingjia
技术系统	jishuxitong
计算弯矩	jisuanwanju
极位夹角	jiweijiajiao
极限	jixian
极限尺寸	jixianchicun
极限偏差	jixianpiancha
机械	jixie
机械创新设计	jixiechuangxinsheji
机械的现代设计	jixiedexiandaisheji
机械动力分析	jixiedonglifenxi
机械动力设计	jixiedonglisheji
机械动力学	jixiedonglixue
机械加工精度	jixiejiagongjingdu
机械加工余量	jixiejiagongyuliang
机械零件	jixielingjian
机械能守恒	jixienengshouheng
机械调速	jixietiaosu
机械无级变速	jixiewujibiansu
机械系统	jixiexitong
