表现主义	biaoxianzhuyi
表演区	biaoyanqu
表演艺术中心	biaoyanyishuzhongxin
标语牌	biaoyupai
标志照明系统	biaozhizhaomingxitong
标准层	biaozhunceng
标准层平面	biaozhuncengpingmian
标准大样	biaozhundayang
标准冻深	biaozhundongshen
标准分项	biaozhunfenxiang
标准构件	biaozhungoujian
标准光源	biaozhunguangyuan
标准截面	biaozhunjiemian
标准设计	biaozhunsheji
标准时	biaozhunshi
标准图	biaozhuntu
标准一览表	biaozhunyilanbiao
标准有效温度	biaozhunyouxiaowendu
标准噪声源	biaozhunzaoshengyuan
标准值	biaozhunzhi
标准住宅	biaozhunzhuzhai
标准撞击器	biaozhunzhuangjiqi
标准组合	biaozhunzuhe
濒危植物	binweizhiwu
病床电梯	bingchuangdianti
冰球场	bingqiuchang
病兽隔离室	bingshougelishi
泊车换乘	bochehuancheng
波动声学	bodongshengxue
搏缝板	bofengban
搏缝版	bofengban
薄腹梁	bofuliang
薄钢板	bogangban
博古架	bogujia
博脊	boji
波浪式浴盆	bolangshiyupen
玻璃窗	bolichuang
玻璃钢	boligang
玻璃马赛克	bolimasaike
玻璃门	bolimen
玻璃幕	bolimu
玻璃幕墙	bolimuqiang
玻璃丝	bolisi
玻璃丝布	bolisibu
玻璃制品	bolizhipin
玻璃砖	bolizhuan
薄弱层	boruoceng
波纹管	bowenguan
博物馆	bowuguan
波形瓦	boxingwa
薄质涂料	bozhituliao
播种草坪	bozhongcaoping
播种盘	bozhongpan
播种器	bozhongqi
布层间梁	bucengjianliang
补偿柜	buchanggui
补偿器	buchangqi
补偿器安装记录	buchangqianzhuangjilu
补偿收缩混凝土	buchangshousuohunningtu
不等边角钢	budengbianjiaogang
不等肢角钢	budengzhijiaogang
布店	budian
不对称平衡	buduichenpingheng
不发火地面	bufahuodimian
不封闭楼梯	bufengbilouti
不封闭室外楼梯	bufengbishiwailouti
布告窗	bugaochuang
不合格项处置记录	buhegexiangchuzhijilu
不击舟	bujizhou
步架	bujia
补间铺作	bujianpuzuo
部件图库	bujiantuku
不可预见项目	bukeyujianxiangmu
不耐寒植物	bunaihanzhiwu
补强	buqiang
不燃结构	buranjiegou
哺乳室	burushi
不上人屋面	bushangrenwumian
布饰	bushi
步石	bushi
不同标高	butongbiaogao
布纹玻璃	buwenboli
步行街	buxingjie
步行上楼式公寓	buxingshangloushigongyu
不锈钢板	buxiugangban
不锈钢扶手	buxiugangfushou
不锈钢管	buxiugangguan
布置图	buzhitu
擦窗机	cachuangji
踩步金	caibujin
彩度	caidu
采光	caiguang
采光板	caiguangban
采光带	caiguangdai
采光井	caiguangjing
采光均匀度	caiguangjunyundu
采光口	caiguangkou
采光塔	caiguangta
采光天窗	caiguangtianchuang
采光系数	caiguangxishu
采光罩	caiguangzhao
彩画	caihua
材料分配存放	cailiaofenpeicunfang
材料计算蓄热系数	cailiaojisuanxurexishu
材料进场检验记录	cailiaojinchangjianyanjilu
材料设备表	cailiaoshebeibiao
彩铝推拉窗	cailvtuilachuang
裁判席	caipanxi
彩色涂料	caisetuliao
菜市场	caishichang
财务管理	caiwuguanli
参见详图	canjianxiangtu
餐具柜	canjugui
餐具室	canjushi
餐室	canshi
残值	canzhi
仓储用地	cangchuyongdi
苍古	canggu
仓库搭建	cangkudajian
仓库区	cangkuqu
草地喷水器	caodipenshuiqi
草栿	caofu
槽钢	caogang
槽沟	caogou
槽口	caokou
草坪岛	caopingdao
草坪加肥器	caopingjiafeiqi
草坪区	caopingqu
草坪植物	caopingzhiwu
槽升子	caoshengzi
槽铁	caotie
草图阶段	caotujieduan
槽形板	caoxingban
草药花坛	caoyaohuatan
草原景观	caoyuanjingguan
草原生态系统	caoyuanshengtaixitong
操作电源	caozuodianyuan
操作走廊	caozuozoulang
侧挂折叠门	ceguazhediemen
侧光	ceguang
测绘	cehui
侧击雷	cejilei
侧脚	cejiao
侧廊	celang
侧力	celi
侧立面	celimian
测量吊杆	celiangdiaogan
测量放线	celiangfangxian
侧面采光	cemiancaiguang
侧面垂直度	cemianchuizhidu
侧喷式喷洒头	cepenshipensatou
侧墙式自动喷洒头	ceqiangshizidongpensatou
测试卡子	ceshiqiazi|ceshikazi
侧视图	ceshitu
侧台	cetai
侧天窗	cetianchuang
侧向传声	cexiangchuansheng
侧向反射声	cexiangfanshesheng
侧向刚度	cexianggangdu
侧向刚度比	cexianggangdubi
侧向送风	cexiangsongfeng
侧向位移	cexiangweiyi
侧向照明	cexiangzhaoming
侧移	ceyi
层顶	cengding
层高	cenggao
层高表	cenggaobiao
层间梁	cengjianliang
层间位移	cengjianweiyi
层间位移比	cengjianweiyibi
层数	cengshu
层压材料	cengyacailiao
插板	chaban
茶厂	chachang
插接管	chajieguan
插筋	chajin
插口接头	chakoujietou
插入损失	charusunshi
叉手	chashou
茶亭	chating
插头板	chatouban
叉柱造	chazhuzao
插座	chazuo
拆除费用	chaichufeiyong
拆建比	chaijianbi
拆模	chaimo
拆模试块	chaimoshikuai
拆模板	chaimoban|chaimuban
柴油机发电站	chaiyoujifadianzhan
颤动回声	chandonghuisheng
掺合料	chanheliao
缠绕植物	chanraozhiwu
产业结构	chanyejiegou
缠柱造	chanzhuzao
场地边线	changdibianxian
场地测量	changdiceliang
场地地貌	changdidimao
场地地形	changdidixing
场地方位	changdifangwei
场地分析	changdifenxi
场地工程	changdigongcheng
场地规划	changdiguihua
场地红线	changdihongxian
场地类别	changdileibie
场地面积	changdimianji
场地平面图	changdipingmiantu
场地设施	changdisheshi
场地通达度	changditongdadu
场地土	changditu
场地位置	changdiweizhi
场地准备	changdizhunbei
厂房	changfang
长弧氙灯	changhuxiandeng
长跨	changkua
长宽比	changkuanbi
长螺旋灌注桩	changluoxuanguanzhuzhuang
常绿绿篱	changlvlvli
常绿植物	changlvzhiwu
长期刚度	changqigangdu
厂前区	changqianqu
常设人工辅助照明	changsherengongfuzhuzhaoming
场所感	changsuogan
场外工程	changwaigongcheng
长细比	changxibi
场致发光灯	changzhifaguangdeng
场址选择	changzhixuanze
常住人口	changzhurenkou
超长	chaochang
超长结构	chaochangjiegou
超高	chaogao
超高层建筑	chaogaocengjianzhu
超级市场	chaojishichang
超筋	chaojin
超筋超限	chaojinchaoxian
超筋梁	chaojinliang
超配筋	chaopeijin
超配筋信息	chaopeijinxinxi
超声波控制自动门	chaoshengbokongzhizidongmen
超五类对双绞线	chaowuleiduishuangjiaoxian
超限	chaoxian
朝向	chaoxiang
坼架子	chejiazi
车库	cheku
车库翻门	chekufanmen
车流量	cheliuliang
车台	chetai
车行道绿化	chexingdaolvhua
沉淀池	chendianchi
沉降	chenjiang
沉降差	chenjiangcha
沉降缝	chenjiangfeng
沉降观测	chenjiangguance
沉降观测点	chenjiangguancedian
沉降系数	chenjiangxishu
陈列品照明	chenliepinzhaoming
陈列室	chenlieshi
陈设	chenshe
沉头木螺栓	chentoumuluoshuan
城邦	chengbang
承包工程	chengbaogongcheng
成本附加收费	chengbenfujiashoufei
成本计划	chengbenjihua
成本控制	chengbenkongzhi
承插管	chengchaguan
承插接头	chengchajietou
承插连接	chengchalianjie
承德避暑山庄	chengdebishushanzhuang
承发包方式	chengfabaofangshi
撑竿跳高场地	chenggantiaogaochangdi
城濠	chenghao
乘客电梯	chengkedianti
程控电源	chengkongdianyuan
程控台	chengkongtai
程懋堃	chengmaokun
成品库	chengpinku
城市边缘	chengshibianyuan
城市病	chengshibing
城市布局	chengshibuju
城市测量	chengshiceliang
城市重建	chengshichongjian
城市道路	chengshidaolu
城市道路系统	chengshidaoluxitong
城市地理学	chengshidilixue
城市电力网	chengshidianliwang
城市电力系统	chengshidianlixitong
城市发展战略	chengshifazhanzhanlue
城市防洪	chengshifanghong
城市防灾	chengshifangzai
城市防震	chengshifangzhen
城市防震设计	chengshifangzhensheji
城市分类	chengshifenlei
城市风貌	chengshifengmao
城市辐射力	chengshifusheli
城市改建	chengshigaijian
城市给水	chengshigeishui|chengshijishui
城市给水设计	chengshigeishuisheji
城市给水系统	chengshigeishuixitong|chengshijishuixitong
城市更新	chengshigengxin
城市供电	chengshigongdian
城市供电设计	chengshigongdiansheji
城市公共交通	chengshigonggongjiaotong
城市公共交通系统	chengshigonggongjiaotongxitong
城市功能分区	chengshigongnengfenqu
城市供热	chengshigongre
城市供热设计	chengshigongresheji
城市供热系统	chengshigongrexitong
城市公园	chengshigongyuan
城市公园设计	chengshigongyuansheji
城市公园系统	chengshigongyuanxitong
城市广场	chengshiguangchang
城市规划	chengshiguihua
城市规划标准	chengshiguihuabiaozhun
城市规划法规	chengshiguihuafagui
城市规划纲要	chengshiguihuagangyao
城市规划管理	chengshiguihuaguanli
城市规划理论	chengshiguihualilun
城市规划区	chengshiguihuaqu
城市规划设计	chengshiguihuasheji
城市规划设计院	chengshiguihuashejiyuan
城市规划实施	chengshiguihuashishi
城市规模	chengshiguimo
城市核心	chengshihexin
城市化	chengshihua
城市化水平	chengshihuashuiping
城市环境	chengshihuanjing
城市环境保护	chengshihuanjingbaohu
城市环境设计	chengshihuanjingsheji
城市环境卫生	chengshihuanjingweisheng
城市肌理	chengshijili
城市建成区	chengshijianchengqu
城市建设管理	chengshijiansheguanli
城市建筑法规	chengshijianzhufagui
城市建筑小品	chengshijianzhuxiaopin
城市交通	chengshijiaotong
城市结构	chengshijiegou
城市景观	chengshijingguan
城市经济	chengshijingji
城市经济学	chengshijingjixue
城市勘察	chengshikancha
城市科学	chengshikexue
城市空间	chengshikongjian
城市历史保护	chengshilishibaohu
城市绿地	chengshilvdi
城市绿地系统规划	chengshilvdixitongguihua
城市绿化覆盖率	chengshilvhuafugailv
城市美学	chengshimeixue
城市排水	chengshipaishui
城市排水系统	chengshipaishuixitong
城市评价	chengshipingjia
城市气候	chengshiqihou
城市群	chengshiqun
城市燃气供应系统	chengshiranqigongyingxitong
城市人口	chengshirenkou
城市人口分布	chengshirenkoufenbu
城市人口规模	chengshirenkouguimo
城市人口流动	chengshirenkouliudong
城市人口学	chengshirenkouxue
城市人口预测	chengshirenkouyuce
城市社会学	chengshishehuixue
城市设计	chengshisheji
城市社区	chengshishequ
城市生态	chengshishengtai
城市生态设计	chengshishengtaisheji
城市生态系统	chengshishengtaixitong
城市史	chengshishi
城市首位度	chengshishouweidu
城市衰退	chengshishuaitui
城市通信系统	chengshitongxinxitong
城市问题	chengshiwenti
城市吸引力	chengshixiyinli
城市详细规划	chengshixiangxiguihua
城市形式	chengshixingshi
城市形态	chengshixingtai
城市形体环境	chengshixingtihuanjing
城市形象	chengshixingxiang
城市性质	chengshixingzhi
城市选址	chengshixuanzhi
城市艺术	chengshiyishu
城市用地	chengshiyongdi
城市用地选择	chengshiyongdixuanze
城市用电负荷	chengshiyongdianfuhe
城市用水	chengshiyongshui
城市职能	chengshizhineng
城市总体规划	chengshizongtiguihua
城市组团	chengshizutuan
承台	chengtai
撑头	chengtou
承载力	chengzaili
承载龙骨	chengzailonggu
城镇集聚区	chengzhenjijuqu
城镇体系	chengzhentixi
城镇体系规划	chengzhentixiguihua
承重	chengzhong
承重隔墙	chengzhonggeqiang
承重结构	chengzhongjiegou
承重墙	chengzhongqiang
承重墙结构	chengzhongqiangjiegou
承重砖墙	chengzhongzhuanqiang
池壁	chibi
池边坐人矮墙	chibianzuorenaiqiang
尺寸线	chicunxian
迟到席	chidaoxi
持力	chili
持力层	chiliceng
齿轮厂	chilunchang
鸱尾	chiwei
池座层	chizuoceng
池座前排	chizuoqianpai
充电站	chongdianzhan
重分配	zhongfenpei|chongfenpei
重复接地	chongfujiedi
虫胶	chongjiao
冲切	chongqie
冲切破坏	chongqiepohuai
冲压车间	chongyachejian
重檐	chongyan
重檐庑殿	chongyanwudian
抽查射钉	chouchasheding
筹建项目	choujianxiangmu
抽气风道检查记录	chouqifengdaojianchajilu
抽气风扇	chouqifengshan
抽气通风	chouqitongfeng
初步草图	chubucaotu
初步方案	chubufangan
初步设计	chubusheji
初步设计阶段	chubushejijieduan
初步设计图	chubushejitu
初步设计图及说明	chubushejitujishuoming
储藏室	chucangshi
橱窗照明	chuchuangzhaoming
触点压力	chudianyali
厨房拔气罩	chufangbaqizhao
厨房排烟机	chufangpaiyanji
厨房设备布置	chufangshebeibuzhi
厨房设施	chufangsheshi
出际	chuji
初建费用	chujianfeiyong
出口加工区	chukoujiagongqu
畜力剪草机	chulijiancaoji
出纳处	chunachu
初凝	chuning
出平面	chupingmian
出入口	churukou
初设	chushe
出水孔	chushuikong
出水口	chushuikou
出跳	chutiao
出线盒	chuxianhe
出线口	chuxiankou
出行分布	chuxingfenbu
出行生成	chuxingshengcheng
出行吸引	chuxingxiyin
除锈	chuxiu
储蓄所	chuxusuo
除油池	chuyouchi
厨园	chuyuan
出租汽车	chuzuqiche
出租汽车停车场	chuzuqichetingchechang
出租汽车站	chuzuqichezhan
串并联电路	chuanbingliandianlu
穿插枋	chuanchafang
传递比	chuandibi
传递窗	chuandichuang
穿斗式构架	chuandoushigoujia
穿管	chuanguan
穿孔板	chuankongban
穿孔率	chuankonglv
穿孔铝扣板	chuankonglvkouban
串联电池组	chuanliandianchizu
串联线圈	chuanlianxianquan
穿梁	chuanliang
传染病院	chuanranbingyuan
传热	chuanre
传热系数	chuanrexishu
传统园林建筑	chuantongyuanlinjianzhu
穿线工程	chuanxiangongcheng
穿越通风	chuanyuetongfeng
传质	chuanzhi
椽子	chuanzi
窗玻璃	chuangboli
窗插销	chuangchaxiao
窗撑头	chuangchengtou
窗磁报警	chuangcibaojing
窗地面积比	chuangdimianjibi
窗轨	chuanggui
窗间墙	chuangjianqiang
窗井	chuangjing
窗框	chuangkuang
窗框墙	chuangkuangqiang
窗帘盒	chuanglianhe
窗楣	chuangmei
窗墙比	chuangqiangbi
窗扇	chuangshan
床上用品店	chuangshangyongpindian
窗式空调器	chuangshikongtiaoqi
窗锁	chuangsuo
窗台	chuangtai
窗台绿化	chuangtailvhua
床头桌	chuangtouzhuo
窗眩光指数	chuangxuanguangzhishu
窗园	chuangyuan
垂带	chuidai
垂带石	chuidaishi
垂脊	chuiji
垂台钩栏	chuitaigoulan
锤印	chuiyin
垂直绿化	chuizhilvhua
垂枝盆景	chuizhipenjing
垂直遮阳	chuizhizheyang
垂枝植物	chuizhizhiwu
纯林	chunlin
纯受弯	chunshouwan
醇酸清漆	chunsuanqingqi
纯音	chunyin
次干路	ciganlu
瓷夹	cijia
瓷夹板	cijiaban
瓷夹布线	cijiabuxian
次间	cijian
磁卡锁	cikasuo
刺篱	cili
磁力起重机	ciliqizhongji
瓷漆	ciqi
磁石发电机	cishifadianji
磁性烟感器	cixingyanganqi
次要入口	ciyaorukou
瓷砖	cizhuan
磁砖壁画	cizhuanbihua
瓷砖胶	cizhuanjiao
葱花穹顶	conghuaqiongding
葱花券	conghuaquan
丛植	congzhi
粗砂	cusha
粗野主义	cuyezhuyi
攒尖	cuanjian
存水管	cunshuiguan
存水弯	cunshuiwan
存衣柜	cunyigui
错层	cuoceng
错层式车库	cuocengshicheku
错列排管	cuoliepaiguan
错排座席	cuopaizuoxi
错铺路	cuopulu
大板结构	dabanjiegou
大板结构体系	dabanjiegoutixi
大比例详图	dabilixiangtu
大便器	dabianqi
大城市	dachengshi
大城市地区	dachengshidiqu
大城市连绵区	dachengshilianmianqu
打底	dadi
大底盘	dadipan
大斗	dadou
大额枋	daefang
搭架子	dajiazi
搭接	dajie
搭接长度	dajiechangdu
大街坊	dajiefang
大空间布局	dakongjianbuju
大理石	dalishi
大理石板	dalishiban
大理石板贴面	dalishibantiemian
大理石厂	dalishichang
大理石面层	dalishimianceng
大理石拼花	dalishipinhua
大理石拼花工艺	dalishipinhuagongyi
大理石铺切	dalishipuqie
大理石墙面	dalishiqiangmian
大梁	daliang
大陆性气候	daluxingqihou
大面	damian
大幕	damu
大木	damu
大木作	damuzuo
大偏拉	dapianla
大偏心	dapianxin
大偏心受压	dapianxinshouya
大偏压	dapianya
大平锹	dapingqiao
大气透明度	daqitoumingdu
搭设	dashe
搭设脚手架	dashejiaoshoujia
搭设排架	dashepaijia
大式	dashi
大使官邸	dashiguandi
大树移植	dashuyizhi
大堂吧	datangba
大堂天花	datangtianhua
大屋顶	dawuding
大学城	daxuecheng
大学建筑	daxuejianzhu
大样	dayang
大样图	dayangtu
大众捷运系统	dazhongjieyunxitong
打字室	dazishi
带沥水板洗涤盆	dailishuibanxidipen
带型城市	daixingchengshi
代用材料	daiyongcailiao
带植	daizhi
带状花坛	daizhuanghuatan
单步梁	danbuliang
单材拱	dancaigong
单槽	dancao
单层厂房	dancengchangfang
单层窗	dancengchuang
单层建筑	dancengjianzhu
单床间	danchuangjian
单床客房	danchuangkefang
单方造价	danfangzaojia
单风道	danfengdao
单风道空调系统	danfengdaokongtiaoxitong
单风道系统	danfengdaoxitong
单栱	dangong
单钩栏	dangoulan
单勾阑	dangoulan
单管热水供暖系统	danguanreshuigongnuanxitong
单管上行下给供暖系统	danguanshangxingxiageigongnuanxitong
单管卫生管道系统	danguanweishengguandaoxitong
单管系统	danguanxitong
单极开关	danjikaiguan
单间式布局	danjianshibuju
弹街石	danjieshi
单孔插座出线口	dankongchazuochuxiankou
单面自行车架	danmianzixingchejia
单面走廊式	danmianzoulangshi
单跑楼梯	danpaolouti
单人床	danrenchuang
单色谐调	dansexietiao
单扇窗	danshanchuang
单扇门	danshanmen
单扇推拉门	danshantuilamen
蛋市	danshi
单式吊杆	danshidiaogan
弹塑	dansu
单投开关	dantoukaiguan
单外廊布局	danwailangbuju
单位绿地	danweilvdi
单位面积收费	danweimianjishoufei
弹线分格	danxianfenge|tanxianfenge
单线图	danxiantu
单向板	danxiangban
单向电路	danxiangdianlu
单相负荷	danxiangfuhe
单项工程验收	danxianggongchengyanshou
单行道	danxingdao
单行道路	danxingdaolu
单一材料	danyicailiao
单元板分配	danyuanbanfenpei
单元板块	danyuanbankuai
单元式幕墙	danyuanshimuqiang
单砖墙	danzhuanqiang
单桩承载力	danzhuangchengzaili
单桩承载力特征值	danzhuangchengzailitezhengzhi
单走道布局	danzoudaobuju
档案室	danganshi
