阿达马变换	adamabianhuan
海底图像系统	haidituxiangxitong
海福德椭球	haifudetuoqiu
海福特	haifute
海军导航卫星系统	haijundaohangweixingxitong
海军勤务测量	haijunqinwuceliang
海控点	haikongdian
海流计	hailiuji
海面地形	haimiandixing
海区界线	haiqujiexian
海区资料调查	haiquziliaodiaocha
海区总图	haiquzongtu
海图	haitu
海图比例尺	haitubilichi
海图编号	haitubianhao
海图编制	haitubianzhi
海图标题	haitubiaoti
海图大改正	haitudagaizheng
海图分幅	haitufenfu
海图改正	haitugaizheng
海图投影	haitutouying
海图图廓	haitutukuo
海图图式	haitutushi
海图小改正	haituxiaogaizheng
海图制图	haituzhitu
海图注记	haituzhuji
海洋测绘	haiyangcehui
海洋测绘数据库	haiyangcehuishujuku
海洋测量	haiyangceliang
海洋测量定位	haiyangceliangdingwei
海洋磁力测量	haiyangciliceliang
海洋磁力图	haiyangcilitu
海洋磁力异常	haiyangciliyichang
海洋大地测量	haiyangdadiceliang
海洋大地测量学	haiyangdadiceliangxue
海洋负荷	haiyangfuhe
海洋工程测量	haiyanggongchengceliang
海洋划界测量	haiyanghuajieceliang
海洋环境图	haiyanghuanjingtu
海洋气象图	haiyangqixiangtu
海洋生物图	haiyangshengwutu
海洋水文图	haiyangshuiwentu
海洋水准测量	haiyangshuizhunceliang
海洋卫星	haiyangweixing
海洋质子采样器	haiyangzhizicaiyangqi
海洋质子磁力仪	haiyangzhiziciliyi
海洋重力测量	haiyangzhongliceliang
海洋重力仪	haiyangzhongliyi
海洋重力异常	haiyangzhongliyichang
海洋重力异常图	haiyangzhongliyichangtu
海洋专题测量	haiyangzhuanticeliang
海洋资源图	haiyangziyuantu
航标	hangbiao
航标表	hangbiaobiao
航测	hangce
航测地籍	hangcediji
航带法空中三角测量	hangdaifakongzhongsanjiaoceliang
航带摄影机	hangdaisheyingji
航道	hangdao
巷道坡度线标定	hangdaopoduxianbiaoding
巷道碎部测量	hangdaosuibuceliang
航道图	hangdaotu
巷道验收测量	hangdaoyanshouceliang
巷道验收丈量	hangdaoyanshouzhangliang
巷道中线标定	hangdaozhongxianbiaoding
航高	hanggao
航海天文历	hanghaitianwenli
航海通告	hanghaitonggao
航海图	hanghaitu
航迹	hangji
航空航天摄影	hangkonghangtiansheying
航空摄谱仪	hangkongshepuyi
航空摄影	hangkongsheying
航空摄影测量	hangkongsheyingceliang
航空摄影机	hangkongsheyingji
航空图	hangkongtu
航空像片	hangkongxiangpian
航空遥感	hangkongyaogan
航空重力测量	hangkongzhongliceliang
航路指南	hangluzhinan
航摄计划	hangshejihua
航摄领航	hangshelinghang
航摄漏洞	hangsheloudong
航摄软片	hangsheruanpian
航摄像片	hangshexiangpian
航摄质量	hangshezhiliang
航速	hangsu
航天飞机	hangtianfeiji
航天摄影	hangtiansheying
航天摄影测量	hangtiansheyingceliang
航天遥感	hangtianyaogan
航艇洞库测量	hangtingdongkuceliang
航向	hangxiang
航向重叠	hangxiangchongdie
航向倾角	hangxiangqingjiao
航行通告	hangxingtonggao
航行图	hangxingtu
航行障碍物	hangxingzhangaiwu
航行障碍物探测	hangxingzhangaiwutance
合成地图	hechengditu
合成孔径雷达	hechengkongjingleida
河道整治测量	hedaozhengzhiceliang
核点	hedian
合点控制	hediankongzhi
和国际参考极	heguojicankaoji
核面	hemian
盒式分类法	heshifenleifa
河外致密射电源	hewaizhimishedianyuan
合线	hexian
核线	hexian
核线相关	hexianxiangguan
和重力扁率	hezhonglibianlv
黑白片	heibaipian
黑白摄影	heibaisheying
横断面测量	hengduanmianceliang
横断面图	hengduanmiantu
横基尺视差法	hengjichishichafa
衡量测量值	hengliangceliangzhi
恒时钟	hengshizhong
恒星摄影机	hengxingsheyingji
恒星时	hengxingshi
恒星中天测时法	hengxingzhongtianceshifa
横轴投影	hengzhoutouying
红外测距仪	hongwaicejuyi
红外辐射计	hongwaifusheji
红外片	hongwaipian
红外扫描仪	hongwaisaomiaoyi
红外摄影	hongwaisheying
红外图像	hongwaituxiang
红外遥感	hongwaiyaogan
后方交会	houfangjiaohui
互补色地图	hubuseditu
互补色镜	hubusejing
互补色立体观察	hubuselitiguancha
湖泊测量	hupoceliang
缓和曲线测设	huanhequxianceshe
环境地图	huanjingditu
环境探测卫星	huanjingtanceweixing
换能器	huannengqi
换能器吃水改正	huannengqichishuigaizheng
换能器动态吃水	huannengqidongtaichishui
换能器基线	huannengqijixian
换能器基线改正	huannengqijixiangaizheng
换能器静态吃水	huannengqijingtaichishui
环形控制网	huanxingkongzhiwang
黄海平均海	huanghaipingjunhai
回光灯	huiguangdeng
灰色调	huisediao
回声测深	huishengceshen
回声测深仪	huishengceshenyi
汇水面积测量	huishuimianjiceliang
回头曲线测设	huitouquxianceshe
绘图机	huituji
绘图文件	huituwenjian
灰楔	huixie
回照器	huizhaoqi
混合潮港	hunhechaogang
混合生成新色光	hunheshengchengxinseguang
或岸台	huoantai
或估值	huoguzhi
或平坦地面	huopingtandimian
或然误差	huoranwucha
或色料三原色	huoseliaosanyuanse
活树篱笆	huoshuliba
或新颜色	huoxinyanse
或右片上	huoyoupianshang
或左片上	huozuopianshang
基本比例尺	jibenbilichi
基本图形元素	jibentuxingyuansu
基本重力点	jibenzhonglidian
畸变差	jibiancha
积差阵	jichazhen
机场测量	jichangceliang
机场跑道测量	jichangpaodaoceliang
集成	jicheng
吉尔平面	jierpingmian
激光测高仪	jiguangcegaoyi
激光测距仪	jiguangcejuyi
激光测深仪	jiguangceshenyi
激光测月	jiguangceyue
激光导向仪给向	jiguangdaoxiangyigeixiang
激光地形仪	jiguangdixingyi
激光二极管	jiguangerjiguan
激光绘图机	jiguanghuituji
激光经纬仪	jiguangjingweiyi
激光目镜	jiguangmujing
激光铅垂仪	jiguangqianchuiyi
激光扫平仪	jiguangsaopingyi
激光水准仪	jiguangshuizhunyi
激光投点	jiguangtoudian
激光照排机	jiguangzhaopaiji
激光指向仪给向	jiguangzhixiangyigeixiang
激光准直	jiguangzhunzhi
激光准直法	jiguangzhunzhifa
激光准直仪	jiguangzhunzhiyi
几何大地测量学	jihedadiceliangxue
几何定向	jihedingxiang
几何反转原理	jihefanzhuanyuanli
几何校正	jihejiaozheng|jihexiaozheng
几何模型	jihemoxing
几何条件	jihetiaojian
计曲线	jiquxian
技术和地理信息系统	jishuhedilixinxixitong
技术境界标定	jishujingjiebiaoding
计算机兼容磁带	jisuanjijianrongcidai
计算机视觉	jisuanjishijue
计算机制图综合	jisuanjizhituzonghe
基线	jixian
基线测量	jixianceliang
基线网	jixianwang
极限误差	jixianwucha
机械投影	jixietouying
即协因数矩阵	jixieyinshujuzhen
极移	jiyi
基一高比	jiyigaobi
既有线站场测量	jiyouxianzhanchangceliang
机载激光测深	jizaijiguangceshen
机载遥感器	jizaiyaoganqi
机助测图	jizhucetu
机助地图制图	jizhudituzhitu
机助分类	jizhufenlei
基准台	jizhuntai
基准纬度	jizhunweidu
极坐标定位	jizuobiaodingwei
极坐标定位方法	jizuobiaodingweifangfa
极坐标定位系统	jizuobiaodingweixitong
极坐标缩放仪	jizuobiaosuofangyi
假彩色合成	jiacaisehecheng
假彩色片	jiacaisepian
假彩色摄影	jiacaisesheying
假彩色图像	jiacaisetuxiang
加常数	jiachangshu
假定坐标系	jiadingzuobiaoxi
加密点	jiamidian
加密探测	jiamitance
监测台	jiancetai
监测网	jiancewang
检查台	jianchatai
监督分类	jiandufenlei
剪辑	jianji
间接法纠正	jianjiefajiuzheng
间接平差	jianjiepingcha
坚盘指标差	jianpanzhibiaocha
间曲线	jianquxian
减色印刷	jianseyinshua
检疫锚地	jianyimaodi
渐长区间	jianchangqujian
渐长纬度	jianchangweidu
建筑工程测量	jianzhugongchengceliang
建筑红线测量	jianzhuhongxianceliang
建筑摄影测量	jianzhusheyingceliang
建筑物沉降观测	jianzhuwuchenjiangguance
建筑轴线测量	jianzhuzhouxianceliang
江河测量	jiangheceliang
江河图	jianghetu
将全球定位系统	jiangquanqiudingweixitong
交叉点放样	jiaochadianfangyang
交叉耦合效应	jiaochaouhexiaoying
交叉网线	jiaochawangxian
校核基点	jiaohejidian
焦面快门	jiaomiankuaimen
礁石	jiaoshi
交线条件	jiaoxiantiaojian
交向摄影	jiaoxiangsheying
教学地图	jiaoxueditu
胶印	jiaoyin
校正针	jiaozhengzhen
接触晒印	jiechushaiyin
接触网屏	jiechuwangping
接触印刷	jiechuyinshua
街道线	jiedaoxian
结点平差	jiedianpingcha
截断误差	jieduanwucha
截面差改正	jiemianchagaizheng
接收二极管	jieshouerjiguan
接收机	jieshouji
接收中心	jieshouzhongxin
解析测图	jiexicetu
解析测图仪	jiexicetuyi
解析定向	jiexidingxiang
解析纠正	jiexijiuzheng
解析空中三角测量	jiexikongzhongsanjiaoceliang
解析摄影测量	jiexisheyingceliang
解析图根点	jiexitugendian
解译	jieyi
界址点	jiezhidian
界址线	jiezhixian
近程定位系统	jinchengdingweixitong
近地点高度	jindidiangaodu
近海测量	jinhaiceliang
禁航区	jinhangqu
近井点	jinjingdian
近景摄影测量	jinjingsheyingceliang
禁区界线	jinqujiexian
金属弹簧重力仪	jinshutanhuangzhongliyi
近似地形面	jinsidixingmian
近似平差	jinsipingcha
精博	jingbo
井底车场平面图	jingdichechangpingmiantu
静电复印	jingdianfuyin
精度估计	jingduguji
经度起算点	jingduqisuandian
精度因子	jingduyinzi
景观地图	jingguanditu
经济地图	jingjiditu
净空区测量	jingkongquceliang
井口位置点	jingkouweizhidian
精码	jingma
精密测距	jingmiceju
精密垂准	jingmichuizhun
精密导线测量	jingmidaoxianceliang
精密定向	jingmidingxiang
精密工程测量	jingmigongchengceliang
精密工程控制网	jingmigongchengkongzhiwang
精密机械安装测量	jingmijixieanzhuangceliang
精密经纬仪	jingmijingweiyi
精密立体测图仪	jingmiliticetuyi
精密水准测量	jingmishuizhunceliang
精密水准仪	jingmishuizhunyi
精密星历	jingmixingli
精密准直	jingmizhunzhi
精确测定离岸约	jingquecedinglianyue
井上下对照图	jingshangxiaduizhaotu
景深	jingshen
静态定位	jingtaidingwei
静态遥感器	jingtaiyaoganqi
井探工程测量	jingtangongchengceliang
井田区域地形图	jingtianquyudixingtu|jingtianquyudexingtu
井筒十字中线标定	jingtongshizizhongxianbiaoding
井筒延伸测量	jingtongyanshenceliang
井筒中心标定	jingtongzhongxinbiaoding
经纬网	jingweiwang
经纬仪	jingweiyi
经纬仪测绘法	jingweiyicehuifa
经纬仪导线	jingweiyidaoxian
景物反差	jingwufancha
井下测量	jingxiaceliang
井下高程测量	jingxiagaochengceliang
井下交叉闭合导线	jingxiajiaochabihedaoxian
井下勘探测量	jingxiakantanceliang
井下空硐测量	jingxiakongdongceliang
井下水平控制测量	jingxiashuipingkongzhiceliang
径向畸变	jingxiangjibian
纠正	jiuzheng
纠正图底	jiuzhengtudi
纠正仪	jiuzhengyi
纠正元素	jiuzhengyuansu
距岸约	juanyue
距离测量	juliceliang
距离方位定位	julifangweidingwei
距离判决函数	julipanjuehanshu
矩形分幅	juxingfenfu
绝对垂线偏差	jueduichuixianpiancha
绝对定向	jueduidingxiang
绝对定向元素	jueduidingxiangyuansu
绝对航高	jueduihanggao
绝对误差	jueduiwucha
绝对阈	jueduiyu
绝对重力测量	jueduizhongliceliang
绝对重力仪	jueduizhongliyi
竣工测量	jungongceliang
军事工程变形观测	junshigongchengbianxingguance
军事工程测量	junshigongchengceliang
军事基地测量	junshijidiceliang
军用大比例尺测图	junyongdabilichicetu
军用道路测量	junyongdaoluceliang
军用地图	junyongditu
军用海图	junyonghaitu
军用坑道测量	junyongkengdaoceliang
军用桥梁测量	junyongqiaoliangceliang
开采沉陷观测	kaicaichenxianguance
开采沉陷图	kaicaichenxiantu
开采沉陷预计	kaicaichenxianyuji
开窗检索	kaichuangjiansuo
勘测	kance
勘测设计阶段测量	kanceshejijieduanceliang
勘探基线	kantanjixian
勘探网测量	kantanwangceliang
勘探网测设	kantanwangceshe
勘探线测量	kantanxianceliang
勘探线剖面图	kantanxianpoumiantu
抗差估计	kangchaguji
康索尔海图	kangsuoerhaitu
考古摄影测量	kaogusheyingceliang
刻绘	kehui
克拉索夫斯基	kelasuofusiji
克拉索夫斯基椭球	kelasuofusijituoqiu
克莱罗定理	kelailuodingli
科力达	kelida
克吕格投影	kelvgetouying
科普原理	kepuyuanli
刻图仪	ketuyi
垦复测量	kenfuceliang
坑道平面图	kengdaopingmiantu
坑探工程测量	kengtangongchengceliang
空基系统	kongjixitong
空间大地测量学	kongjiandadiceliangxue
空间改正	kongjiangaizheng
空间后方交会	kongjianhoufangjiaohui
空间前方交会	kongjianqianfangjiaohui
空间实验室	kongjianshiyanshi
空间数据基础设施	kongjianshujujichusheshi
空间数据库管理系统	kongjianshujukuguanlixitong
空间数据转换	kongjianshujuzhuanhuan
空间信息可视化	kongjianxinxikeshihua
空间异常	kongjianyichang
控制测量	kongzhiceliang
控制点	kongzhidian
空中导线测量	kongzhongdaoxianceliang
空中三角测量	kongzhongsanjiaoceliang
空中水准测量	kongzhongshuizhunceliang
库容测量	kurongceliang
跨河水准测量	kuaheshuizhunceliang
块状图	kuaizhuangtu
框标	kuangbiao
矿层底板等高线图	kuangcengdibandenggaoxiantu
矿层顶板等高线图	kuangcengdingbandenggaoxiantu
矿层要素测定	kuangcengyaosuceding
矿产图	kuangchantu
矿产性质几何制图	kuangchanxingzhijihezhitu
矿场平面图	kuangchangpingmiantu
矿床几何	kuangchuangjihe
框幅摄影机	kuangfusheyingji
矿井测量	kuangjingceliang
矿井提升设备安装测量	kuangjingtishengshebeianzhuangceliang
矿区控制测量	kuangqukongzhiceliang
矿区控制网精度估算	kuangqukongzhiwangjingdugusuan
矿区控制网设计	kuangqukongzhiwangsheji
矿山测量	kuangshanceliang
矿山测量交换图	kuangshanceliangjiaohuantu
矿山测量图	kuangshanceliangtu
矿山测量学	kuangshanceliangxue
矿山地面测量	kuangshandimianceliang
矿山经纬仪	kuangshanjingweiyi
矿体几何	kuangtijihe
矿体几何制图	kuangtijihezhitu
扩散转印	kuosanzhuanyin
拉普拉斯点	lapulasidian
拉普拉斯方位角	lapulasifangweijiao
莱曼法	laimanfa
莱赛	laisai
兰勃特投影	lanbotetouying
蓝底图	landitu
浪花	langhua
勒夫数	lefushu
类别视觉感受	leibieshijueganshou
雷达测高仪	leidacegaoyi
雷达覆盖区	leidafugaiqu
雷达应答器	leidayingdaqi
雷达指向标	leidazhixiangbiao
雷迪	leidi
类型地图	leixingditu
类星体	leixingti
立标	libiao
力高	ligao
立井导入高程测量	lijingdaorugaochengceliang
立井定向测量	lijingdingxiangceliang
立井激光指向	lijingjiguangzhixiang
理论地图学	lilundituxue
理论最低低潮面	lilunzuididichaomian
理论最高高潮面	lilunzuigaogaochaomian
礼炮号航天站	lipaohaohangtianzhan
历史地图	lishiditu
立体测图仪	liticetuyi
立体地图	litiditu
立体观测	litiguance
立体观测模型	litiguancemoxing
立体镜	litijing
立体判读仪	litipanduyi
立体摄影测量	litisheyingceliang
立体摄影机	litisheyingji
立体视觉	litishijue
立体像对	litixiangdui
立体像对右片上	litixiangduiyoupianshang
立体正射像片	litizhengshexiangpian
立体坐标量测仪	litizuobiaoliangceyi
离心力	lixinli
离心力位	lixinliwei
利用波长为	liyongbochangwei
利用对物距不大于	liyongduiwujubudayu
利用高斯	liyonggaosi
历元平极	liyuanpingji
粒子加速器测量	lizijiasuqiceliang
联测比对	liancebidui
联合平差	lianhepingcha
联机空中三角测量	lianjikongzhongsanjiaoceliang
连接测量	lianjieceliang
连接点	lianjiedian
联盟号宇宙飞船	lianmenghaoyuzhoufeichuan
帘幕快门	lianmukuaimen
帘幕式快门	lianmushikuaimen
联系测量	lianxiceliang
联系三角形法	lianxisanjiaoxingfa
联系数	lianxishu
联系四边形法	lianxisibianxingfa
连续对比	lianxuduibi
连续方式	lianxufangshi
连续减光板	lianxujianguangban
连续调	lianxutiao
量测摄影机	liangcesheyingji
量底法	liangdifa
亮度	liangdu
量化	lianghua
裂缝观测	liefengguance
林班测量	linbanceliang
邻带方里网	lindaifangliwang
临时界桩	linshijiezhuang
邻图拼接比对	lintupinjiebidui
林相图	linxiangtu
林业测量	linyeceliang
林业基本图	linyejibentu
邻元法	linyuanfa
领海基线测量	linghaijixianceliang
零漂改正	lingpiaogaizheng
零相位效应	lingxiangweixiaoying
六分仪	liufenyi
陆地卫星	ludiweixing
鲁洛夫斯太阳棱镜	luluofusitaiyanglengjing
露天矿爆破工作测量	lutiankuangbaopogongzuoceliang
露天矿测量	lutiankuangceliang
露天矿矿图	lutiankuangkuangtu
路线水准测量	luxianshuizhunceliang
略最低低潮面	luezuididichaomian
罗德里格斯矩阵	luodeligesijuzhen
逻辑兼容	luojijianrong
逻辑一致性	luojiyizhixing
罗经	luojing
罗经航向	luojinghangxiang
罗兰海图	luolanhaitu
罗盘经纬仪	luopanjingweiyi
罗盘仪	luopanyi
罗盘仪测量	luopanyiceliang
滤光片	lvguangpian
旅游地图	lvyouditu
脉冲激光器	maichongjiguangqi
埋石	maishi
埋石图根点	maishitugendian
芒塞尔色系	mangsaiersexi
盲色片	mangsepian
锚地	maodi
锚区	maoqu
锚位	maowei
卯酉面	maoyoumian
卯酉圈	maoyouquan
卯酉圈曲率半径	maoyouquanqulvbanjing
美国陆地卫星	meiguoludiweixing
蒙绘	menghui
蒙片	mengpian
密度	midu
密度分割	midufenge
密度计	miduji
面水准测量	mianshuizhunceliang
面状符号	mianzhuangfuhao
瞄直法	miaozhifa
明礁	mingjiao
明显地物点	mingxiandiwudian
名义量表	mingyiliangbiao
莫尔条纹图	moertiaowentu
模糊分类法	mohufenleifa
模糊影像	mohuyingxiang
墨卡托海图	mokatuohaitu
墨卡托投影	mokatuotouying
莫洛坚斯基公式	moluojiansijigongshi
莫洛坚斯基理论	moluojiansijililun
模拟磁带	monicidai
模拟地图	monidetu
模拟法测图	monifacetu
模拟空中三角测量	monikongzhongsanjiaoceliang
模拟立体测图仪	moniliticetuyi
模拟摄影测量	monisheyingceliang
模式识别	moshishibie
模型连接	moxinglianjie
模型缩放	moxingsuofang
模型置平	moxingzhiping
目标反射器	mubiaofansheqi
目标区	mubiaoqu
目镜	mujing
目视判读	mushipandu
目视天顶仪	mushitiandingyi
穆瓦条纹图	muwatiaowentu
挠度观测	naoduguance
内部定向	neibudingxiang
能见度	nengjiandu
能见敏锐度	nengjianminruidu
拟稳平差	niwenpingcha
逆转点法	nizhuandianfa
年差	niancha
年代末由	niandaimoyou
年间	nianjian
年平均海面	nianpingjunhaimian
鸟瞰图	niaokantu
欧波	oubo
偶然误差	ouranwucha
欧洲遥感卫星	ouzhouyaoganweixing
排土场平面图	paituchangpingmiantu
判读仪	panduyi
庞加莱改正	pangjialaigaizheng
旁向重叠	pangxiangchongdie
旁向倾角	pangxiangqingjiao
旁折光差	pangzheguangcha
偏角法	pianjiaofa
偏近点角	pianjindianjiao
偏振光立体观察	pianzhenguanglitiguancha
频率误差	pinlvwucha
频偏	pinpian
频漂	pinpiao
平板仪	pingbanyi
平板仪测量	pingbanyiceliang
平板仪导线	pingbanyidaoxian
平差	pingcha
平差值	pingchazhi
平衡潮	pinghengchao
平极	pingji
平近点角	pingjindianjiao
平距	pingju
平均地球椭球	pingjundiqiutuoqiu
平均海	pingjunhai
平均海面归算	pingjunhaimianguisuan
平均曲率半径	pingjunqulvbanjing
平均误差	pingjunwucha
平均运动	pingjunyundong
平面控制点	pingmiankongzhidian
平面控制网	pingmiankongzhiwang
平面曲线测设	pingmianquxianceshe
平面图	pingmiantu
平面坐标	pingmianzuobiao
屏幕地图	pingmuditu
平时式时号	pingshishishihao
平时钟	pingshizhong
平行圈	pingxingquan
平移参数	pingyicanshu
平整土地测量	pingzhengtudiceliang
坡底	podi
坡度测设	poduceshe
坡面经纬仪	pomianjingweiyi
剖面图	poumiantu
普拉烈系统	pulaliexitong
普通测量学	putongceliangxue
普通地图集	putongdituji
普通地图	putongditu
普通海图	putonghaitu
普通凿井法施工测量	putongzaojingfashigongceliang
起测基点	qicejidian
气体激光器	qitijiguangqi
气象代表误差	qixiangdaibiaowucha
气象改正	qixianggaizheng
恰可察觉差	qiakechajuecha
恰普斯基条件	qiapusijitiaojian
铅垂线	qianchuixian
铅垂仪	qianchuiyi
钱德勒摆动	qiandelebaidong
浅地层剖面仪	qiandicengpoumianyi
浅底地层剖面仪	qiandidicengpoumianyi
前方交会	qianfangjiaohui
千米尺	qianmichi
浅色调	qiansediao
浅滩	qiantan
桥墩定位	qiaodundingwei
桥涵洞测量	qiaohandongceliang
桥梁测量	qiaoliangceliang
桥梁控制测量	qiaoliangkongzhiceliang
桥梁轴线测设	qiaoliangzhouxianceshe
切线支距法	qiexianzhijufa
切向畸变	qiexiangjibian
清绘	qinghui
倾斜观测	qingxieguance
倾斜摄影	qingxiesheying
倾斜位移	qingxieweiyi
倾斜仪	qingxieyi
求积仪	qiujiyi
求积仪法	qiujiyifa
球面投影	qiumiantouying
球心投影	qiuxintouying
渠道测量	qudaoceliang
区划地图	quhuaditu
曲线光滑	quxianguanghua
区域地图集	quyudituji
区域地质测量	quyudizhiceliang
区域地质调查	quyudizhidiaocha
区域地质图	quyudizhitu
区域网平差	quyuwangpingcha
权函数	quanhanshu
全景畸变	quanjingjibian
全景摄影	quanjingsheying
全景摄影机	quanjingsheyingji
权矩阵	quanjuzhen
全能法测图	quannengfacetu
全能经纬仪	quannengjingweiyi
权逆阵	quannizhen
全球导航卫星系统	quanqiudaohangweixingxitong
全球定位系统	quanqiudingweixitong
全色红外片	quansehongwaipian
全色片	quansepian
全数字化自测图系统	quanshuzihuazicetuxitong
全息摄影	quanxisheying
全息摄影测量	quanxisheyingceliang
权系数	quanxishu
全向天线	quanxiangtianxian
全站型电子速测仪	quanzhanxingdianzisuceyi
全站型光电速测经纬仪	quanzhanxingguangdiansucejingweiyi
全站仪	quanzhanyi
全组合测角法	quanzuhecejiaofa
扰动位	raodongwei
热辐射	refushe
热红外图像	rehongwaituxiang
人工标志	rengongbiaozhi
人机交互处理	renjijiaohuchuli
人口地图	renkouditu
人文地图	renwenditu
任意比例尺	renyibilichi
人仪差	renyicha
任意投影	renyitouying
任意轴子午线	renyizhouziwuxian
认知制图	renzhizhitu
日潮港	richaogang
日格林尼治平子午	rigelinnizhipingziwu
日晷投影	riguitouying
日内瓦尺	rineiwachi
日平均海面	ripingjunhaimian
日图	ritu
日月引力摄动	riyueyinlishedong
容许误差	rongxuwucha
冗余码	rongyuma
冗余信息	rongyuxinxi
儒略日	rulueri
三边测量	sanbianceliang
三边网	sanbianwang
三差相位观测	sanchaxiangweiguance
三杆分度仪	sanganfenduyi
三角测量	sanjiaoceliang
三角点	sanjiaodian
三角高程测量	sanjiaogaochengceliang
三角高程导线	sanjiaogaochengdaoxian
三角高程网	sanjiaogaochengwang
三角基座	sanjiaojizuo
三脚架	sanjiaojia
三角锁	sanjiaosuo
三角网	sanjiaowang
三维地景仿真	sanweidijingfangzhen
三维网	sanweiwang
扫床测深仪	saochuangceshenyi
扫海测量	saohaiceliang
扫海测深仪	saohaiceshenyi
扫海具	saohaiju
扫海区	saohaiqu
扫海深度	saohaishendu
扫海趟	saohaitang
扫雷区	saoleiqu
扫描数字化	saomiaoshuzihua
扫描仪	saomiaoyi
色彩管理系统	secaiguanlixitong
色调	sediao
色环	sehuan
色盲片	semangpian
色相	sexiang
森林分布图	senlinfenbutu
沙尔定律	shaerdinglv
晒版	shaiban
闪闭法立体观察	shanbifalitiguancha
栅格绘图	shangehuitu
栅格数据	shangeshuju
闪烁误差	shanshuowucha
扇谐系数	shanxiexishu
熵编码	shangbianma
上下视差	shangxiashicha
摄动函数	shedonghanshu
摄动力	shedongli
设计水位	shejishuiwei
摄谱仪	shepuyi
射线摄影测量	shexiansheyingceliang
摄影	sheying
摄影比例尺	sheyingbilichi
摄影测量畸变差	sheyingceliangjibiancha
摄影测量内插	sheyingceliangneicha
摄影测量学	sheyingceliangxue
摄影测量仪器	sheyingceliangyiqi
摄影测量与遥感学	sheyingceliangyuyaoganxue
摄影测量坐标系	sheyingceliangzuobiaoxi
摄影处理	sheyingchuli
摄影分区	sheyingfenqu
摄影航线	sheyinghangxian
摄影机	sheyingji
摄影机检校	sheyingjijianjiao
摄影基线	sheyingjixian
摄影机主距	sheyingjizhuju
摄影经纬仪	sheyingjingweiyi
摄影学	sheyingxue
摄站	shezhan
甚长基线干涉测量	shenchangjixiangansheceliang
深度感	shendugan
深度基准	shendujizhun
深度基准面	shendujizhunmian
深度基准面保证率	shendujizhunmianbaozhenglv
深色调	shensediao|shensetiao
伸缩仪	shensuoyi
生产矿井测量	shengchankuangjingceliang
声呐扫海	shengnasaohai
声呐图像	shengnatuxiang
声速改正	shengsugaizheng
声速计	shengsuji
声图判读	shengtupandu
生物量指标变换	shengwuliangzhibiaobianhuan
生物医学摄影测量	shengwuyixuesheyingceliang
声学水位计	shengxueshuiweiji
声学组合定位系统	shengxuezuhedingweixitong
识别码	shibiema
视差	shicha
视差导线	shichadaoxian
视场对比	shichangduibi
视地平线	shidipingxian
时方差	shifangcha
施工测量	shigongceliang
施工方格网	shigongfanggewang
施工控制网	shigongkongzhiwang
施工平面图	shigongpingmiantu
施工详图	shigongxiangtu
时号	shihao
时号改正数	shihaogaizhengshu
世界地图集	shijiedituji
世界时	shijieshi
世界重力基点	shijiezhonglijidian
视距	shiju
视距乘常数	shijuchengchangshu
视距导线	shijudaoxian
视距加常数	shijujiachangshu
视觉变量	shijuebianliang
视觉层次	shijuecengci
视觉对比	shijueduibi
视觉分辨敏锐度	shijuefenbianminruidu
视觉立体地图	shijuelitiditu
视觉平衡	shijuepingheng
施赖伯全组合测角法	shilaiboquanzuhecejiaofa
矢量绘图	shilianghuitu
矢量数据	shiliangshuju
矢量重力测量	shiliangzhongliceliang
视模型	shimoxing
示坡线	shipoxian
实时处理	shishichuli
实时摄影测量	shishisheyingceliang
失锁	shisuo
视线高程	shixiangaocheng
适淹礁	shiyanjiao
石英弹簧重力仪	shiyingtanhuangzhongliyi
适应性水平	shiyingxingshuiping
实用地图学	shiyongdituxue
石油勘探测量	shiyoukantanceliang
市政工程测量	shizhenggongchengceliang
时钟频率	shizhongpinlv
视准线法	shizhunxianfa
手持	shouchi
手持测角仪	shouchicejiaoyi
手持水准仪	shouchishuizhunyi
首曲线	shouquxian
受摄轨道	shousheguidao
收时	shoushi
艏向	shouxiang
输电线路测量	shudianxianluceliang
竖基尺视差法	shujichishichafa
竖井激光指向	shujingjiguangzhixiang
数据编辑	shujubianji
数据标准	shujubiaozhun
数据采集	shujucaiji
数据采集器	shujucaijiqi
数据处理	shujuchuli
数据传输	shujuchuanshu
数据分类	shujufenlei
数据格式	shujugeshi
数据更新	shujugengxin
数据探测法	shujutancefa
数据压缩	shujuyasuo
数据样品	shujuyangpin
数据质量控制	shujuzhiliangkongzhi
数据转换	shujuzhuanhuan
疏浚区	shujunqu
数控绘图机	shukonghuituji
数控绘图桌	shukonghuituzhuo
数量感	shulianggan
竖盘指标差	shupanzhibiaocha
竖曲线测设	shuquxianceshe
属性精度	shuxingjingdu
数学地图学	shuxuedituxue
输油管道测量	shuyouguandaoceliang
数值地籍	shuzhidiji
数值地型	shuzhidixing
竖直摄影	shuzhisheying
数字表面模型	shuzibiaomianmoxing
数字测图	shuzicetu
数字磁带	shuzicidai
数字地图学	shuzidetuxue
数字地籍数据库	shuzidejishujuku
数字地面模型	shuzidimianmoxing|shuzidemianmoxing
数字地图	shuziditu
数字地图产品标准	shuzidituchanpinbiaozhun
数字地图模型	shuziditumoxing
数字高程模型	shuzigaochengmoxing
数字海图	shuzihaitu
数字化器	shuzihuaqi
数字化文件	shuzihuawenjian
数字化影像	shuzihuayingxiang
