阿达马变换	adamabianhuan
垂核面	chuihemian
垂核线	chuihexian
垂球	chuiqiu
垂线偏差	chuixianpiancha
垂线偏差改正	chuixianpianchagaizheng
垂直角	chuizhijiao
垂直折光差	chuizhizheguangcha
垂直折光系数	chuizhizheguangxishu
垂准仪	chuizhunyi
纯重力异常	chunzhongliyichang
磁测深	ciceshen
磁测深仪	ciceshenyi
刺点仪	cidianyi
磁方位角	cifangweijiao
磁力扫海测量	cilisaohaiceliang
磁力异常区	ciliyichangqu
磁偏角	cipianjiao
磁倾角	ciqingjiao
磁象限角	cixiangxianjiao
磁子午线	ciziwuxian
粗差	cucha
粗差检测	cuchajiance
粗略定向	culuedingxiang
粗码	cuma
大比例尺测图	dabilichicetu
大比例尺地形图	dabilichidixingtu
大潮升	dachaosheng
大地测量	dadiceliang
大地测量边值问题	dadiceliangbianzhiwenti
大地测量参考系	dadiceliangcankaoxi
大地测量数据库	dadiceliangshujuku
大地测量学	dadiceliangxue
大地测量仪器	dadiceliangyiqi
大地方位角	dadifangweijiao
大地高	dadigao
大地基准	dadijizhun
大地接收机	dadijieshouji
大地经度	dadijingdu
大地控制数据库	dadikongzhishujuku
大地水准面	dadishuizhunmian
大地水准面高	dadishuizhunmiangao
大地天顶延迟	daditiandingyanchi
大地天文学	daditianwenxue
大地网	dadiwang
大地位	dadiwei
大地纬度	dadiweidu
大地线	dadixian
大地线微分方程	dadixianweifenfangcheng
大地原点	dadiyuandian
大地重力学	dadizhonglixue
大地主题反解	dadizhutifanjie
大地主题正解	dadizhutizhengjie
大地坐标	dadizuobiao
大地坐标系	dadizuobiaoxi
大环投影	dahuantouying
大陆架地形测量	dalujiadixingceliang
大气传输特性	daqichuanshutexing
大气窗	daqichuang
大气改正	daqigaizheng
大气透过率	daqitouguolv
大气噪声	daqizaosheng
大气阻力摄动	daqizulishedong
大像幅摄影机	daxiangfusheyingji
打样	dayang
大洋地势图	dayangdishitu
大洋水深图	dayangshuishentu
大圆航线图	dayuanhangxiantu
带谐系数	daixiexishu
带状平面图	daizhuangpingmiantu
单差相位观测	danchaxiangweiguance
弹道摄影测量	dandaosheyingceliang
弹道摄影机	dandaosheyingji
单点定位	dandiandingwei
单片坐标量测仪	danpianzuobiaoliangceyi
单位权	danweiquan
单位权方差	danweiquanfangcha
单位权方差为	danweiquanfangchawei
单张或多张图组成	danzhanghuoduozhangtuzucheng
档差改正	dangchagaizheng
当地平均海面	dangdipingjunhaimian
导标	daobiao
道岔测量	daochaceliang
倒锤法	daochuifa
倒锤线观测	daochuixianguance
导弹定向测量	daodandingxiangceliang
导弹试验场工程测量	daodanshiyanchanggongchengceliang
导航台定位测量	daohangtaidingweiceliang
导航图	daohangtu
导航线	daohangxian
倒虹吸	daohongxi
道路工程测量	daolugongchengceliang
岛陆联测	daoluliance
导入高程测量	daorugaochengceliang
导线	daoxian
导线边	daoxianbian
导线测量	daoxianceliang
导线点	daoxiandian
导线横向误差	daoxianhengxiangwucha
导线角度闭合差	daoxianjiaodubihecha
导线结点	daoxianjiedian
导线曲折系数	daoxianquzhexishu
导线全长闭合差	daoxianquanchangbihecha
导线网	daoxianwang
导线相对闭合差	daoxianxiangduibihecha
导线折角	daoxianzhejiao
导线纵向误差	daoxianzongxiangwucha
岛屿测量	daoyuceliang
岛屿图	daoyutu
的基础上采用	dejichushangcaiyong
等比线	dengbixian
等变形线	dengbianxingxian
灯标	dengbiao
灯船	dengchuan
灯浮标	dengfubiao
灯高	denggao
等高距	denggaoju
等高棱镜	denggaolengjing
等高线	denggaoxian
等高仪	denggaoyi
灯光节奏	dengguangjiezou
灯光射程	dengguangshecheng
灯光遮蔽	dengguangzhebi
灯光周期	dengguangzhouqi
等级感	dengjigan
等级结构	dengjijiegou
等积投影	dengjitouying
等角定位格网	dengjiaodingweigewang
等角投影	dengjiaotouying
等距量表	dengjuliangbiao
等距投影	dengjutouying
等距圆弧格网	dengjuyuanhugewang
等量纬度	dengliangweidu
等偏摄影	dengpiansheying
等倾摄影	dengqingsheying
等权代替法	dengquandaitifa
灯色	dengse
等深线	dengshenxian
灯塔	dengta
等值灰度尺	dengzhihuiduchi
