阿尔都塞	aerdusai
空有	kongyou
孔子	kongzi
口辩	koubian
寇谦之	kouqianzhi
苦行主义	kuxingzhuyi
旷达	kuangda
狂狷	kuangjuan
况谓之名	kuangweizhiming
揆端推类	kuiduantuilei
窥基	kuiji
拉布里奥拉	labuliaola
拉尔修	laerxiu
拉法格	lafage
赖其力者生	laiqilizhesheng
莱茵报	laiyinbao
兰普萨古	lanpusagu
老聃	laodan
老莱子	laolaizi
劳力者治于人	laolizhezhiyuren
劳思光	laosiguang
劳心者治人	laoxinzhezhiren
老子	laozi
了别	lebie
乐观其反	leguanqifan
乐广	leguang
乐巨公	lejugong
乐利主义	lelizhuyi
乐天知命	letianzhiming
雷非天怒	leifeitiannu
类固不必可推知也	leigububiketuizhiye
类固相召	leiguxiangzhao
类名	leiming
类同	leitong
雷为火	leiweihuo
李翱	liao
理本气末	libenqimo
理禀	libing
李卜克内西	libukeneixi
理乘气功	lichengqigong
理存于欲	licunyuyu
李达	lida
立大本	lidaben
李大钊	lidazhao
李侗	lidong
李耳	lier
李二曲	lierqu
李丰	lifeng
李复	lifu
利根	ligen
理根于气	ligenyuqi
李塨	ligong
李觏	ligou
李光地	liguangdi
李含光	lihanguang
利合	lihe
力黑	lihei
李华	lihua
李璜	lihuang
李季	liji
理迹	liji
离坚白	lijianbai
力今胜古	lijinshenggu
理具于心	lijuyuxin
李克	like
李悝	likui
理论的科学	lilundekexue
理论基础	lilunjichu
理昧	limei
力命	liming
理明	liming
力牧	limu
理念的世界	liniandeshijie
理念论	linianlun
理念世界	linianshijie
理气	liqi
理气合一	liqiheyi
理气同异	liqitongyi
李筌	liquan
立人极	lirenji
李善兰	lishanlan
理生气	lishengqi
理事	lishi
理势	lishi
李石岑	lishicen
历史的方法	lishidefangfa
历史范畴	lishifanchou
理势合一	lishiheyi
历史民族	lishiminzu
历史唯物主义	lishiweiwuzhuyi
理事无碍	lishiwuai
李恕谷	lishugu
李叔同	lishutong
李斯	lisi
理统	litong
李通玄	litongxuan
历物十事	liwushishi
理先气后	lixianqihou
理想国	lixiangguo
立象尽意	lixiangjinyi
离心无境	lixinwujing
理性发展	lixingfazhan
理性方案	lixingfangan
理性具体	lixingjuti
理性认识	lixingrenshi
力行哲学	lixingzhexue
理性主义者	lixingzhuyizhe
李旴江	lixujiang
李延平	liyanping
理义	liyi
礼义	liyi
礼仪	liyi
理一分殊	liyifenshu
礼义廉耻	liyilianchi
丽以淫	liyiyin
丽以则	liyize
利用	liyong
李颙	liyong
利用安身以崇德	liyonganshenyichongde
理有穷通	liyouqiongtong
李籲	liyu
理欲	liyu
理源	liyuan
礼乐教化	liyuejiaohua
理载于气	lizaiyuqi
李泽厚	lizehou
李贽	lizhi
理知	lizhi
礼之用	lizhiyong
李之藻	lizhizao
理主气从	lizhuqicong
李卓吾	lizhuowu
炼丹	liandan
联合体	lianheti
连环可解也	lianhuankejieye
炼气	lianqi
炼形	lianxing
连珠	lianzhu
连珠式	lianzhushi
连珠体	lianzhuti
两点论	liangdianlun
两端贵先	liangduanguixian
两故化	liangguhua
良贵	lianggui
两行	lianghang
良价	liangjia
两可之说	liangkezhishuo
量论	lianglun
良能	liangneng
梁启超	liangqichao
梁启雄	liangqixiong
梁丘贺	liangqiuhe
梁任公	liangrengong
两刃相割	liangrenxiangge
梁汝元	liangruyuan
量时制谊	liangshizhiyi
梁漱溟	liangshuming
两仪	liangyi
良知	liangzhi
量智	liangzhi
良知现成	liangzhixiancheng
廖平	liaoping
列御寇	lieyukou
列子	liezi
林同济	lintongji
林则徐	linzexu
灵宝天尊	lingbaotianzun
灵府	lingfu
灵魂	linghun
灵明	lingming
灵气	lingqi
灵人	lingren
凌曙	lingshu
灵台	lingtai
凌廷堪	lingtingkan
灵祐	lingyou
刘安	liuan
刘宝楠	liubaonan
刘宾客	liubinke
六柄	liubing
刘伯温	liubowen
刘敞	liuchang
六尘	liuchen
六道	liudao
六德	liude
刘德仁	liuderen
六度	liudu
六分	liufen
刘逢禄	liufenglu
六府	liufu
六根	liugen
柳河东	liuhedong
六极	liuji
刘基	liuji
留基伯	liujibo
刘蕺山	liujishan
六境	liujing
六经皆史	liujingjieshi
六经未必为太阳	liujingweibiweitaiyang
六经注我	liujingzhuwo
刘峻	liujun
六理	liuli
刘伶	liuling
六美	liumei
刘梦得	liumengde
六逆	liuni
六气	liuqi
六趣	liuqu
刘劭	liushao
刘少奇	liushaoqi
刘申叔	liushenshu
六识	liushi
刘师培	liushipei
六十四卦	liushisigua
刘述先	liushuxian
流水不腐	liushuibufu
六顺	liushun
刘文敏	liuwenmin
刘熙载	liuxizai
柳下惠	liuxiahui
刘献廷	liuxianting
刘向	liuxiang
六相缘起	liuxiangyuanqi
六相圆融	liuxiangyuanrong
刘孝标	liuxiaobiao
刘勰	liuxie
刘歆	liuxin
流行时间	liuxingshijian
刘绚	liuxuan
六爻	liuyao
刘义庆	liuyiqing
刘因	liuyin
刘毓松	liuyusong
刘禹锡	liuyuxi
刘知几	liuzhiji
刘昼	liuzhou
柳子厚	liuzihou
柳宗元	liuzongyuan
刘宗周	liuzongzhou
龙虎	longhu
隆正	longzheng
鲁班	luban
鲁褒	lubao
卢藏用	lucangyong
陆沉	luchen
陆德明	ludeming
卢格	luge
陆绩	luji
陆贾	lujia
陆九龄	lujiuling
陆九韶	lujiushao
陆九渊	lujiuyuan
卢卡奇	lukaqi
卢克莱修	lukelaixiu
陆陇其	lulongqi
鹿门子	lumenzi
卢森堡	lusenbao
鲁胜	lusheng
陆世仪	lushiyi
鲁问	luwen
陆象山	luxiangshan
陆修静	luxiujing
鲁迅	luxun
鲁仲连	luzhonglian
乱极则治	luanjizezhi
卵有毛	luanyoumao
略知	luezhi
轮不碾地	lunbuniandi
轮回	lunhui
伦理	lunli
伦理学	lunlixue
罗从彦	luocongyan
罗光	luoguang
罗含	luohan
罗洪先	luohongxian
落花之辨	luohuazhibian
罗克汀	luoketing
罗马时期	luomashiqi
罗钦顺	luoqinshun
罗汝芳	luorufang
罗隐	luoyin
罗整庵	luozhengan
吕本中	lvbenzhong
吕不韦	lvbuwei
吕才	lvcai
吕澂	lvcheng
吕大临	lvdalin
吕大愚	lvdayu
吕东莱	lvdonglai
吕公著	lvgongzhu
吕坤	lvkun
吕留良	lvliuliang
吕柟	lvnan|lvran
虑求	lvqiu
履事	lvshi
吕晚村	lvwancun
吕希哲	lvxizhe
吕振羽	lvzhenyu
吕祖谦	lvzuqian
马丹阳	madanyang
马端临	maduanlin
马尔库塞	maerkusai
马浮	mafu
马建忠	majianzhong
马可	make
马融	marong
马有卵	mayouluan
马祖道一	mazudaoyi
麦加拉学派	maijialaxuepai
麦里梭	mailisuo
曼海姆	manhaimu
满空皆火	mankongjiehuo
毛苌	maochang
矛盾	maodun
矛盾之说	maodunzhishuo
毛公	maogong
毛亨	maoheng
毛奇龄	maoqiling
毛泽东	maozedong
美刺	meici
美的根源	meidigenyuan
美善相乐	meishanxiangle
梅文鼎	meiwending
美质不饰	meizhibushi
每种现象	meizhongxianxiang
梦幻人世	menghuanrenshi
孟轲	mengke
孟胜	mengsheng
孟喜	mengxi
蒙庄	mengzhuang
孟子	mengzi
米利都	milidou
米利都人	milidouren
米利都学派	milidouxuepai
米特林	mitelin
妙明真心	miaomingzhenxin
妙悟	miaowu
妙叶	miaoye
灭度	miedu
民胞物与	minbaowuyu
民本	minben
民本君末	minbenjunmo
民贵君轻	minguijunqing
民可使由之	minkeshiyouzhi
民生	minsheng
民生史观	minshengshiguan
民生哲学	minshengzhexue
闵损	minsun
民无终贱	minwuzhongjian
民之所欲	minzhisuoyu
民主君客	minzhujunke
闵子骞	minziqian
名辩	mingbian
明辨	mingbian
命不可勉	mingbukemian
明诚	mingcheng
明诚合一	mingchengheyi
明耻	mingchi
名达	mingda
明胆异气	mingdanyiqi
明道不计功	mingdaobujigong
明法审令	mingfashenling
明分使群	mingfenshiqun
名各顺于天	minggeshunyutian
明故	minggu
明鬼	minggui
冥极之知	mingjizhizhi
明鉴	mingjian
名教	mingjiao
名教出于自然	mingjiaochuyuziran
名教即自然	mingjiaojiziran
名教之乐	mingjiaozhile
名教自然之辨	mingjiaoziranzhibian
名理	mingli
冥然自合	mingranzihe
名色	mingse
明善诚身	mingshanchengshen
名胜	mingsheng
名生于真	mingshengyuzhen
名士	mingshi
名实	mingshi
名实耦	mingshiou
名实相应	mingshixiangying
名实之辩	mingshizhibian
命题	mingti
明体达用之学	mingtidayongzhixue
命物之名	mingwuzhiming
明心见性	mingxinjianxing
溟涬	mingxing
冥行妄作	mingxingwangzuo
名有三科	mingyousanke
命迂	mingyu
明于天人之分	mingyutianrenzhifen
明哲保身	mingzhebaoshen
名逐物而迁	mingzhuwuerqian
墨翟	modi
墨箓	molu
末那识	monashi
莫破质点	mopozhidian
莫若以明	moruoyiming
莫绍揆	moshaokui
莫为	mowei
墨子	mozi
某些特征	mouxietezheng
牟子	mouzi
牟宗三	mouzongsan
目不见	mubujian
目识	mushi
穆斯林哲学	musilinzhexue
木桶里	mutongli
目想	muxiang
纳甲	najia
南无	namo
拿证据来	nazhengjulai
南方无穷而有穷	nanfangwuqiongeryouqiong
难自然好学论	nanziranhaoxuelun
脑气筋	naoqijin
脑髓说	naosuishuo
脑昔芬尼	naoxifenni
内成	neicheng
内丹	neidan
内界立法	neijielifa
内美	neimei
内圣外王	neishengwaiwang
内视	neishi
内视反听	neishifanting
内史兴	neishixing
内外交相成之道	neiwaijiaoxiangchengzhidao
内外相须	neiwaixiangxu
内外之合	neiwaizhihe
内心世界	neixinshijie
内省	neixing
内学	neixue
内游	neiyou
内籀	neizhou
能必副所	nengbifusuo
能参	nengcan
能动性	nengdongxing
能立	nengli
能破	nengpo
能所	nengsuo
能知	nengzhi
能知必能行	nengzhibinengxing
逆教	nijiao
念念生灭	niannianshengmie
聂豹	niebao
涅槃	niepan
牛僧孺	niusengru
欧布里德	oubulide
欧克里德	oukelide
耦立	ouli
偶其类	ouqilei
偶然	ouran
偶然性	ouranxing
欧文	ouwen
欧阳德	ouyangde
欧阳建	ouyangjian
欧阳渐	ouyangjian
欧阳竟无	ouyangjingwu
欧阳修	ouyangxiu
耦中有耦	ouzhongyouou
偶自生	ouzisheng
判教	panjiao
潘尼提乌	pannitiwu
潘平格	panpingge
潘师正	panshizheng
潘用微	panyongwei
潘梓年	panzinian
庞鸿	panghong
庞朴	pangpu
庖丁解牛	paodingjieniu
裴徽	peihui
裴頠	peiwei
彭定求	pengdingqiu
捧喝	penghe
彭康	pengkang
彭蒙	pengmeng
彭绍升	pengshaosheng
彭晓	pengxiao
彭允初	pengyunchu
譬称	picheng
否极泰来	pijitailai|foujitailai
皮日休	pirixiu
皮锡瑞	pixirui
平待	pingdai
平旦之气	pingdanzhiqi
平等	pingdeng
评判的态度	pingpandetaidu
凭虚构象	pingxugouxiang
破对待	poduidai
破邪显正	poxiexianzheng
破心中贼	poxinzhongzei
破作两片	pozuoliangpian
普列汉诺夫	puliehannuofu
普鲁东	puludong
普罗克洛斯	puluokeluosi
普罗泰戈拉	puluotaigela
普罗提诺	puluotinuo
普纳路亚	punaluya
朴素辩证法	pusubianzhengfa
朴素唯物主义	pusuweiwuzhuyi
菩提	puti
菩提达摩	putidamo
菩提树	putishu
普通科学	putongkexue
普通人民	putongrenmin
气本	qiben
气禀	qibing
气禀有定	qibingyouding
岐伯	qibo
其大千里	qidaqianli
漆雕开	qidiaokai
七法	qifa
气化	qihua
气化即道	qihuajidao
器可变	qikebian
启蒙运动	qimengyundong
气母	qimu
七气	qiqi
七情	qiqing
齐是非	qishifei
器世间	qishijian
齐死生	qisisheng
契嵩	qisong
其他阶级	qitajieji
器体道用	qitidaoyong
齐万物	qiwanwu
气万则理万	qiwanzeliwan
齐万致	qiwanzhi
七纬	qiwei
齐物	qiwu
齐物我	qiwuwo
气须形而知	qixuxingerzhi
气一则理一	qiyizeliyi
气有聚散无灭息	qiyoujusanwumiexi
起源于	qiyuanyu
气运	qiyun
气韵	qiyun
气运决定论	qiyunjuedinglun
齐泽克	qizeke
气者理之依	qizhelizhiyi
奇正相生	qizhengxiangsheng
气质	qizhi
气质之性	qizhizhixing
气自然论	qiziranlun
钱德洪	qiandehong
谴告	qiangao
乾坤	qiankun
乾坤并建	qiankunbingjian
钱穆	qianmu
前识	qianshi
迁想妙得	qianxiangmiaode
遣相证性	qianxiangzhengxing
强调理性	qiangdiaolixing
强力从事	qianglicongshi
强物就我	qiangwujiuwo
巧转	qiaozhuan
切问近思	qiewenjinsi
禽滑釐	qinhuali
亲民	qinmin
亲下手一番	qinxiashouyifan
亲知	qinzhi
情采	qingcai
青出于兰而青于兰	qingchuyulanerqingyulan
轻贱唐虞而笑大禹	qingjiantangyuerxiaodayu
清静无为	qingjingwuwei
青年黑格尔派	qingnianheigeerpai
清谈	qingtan
情伪相感	qingweixianggan
轻物重生	qingwuchongsheng
清虚一大	qingxuyida
情欲寡浅	qingyuguaqian
情中景	qingzhongjing
穷达	qiongda
穷理尽性	qionglijinxing
穷神知化	qiongshenzhihua
穷通	qiongtong
穷形尽相	qiongxingjinxiang
邱处机	qiuchuji
丘处机	qiuchuji
求放心	qiufangxin
邱汉生	qiuhansheng
邱濬	qiujun
去和取同	quhequtong
去解释	qujieshi
取境	qujing
去九界	qujiujie
去苦求乐	qukuqiule
屈平	quping
瞿秋白	quqiubai
去人欲	qurenyu
趋时更新	qushigengxin
瞿世英	qushiying
取实责名	qushizeming
取象形器	quxiangxingqi
屈原	quyuan
犬可以为羊	quankeyiweiyang
全盘否定	quanpanfouding
犬儒	quanru
犬儒理念	quanrulinian
犬儒学派	quanruxuepai
犬儒学者	quanruxuezhe
犬儒主义	quanruzhuyi
犬儒主义学派	quanruzhuyixuepai
犬儒主义者	quanruzhuyizhe
全性保真	quanxingbaozhen
全增嘏	quanzenggu
全祖望	quanzuwang
群己	qunji
群有以至虚为宗	qunyouyizhixuweizong
群众观点	qunzhongguandian
群众路线	qunzhongluxian
冉求	ranqiu
冉雍	ranyong
冉有	ranyou
让生于有余	rangshengyuyouyu
饶鲁	raolu
人道	rendao
人道有为	rendaoyouwei
人道之知	rendaozhizhi
任德	rende
人定胜天	rendingshengtian
任耳目而定情实	renermuerdingqingshi
人非利不生	renfeilibusheng
人副天数	renfutianshu
人极	renji
任继愈	renjiyu
人皆可以为尧舜	renjiekeyiweiyaoshun
人爵	renjue
人口因素	renkouyinsu
人类感官	renleiganguan
人类互助原则	renleihuzhuyuanze
人类进化之时期	renleijinhuazhishiqi
人类生命	renleishengming
人理	renli
刃利之喻	renlizhiyu
人伦	renlun
人马之喻	renmazhiyu
人谋	renmou
人能	renneng
人能弘道	rennenghongdao
人能胜乎天	rennengshenghutian
任情极性	renqingjixing
人神关系	renshenguanxi
仁声	rensheng
人生观论战	renshengguanlunzhan
认识的多元论	renshideduoyuanlun
认识论	renshilun
人事为本	renshiweiben
任曙	renshu
人为天地万物之盗说	renweitiandiwanwuzhidaoshuo
仁为天地万物之源	renweitiandiwanwuzhiyuan
人为万物之灵	renweiwanwuzhiling
人文	renwen
人物品藻	renwupinzao
人心	renxin
人性	renxing
人性兽性同时发展	renxingshouxingtongshifazhan
人演	renyan
人义	renyi
仁义	renyi
仁义礼智	renyilizhi
仁以通为第一义	renyitongweidiyiyi
人欲	renyu
人欲横流说	renyuhengliushuo
仁者爱人	renzheairen
仁政	renzheng
任卓宣	renzhuoxuan
人自己	renziji
人自身	renzishen
日新	rixin
日新之化	rixinzhihua
容闳	ronghong
荣辱	rongru
荣辱之分	rongruzhifen
容肇祖	rongzhaozu
柔节	roujie
柔羽胜刚强	rouyushenggangqiang
入德凝道	rudeningdao
入静	rujing
如来藏	rulaizang|rulaicang
汝南月旦	runanyuedan
阮德如	ruanderu
阮籍	ruanji
阮嗣宗	ruansizong
阮咸	ruanxian
阮修	ruanxiu
阮元	ruanyuan
阮瞻	ruanzhan
弱者道之用	ruozhedaozhiyong
萨卡斯	sakasi
萨特	sate
塞内卡	saineika
塞翁失马	saiwengshima
赛先生	saixiansheng
三宝	sanbao
三表	sanbiao
三不朽	sanbuxiu
三才	sancai
三材	sancai
三乘	sancheng
三从四德	sancongside
三达德	sandade
三大哲学家	sandazhexuejia
三盗	sandao
三德	sande
三谛偈	sandiji
三谛圆融	sandiyuanrong
三法	sanfa
三法印	sanfayin
三纲	sangang
三纲领八条目	sanganglingbatiaomu
三纲六纪	sangangliuji
三纲五常	sangangwuchang
三个阶段	sangejieduan
三个阶级	sangejieji
三皈依	sanguiyi
三惑	sanhuo
三极	sanji
三即一	sanjiyi
三界	sanjie
三界唯心	sanjieweixin
三科	sanke
三理	sanli
三昧	sanmei
三民主义	sanminzhuyi
三名	sanming
散名	sanming
三能变	sannengbian
三年不窥园	sannianbukuiyuan
三千世间	sanqianshijian
三清	sanqing
三生	sansheng
三世	sanshi
三事	sanshi
三尸	sanshi
三世六别	sanshiliubie
三世一时	sanshiyishi
三统	santong
三畏	sanwei
三物	sanwu
三无性	sanwuxing
三性	sanxing
三性一际	sanxingyiji
三凶	sanxiong
三玄	sanxuan
三学	sanxue
三言	sanyan
三一	sanyi
三语椽	sanyuchuan
三元	sanyuan
三正	sanzheng
三知三行	sanzhisanhang
三支作法	sanzhizuofa
三自性	sanzixing
桑弘羊	sanghongyang
桑户	sanghu
色法	sefa
色即是空	sejishikong
色空	sekong
色诺芬	senuofen
色诺芬尼	senuofenni
僧朗	senglang
僧诠	sengquan
僧叡	sengrui
僧祐	sengyou
僧肇	sengzhao
杀盗非杀人	shadaofeisharen
沙夫	shafu
杀身成仁	shashenchengren
山出口	shanchukou
善导	shandao
善动化物	shandonghuawu
善端	shanduan
善恶	shane
山巨源	shanjuyuan
山涛	shantao
善无畏	shanwuwei
山与泽平	shanyuzeping
上层建筑	shangcengjianzhu
上德	shangde
上帝	shangdi
商君	shangjun
尚情无我	shangqingwuwo
尚同	shangtong
尚贤	shangxian
商鞅	shangyang
尚志	shangzhi
上智下愚	shangzhixiayu
邵伯温	shaobowen
邵康节	shaokangjie
少私寡欲	shaosiguayu
邵雍	shaoyong
少正卯	shaozhengmao
社会革命	shehuigeming
社会函变说	shehuihanbianshuo
社会互助论	shehuihuzhulun
社会环境	shehuihuanjing
社会生活	shehuishenghuo
社会物质生活条件	shehuiwuzhishenghuotiaojian
社会心理	shehuixinli
社会形态	shehuixingtai
社会意识形式	shehuiyishixingshi
社稷无常奉	shejiwuchangfeng
舍生取义	sheshengquyi
舍英雄无历史	sheyingxiongwulishi
摄用归体	sheyongguiti
设准	shezhun
申不害	shenbuhai
深察名号	shenchaminghao
慎到	shendao
神道设教	shendaoshejiao
慎独	shendu
神而先知	shenerxianzhi
深谷为陵	shenguweiling
沈国模	shenguomo
申韩	shenhan
神化	shenhua
沈焕	shenhuan
神会	shenhui
沈括	shenkuo
神秘主义	shenmizhuyi
神秘主义色彩	shenmizhuyisecai
神妙万物	shenmiaowanwu
神明	shenming
审名察形	shenmingchaxing
审名定分	shenmingdingfen
神明照物	shenmingzhaowu
神器	shenqi
神气	shenqi
神人	shenren
沈善登	shenshandeng
审时	shenshi
神识	shenshi
慎思	shensi
神似	shensi
神思	shensi
身外之物	shenwaizhiwu
神悟	shenwu
神无方易无体	shenwufangyiwuti
神嚣	shenxiao
神秀	shenxiu
神须形以存	shenxuxingyicun
神学思考	shenxuesikao
沈有鼎	shenyouding
神与物游	shenyuwuyou
沈约	shenyue|chenyue
神韵说	shenyunshuo
神者生之本	shenzheshengzhiben
沈志远	shenzhiyuan
慎子	shenzi
申子	shenzi
生产方式	shengchanfangshi
生产关系	shengchanguanxi
生产力	shengchanli
生产实践	shengchanshijian
生而知之	shengerzhizhi
生非创有	shengfeichuangyou
生化	shenghua
生活领域	shenghuolingyu
生活态度	shenghuotaidu
胜能	shengneng
圣人不死	shengrenbusi
圣人创制立法	shengrenchuangzhilifa
圣人体无	shengrentiwu
圣人无情	shengrenwuqing
圣人有情无累	shengrenyouqingwulei
圣人有情与无情	shengrenyouqingyuwuqing
圣人之辩	shengrenzhibian
生人之意	shengrenzhiyi
生生	shengsheng
生死轮回	shengsilunhui
声无哀乐	shengwuaiyue
生物之本	shengwuzhiben
生物之具	shengwuzhiju
圣西门	shengximen
圣贤	shengxian
生有涯而知无涯	shengyouyaerzhiwuya
剩余价值	shengyujiazhi
生元	shengyuan
生元有知论	shengyuanyouzhilun
生知	shengzhi
史囂	shiao
事本禁末	shibenjinmo
世必有革	shibiyouge
史伯	shibo
时不可力	shibukeli
实叉难陀	shichanantuo
实诚	shicheng
师承关系	shichengguanxi
施雠	shichou
石徂徕	shiculai
施存统	shicuntong
释道十害	shidaoshihai
十地	shidi
施蒂纳	shidina
是而不然	shierburan
是而然	shierran
十二因缘	shieryinyuan
是非莫辩	shifeimobian
是非无定质	shifeiwudingzhi
是非之虑	shifeizhilv
是非之心	shifeizhixin
事各顺于名	shigeshunyuming
始基	shiji
实际	shiji
世间	shijian
实践的科学	shijiandekexue
施肩吾	shijianwu
实践性	shijianxing
尸佼	shijiao
十戒	shijie
尸解	shijie
石介	shijie
世界本原	shijiebenyuan
世界进化三时期	shijiejinhuasanshiqi
世界图式	shijietushi
世界万物	shijiewanwu
世界物质	shijiewuzhi
始觉	shijue
石峻	shijun
士君子之辩	shijunzizhibian
实历	shili
十六字心传	shiliuzixinchuan
实论	shilun
史墨	shimo
适偶之数	shiouzhishu
适偶自然	shiouziran
势荣	shirong
势辱	shiru
十如是	shirushi
十三虚无	shisanxuwu
实事	shishi
实事难形	shishinanxing
实事实功	shishishigong
事事无碍	shishiwuai
世硕	shishuo
世俗艺术	shisuyishu
释太虚	shitaixu
石涛	shitao
施特劳斯	shitelaosi
实体	shiti
实体即本心	shitijibenxin
施为	shiwei
师物	shiwu
实相	shixiang
师心	shixin
师心自用	shixinziyong
十玄门	shixuanmen
十玄缘起	shixuanyuanqi
诗学	shixue
实验的方法	shiyandefangfa
诗言志	shiyanzhi
十义	shiyi
世异则事异	shiyizeshiyi
师夷之长技以制夷	shiyizhichangjiyizhiyi
势用	shiyong
实有	shiyou
事有常变	shiyouchangbian
实在	shizai
实在界	shizaijie
识知	shizhi
适志	shizhi
实知	shizhi
时中	shizhong
尸子	shizi
守度	shoudu
收拾精神	shoushijingshen
收心离境	shouxinlijing
兽性主义	shouxingzhuyi
守一	shouyi
守一存真	shouyicunzhen
数存势生	shucunshisheng
殊类	shulei
舒璘	shulin
殊气相革	shuqixiangge
舒适环境	shushihuanjing
数术	shushu
术数	shushu|zhushu
叔孙通	shusuntong
数息观	shuxiguan
叔兴	shuxing
书意	shuyi
率性	shuaixing
双方并重之旨	shuangfangbingzhongzhizhi
水火	shuihuo
水则覆舟	shuizefuzhou
水则载舟	shuizezaizhou
说明自然	shuomingziran
说知	shuozhi
四宾主	sibinzhu
思诚	sicheng
四大	sida
斯大林	sidalin
四大学派	sidaxuepai
四德	side
私德	side
四谛	sidi
四度	sidu
四端	siduan
斯多噶学派	siduogaxuepai
斯多葛主义	siduogezhuyi
斯多亚派	siduoyapai
斯多亚学派	siduoyaxuepai
思而不学则殆	sierbuxuezedai
四法界	sifajie
死非消灭	sifeixiaomie
四分	sifen
四界	sijie
四句教	sijujiao
司空图	sikongtu
四料简	siliaojian
司马彪	simabiao
司马承祯	simachengzhen
司马光	simaguang
司马迁	simaqian
司马谈	simatan
俟命	siming
私名	siming
死生无命	sishengwuming
死生有命	sishengyouming
四通	sitong
四维	siwei
思维方式	siweifangshi
思维能力	siweinengli
四毋	siwu
四无说	siwushuo
思无邪	siwuxie
四象	sixiang
思想斗争	sixiangdouzheng
思想者事实之母	sixiangzheshishizhimu
思想政治	sixiangzhengzhi
四心	sixin
思修交尽	sixiujiaojin
私有制	siyouzhi
四照用	sizhaoyong
宋钘	songjian
宋荣	songrong
宋荣子	songrongzi
宋翔凤	songxiangfeng
宋应星	songyingxing
搜集材料	soujicailiao
俗谛	sudi
苏东坡	sudongpo
苏格拉底	sugeladi
苏格拉底时期	sugeladishiqi
苏秦	suqin
苏轼	sushi
苏洵	suxun
苏舆	suyu
苏辙	suzhe
随处体认天理	suichutirentianli
随泯统	suimintong
孙膑	sunbin
孙不二	sunbuer
孙绰	sunchuo
孙复	sunfu
损迹返一	sunjifanyi
损减执	sunjianzhi
孙奇逢	sunqifeng
孙卿	sunqing
孙盛	sunsheng
孙叔平	sunshuping
孙文	sunwen
孙武	sunwu
孙夏峰	sunxiafeng
孙星衍	sunxingyan
损益	sunyi
孙诒让	sunyirang
孙逸仙	sunyixian
损有余而补不足	sunyouyuerbubuzu
孙中山	sunzhongshan
孙子	sunzi
所谓	suowei
所为有名	suoweiyouming
所以发能	suoyifaneng
所以迹	suoyiji
所以立天地者水也	suoyilitiandizheshuiye
所以然	suoyiran
所以谓	suoyiwei
所以知	suoyizhi
所有制	suoyouzhi
所缘以同异	suoyuanyitongyi
所知	suozhi
泰阿泰德篇	taiataidepian
太冲	taichong
太初	taichu
太和	taihe
太极	taiji
泰勒斯	tailesi
太始	taishi
太史儋	taishidan
太素	taisu
胎息	taixi
太虚	taixu
太虚本动	taixubendong
太虚即气	taixujiqi
太虚一实	taixuyishi
太一	taiyi
太易	taiyi
谭处端	tanchuduan
谭戒甫	tanjiefu
谭峭	tanqiao
谭嗣同	tansitong
澹台灭明	tantaimieming
谈天衍	tantianyan
谈玄	tanxuan
探颐索隐	tanyisuoyin
汤斌	tangbin
唐才常	tangcaichang
唐鹤征	tanghezheng
唐鉴	tangjian
唐君毅	tangjunyi
唐僧	tangseng
汤一介	tangyijie
汤用彤	tangyongtong
唐甄	tangzhen
唐仲友	tangzhongyou
陶弘景	taohongjing
陶潜	taoqian
陶斯	taosi
陶望龄	taowangling
陶希圣	taoxisheng
陶行知	taoxingzhi
陶渊明	taoyuanming
特殊功能	teshugongneng
特殊现量	teshuxianliang
体常静	tichangjing
体冲和以通元	tichongheyitongyuan
体见	tijian
体认	tiren
体同	titong
体性	tixing
体用	tiyong
体用不二	tiyongbuer
体用殊绝	tiyongshujue
体用胥有	tiyongxuyou
田巴	tianba
天必从之	tianbicongzhi
天不变道亦不变	tianbubiandaoyibubian
天常	tianchang
天聪	tiancong
天当	tiandang
天道	tiandao
天道环周	tiandaohuanzhou
天道尚变	tiandaoshangbian
天道为末	tiandaoweimo
天道无亲	tiandaowuqin
天道自然论	tiandaoziranlun
天道自然无为	tiandaoziranwuwei
天德	tiande
天德良知	tiandeliangzhi
天地皆体	tiandijieti
天地万物自然一体	tiandiwanwuziranyiti
天地我立	tiandiwoli
天地一体也	tiandiyitiye
天地一指	tiandiyizhi
天地与我并生	tiandiyuwobingsheng
天地之数	tiandizhishu
天地之性	tiandizhixing
天地之性人为贵	tiandizhixingrenweigui
天放	tianfang
天府	tianfu
天功	tiangong
天官	tianguan
天官意物	tianguanyiwu
田何	tianhe
天极	tianji
天稽环周	tianjihuanzhou
天经地义	tianjingdiyi
田鸠	tianjiu
天爵	tianjue
天钧	tianjun
天君	tianjun
天均	tianjun
天籁自呜	tianlaiziwu
天乐	tianle
天理	tianli
天理自然	tianliziran
天门	tianmen
天命	tianming
天明	tianming
天命靡常	tianmingmichang
天命之性	tianmingzhixing
天能	tianneng
天倪	tianni
田骈	tianpian
天情	tianqing
田俅子	tianqiuzi
天趣	tianqu
天泉证道	tianquanzhengdao
天人	tianren
天人不相胜	tianrenbuxiangsheng
天人不相预	tianrenbuxiangyu
天人感应	tianrenganying
天人合一	tianrenheyi
天人三策	tianrensance
天人同类	tianrentonglei
天人相参	tianrenxiangcan
天人相与之际	tianrenxiangyuzhiji
天人一理	tianrenyili
天人之辨	tianrenzhibian
天人之分	tianrenzhifen
天生人成	tianshengrencheng
天生之智	tianshengzhizhi
