阿尔都塞	aerdusai
成己成物	chengjichengwu
程门立雪	chengmenlixue
诚明	chengming
程明道	chengmingdao
成天地者气也	chengtiandizheqiye
程廷祚	chengtingzuo
乘物游心	chengwuyouxin
成心	chengxin
成玄英	chengxuanying
程瑶田	chengyaotian
诚意	chengyi
程颐	chengyi
程伊川	chengyichuan
成于乐	chengyule
成中英	chengzhongying
尺棰不尽	chichuibujin
持戒	chijie
崇本息末	chongbenximo
崇本抑末	chongbenyimo
冲决网罗	chongjuewangluo
充满瑕疵	chongmanxiaci
冲气	chongqi
崇尚知识	chongshangzhishi
蹱事增华	chongshizenghua
充实之美	chongshizhimei
崇有	chongyou
处静	chujing
楚狂接舆	chukuangjieyu
触类是道	chuleishidao
出世间	chushijian
储泳	chuyong
传神	chuanshen
传神记	chuanshenji
创造的科学	chuangzaodekexue
纯客观法	chunkeguanfa
纯思维	chunsiwei
慈悲	cibei
雌节	cijie
辞让之心	cirangzhixin
雌雄刚柔之辨	cixionggangrouzhibian
此亦一是非	ciyiyishifei
猝然念得	curanniande
崔浩	cuihao
崔憬	cuijing
粹灵之气	cuilingzhiqi
崔适	cuishi
崔寔	cuishi
崔述	cuishu
存神	cunshen
存思	cunsi
存天理	cuntianli
存想	cunxiang
存心	cunxin
存疑主义	cunyizhuyi
大辩	dabian
大别名	dabieming
大胆假设小心求证	dadanjiashexiaoxinqiuzheng
达道	dadao
大盗不止	dadaobuzhi
打倒孔家店	dadaokongjiadian
达德	dade
大动力	dadongli
大共名	dagongming
大故	dagu
大九州说	dajiuzhoushuo
大理	dali
达理明义	dalimingyi
大美	damei
达名	daming
达摩	damo
大贫小贫说	dapinxiaopinshuo
大巧	daqiao
大清明	daqingming
达生	dasheng
达视洞听	dashidongting
大体	dati
大同	datong
大同异	datongyi
大小戴	daxiaodai
大小俱足	daxiaojuzu
大小夏侯	daxiaoxiahou
大心	daxin
大衍义	dayanyi
大衍之数	dayanzhishu
大一统	dayitong
大音	dayin
大用流行	dayongliuxing
大丈夫	dazhangfu
大知大觉	dazhidajiao
大中之道	dazhongzhidao
戴奥真尼斯	daiaozhennisi
代表人物	daibiaorenwu
戴德	daide
戴东原	daidongyuan
戴季陶	daijitao
戴逵	daikui
戴圣	daisheng
戴望	daiwang
戴震	daizhen
单名与兼名	danmingyujianming
丹书	danshu
担水砍柴无非妙道	danshuikanchaiwufeimiaodao
当然	dangran
道安	daoan
道本器末	daobenqimo
道不可变	daobukebian
道绰	daochuo
道德革命	daodegeming
道德天尊	daodetianzun
道德完善	daodewanshan
道德修养	daodexiuyang
道德原则	daodeyuanze
道德哲学	daodezhexue
道法	daofa
道法自然	daofaziran
道纪	daoji
道即是艺	daojishiyi
道稽万理	daojiwanli
倒见	daojian
道理	daoli
道理相应	daolixiangying
道器	daoqi
道生	daosheng
道生顿悟义	daoshengdunwuyi
道生法	daoshengfa
道术	daoshu
道枢	daoshu
道体器用	daotiqiyong
道统说	daotongshuo
道心	daoxin
道宣	daoxuan
道一	daoyi
盗亦有道	daoyiyoudao
导引	daoyin
道在物中	daozaiwuzhong
德本财末	debencaimo
得本知末	debenzhimo
德操	decao
德勒斯	delesi
德力	deli
德里达	delida
德谟克利特	demokelite
德虐相成	denuexiangcheng
德清	deqing
德先生	dexiansheng
得象忘言	dexiangwangyan
德行	dexing
德性之知	dexingzhizhi
得意忘象	deyiwangxiang
德治	dezhi
德智主义	dezhizhuyi
登高必自卑	denggaobizibei
邓陵氏	denglingshi
邓陵子	denglingzi
邓牧	dengmu
邓析	dengxi
邓析子	dengxizi
邓显鹤	dengxianhe
邓演达	dengyanda
邓以蛰	dengyizhe
狄奥根尼	diaogenni
迪奥吉尼士	diaojinishi
地道	didao
狄德罗	dideluo
第欧根尼	diougenni
敌我分明	diwofenming
第一哲学	diyizhexue
地有常数	diyouchangshu
地中海沿岸	dizhonghaiyanan
电气	dianqi
丁福保	dingfubao
定慧	dinghui
定名与虚位	dingmingyuxuwei
丁文江	dingwenjiang
丁子有尾	dingziyouwei
动必有机	dongbiyouji
动的逻辑	dongdeluoji
动的文明	dongdewenming
东方神秘主义	dongfangshenmizhuyi
动非自外	dongfeiziwai
动静互涵	dongjinghuhan
动静皆动	dongjingjiedong
董无心	dongwuxin
东西文化论战	dongxiwenhualunzhan
动心忍性	dongxinrenxing
动则成昏	dongzechenghun
董仲舒	dongzhongshu
斗争性	douzhengxing
杜弼	dubi
杜光庭	duguangting
杜国庠	duguoxiang
独化	duhua
独化于玄冥之境	duhuayuxuanmingzhijing
独立存在	dulicunzai
杜林	dulin
独生而无所资借	dushengerwusuozijie
杜守素	dushousu
杜顺	dushun
独头无明	dutouwuming
独头意识	dutouyishi
杜武库	duwuku
独心	duxin
独性	duxing
笃行	duxing
独知独觉	duzhidujue
端木赐	duanmuci
对待	duidai
对夺	duiduo
对戡法	duikanfa
对抗性矛盾	duikangxingmaodun
对立起来	duiliqilai
对立统一	duilitongyi
对生	duisheng
对物	duiwu
对应词汇	duiyingcihui
对争	duizheng
顿超直悟	dunchaozhiwu
钝根	dungen
顿渐之争	dunjianzhizheng
遁天背情	duntianbeiqing
顿悟	dunwu
多元认识论	duoyuanrenshilun
多中一	duozhongyi
鹅湖之会	ehuzhihui
恩培多克勒	enpeiduokele
二柄	erbing
二谛	erdi
二而一	ereryi
耳目之官	ermuzhiguan
耳目之实	ermuzhishi
兒说	ershuo
二无一	erwuyi
而指非指	erzhifeizhi
法度	fadu
法后王	fahouwang
法界	fajie
法界缘起	fajieyuanqi
法琳	falin
法律篇	falvpian
法生于义	fashengyuyi
法式	fashi
法术势	fashushi
法顺	fashun
法天贵真	fatianguizhen
法统	fatong
法显	faxian
法先王	faxianwang
发现真理	faxianzhenli
法象	faxiang
法相	faxiang
法性	faxing
法演	fayan
法眼	fayan
法藏	fazang|facang
发展哲学	fazhanzhexue
法哲学	fazhexue
法执	fazhi
泛爱万物	fanaiwanwu
反本	fanben
樊迟	fanchi
范畴	fanchou
犯而不校	fanerbujiao|fanerbuxiao
反复	fanfu
反复问答	fanfuwenda
反观	fanguan
泛架构主义	fanjiagouzhuyi
反经行权	fanjingxingquan
范蠡	fanli
烦恼障	fannaozhang
反求诸己	fanqiuzhuji
反求自识	fanqiuzishi
反身而诚	fanshenercheng
范寿康	fanshoukang
范文澜	fanwenlan
凡物必合	fanwubihe
樊须	fanxu
樊逊	fanxun
反衍	fanyan
反因	fanyin
反映论	fanyinglun
反者道之动	fanzhedaozhidong
范缜	fanzhen
范仲淹	fanzhongyan
方苞	fangbao
方便	fangbian
放达	fangda
方东美	fangdongmei
方东树	fangdongshu
方会	fanghui
方术	fangshu
防微杜渐	fangweidujian
方孝孺	fangxiaoru
方以智	fangyizhi
方植之	fangzhizhi
非常激烈	feichangjilie
非道弘人	feidaohongren
斐德罗篇篇	feideluopianpian
斐多篇	feiduopian
费尔巴哈	feierbaha
非攻	feigong
非乐	feile
斐利布斯篇	feilibusipian
菲力帕斯篇	feilipasipian
非量	feiliang
菲罗索菲亚	feiluosuofeiya
费密	feimi
非命	feiming
非命尚力	feimingshangli
飞鸟之景未尝动	feiniaozhijingweichangdong
非耦	feiou
非气质无以见性	feiqizhiwuyijianxing
废然之静	feiranzhijing
非人者必有以易之	feirenzhebiyouyiyizhi
飞升	feisheng
非圣无法	feishengwufa
非汤武而薄周孔	feitangwuerbozhoukong
非以其名也	feiyiqimingye
费直	feizhi
非宗教精神	feizongjiaojingshen
分理	fenli
分命	fenming
愤世嫉俗	fenshijisu
分知分行	fenzhifenhang
奉常处变	fengchangchubian
冯定	fengding
风骨	fenggu
冯桂芬	fengguifen
风教	fengjiao
冯契	fengqi
奉天法古	fengtianfagu
冯文潜	fengwenqian
冯友兰	fengyoulan
佛法	fofa
佛性	foxing
拂尘看净	fuchenkanjing
傅嘏	fugu
富贵在钱	fuguizaiqian
富贵在天	fuguizaitian
傅立叶	fuliye
符箓	fulu
负面	fumian
复命	fuming
符命	fuming
傅青主	fuqingzhu
符瑞	furui
傅山	fushan
伏胜	fusheng
伏生	fusheng
服食	fushi
符书	fushu
