兜鍪	doumou
独幅裙	dufuqun
独科花	dukehua
犊鼻褌	dubikun
杜韦娘髻	duweiniangji
肚绑	dubang
肚兜	dudou
端衣	duanyi
端罩	duanzhao
短袄	duanao
短衫	duanshan
对襟马褂	duijinmagua
多纽马甲	duoniumajia
堕马髻	duomaji
峨髻	eji
蛾翠	ecui
蛾黛	edai
蛾眉	emei
额黄	ehuang
额帕	epa
额子	ezi
耳套	ertao
耳衣	eryi
法服	fafu
法冠	faguan
法国帽	faguomao
法衣	fayi
翻驳领	fanboling
樊哙冠	fankuaiguan
繁冠	fanguan
反绾髻	fanwanji
饭单裤	fandanku
饭单裙	fandanqun
方巾	fangjin
方山冠	fangshanguan
方山巾	fangshanjin
防弹衣	fangdanyi
仿生服装	fangshengfuzhuang
纺衣	fangyi
飞天髻	feitianji
飞鱼服	feiyufu
分梢眉	fenshaomei
粉米	fenmi
风兜	fengdou
风帽	fengmao
风雪帽	fengxuemao
风衣	fengyi
冯翼衣	fengyiyi
逢衣	fengyi
缝掖	fengye
凤冠	fengguan
凤髻	fengji
凤头鞋	fengtouxie
凤尾裙	fengweiqun
佛妆	fozhuang
芙蓉冠子	furongguanzi
拂拂娇	fufujiao
拂拂裙	fufuqun
服官	fuguan
服饰色彩	fushisecai
服饰式样	fushishiyang
服饰纹样	fushiwenyang
服制	fuzhi
服装分类	fuzhuangfenlei
服装功能	fuzhuanggongneng
服装功效	fuzhuanggongxiao
服装结构	fuzhuangjiegou
服装设计	fuzhuangsheji
福田衣	futianyi
幞头	futou
黻冕	fumian
黻衣	fuyi
黼裘	fuqiu
黼衣	fuyi
复舄	fuxi
腹围	fuwei
盖巾	gaijin
盖头	gaitou
赶上裙	ganshangqun
橄榄帽	ganlanmao
高髻	gaoji
高领	gaoling
高山冠	gaoshanguan
高屋帽	gaowumao
高腰节裙	gaoyaojiequn
羔裘	gaoqiu
犵姥裙	gelaoqun
革华	gehua
革履	gelv
葛巾	gejin
葛屦	geju
工装裤	gongzhuangku
工作帽	gongzuomao
弓鞋	gongxie
公服	gongfu
功裘	gongqiu
钩针衣	gouzhenyi
狗头帽	goutoumao
姑姑冠	guguguan
古代服色	gudaifuse
罟罟冠	guguguan
固姑	gugu
故姑	gugu
顾姑	gugu
瓜皮帽	guapimao
冠子	guanzi
广告衫	guanggaoshan
衮服	gunfu
衮冕	gunmian
衮衣	gunyi
滚边	gunbian
海魂衫	haihunshan
海军帽	haijunmao
海派服装	haipaifuzhuang
韩公帕	hangongpa
汗襦	hanru
汗衫	hanshan
汗搨	hanta
汗衣	hanyi
行缠	xingchan
行褂	xinggua
行袍	xingpao
行裳	xingshang
行滕	xingteng
浩然巾	haoranjin
和服	hefu
荷叶边	heyebian
核桃钮	hetaoniu
黑三郎	heisanlang
黑豸	heizhi
红轮	honglun
红缨帽	hongyingmao
后枪袋	houqiangdai
狐尾衣	huweiyi
胡服	hufu
胡服骑射	hufuqishe
胡帽	humao
胡桃结巾	hutaojiejin
虎头帽	hutoumao
虎头鞋	hutouxie
护帽	humao
护胸裙	huxiongqun
笏头带	hutoudai
花钿	huadian
花冠	huaguan
花黄	huahuang
花髻	huaji
花结领	huajieling
花翎	hualing
花笼裙	hualongqun
花面	huamian
花绦	huatao
花套袜	huataowa
花衣	huayi
花竹帽	huazhumao
花子	huazi
华虫	huachong
华衮	huagun
华阳巾	huayangjin
画帛	huabo
桦巾	huajin
坏衣	huaiyi
环幅	huanfu
圜冠	huanguan
黄冠	huangguan
黄马褂	huangmagua
黄袍	huangpao
黄衫	huangshan
袆衣	huiyi
回鹘装	huihuzhuang
茴香髻	huixiangji
惠文冠	huiwenguan
浑裹	hunguo
浑脱帽	huntuomao
浑脱毡帽	huntuozhanmao
混元巾	hunyuanjin
击剑衫	jijianshan
机恤	jixu
鸡心边	jixinbian
缉塔克	jitake
缉细裥	jixijian
缉止口	jizhikou
吉服冠	jifuguan
芰制	jizhi
济逊	jixun
祭服	jifu
祭冠	jiguan
袈裟	jiasha
夹克衫	jiakeshan
夹衣	jiayi
甲胄	jiazhou
贾哈	jiaha
假纷	jiafen
假髻	jiaji
间隔裥裙	jiangejianqun
菅屦	jianju
简易西装	jianyixizhuang
建华冠	jianhuaguan
健康袜	jiankangwa
健身鞋	jianshenxie
箭袖	jianxiu
箭衣	jianyi
交领	jiaoling
胶木钮扣	jiaomuniukou
蕉衣	jiaoyi
角冠	jiaoguan
角巾	jiaojin
结衣	jieyi
解散帻	jiesanze
介帻	jieze
介胄	jiezhou
金貂	jindiao
金甲	jinjia
金锁甲	jinsuojia
金舄	jinxi
紧身褡	jinshenda
紧身棉袄	jinshenmianao
紧身衣	jinshenyi
锦靿	jinyao
