洮河砚	taoheyan
海德堡人	haidebaoren
元代石暖砚	yuandaishinuanyan
琐罗亚斯德教	suoluoyasidejiao
铜勺	tongshao
斯芬克斯之谜	sifenkesizhimi
蟠螭纹	panchiwen
棱齿恐龙	lengchikonglong
裴将军诗	peijiangjunshi
格伯簋	gebogui
司母戊大方鼎	simuwudafangding
长川一号墓	changchuanyihaomu
邦墓	bangmu
战国金银彩绘漆案	zhanguojinyincaihuiqian
铜瓿	tongbu
温泉铭	wenquanming
雁足铜灯	yanzutongdeng
蝉翅拓	chanchituo
贝纹	beiwen
北魏双人榻	beiweishuangrenta
璧友	biyou
读碑窠石图	dubeikeshitu
土墩墓	tudunmu
麟趾金	linzhijin
铜句鑃	tongjudiao
释迦牟尼鎏金铜造像	shijiamouniliujintongzaoxiang
勾连雷纹	goulianleiwen
项墨林棐几	xiangmolinfeiji
夔纹	kuiwen
鼍轨砚	tuoguiyan
贝丘	beiqiu
金刚伞	jingangsan
嘉靖粉彩紫砂壶	jiajingfencaizishahu
三彩马	sancaima
神兽纹镜	shenshouwenjing
熔模法	rongmofa
森林龙	senlinlong
邺瓦	yewa
铜官窑	tongguanyao
新乐遗址	xinyueyizhi|xinleyizhi
匮纸	kuizhi
鸟脚亚龙	niaojiaoyalong
长信宫灯	changxingongdeng
云纹铜禁	yunwentongjin
缠臂金	chanbijin
蒙托龙	mengtuolong
佛像鸾凤镜	foxiangluanfengjing
大观圣作之碑	daguanshengzuozhibei
铜区	tongqu
青铜面具	qingtongmianju
铜录山古铜矿遗址	tonglushangutongkuangyizhi
银贝	yinbei
夷矛	yimao
铜鐎斗	tongjiaodou
秀颚龙	xiuelong
山羊纹铜牌饰	shanyangwentongpaishi
飞鸿延年瓦当	feihongyannianwadang
商代铜三联甗座架	shangdaitongsanlianyanzuojia
金凤冠	jinfengguan
石家河遗址	shijiaheyizhi
五联罐	wulianguan
莲花纹	lianhuawen
铜当卢	tongdanglu
欧帕兹	oupazi
铜马冠	tongmaguan
赵陵山遗址	zhaolingshanyizhi
三熊足瓷砚	sanxiongzuciyan
崧泽古文化遗址	songzeguwenhuayizhi
贝冢	beizhong
石蟾蜍	shichanchu
蜼彝	weiyi
考古图	kaogutu
巨貘	jumo
青铜水器	qingtongshuiqi
春秋木案	chunqiumuan
袁靖	yuanjing
朱顺龙	zhushunlong
剡藤	shanteng
喇家遗址	lajiayizhi
鸡公山遗址	jigongshanyizhi
元怀墓志	yuanhuaimuzhi
明代錾花错金银执壶	mingdaizanhuacuojinyinzhihu
汉陵	hanling
蓝田猿人遗址	lantianyuanrenyizhi
陶尊	taozun
马里埃特	maliaite
李超墓志	lichaomuzhi
妒妇津	dufujin
明代錾花银罐	mingdaizanhuayinguan
熊雀形铜器足	xiongquexingtongqizu
铜镈	tongbo
特钟	tezhong
取土器	qutuqi
铜兕觥	tongsigong
蜥蜴状髋部	xiyizhuangkuanbu
河姆渡文化双鸟朝阳纹牙雕	hemuduwenhuashuangniaozhaoyangwenyadiao
错石	cuoshi
簪笔	zanbi
乳钉纹	rudingwen
史墙盘	shiqiangpan
铜卮灯	tongzhideng
凤鸟纹	fengniaowen
婺源砚	wuyuanyan
铜鹿角立鹤	tonglujiaolihe
沈辰	shenchen
铜禁	tongjin
温明	wenming
张猛龙碑	zhangmenglongbei
万历款龙纹黑漆药柜	wanlikuanlongwenheiqiyaogui
献陵	xianling
雁足灯	yanzudeng
大葆台西汉墓	dabaotaixihanmu
邓师	dengshi
元谋猿人遗址	yuanmouyuanrenyizhi
原蟒蛇	yuanmangshe
乾陵地宫	qianlingdigong
鱼纹	yuwen
伍子胥画像镜	wuzixuhuaxiangjing
天亡簋	tianwanggui
犀纹	xiwen
衔尾蛇	xianweishe
史前考古学	shiqiankaoguxue
定窑瓷塑法螺	dingyaocisufaluo
亡灵书	wanglingshu
小河沿	xiaoheyan
葡萄斑	putaoban
印纹硬陶	yinwenyingtao
腰坑	yaokeng
张长寿	zhangchangshou
蝉纹	chanwen
胡簋	hugui
三角雷纹	sanjiaoleiwen
骨董	gudong
王子午铜鼎	wangziwutongding
唐代木笔架	tangdaimubijia
欹器	qiqi
真子飞霜镜	zhenzifeishuangjing
唐大圣遗音琴	tangdashengyiyinqin
镂孔	loukong
吴戈	wuge
商代铜雕刀	shangdaitongdiaodao
矢人盘	shirenpan
兴隆洼遗址	xinglongwayizhi
铜耳杯	tongerbei
贾湖骨笛	jiahugudi
东山文化	dongshanwenhua
打马球纹镜	damaqiuwenjing
蟠虺纹	panhuiwen
淳钧	chunjun
瀛奎律髓	yingkuilvsui
鸟脚龙	niaojiaolong
绞胎瓷	jiaotaici
始初龙	shichulong
衍生特徵	yanshengtezheng
战国彩绘漆木床	zhanguocaihuiqimuchuang
查海遗址	chahaiyizhi
宴乐渔猎攻战纹壶	yanleyuliegongzhanwenhu
辽代鎏金龙鱼纹银饰	liaodailiujinlongyuwenyinshi
战国雕花木几	zhanguodiaohuamuji
探梅图	tanmeitu
鎏金舞马衔杯银壶	liujinwumaxianbeiyinhu
纯地纹镜	chundiwenjing
青铜炊器	qingtongchuiqi
汉代陶柜	handaitaogui
宵练	xiaolian
南海一号	nanhaiyihao
僰人悬棺	borenxuanguan
重环纹铜镜	zhonghuanwentongjing
田野考古	tianyekaogu
玉禁步	yujinbu
侯马东周铸铜陶范	houmadongzhouzhutongtaofan
春秋木几	chunqiumuji
折腹碗	zhefuwan
明代錾花错金银盘盏	mingdaizanhuacuojinyinpanzhan
铜缾	tongping
铜盘灯	tongpandeng
铜乌	tongwu
人俑灯	renyongdeng
洮石砚	taoshiyan
两足动物	liangzudongwu
郑振香	zhengzhenxiang
虹女	hongnv
通天冠	tongtianguan
大河村遗址	dahecunyizhi
铜温壶	tongwenhu
裴文中	peiwenzhong
陶拍	taopai
青铜食器	qingtongshiqi
当卢	danglu
重环纹	zhonghuanwen
象尊	xiangzun
卧褥香炉	woruxianglu
相风乌	xiangfengwu
吉兰泰	jilantai
铜行灯	tongxingdeng
宋朝事实类苑	songchaoshishileiyuan
两甾	liangzai
阿比多斯	abiduosi
明洪武时木床	minghongwushimuchuang
统万城遗址	tongwanchengyizhi
侯马盟书	houmamengshu
双兽三轮盘	shuangshousanlunpan
白虎纹瓦当	baihuwenwadang
馒头窑	mantouyao
享堂	xiangtang
葬式	zangshi
热释光剂量仪	reshiguangjiliangyi
