奥陶纪	aotaoji
断层带	duancengdai
断层地震	duancengdizhen
断层谷	duancenggu
断层角砾岩	duancengjiaoliyan
断层面	duancengmian
断层泥	duancengni
断层崖	duancengya
断块	duankuai
断块构造说	duankuaigouzaoshuo
断裂	duanlie
短周期地震仪	duanzhouqidizhenyi
堆积阶地	duijijiedi
顿丘	dunqiu
盾形火山	dunxinghuoshan
多年冻土	duoniandongtu
二叠纪	erdieji
二叠系	erdiexi
二祖山	erzushan
伐腊毗国	falapiguo
泛大洋	fandayang
钒钙铀矿	fangaiyoukuang
钒矿	fankuang
反象	fanxiang
梵衍那国	fanyannaguo
方解石	fangjieshi
仿射变换	fangshebianhuan
放射性测量	fangshexingceliang
方柱石	fangzhushi
分层设色表	fencengshesebiao
分层设色法	fencengshesefa
粉砂土	fenshatu
粉砂岩	fenshayan
粉砂质	fenshazhi
分水岭	fenshuiling
分乡组	fenxiangzu
风化层	fenghuaceng
风化壳	fenghuaqiao
风灾	fengzai
富冰冻土	fubingdongtu
俯冲断层	fuchongduanceng
腹地	fudi
浮雕影象地图	fudiaoyingxiangditu
扶南国	funanguo
腐生动物	fushengdongwu
福生天	fushengtian
腐生植物	fushengzhiwu
浮坞	fuwu
涪县	fuxian
盖层	gaiceng
干涸湖	ganhehu
干盐湖	ganyanhu
刚性板块	gangxingbankuai
高岭土	gaolingtu
高原	gaoyuan
戈壁	gebi
隔水层	geshuiceng
给水度	geishuidu
更新世	gengxinshi
更新统	gengxintong
工程地震	gongchengdizhen
工程地质	gongchengdizhi
工程地质单元	gongchengdizhidanyuan
工程地质勘察	gongchengdizhikancha
工程地质条件	gongchengdizhitiaojian
工程地质图	gongchengdizhitu
工程地质学	gongchengdizhixue
工程点	gongchengdian
工程范围	gongchengfanwei
工程活动	gongchenghuodong
工程勘察设计	gongchengkanchasheji
工程手段	gongchengshouduan
共轭断层	gongeduanceng
共轭节理	gongejieli
工矿区	gongkuangqu
工业地理学	gongyedilixue
工业综合体	gongyezongheti
构造	gouzao
构造窗	gouzaochuang
构造带	gouzaodai
构造单元	gouzaodanyuan
构造地质学	gouzaodizhixue
构造复合	gouzaofuhe
构造格架	gouzaogejia
构造湖	gouzaohu
构造盆地	gouzaopendi
构造圈	gouzaoquan
构造体系	gouzaotixi
构造物理学	gouzaowulixue
构造形迹	gouzaoxingji
构造旋回	gouzaoxuanhui
古地磁	gudici
古地磁极	gudiciji
古地图	guditu
古地震	gudizhen
固定论	gudinglun
孤峰组	gufengzu
古近纪	gujinji
鼓丘	guqiu
古生代	gushengdai
古生界	gushengjie
古水文学	gushuiwenxue
古土壤	guturang
古纬度	guweidu
古新世	guxinshi
光学图象处理	guangxuetuxiangchuli
硅化	guihua
硅孔雀石	guikongqueshi
硅铝层	guilvceng
硅镁层	guimeiceng
硅镁石	guimeishi
硅酸盐	guisuanyan
硅锌矿	guixinkuang
硅藻土	guizaotu
硅质灰岩	guizhihuiyan
硅质岩	guizhiyan
国家地图集	guojiadituji
过氧化物	guoyanghuawu
海拔	haiba
海底地震	haididizhen
海底地震仪	haididizhenyi
海沟	haigou
海相	haixiang
海洋地球化学	haiyangdiqiuhuaxue
海洋地质	haiyangdizhi
海洋环境	haiyanghuanjing
海洋污染	haiyangwuran
海洋性气候	haiyangxingqihou
寒带	handai
含砾砂岩	hanlishayan
含砂	hansha
