更上一层楼	gengshangyicenglou
择其善者而从之	zeqishanzheercongzhi
会当凌绝顶	huidanglingjueding
火树银花不夜天	huoshuyinhuabuyetian
绝知此事要躬行	juezhicishiyaogongxing
无以成江海	wuyichengjianghai
秋水共长天一色	qiushuigongchangtianyise
成由勤俭败由奢	chengyouqinjianbaiyoushe
只缘身在此山中	zhiyuanshenzaicishanzhong
好雨知时节	haoyuzhishijie
青山遮不住	qingshanzhebuzhu
慈母手中线	cimushouzhongxian
君子和而不同	junziheerbutong
衙斋卧听萧萧竹	yazhaiwotingxiaoxiaozhu
飞流直下三千尺	feiliuzhixiasanqianchi
毕竟东流去	bijingdongliuqu
春眠不觉晓	chunmianbujuexiao
汗滴禾下土	handihexiatu
学而时习之	xueershixizhi
君子坦荡荡	junzitandangdang
游子身上衣	youzishenshangyi
留取丹心照汗青	liuqudanxinzhaohanqing
床前明月光	chuangqianmingyueguang
以及人之老	yijirenzhilao
月上柳梢头	yueshangliushaotou
衣食足而知荣辱	yishizuerzhirongru
人生自古谁无死	renshengzigushuiwusi
东方风来满眼春	dongfangfenglaimanyanchun
岁岁年年人不同	suisuiniannianrenbutong
落霞与孤鹜齐飞	luoxiayuguwuqifei
家书抵万金	jiashudiwanjin
己欲达而达人	jiyudaerdaren
出师未捷身先死	chushiweijieshenxiansi
假作真时真亦假	jiazuozhenshizhenyijia
居庙堂之高	jumiaotangzhigao
可望不可即	kewangbukeji
不知其可也	buzhiqikeye
必先苦其心志	bixiankuqixinzhi
少小离家老大回	shaoxiaolijialaodahui
位卑未敢忘忧国	weibeiweiganwangyouguo
历览前贤国与家	lilanqianxianguoyujia
人约黄昏后	renyuehuanghunhou
虽千万人吾往矣	suiqianwanrenwuwangyi
蜡炬成灰泪始干	lajuchenghuileishigan
王顾左右而言他	wangguzuoyoueryanta
兄弟阋于墙	xiongdixiyuqiang
天然去雕饰	tianranqudiaoshi
两岸猿声啼不住	lianganyuanshengtibuzhu
擒贼先擒王	qinzeixianqinwang
低头思故乡	ditousiguxiang
濯清涟而不妖	zhuoqinglianerbuyao
疾风知劲草	jifengzhijincao
万里尚为邻	wanlishangweilin
人间四月芳菲尽	renjiansiyuefangfeijin
踏破铁鞋无觅处	tapotiexiewumichu
一桥飞架南北	yiqiaofeijiananbei
烟花三月下扬州	yanhuasanyuexiayangzhou
不带走一片云彩	budaizouyipianyuncai
可以正衣冠	keyizhengyiguan
乱云飞渡仍从容	luanyunfeidurengcongrong
数风流人物	shufengliurenwu
最忆是杭州	zuiyishihangzhou
人老心不老	renlaoxinbulao
衣带渐宽终不悔	yidaijiankuanzhongbuhui
为伊消得人憔悴	weiyixiaoderenqiaocui
宜将剩勇追穷寇	yijiangshengyongzhuiqiongkou
以百姓心为心	yibaixingxinweixin
远近高低各不同	yuanjingaodigebutong
相知无远近	xiangzhiwuyuanjin
四十而不惑	sishierbuhuo
非宁静无以致远	feiningjingwuyizhiyuan
水至清则无鱼	shuizhiqingzewuyu
贫贱夫妻百事哀	pinjianfuqibaishiai
少壮不努力	shaozhuangbunuli
大珠小珠落玉盘	dazhuxiaozhuluoyupan
人生若只如初见	renshengruozhiruchujian
把酒问青天	bajiuwenqingtian
逝者如斯夫	shizherusifu
旧时王谢堂前燕	jiushiwangxietangqianyan
一日之计在于晨	yirizhijizaiyuchen
当春乃发生	dangchunnaifasheng
沉舟侧畔千帆过	chenzhoucepanqianfanguo
问渠那得清如许	wenqunadeqingruxu
胜似闲庭信步	shengsixiantingxinbu
病树前头万木春	bingshuqiantouwanmuchun
问君能有几多愁	wenjunnengyoujiduochou
春风得意马蹄疾	chunfengdeyimatiji
天生我材必有用	tianshengwocaibiyouyong
一片冰心在玉壶	yipianbingxinzaiyuhu
见不善如探汤	jianbushanrutantang
为赋新词强说愁	weifuxinciqiangshuochou
人生七十古来稀	renshengqishigulaixi
心有灵犀一点通	xinyoulingxiyidiantong
敢叫日月换新天	ganjiaoriyuehuanxintian
厚积而薄发	houjierbofa
有恒产者有恒心	youhengchanzheyouhengxin
春风送暖入屠苏	chunfengsongnuanrutusu
名不正则言不顺	mingbuzhengzeyanbushun
五十而知天命	wushierzhitianming
男女授受不亲	nannvshoushoubuqin
万水千山只等闲	wanshuiqianshanzhidengxian
黄河之水天上来	huanghezhishuitianshanglai
见善如不及	jianshanrubuji
有缘千里来相会	youyuanqianlilaixianghui
曾经沧海难为水	cengjingcanghainanweishui
举杯邀明月	jubeiyaomingyue
月有阴晴圆缺	yueyouyinqingyuanque
到中流击水	daozhongliujishui
风雪夜归人	fengxueyeguiren
门前冷落车马稀	menqianlengluochemaxi
可上九天揽月	keshangjiutianlanyue
国以民为本	guoyiminweiben
路有冻死骨	luyoudongsigu
人逢喜事精神爽	renfengxishijingshenshuang
人间万事出艰辛	renjianwanshichujianxin
那人却在灯火阑珊处	narenquezaidenghuolanshanchu
无官一身轻	wuguanyishenqing
