更上一层楼	gengshangyicenglou
昨夜斗回北	zuoyedouhuibei
正西风落叶下长安	zhengxifengluoyexiachangan
三夜频梦君	sanyepinmengjun
君子耻其言而过其行	junzichiqiyanerguoqixing
稻米流脂粟米白	daomiliuzhisumibai
伤心桥下春波绿	shangxinqiaoxiachunbolv
野旷天低树	yekuangtiandishu
依依似君子	yiyisijunzi
来着犹可追	laizheyoukezhui
将军夜引弓	jiangjunyeyingong
蜷局顾而不行	quanjuguerbuxing
人得而诛之	rendeerzhuzhi
峨眉邈难匹	emeimiaonanpi
独立苍茫自咏诗	dulicangmangziyongshi
秦川得及此间无	qinchuandejicijianwu
霜重鼓寒声不起	shuangzhongguhanshengbuqi
功成拂衣去	gongchengfuyiqu
千里无人烟	qianliwurenyan
无昭昭之明	wuzhaozhaozhiming
槛外长江空自流	kanwaichangjiangkongziliu|kanwaizhangjiangkongziliu
庐山东南五老峰	lushandongnanwulaofeng
荡摇浮世生万象	dangyaofushishengwanxiang
此夜曲中闻折柳	ciyequzhongwenzheliu
桃花乱落如红雨	taohualuanluoruhongyu
流到瓜洲古渡头	liudaoguazhougudutou
奸官污吏虐民可以死	jianguanwulinueminkeyisi
弄花香满衣	nonghuaxiangmanyi
坐愁红颜老	zuochouhongyanlao
芭蕉不展丁香结	bajiaobuzhandingxiangjie
青天削出金芙蓉	qingtianxuechujinfurong
生死不相离	shengsibuxiangli
是与人为善者也	shiyurenweishanzheye
寒山转苍翠	hanshanzhuancangcui
夜深忽梦少年事	yeshenhumengshaonianshi
尧舜其犹病诸	yaoshunqiyoubingzhu
乘舲船余上沅兮	chenglingchuanyushangyuanxi
水为之而寒于水	shuiweizhierhanyushui
钱塘湖春行	qiantanghuchunxing
春风不改旧时波	chunfengbugaijiushibo
初日照高林	churizhaogaolin
妾愿随君行	qieyuansuijunxing
已是黄昏独自愁	yishihuanghunduzichou
教者必以正	jiaozhebiyizheng
难得有心郎	nandeyouxinlang
高楼红袖客纷纷	gaolouhongxiukefenfen
中庸之为德也	zhongyongzhiweideye
江汉春风起	jianghanchunfengqi
独自莫凭栏	duzimopinglan
布衾多年冷似铁	buqinduonianlengsitie
南望王师又一年	nanwangwangshiyouyinian
吾从而师之	wucongershizhi
座中泣下谁最多	zuozhongqixiashuizuiduo
夕贬潮阳路八千	xibianchaoyanglubaqian
取诸人以为善	quzhurenyiweishan
樱桃千万枝	yingtaoqianwanzhi
无以人灭天	wuyirenmietian
只几个石头磨过	zhijigeshitoumoguo
双桥落彩虹	shuangqiaoluocaihong
瀚海阑干百丈冰	hanhailanganbaizhangbing
红裙妒杀石榴花	hongqundushashiliuhua
只有芙蓉独自芳	zhiyoufurongduzifang
不知老之将至云尔	buzhilaozhijiangzhiyuner
五陵年少争缠头	wulingnianshaozhengchantou
故园今夜里	guyuanjinyeli
人似秋鸿来有信	rensiqiuhonglaiyouxin|renshiqiuhonglaiyouxin
子非三闾大夫与	zifeisanlvdafuyu
古人今人若流水	gurenjinrenruoliushui
君子居则贵左	junzijuzeguizuo
仙乐风飘处处闻	xianyuefengpiaochuchuwen|xianlefengpiaochuchuwen
用之所趋异也	yongzhisuoquyiye
天灾可以死	tianzaikeyisi
天下云集响应	tianxiayunjixiangying
波光里的艳影	boguanglideyanying
圣人无常师	shengrenwuchangshi
挥毫落纸如云烟	huihaoluozhiruyunyan
告诸往而知来者	gaozhuwangerzhilaizhe
今之从政者殆而	jinzhicongzhengzhedaier
楼观沧海日	louguancanghairi
白兔捣药秋复春	baitudaoyaoqiufuchun
他乡胜故乡	taxiangshengguxiang
永夜月同孤	yongyeyuetonggu
猿猱欲度愁攀援	yuannaoyuduchoupanyuan
泠泠七弦上	linglingqixianshang
何时复西归	heshifuxigui
生民百遗一	shengminbaiyiyi
下必有甚焉者矣	xiabiyoushenyanzheyi
不如早还家	buruzaohuanjia
而不见舆薪	erbujianyuxin
望今后有远行	wangjinhouyouyuanxing
元气淋漓障犹湿	yuanqilinlizhangyoushi
刻唐贤今人诗赋于其上	ketangxianjinrenshifuyuqishang
人世难逢开口笑	renshinanfengkaikouxiao
看你横行到几时	kannihengxingdaojishi
泥上偶然留指爪	nishangouranliuzhizhao
一枝红艳露凝香	yizhihongyanluningxiang
池上芙蕖净少情	chishangfuqujingshaoqing
樽酒家贫只旧醅	zunjiujiapinzhijiupei
莫道昆明池水浅	modaokunmingchishuiqian
寻章摘句老雕虫	xunzhangzhaijulaodiaochong
此志常觊豁	cizhichangjihuo
时鸣春涧中	shimingchunjianzhong
花竹有和气	huazhuyouheqi
诗家清景在新春	shijiaqingjingzaixinchun
岳阳楼上对君山	yueyangloushangduijunshan
每假借于藏书之家	meijiajieyucangshuzhijia
仁在其中矣	renzaiqizhongyi
重与细论文	zhongyuxilunwen
拈断数茎须	nianduanshujingxu
轻拢慢捻抹复挑	qinglongmannianmofutiao
半缘修道半缘君	banyuanxiudaobanyuanjun
君子博学而日参省乎己	junziboxueerricanshenghuji
肯将衰朽惜残年	kenjiangshuaixiuxicannian
威天下不以兵革之利	weitianxiabuyibinggezhili
眼前无长物	yanqianwuchangwu
一宵冷雨葬名花	yixiaolengyuzangminghua
离人心上秋	lirenxinshangqiu
飘然思不群	piaoransibuqun
三顾臣于草庐之中	sanguchenyucaoluzhizhong
相思相望不相亲	xiangsixiangwangbuxiangqin
骊宫高处入青云	ligonggaochuruqingyun
岂有贝阙藏珠宫	qiyoubeiquecangzhugong
添酒回灯重开宴	tianjiuhuidengchongkaiyan
循墙绕柱觅君诗	xunqiangraozhumijunshi
寄扬州韩绰判官	jiyangzhouhanchuopanguan
一去一万里	yiquyiwanli
吾幸而得汝	wuxingerderu
等闲惊破纱窗梦	dengxianjingposhachuangmeng
将军白发征夫泪	jiangjunbaifazhengfulei
人有不为也	renyoubuweiye
长征不是难堪日	changzhengbushinankanri
谁念西风独自凉	shuinianxifengduziliang
莫言名与利	moyanmingyuli
芙蓉泣露香兰笑	furongqiluxianglanxiao
野芳发而幽香	yefangfaeryouxiang
虽有千里之能	suiyouqianlizhineng
不见定王城旧处	bujiandingwangchengjiuchu
半匹红绡一丈绫	banpihongxiaoyizhangling
高台西北望	gaotaixibeiwang
随风直到夜郎西	suifengzhidaoyelangxi
小人骄而不泰	xiaorenjiaoerbutai
空里流霜不觉飞	kongliliushuangbujuefei
楚天千里清秋	chutianqianliqingqiu
真堪托死生	zhenkantuosisheng
长风万里送秋雁	changfengwanlisongqiuyan
今年欢笑复明年	jinnianhuanxiaofumingnian
汽笛一声肠已断	qidiyishengchangyiduan
卷地风来忽吹散	juandifenglaihuchuisan
又有清流激湍	youyouqingliujituan
日破云涛万里红	ripoyuntaowanlihong
潭面无风镜未磨	tanmianwufengjingweimo
岁晏有余粮	suiyanyouyuliang
所思在远道	suosizaiyuandao
当年万里觅封侯	dangnianwanlimifenghou
一路繁花相送	yilufanhuaxiangsong
谁见幽人独往来	shuijianyourenduwanglai
一去紫台连朔漠	yiquzitailianshuomo
浮生长恨欢娱少	fushengchanghenhuanyushao
才饮长江水	caiyinchangjiangshui
秀出九芙蓉	xiuchujiufurong
吾诚愿与汝相守以死	wuchengyuanyuruxiangshouyisi
向晚意不适	xiangwanyibushi
臣闻求木之长者	chenwenqiumuzhizhangzhe
山花红紫树高低	shanhuahongzishugaodi
五岭皆炎热	wulingjieyanre
江边踏青罢	jiangbiantaqingba
诚知此恨人人有	chengzhicihenrenrenyou
掬水月在手	jushuiyuezaishou
十五始展眉	shiwushizhanmei
绿酒一杯歌一遍	lvjiuyibeigeyibian
自去自来堂上燕	ziquzilaitangshangyan
战士指看南粤	zhanshizhikannanyue
故国不堪回首月明中	guguobukanhuishouyuemingzhong
误落尘网中	wuluochenwangzhong
赌书消得泼茶香	dushuxiaodepochaxiang
好竹连山觉笋香	haozhulianshanjuesunxiang
今朝霜重东门路	jinzhaoshuangzhongdongmenlu
肇锡余以嘉名	zhaoxiyuyijiaming
云散月明谁点缀	yunsanyuemingshuidianzhui
白云明月吊湘娥	baiyunmingyuediaoxiange
天下之善士	tianxiazhishanshi
荷衣兮蕙带	heyixihuidai
黄衣使者白衫儿	huangyishizhebaishaner
歌曲动寒川	gequdonghanchuan
何莫学夫诗	hemoxuefushi
我亦是行人	woyishixingren
无地不相宜	wudibuxiangyi
又未尝不可呢	youweichangbukene
光彩露沾湿	guangcailuzhanshi
借问瘟君欲何往	jiewenwenjunyuhewang
闻君有两意	wenjunyouliangyi
月出惊山鸟	yuechujingshanniao
攀桂仰天高	panguiyangtiangao
朵朵花开淡墨痕	duoduohuakaidanmohen
为留待骚人	weiliudaisaoren
一乡之善士	yixiangzhishanshi
若个是真梅	ruogeshizhenmei
男儿到死心如铁	nanerdaosixinrutie
逸居而无教	yijuerwujiao
社稷一戎衣	shejiyirongyi
以其不自生	yiqibuzisheng
士俗不可医	shisubukeyi
第以今日事势观之	diyijinrishishiguanzhi
自行束修以上	zixingshuxiuyishang
窗下有清风	chuangxiayouqingfeng
起来慵整纤纤手	qilaiyongzhengxianxianshou
忽闻河东狮子吼	huwenhedongshizihou
山形依旧枕寒流	shanxingyijiuzhenhanliu
樱花永巷垂杨岸	yinghuayongxiangchuiyangan
万里共清辉	wanligongqinghui
万里长空且为忠魂舞	wanlichangkongqieweizhonghunwu
沉默是今晚的康桥	chenmoshijinwandekangqiao
灯火下楼台	denghuoxialoutai
感此伤妾心	gancishangqiexin
如此风波不可行	rucifengbobukexing
梨花院落溶溶月	lihuayuanluorongrongyue
滔滔者天下皆是也	taotaozhetianxiajieshiye
被酒莫惊春睡重	beijiumojingchunshuizhong
小人求诸人	xiaorenqiuzhuren
岁月忽已晚	suiyuehuyiwan
可谓仁之方也已	keweirenzhifangyeyi
石破天惊逗秋雨	shipotianjingdouqiuyu
缥缈孤鸿影	piaomiaoguhongying
应念未归人	yingnianweiguiren
身向榆关那畔行	shenxiangyuguannapanxing
吊古战场文	diaoguzhanchangwen
花发江边二月晴	huafajiangbianeryueqing
血色罗裙翻酒污	xueseluoqunfanjiuwu
喧然名都会	xuanranmingduhui|xuanranmingdouhui
国中无地无时不可以死	guozhongwudiwushibukeyisi
昨夜星辰昨夜风	zuoyexingchenzuoyefeng
到那时使吾眼睁睁看汝死	daonashishiwuyanzhengzhengkanrusi
同是长干人	tongshichangganren
岂余心之可惩	qiyuxinzhikecheng
双飞西园草	shuangfeixiyuancao
能得几时好	nengdejishihao
愿作鸳鸯不羡仙	yuanzuoyuanyangbuxianxian
胡窥青海湾	hukuiqinghaiwan
恭宽信敏惠	gongkuanxinminhui
问今是何世	wenjinshiheshi
把志气奋发得起	bazhiqifenfadeqi
纤笔一枝谁与似	xianbiyizhisheiyusi
无日不悠悠	wuribuyouyou
柳絮池塘淡淡风	liuxuchitangdandanfeng
为下必因川泽	weixiabiyinchuanze
不教而杀谓之虐	bujiaoershaweizhinue
司空见惯浑闲事	sikongjianguanhunxianshi
月既不解饮	yuejibujieyin
罗衾不耐五更寒	luoqinbunaiwugenghan
浊泾清渭何当分	zhuojingqingweihedangfen
吾尝终日而思矣	wuchangzhongriersiyi
能如婴儿乎	nengruyingerhu
自胡马窥江去后	zihumakuijiangquhou
死而不亡者寿	sierbuwangzheshou
浩浩送中秋	haohaosongzhongqiu
千匝万周无已时	qianzawanzhouwuyishi
夫何忧何惧	fuheyouheju
故有道者不处	guyoudaozhebuchu
听蜀僧浚弹琴	tingshusengjuntanqin
无以故灭命	wuyigumieming
遂与外人间隔	suiyuwairenjiange
久要不忘平生之言	jiuyaobuwangpingshengzhiyan
何处哀筝随急管	hechuaizhengsuijiguan
一片伤心画不成	yipianshangxinhuabucheng
千骑拥高牙	qianqiyonggaoya
回首峰峦入莽苍	huishoufengluanrumangcang
潮去潮来洲渚春	chaoquchaolaizhouzhuchun
上疆场彼此弯弓月	shangjiangchangbiciwangongyue
号东坡居士	haodongpojushi
落魄江湖载酒行	luopojianghuzaijiuhang
仆夫悲余马怀兮	pufubeiyumahuaixi
君子生非异也	junzishengfeiyiye
弄妆梳洗迟	nongzhuangshuxichi
战锦方为大问题	zhanjinfangweidawenti
卮酒安足辞	zhijiuanzuci
若非群玉山头见	ruofeiqunyushantoujian
庭前芍药妖无格	tingqianshaoyaoyaowuge
秦开蜀道置金牛	qinkaishudaozhijinniu
人各有所好	rengeyousuohao
竹批双耳峻	zhupishuangerjun
馨香盈怀袖	xinxiangyinghuaixiu
斯友一乡之善士	siyouyixiangzhishanshi
不辞冰雪为卿热	bucibingxueweiqingre
盘飧市远无兼味	pansunshiyuanwujianwei
千林扫作一番黄	qianlinsaozuoyifanhuang
有志在四方	youzhizaisifang
富贵非吾愿	fuguifeiwuyuan
樱杏桃梨次第开	yingxingtaolicidikai
星河一道水中央	xingheyidaoshuizhongyang
不贵难得之货	buguinandezhihuo
薄汗轻衣透	bohanqingyitou|baohanqingyitou
露顶洒松风	ludingsasongfeng
海客无心随白鸥	haikewuxinsuibaiou
长恨此身非我有	changhencishenfeiwoyou
去似朝云无觅处	qusizhaoyunwumichu|qusichaoyunwumichu
不知明镜里	buzhimingjingli
则蘧蘧然周也	zeququranzhouye
欲为圣明除弊事	yuweishengmingchubishi
低头向暗壁	ditouxianganbi
要似昆仑崩绝壁	yaosikunlunbengjuebi
北风吹雁雪纷纷	beifengchuiyanxuefenfen
照横塘半天残月	zhaohengtangbantiancanyue
天下之穷民而无告者	tianxiazhiqiongminerwugaozhe
骊山北构而西折	lishanbeigouerxizhe
一夕高楼月	yixigaolouyue
芙蓉芍药皆嫫母	furongshaoyaojiemomu
羞颜未尝开	xiuyanweichangkai
由来征战地	youlaizhengzhandi
流响出疏桐	liuxiangchushutong
试看天地翻覆	shikantiandifanfu
人瘦尚可肥	renshoushangkefei
江流石不转	jiangliushibuzhuan
半世浮萍随逝水	banshifupingsuishishui
休将白发唱黄鸡	xiujiangbaifachanghuangji
岂云惮险艰	qiyundanxianjian
季文子三思而后行	jiwenzisansierhouxing
当垆仍是卓文君	danglurengshizhuowenjun
一别二十年	yibieershinian
万里故园心	wanliguyuanxin
吾不如老农	wuburulaonong
醉笑陪公三万场	zuixiaopeigongsanwanchang
是以生为本	shiyishengweiben
遥怜小儿女	yaolianxiaoernv
但见长江送流水	danjianchangjiangsongliushui
微风燕子斜	weifengyanzixie
斯友天下之善士	siyoutianxiazhishanshi
箪食壶浆以迎王师	dansihujiangyiyingwangshi
会向瑶台月下逢	huixiangyaotaiyuexiafeng
提携玉龙为君死	tixieyulongweijunsi
西北有浮云	xibeiyoufuyun
小麦覆陇黄	xiaomaifulonghuang
人生看得几清明	renshengkandejiqingming
三年无改于父之道	sannianwugaiyufuzhidao
会于会稽山阴之兰亭	huiyukuaijishanyinzhilanting
猿鸣三声泪沾裳	yuanmingsanshengleizhanshang
彩云长在有新天	caiyunzhangzaiyouxintian
虽无丝竹管弦之盛	suiwusizhuguanxianzhisheng
愿逐月华流照君	yuanzhuyuehualiuzhaojun
辛苦遭逢起一经	xinkuzaofengqiyijing
都门帐饮无绪	dumenzhangyinwuxu|doumenzhangyinwuxu
倚南窗以寄傲	yinanchuangyijiao
域中有四大	yuzhongyousida
众芳摇落独暄妍	zhongfangyaoluoduxuanyan
日晚倦梳头	riwanjuanshutou
人不厌其言	renbuyanqiyan
苟志于仁矣	gouzhiyurenyi
读书万卷不读律	dushuwanjuanbudulv
明朝有意抱琴来	mingzhaoyouyibaoqinlai
墟里上孤烟	xulishangguyan
叶底黄鹂一两声	yedihuangliyiliangsheng
逢雪宿芙蓉山主人	fengxuesufurongshanzhuren
用兵则贵右	yongbingzeguiyou
小舟从此逝	xiaozhoucongcishi
开箱验取石榴裙	kaixiangyanqushiliuqun
小人之过也必文	xiaorenzhiguoyebiwen
谨拜表以闻	jinbaibiaoyiwen
精感石没羽	jingganshimeiyu
宵眠抱玉鞍	xiaomianbaoyuan
人生识字忧患始	renshengshiziyouhuanshi
郁孤台下清江水	yugutaixiaqingjiangshui
落花时节读华章	luohuashijieduhuazhang
只有相思无尽处	zhiyouxiangsiwujinchu
然而不王者	ranerbuwangzhe
别有幽愁暗恨生	bieyouyouchouanhensheng
青女素娥俱耐冷	qingnvsuejunaileng
树阴照水爱晴柔	shuyinzhaoshuiaiqingrou
青天有月来几时	qingtianyouyuelaijishi
而后人毁之	erhourenhuizhi
花面交相映	huamianjiaoxiangying
锦城丝管日纷纷	jinchengsiguanrifenfen
不如须臾之所学也	buruxuyuzhisuoxueye
愁云惨淡万里凝	chouyuncandanwanlining
新月如佳人	xinyuerujiaren
露涤铅粉节	ludiqianfenjie
银鞍照白马	yinanzhaobaima
世胄蹑高位	shizhouniegaowei
风摇青玉枝	fengyaoqingyuzhi
而蒙世俗之尘埃乎	ermengshisuzhichenaihu
小山重叠金明灭	xiaoshanchongdiejinmingmie
晓出净慈寺送林子方	xiaochujingcisisonglinzifang
情亲见君意	qingqinjianjunyi
过江千尺浪	guojiangqianchilang
无人信高洁	wurenxingaojie
十四学裁衣	shisixuecaiyi
脱巾挂石壁	tuojinguashibi
天生德于予	tianshengdeyuyu
上枢密韩太尉书	shangshumihantaiweishu
非其鬼而祭之	feiqiguierjizhi
回车叱牛牵向北	huichechiniuqianxiangbei
飞扬跋扈为谁雄	feiyangbahuweishuixiong
胡马大宛名	humadawanming
羌管悠悠霜满地	qiangguanyouyoushuangmandi
平生不饮酒	pingshengbuyinjiu
与其不孙也	yuqibusunye
不如登高之博见也	burudenggaozhibojianye
组练长驱十万夫	zulianchangqushiwanfu
先帝创业未半	xiandichuangyeweiban
貌恭而不心服	maogongerbuxinfu
三十一年还旧国	sanshiyinianhaijiuguo
水如一匹练	shuiruyipilian
思归若汾水	siguiruofenshui
邻曲时时来	linqushishilai
全军覆没也	quanjunfumoye
抑汝能之乎	yirunengzhihu
是以圣人后其身而身先	shiyishengrenhouqishenershenxian
池上碧苔三四点	chishangbitaisansidian
左旋右转不知疲	zuoxuanyouzhuanbuzhipi
转蓬行地远	zhuanpengxingdiyuan
山青花欲燃	shanqinghuayuran
一夜飞度镜湖月	yiyefeidujinghuyue
阴阴夏木啭黄鹂	yinyinxiamuzhuanhuangli
洞庭波涌连天雪	dongtingboyongliantianxue
不闻先王之遗言	buwenxianwangzhiyiyan
而由人乎哉	eryourenhuzai
水风空落眼前花	shuifengkongluoyanqianhua
少壮不努力老大徒伤悲	shaozhuangbunulilaodatushangbei
午阴嘉树清圆	wuyinjiashuqingyuan
宫花寂寞红	gonghuajimohong
在我的心头荡漾	zaiwodexintoudangyang
平明寻白羽	pingmingxunbaiyu
路隘林深苔滑	luailinshentaihua
孤蓬万里征	gupengwanlizheng
细推物理须行乐	xituiwulixuxingle
不患莫己知	buhuanmojizhi
萧萧送雁群	xiaoxiaosongyanqun
门对浙江潮	menduizhejiangchao
一日思亲十二时	yirisiqinshiershi
十五弹箜篌	shiwudankonghou
千载琵琶作胡语	qianzaipipazuohuyu
云鬓花颜金步摇	yunbinhuayanjinbuyao
夜深知雪重	yeshenzhixuezhong
寂寞梧桐深院锁清秋	jimowutongshenyuansuoqingqiu
春远独柴荆	chunyuanduchaijing
明日隔山岳	mingrigeshanyue
月中霜里斗婵娟	yuezhongshuanglidouchanjuan
月落锦屏虚	yueluojinpingxu
陶令不知何处去	taolingbuzhihechuqu
飞将军自重霄入	feijiangjunzichongxiaoru|feijiangjunzizhongxiaoru
沈园非复旧池台	shenyuanfeifujiuchitai
江碧鸟逾白	jiangbiniaoyubai
恶乎知君子小人哉	ehuzhijunzixiaorenzai
听唱新翻杨柳枝	tingchangxinfanyangliuzhi
罗带同心结未成	luodaitongxinjieweicheng
古者富贵而名摩灭	guzhefuguiermingmomie
楼船夜雪瓜洲渡	louchuanyexueguazhoudu
仙人有待乘黄鹤	xianrenyoudaichenghuanghe
且将新火试新茶	qiejiangxinhuoshixincha
以不忍人之心	yiburenrenzhixin
重湖叠巘清嘉	zhonghudieyanqingjia
瓜分之日可以死	guafenzhirikeyisi
把意念沉潜得下	bayinianchenqiandexia|bayinianchenqiandeixia
我非生而知之者	wofeishengerzhizhizhe
其他可能也	qitakenengye
何理不可得	helibukede
且放白鹿青崖间	qiefangbailuqingyajian
诗人兴会更无前	shirenxinghuigengwuqian
王孙归不归	wangsunguibugui
自喻适志与	ziyushizhiyu
佳木秀而繁阴	jiamuxiuerfanyin
不才明主弃	bucaimingzhuqi
是以君子远庖厨也	shiyijunziyuanpaochuye
自笑平生为口忙	zixiaopingshengweikoumang
又送王孙去	yousongwangsunqu
晓战随金鼓	xiaozhansuijingu
昔闻洞庭水	xiwendongtingshui
南园春半踏青时	nanyuanchunbantaqingshi
身登青云梯	shendengqingyunti
求为可知也	qiuweikezhiye
画桥南畔倚胡床	huaqiaonanpanyihuchuang
凉生为室空	liangshengweishikong
多情却被无情恼	duoqingquebeiwuqingnao
秋空明月悬	qiukongmingyuexuan
自反而不缩	zifanerbusuo
人生如朝露	renshengruzhaolu|renshengruchaolu
何时忘却营营	heshiwangqueyingying
梅柳渡江春	meiliudujiangchun
十六诵诗书	shiliusongshishu
春雪满空来	chunxuemankonglai
蜀国多仙山	shuguoduoxianshan
天下万物生于有	tianxiawanwushengyuyou
江城如画里	jiangchengruhuali
万古惟留楚客悲	wanguweiliuchukebei
常恐秋节至	changkongqiujiezhi
鸿雁几时到	hongyanjishidao
望门投止思张俭	wangmentouzhisizhangjian
碧梧栖老凤凰枝	biwuqilaofenghuangzhi
质直而好义	zhizhierhaoyi
林表明霁色	linbiaomingjise
早秋曲江感怀	zaoqiuqujiangganhuai
玉雪为骨冰为魂	yuxueweigubingweihun
凄怆摧心肝	qichuangcuixingan
出入无完裙	churuwuwanqun
花之隐逸者也	huazhiyinyizheye
荔枝新熟鸡冠色	lizhixinshujiguanse
眼角眉梢都似恨	yanjiaomeishaodousihen
绵竹亭亭出县高	mianzhutingtingchuxiangao
蜗牛角上争何事	woniujiaoshangzhengheshi
或植杖而耘耔	huozhizhangeryunzi
斯须改变如苍狗	sixugaibianrucanggou
不怨胜己者	buyuanshengjizhe
叶公问孔子于子路	yegongwenkongziyuzilu
枕上诗书闲处好	zhenshangshishuxianchuhao
哽咽不能语	gengyebunengyu
夜吟应觉月光寒	yeyinyingjueyueguanghan
侮圣人之言	wushengrenzhiyan
士见危致命	shijianweizhiming
荫此百尺条	yincibaichitiao
人告之以有过	rengaozhiyiyouguo
但见群鸥日日来	danjianqunouririlai
使天下之人	shitianxiazhiren
而神明自得	ershenmingzide
闻道龙标过五溪	wendaolongbiaoguowuxi
复照青苔上	fuzhaoqingtaishang
犹自带铜声	youzidaitongsheng
马思边草拳毛动	masibiancaoquanmaodong
涧水东流复向西	jianshuidongliufuxiangxi
江城子密州出猎	jiangchengzimizhouchulie
苍茫云雾浮	cangmangyunwufu
临清流而赋诗	linqingliuerfushi
民斯为下矣	minsiweixiayi
向前敲瘦骨	xiangqianqiaoshougu
复归于婴儿	fuguiyuyinger
石濑兮浅浅	shilaixiqianqian
前言戏之耳	qianyanxizhier
休对故人思故国	xiuduigurensiguguo
虽僻远其何伤	suipiyuanqiheshang
胶鬲举于鱼盐之中	jiaogejuyuyuyanzhizhong
千村万落生荆杞	qiancunwanluoshengjingqi
君子于其言	junziyuqiyan
君不见青海头	junbujianqinghaitou
脱帽露顶王公前	tuomaoludingwanggongqian
小隐入丘樊	xiaoyinruqiufan
白也诗无敌	baiyeshiwudi
十七为君妇	shiqiweijunfu
春风朝夕起	chunfengzhaoxiqi
猿声依旧愁	yuanshengyijiuchou
是时心境闲	shishixinjingxian
不见萱草花	bujianxuancaohua
曲终人散空愁暮	quzhongrensankongchoumu
往往飞花落洞庭	wangwangfeihualuodongting
巴东三峡巫峡长	badongsanxiawuxiachang
幸分苍翠拂波涛	xingfencangcuifubotao
子孙以祭祀不辍	zisunyijisibuchuo
亦将有感于斯文	yijiangyouganyusiwen
遥望九华峰	yaowangjiuhuafeng
君子以为犹告也	junziyiweiyougaoye
上古有大椿者	shangguyoudachunzhe
良辰与美景	liangchenyumeijing
余不忍为此态也	yuburenweicitaiye
最下腐刑极矣	zuixiafuxingjiyi
輮使之然也	roushizhiranye
择师而教之	zeshierjiaozhi
闻汝依山寺	wenruyishansi
芙蓉帐暖度春宵	furongzhangnuanduchunxiao
故有之以为利	guyouzhiyiweili
都是人间城郭	doushirenjianchengguo
犹解嫁东风	youjiejiadongfeng
船容与而不进兮	chuanrongyuerbujinxi
每到驿亭先下马	meidaoyitingxianxiama
以色事他人	yiseshitaren
莫须惊白鹭	moxujingbailu
物有所不足	wuyousuobuzu
斜光到晓穿朱户	xieguangdaoxiaochuanzhuhu
沁园春长沙	qinyuanchunchangsha
吴钩霜雪明	wugoushuangxueming
自云手种时	ziyunshouzhongshi
为君持酒劝斜阳	weijunchijiuquanxieyang
点水蜻蜓款款飞	dianshuiqingtingkuankuanfei
兴废由人事	xingfeiyourenshi
江湖秋水多	jianghuqiushuiduo
君子惠而不费	junzihuierbufei
聒碎乡心梦不成	guosuixiangxinmengbucheng
风头如刀面如割	fengtourudaomianruge
倩何人唤取	qianherenhuanqu
忧来豁蒙蔽	youlaihuomengbi
德不厚而思国之安	debuhouersiguozhian
秋庭不扫携藤杖	qiutingbusaoxietengzhang
以彼径寸茎	yibijingcunjing
赵客缦胡缨	zhaokemanhuying
萧萧黄叶闭疏窗	xiaoxiaohuangyebishuchuang
故岁今宵尽	gusuijinxiaojin
男儿到此是豪雄	nanerdaocishihaoxiong
以咨诹善道	yizizoushandao
此时瞻白兔	cishizhanbaitu
意态由来画不成	yitaiyoulaihuabucheng
一诗千改始心安	yishiqiangaishixinan
一从大地起风雷	yicongdadiqifenglei
衣沾不足惜	yizhanbuzuxi
中间小谢又清发	zhongjianxiaoxieyouqingfa
二月二日江上行	eryueerrijiangshangxing
养生丧死无憾	yangshengsangsiwuhan
知误会前番书语	zhiwuhuiqianfanshuyu
江上舍前无此物	jiangshangsheqianwuciwu
青枫浦上不胜愁	qingfengpushangbushengchou
重上君子堂	chongshangjunzitang|zhongshangjunzitang
疑是人间疾苦声	yishirenjianjikusheng
卷上珠帘总不如	juanshangzhulianzongburu
果然石门开	guoranshimenkai
也傍桑阴学种瓜	yebangsangyinxuezhonggua
吾有知乎哉	wuyouzhihuzai
早潮才落晚潮来	zaochaocailuowanchaolai
人各有偏好	rengeyoupianhao
已讶衾枕冷	yiyaqinzhenleng
九日黄花酒	jiurihuanghuajiu
恶紫之夺朱也	ezizhiduozhuye
与浩初上人同看山寄京华亲故	yuhaochushangrentongkanshanjijinghuaqingu
玉骨冰肌未肯枯	yugubingjiweikenku
道非身外更何求	daofeishenwaigengheqiu
客心洗流水	kexinxiliushui
恶在其为民父母也	ezaiqiweiminfumuye
更行更远还生	gengxinggengyuanhaisheng
对酒当歌歌不成	duijiudanggegebucheng
安求其能千里也	anqiuqinengqianliye
欸乃一声山水绿	ainaiyishengshanshuilv
双双金鹧鸪	shuangshuangjinzhegu
浩荡寄南征	haodangjinanzheng
无恒产而有恒心者	wuhengchaneryouhengxinzhe
卖炭得钱何所营	maitandeqianhesuoying
蓬头稚子学垂纶	pengtouzhizixuechuilun
复见窗户明	fujianchuanghuming
老病有孤舟	laobingyouguzhou
阁中帝子今何在	gezhongdizijinhezai
不敢叹风尘	bugantanfengchen
四时佳兴与人同	sishijiaxingyurentong
汀上白沙看不见	tingshangbaishakanbujian
一时今夕会	yishijinxihui
君子亦有穷乎	junziyiyouqionghu
贫村才数家	pincuncaishujia
名花倾国两相欢	minghuaqingguoliangxianghuan
潮落江平未有风	chaoluojiangpingweiyoufeng
灯火万家城四畔	denghuowanjiachengsipan
不论平地与山尖	bulunpingdiyushanjian
看花上酒船	kanhuashangjiuchuan
是以君子不为也	shiyijunzibuweiye
一国之善士	yiguozhishanshi
