阿二	A Er
范遥	Fan Yao
范一飞	Fan Yi Fei
樊一翁	Fan Yi Weng
范禹	Fan Yu
范中恩	Fan Zhong En
方大洪	Fang Da Hong
方东白	Fang Dong Bai
方人智	Fang Ren Zhi
方生	Fang Sheng
方天劳	Fang Tian Lao
方怡	Fang Yi
方有德	Fang You De
方证	Fang Zheng
费彬	Fei Bin
费要多罗	Fei Yao Duo Luo
冯阿三	Feng A San
风波恶	Feng Bo E
冯不摧	Feng Bu Cui
封不平	Feng Bu Ping
冯不破	Feng Bu Po
冯衡	Feng Heng
冯辉	Feng Hui
风际中	Feng Ji Zhong
风良	Feng Liang
冯默风	Feng Mo Feng
冯难敌	Feng Nan Di
凤南天	Feng Nan Tian
凤七	Feng Qi
风清扬	Feng Qing Yang
冯坦	Feng Tan
封坛主	Feng Tan Zhu
冯同知	Feng Tong Zhi
封万里	Feng Wan Li
冯锡范	Feng Xi Fan
凤一鸣	Feng Yi Ming
冯振武	Feng Zhen Wu
富春	Fu Chun
福康安	Fu Kang An
符敏仪	Fu Min Yi
傅思归	Fu Si Gui
盖一鸣	Gai Yi Ming
盖运聪	Gai Yun Cong
甘宝宝	Gan Bao Bao
刚相	Gang Xiang
高管家	Gao Guan Jia
高克新	Gao Ke Xin
高老者	Gao Lao Zhe
高里津	Gao Li Jin
高明根	Gao Ming Gen
高三娘子	Gao San Niang Zi
高升泰	Gao Sheng Tai
高师弟	Gao Shi Di
高颜超	Gao Yan Chao
高则成	Gao Ze Cheng
葛尔丹	Ge Er Dan
葛光佩	Ge Guang Pei
葛通	Ge Tong
葛长老	Ge Zhang Lao
耿天霜	Geng Tian Shuang
耿万钟	Geng Wan Zhong
龚光杰	Gong Guang Jie
宫九佳	Gong Jiu Jia
公孙绿萼	Gong Sun Lv E
公孙止	Gong Sun Zhi
公冶乾	Gong Ye Qian
苟读	Gou Du
狗头陀	Gou Tou Tuo
古笃诚	Gu Du Cheng
顾金标	Gu Jin Biao
贾人达	Gu Ren Da
古若般	Gu Ruo Ban
顾炎武	Gu Yan Wu
关安基	Guan An Ji
关明梅	Guan Ming Mei
归二娘	Gui Er Niang
归辛树	Gui Xin Shu
归钟	Gui Zhong
郭芙	Guo Fu
郭靖	Guo Jing
郭破虏	Guo Po Lu
过三拳	Guo San Quan
郭襄	Guo Xiang
郭啸天	Guo Xiao Tian
过彦之	Guo Yan Zhi
郭玉堂	Guo Yu Tang
哈赤大师	Ha Chi Da Shi
哈大霸	Ha Da Ba
哈合台	Ha He Tai
哈总管	Ha Zong Guan
海大富	Hai Da Fu
海兰弼	Hai Lan Bi
韩宝驹	Han Bao Ju
韩春霖	Han Chun Lin
韩老丐	Han Lao Gai
韩林儿	Han Lin Er
韩千叶	Han Qian Ye
罕贴摩	Han Tie Mo
韩文冲	Han Wen Chong
韩无垢	Han Wu Gou
韩小莹	Han Xiao Ying
汉子	Han Zi
郝大通	Hao Da Tong
郝密	Hao Mi
郝太监	Hao Tai Jian
鹤笔翁	He Bi Weng
赫大通	He Da Tong
和尔大	He Er Da
何红药	He Hong Yao
贺老三	He Lao San
和里布	He Li Bu
赫连铁树	He Lian Tie Shu
何三七	He San Qi
和珅	He Shen
何思豪	He Si Hao
何太冲	He Tai Chong
何惕守	He Ti Shou
何铁手	He Tie Shou
何望海	He Wang Hai
何足道	He Zu Dao
黑白子	Hei Bai Zi
黑熊	Hei Xiong
洪安通	Hong An Tong
洪朝	Hong Chao
洪凌波	Hong Ling Bo
红娘子	Hong Niang Zi
洪七公	Hong Qi Gong
洪人雄	Hong Ren Xiong
洪胜海	Hong Sheng Hai
侯飞文	Hou Fei Wen
侯人英	Hou Ren Ying
侯通海	Hou Tong Hai
呼巴音	Hu Ba Yin
忽必烈	Hu Bi Lie
胡大哥	Hu Da Ge
胡德第	Hu De Di
忽都虎	Hu Dou Hu
胡斐	Hu Fei
胡夫人	Hu Fu Ren
胡桂南	Hu Gui Nan
胡老三	Hu Lao San
胡老爷	Hu Lao Ye
忽伦大虎	Hu Lun Da Hu
忽伦二虎	Hu Lun Er Hu
忽伦三虎	Hu Lun San Hu
忽伦四虎	Hu Lun Si Hu
胡青牛	Hu Qing Niu
胡青羊	Hu Qing Yang
呼延万善	Hu Yan Wan Shan
胡一刀	Hu Yi Dao
胡逸之	Hu Yi Zhi
呼音克	Hu Yin Ke
华伯斯基	Hua Bo Si Ji
华赫艮	Hua He Gen
花剑影	Hua Jian Ying
花铁干	Hua Tie Gan
花万紫	Hua Wan Zi
花云	Hua Yun
华筝	Hua Zheng
黄伯流	Huang Bo Liu
黄二毛子	Huang Er Mao Zi
黄甫	Huang Fu
皇甫阁	Huang Fu Ge
黄国柏	Huang Guo Bai
黄金魁	Huang Jin Kui
黄眉和尚	Huang Mei He Shang
黄面道人	Huang Mian Dao Ren
黄蓉	Huang Rong
皇太后	Huang Tai Hou
皇太极	Huang Tai Ji
黄希节	Huang Xi Jie
黄须人	Huang Xu Ren
黄药师	Huang Yao Shi
黄真	Huang Zhen
黄钟公	Huang Zhong Gong
黄宗羲	Huang Zong Xi
晦聪禅师	Hui Cong Chan Shi
慧方	Hui Fang
慧观	Hui Guan
慧净	Hui Jing
辉月使	Hui Yue Shi
慧真	Hui Zhen
霍阿伊	Huo A Yi
霍都	Huo Du
霍青桐	Huo Qing Tong
霍元龙	Huo Yuan Long
季镖头	Ji Biao Tou
姬清玄	Ji Qing Xuan
