阿二	A Er
同桌后生	Tong Zhuo Hou Sheng
童子	Tong Zi
秃笔翁	Tu Bi Weng
图尔布青	Tu Er Bu Qing
图海道	Tu Hai Dao
拖雷	Tuo Lei
瓦尔拉齐	Wa Er La Qi
万大平	Wan Da Ping
万圭	Wan Gui
万里风	Wan Li Feng
万庆澜	Wan Qing Lan
完颜阿古打	Wan Yan A Gu Da
完颜洪烈	Wan Yan Hong Lie
完颜洪熙	Wan Yan Hong Xi
完颜萍	Wan Yan Ping
万震山	Wan Zhen Shan
王八衰	Wang Ba Shuai
王保保	Wang Bao Bao
王伯奋	Wang Bo Fen
王诚	Wang Cheng
王处一	Wang Chu Yi
王道	Wang Dao
王二叔	Wang Er Shu
王夫人	Wang Fu Ren
王罕	Wang Han
汪浩天	Wang Hao Tian
王家驹	Wang Jia Ju
王家骏	Wang Jia Jun
王剑杰	Wang Jian Jie
王剑英	Wang Jian Ying
王进宝	Wang Jin Bao
王老六	Wang Lao Liu
王难姑	Wang Nan Gu
王琪	Wang Qi
王十三	Wang Shi San
王师兄	Wang Shi Xiong
王潭	Wang Tan
汪铁鹗	Wang Tie E
王铁匠	Wang Tie Jiang
王万仞	Wang Wan Ren
汪万翼	Wang Wan Yi
王维扬	Wang Wei Yang
王惟忠	Wang Wei Zhong
王武通	Wang Wu Tong
汪啸风	Wang Xiao Feng
王语嫣	Wang Yu Yan
王元霸	Wang Yuan Ba
王掌柜	Wang Zhang Gui
王志坦	Wang Zhi Tan
王仲萍	Wang Zhong Ping
王仲强	Wang Zhong Qiang
卫璧	Wei Bi
韦春花	Wei Chun Hua
卫春华	Wei Chun Hua
卫四娘	Wei Si Niang
卫天望	Wei Tian Wang
韦小宝	Wei Xiao Bao
韦一笑	Wei Yi Xiao
卫周祚	Wei Zhou Zuo
闻苍松	Wen Cang Song
温方达	Wen Fang Da
温方山	Wen Fang Shan
温方施	Wen Fang Shi
温方悟	Wen Fang Wu
温方义	Wen Fang Yi
温南扬	Wen Nan Yang
温青	Wen Qing
温仁厚	Wen Ren Hou
文泰来	Wen Tai Lai
闻万夫	Wen Wan Fu
闻先生	Wen Xian Sheng
温仪	Wen Yi
温有道	Wen You Dao
温有方	Wen You Fang
温正	Wen Zheng
文醉翁	Wen Zui Weng
窝阔台	Wo Kuo Tai
吴柏英	Wu Bai Ying
吴宝宇	Wu Bao Yu
吴长风	Wu Chang Feng
无常鬼	Wu Chang Gui
无尘道人	Wu Chen Dao Ren
无尘道长	Wu Chen Dao Zhang
吴大鹏	Wu Da Peng
吴道通	Wu Dao Tong
武敦儒	Wu Dun Ru
五符	Wu Fu
无根道人	Wu Gen Dao Ren
五姑	Wu Gu
吴光胜	Wu Guang Sheng
吴国栋	Wu Guo Dong
吴劲草	Wu Jing Cao
吴坎	Wu Kan
乌老大	Wu Lao Da
吴立身	Wu Li Shen
吴良	Wu Liang
武烈	Wu Lie
吴领军	Wu Ling Jun
吴六破	Wu Liu Po
吴六奇	Wu Liu Qi
武铭	Wu Ming
吴平	Wu Ping
吴青烈	Wu Qing Lie
武青婴	Wu Qing Ying
无青子	Wu Qing Zi
吴三桂	Wu San Gui
武三娘	Wu San Niang
武三通	Wu San Tong
无色	Wu Se
吴天德	Wu Tian De
乌旺阿普	Wu Wang A Pu
无相禅师	Wu Xiang Chan Shi
武修文	Wu Xiu Wen
无崖子	Wu Ya Zi
吴应熊	Wu Ying Xiong
吴祯	Wu Zhen
吴之荣	Wu Zhi Rong
西奥图三世	Xi Ao Tu San Shi
西宝	Xi Bao
西华子	Xi Hua Zi
西灵道人	Xi Ling Dao Ren
西门观止	Xi Men Guan Zhi
西夏宫女	Xi Xia Gong Nv
奚长老	Xi Zhang Lao
夏国相	Xia Guo Xiang
侠客行	Xia Ke Xing | Xia Ke Hang
夏老拳师	Xia Lao Quan Shi
夏雪宜	Xia Xue Yi
夏胄	Xia Zhou
鲜于通	Xian Yu Tong
向大年	Xiang Da Nian
相国夫人	Xiang Guo Fu Ren
向问天	Xiang Wen Tian
项长老	Xiang Zhang Lao
笑傲江湖	Xiao Ao Jiang Hu
萧半和	Xiao Ban He
小棒头	Xiao Bang Tou
小翠	Xiao Cui
小凤	Xiao Feng
小桂子	Xiao Gui Zi
小虹	Xiao Hong
小菊	Xiao Ju
笑脸鬼	Xiao Lian Gui
小玲	Xiao Ling
小龙女	Xiao Long Nv
小沙弥	Xiao Sha Mi
小王将军	Xiao Wang Jiang Jun
潇湘子	Xiao Xiang Zi
小玄子	Xiao Xuan Zi
逍遥子	Xiao Yao Zi
萧远山	Xiao Yuan Shan
小昭	Xiao Zhao
萧中慧	Xiao Zhong Hui
谢不当	Xie Bu Dang
谢逊	Xie Xun
谢烟客	Xie Yan Ke
辛国梁	Xin Guo Liang
辛然	Xin Ran
辛双清	Xin Shuang Qing
心溪	Xin Xi
心砚	Xin Yan
行痴	Xing Chi
行颠	Xing Dian
熊元献	Xiong Yuan Xian
徐达	Xu Da
徐天川	Xu Tian Chuan
徐天宏	Xu Tian Hong
许雪亭	Xu Xue Ting
徐长老	Xu Zhang Lao
徐铮	Xu Zheng
虚竹	Xu Zhu
许卓诚	Xu Zhuo Cheng
玄慈	Xuan Ci
玄寂	Xuan Ji
玄苦	Xuan Ku
玄难	Xuan Nan
玄生	Xuan Sheng
玄痛	Xuan Tong
玄烨	Xuan Ye
玄真道人	Xuan Zhen Dao Ren
血刀老祖	Xue Dao Lao Zu
薛公远	Xue Gong Yuan
薛慕华	Xue Mu Hua
薛鹊	Xue Que
雪山飞狐	Xue Shan Fei Hu
哑巴	Ya Ba
哑婆婆	Ya Po Po
哑梢公	Ya Shao Gong
言伯乾	Yan Bo Qian
言达平	Yan Da Ping
颜恒	Yan Heng
阎基	Yan Ji
严妈妈	Yan Ma Ma
严三星	Yan San Xing
阎世魁	Yan Shi Kui
阎世章	Yan Shi Zhang
杨宾	Yang Bin
杨不悔	Yang Bu Hui
杨成协	Yang Cheng Xie
阳顶天	Yang Ding Tian
杨夫人	Yang Fu Ren
杨光	Yang Guang
杨过	Yang Guo
杨姐姐	Yang Jie Jie
杨景亭	Yang Jing Ting
杨康	Yang Kang
杨莲亭	Yang Lian Ting
杨鹏举	Yang Peng Ju
杨铁心	Yang Tie Xin
杨逍	Yang Xiao
杨溢之	Yang Yi Zhi
杨中慧	Yang Zhong Hui
姚必达	Yao Bi Da
姚伯当	Yao Bo Dang
姚春	Yao Chun
姚清泉	Yao Qing Quan
叶长青	Ye Chang Qing
叶二娘	Ye Er Niang
耶律楚材	Ye Lv Chu Cai
耶律洪基	Ye Lv Hong Ji
耶律晋	Ye Lv Jin
耶律莫哥	Ye Lv Mo Ge
耶律涅鲁古	Ye Lv Nie Lu Gu
耶律齐	Ye Lv Qi
耶律燕	Ye Lv Yan
耶律重元	Ye Lv Zhong Yuan
易大彪	Yi Da Biao
一灯大师	Yi Deng Da Shi
易国梓	Yi Guo Zi
仪和	Yi He
易吉	Yi Ji
仪琳	Yi Lin
仪清	Yi Qing
易三娘	Yi San Niang
义生	Yi Sheng
易师爷	Yi Shi Ye
易堂主	Yi Tang Zhu
倚天屠龙记	Yi Tian Tu Long Ji
殷吉	Yin Ji
殷锦	Yin Jin
尹克西	Yin Ke Xi
殷离	Yin Li
殷梨亭	Yin Li Ting
殷素素	Yin Su Su
殷天正	Yin Tian Zheng
殷无福	Yin Wu Fu
殷无禄	Yin Wu Lu
殷无寿	Yin Wu Shou
殷野王	Yin Ye Wang
尹章垓	Yin Zhang Gai
尹志平	Yin Zhi Ping
殷仲翔	Yin Zhong Xiang
英白罗	Ying Bai Luo
英颚	Ying E
应松	Ying Song
英长老	Ying Zhang Lao
幽草	You Cao
尤得胜	You De Sheng
游骥	You Ji
游驹	You Ju
右书僮	You Shu Tong
游坦之	You Tan Zhi
游迅	You Xun
于八	Yu Ba
余沧海	Yu Cang Hai
俞朝奉	Yu Chao Feng
尉迟连	Yu Chi Lian
俞岱岩	Yu Dai Yan
鱼贩头子	Yu Fan Tou Zi
于管家	Yu Guan Jia
郁光标	Yu Guang Biao
于光豪	Yu Guang Hao
玉玑子	Yu Ji Zi
俞连舟	Yu Lian Zhou
玉林	Yu Lin
玉灵道人	Yu Ling Dao Ren
余婆婆	Yu Po Po
玉磬子	Yu Qing Zi
渔人	Yu Ren
于人豪	Yu Ren Hao
余人彦	Yu Ren Yan
玉如意	Yu Ru Yi
于嫂	Yu Sao
于万亭	Yu Wan Ting
玉音子	Yu Yin Zi
余鱼同	Yu Yu Tong
余兆兴	Yu Zhao Xing
玉真子	Yu Zhen Zi
玉钟子	Yu Zhong Zi
元悲	Yuan Bei
元澄道人	Yuan Cheng Dao Ren
袁承志	Yuan Cheng Zhi
袁夫人	Yuan Fu Ren
缘根	Yuan Gen
袁冠南	Yuan Guan Nan
元广波	Yuan Guang Bo
袁枚	Yuan Mei
元伤	Yuan Shang
袁士霄	Yuan Shi Xiao
元痛	Yuan Tong
圆心	Yuan Xin
鸳鸯刀	Yuan Yang Dao
圆业	Yuan Ye
元义方	Yuan Yi Fang
圆音	Yuan Yin
圆真	Yuan Zhen
袁紫衣	Yuan Zi Yi
岳不群	Yue Bu Qun
岳老三	Yue Lao San
岳灵珊	Yue Ling Shan
云岛主	Yun Dao Zhu
云鹤	Yun He
云强盗	Yun Qiang Dao
云素梅	Yun Su Mei
云中鹤	Yun Zhong He
札木合	Zha Mu He
摘星子	Zhai Xing Zi
詹春	Zhan Chun
展飞	Zhan Fei
张阿生	Zhang A Sheng
张安官	Zhang An Guan
掌棒龙头	Zhang Bang Long Tou
掌钵龙头	Zhang Bo Long Tou
张朝唐	Zhang Chao Tang
张春九	Zhang Chun Jiu
张翠山	Zhang Cui Shan
张淡月	Zhang Dan Yue
张二叔	Zhang Er Shu
张飞雄	Zhang Fei Xiong
张夫人	Zhang Fu Ren
张管家	Zhang Guan Jia
章进	Zhang Jin
张金鏊	Zhang Jin Ao
张九	Zhang Jiu
张君宝	Zhang Jun Bao
张康	Zhang Kang
张康年	Zhang Kang Nian
章老三	Zhang Lao San
张妈	Zhang Ma
张全祥	Zhang Quan Xiang
张若谷	Zhang Ruo Gu
张三	Zhang San
张三丰	Zhang San Feng
张十五	Zhang Shi Wu
张松溪	Zhang Song Xi
张无忌	Zhang Wu Ji
张信	Zhang Xin
张姓老者	Zhang Xing Lao Zhe
张一氓	Zhang Yi Mang
张勇	Zhang Yong
张召重	Zhang Zhao Zhong
张志光	Zhang Zhi Guang
张中	Zhang Zhong
张总管	Zhang Zong Guan
赵半山	Zhao Ban Shan
兆惠	Zhao Hui
赵良栋	Zhao Liang Dong
赵敏	Zhao Min
赵齐贤	Zhao Qi Xian
赵钱孙	Zhao Qian Sun
照虚	Zhao Xu
赵洵	Zhao Xun
赵一伤	Zhao Yi Shang
赵志敬	Zhao Zhi Jing
者勒米	Zhe Le Mi
哲罗星	Zhe Luo Xing
震山子	Zhen Shan Zi
郑板桥	Zheng Ban Qiao
郑镖头	Zheng Biao Tou
郑萼	Zheng E
郑光芝	Zheng Guang Zhi
郑克爽	Zheng Ke Shuang
郑七灭	Zheng Qi Mie
郑起云	Zheng Qi Yun
郑三娘	Zheng San Niang
郑长老	Zheng Zhang Lao
执法长老	Zhi Fa Zhang Lao
智光大师	Zhi Guang Da Shi
止清	Zhi Qing
钟阿四	Zhong A Si
钟灵	Zhong Ling
中年武师	Zhong Nian Wu Shi
钟四嫂	Zhong Si Sao
钟万仇	Zhong Wan Chou
钟小二	Zhong Xiao Er
钟兆能	Zhong Zhao Neng
钟兆文	Zhong Zhao Wen
钟兆英	Zhong Zhao Ying
钟镇	Zhong Zhen
钟志灵	Zhong Zhi Ling
周阿三	Zhou A San
周伯通	Zhou Bo Tong
周大奶奶	Zhou Da Nai Nai
周颠	Zhou Dian
周孤桐	Zhou Gu Tong
周隆	Zhou Long
周牧	Zhou Mu
周圻	Zhou Qi
周绮	Zhou Qi
周铁鹤	Zhou Tie He
周威信	Zhou Wei Xin
周五输	Zhou Wu Shu
周英杰	Zhou Ying Jie
周云阳	Zhou Yun Yang
周芷若	Zhou Zhi Ruo
周仲英	Zhou Zhong Ying
朱安国	Zhu An Guo
诸保昆	Zhu Bao Kun
祝镖头	Zhu Biao Tou
朱长龄	Zhu Chang Ling
朱聪	Zhu Cong
朱丹臣	Zhu Dan Chen
褚轰	Chu Hong | Zhu Hong
褚红柏	Chu Hong Bai | Zhu Hong Bai
竹剑	Zhu Jian
朱九真	Zhu Jiu Zhen
褚万春	Chu Wan Chun | Zhu Wan Chun
褚万里	Chu Wan Li | Zhu Wan Li
褚圆	Chu Yuan | Zhu Yuan
朱元璋	Zhu Yuan Zhang
朱子柳	Zhu Zi Liu
朱祖荫	Zhu Zu Yin
庄夫人	Zhuang Fu Ren
庄廷龙	Zhuang Ting Long
庄允城	Zhuang Yun Cheng
庄铮	Zhuang Zheng
卓不凡	Zhuo Bu Fan
卓天雄	Zhuo Tian Xiong
子聪	Zi Cong
宗维侠	Zong Wei Xia
宗雄	Zong Xiong
宗赞王子	Zong Zan Wang Zi
祖大寿	Zu Da Shou
祖千秋	Zu Qian Qiu
左冷禅	Zuo Leng Chan
左书僮	Zuo Shu Tong
左子穆	Zuo Zi Mu
何建国	He Jian Guo
李兴	Li Xing
史进	Shi Jin
贾海涛	Jia Hai Tao
徐海	Xu Hai
黄少	Huang Shao
陈伟	Chen Wei
陈辉	Chen Hui
汪洋	Wang Yang
蒙克	Meng Ke
李东东	Li Dong Dong
郑建华	Zheng Jian Hua
孟飞	Meng Fei
田间	Tian Jian
袁志	Yuan Zhi
陈宝林	Chen Bao Lin
吴春生	Wu Chun Sheng
解约	Jie Yue
王鑫	Wang Xin
王方	Wang Fang
康辉	Kang Hui
李回	Li Hui
朱杰	Zhu Jie
王东方	Wang Dong Fang
王毅	Wang Yi
周亚	Zhou Ya
李建	Li Jian
袁志刚	Yuan Zhi Gang
黄明	Huang Ming
罗菲	Luo Fei
郭晓辉	Guo Xiao Hui
王泽明	Wang Ze Ming
陈巧玲	Chen Qiao Ling
张辉	Zhang Hui
秦建国	Qin Jian Guo
李峰	Li Feng
江君	Jiang Jun
苏小荣	Su Xiao Rong
李俊	Li Jun
贺阳	He Yang
王冬梅	Wang Dong Mei
刘伟强	Liu Wei Qiang
杜鹃	Du Juan
王春生	Wang Chun Sheng
杨小兵	Yang Xiao Bing
孙立民	Sun Li Min
周美华	Zhou Mei Hua
吕浩	Lv Hao
李金华	Li Jin Hua
张莉萍	Zhang Li Ping
陈洁	Chen Jie
张浩	Zhang Hao
王迪	Wang Di
王焱	Wang Yan
周伟	Zhou Wei
李志华	Li Zhi Hua
叶辉	Ye Hui
王浩	Wang Hao
李宝发	Li Bao Fa
张军	Zhang Jun
陈强	Chen Qiang
周国华	Zhou Guo Hua
李文华	Li Wen Hua
李斌	Li Bin
王春红	Wang Chun Hong
许兵	Xu Bing
罗伟	Luo Wei
王金海	Wang Jin Hai
郭浩	Guo Hao
李明	Li Ming
张磊	Zhang Lei
张晶晶	Zhang Jing Jing
刘明浪	Liu Ming Lang
黄忠华	Huang Zhong Hua
程鹏	Cheng Peng
杨红珍	Yang Hong Zhen
刘德胜	Liu De Sheng
薛东	Xue Dong
张德明	Zhang De Ming
刘学文	Liu Xue Wen
潘泽海	Pan Ze Hai
王勇	Wang Yong
周永祥	Zhou Yong Xiang
何坤	He Kun
李坤	Li Kun
罗福强	Luo Fu Qiang
徐珊珊	Xu Shan Shan
王子成	Wang Zi Cheng
赵云	Zhao Yun | Zhao A
王国庆	Wang Guo Qing
向俊	Xiang Jun
谢鹏	Xie Peng
吴永才	Wu Yong Cai
杨乐乐	Yang Le Le
吴彪	Wu Biao
杨永	Yang Yong
周剑锋	Zhou Jian Feng
白洁	Bai Jie
朱天明	Zhu Tian Ming
蒋军	Jiang Jun
郭平	Guo Ping
王奇	Wang Qi
陈文选	Chen Wen Xuan
刘勇	Liu Yong
王朝刚	Wang Chao Gang
沈洋	Shen Yang
李强	Li Qiang
张兰芬	Zhang Lan Fen
叶金发	Ye Jin Fa
刘飞	Liu Fei
黄玲	Huang Ling
朱亮	Zhu Liang
杨华	Yang Hua
陈琴	Chen Qin
赵伟	Zhao Wei
张兴雨	Zhang Xing Yu
何艳玲	He Yan Ling
王晓英	Wang Xiao Ying
严威	Yan Wei
杨坤	Yang Kun
王锋	Wang Feng
郑晓玲	Zheng Xiao Ling
吴国雄	Wu Guo Xiong
吴晓东	Wu Xiao Dong
刘倩	Liu Qian
王玲	Wang Ling
李颂	Li Song
张婷	Zhang Ting
王卫	Wang Wei
黄伟	Huang Wei
张勋	Zhang Xun
杨磊	Yang Lei
高伟	Gao Wei
马威	Ma Wei
文武	Wen Wu
高博	Gao Bo
张亚军	Zhang Ya Jun
王飞	Wang Fei
陈志华	Chen Zhi Hua
荣坤	Rong Kun
陈克祥	Chen Ke Xiang
刘志刚	Liu Zhi Gang
吴斌	Wu Bin
蔡志平	Cai Zhi Ping
陈金云	Chen Jin Yun
李刚	Li Gang
何磊	He Lei
刘念	Liu Nian
黄兵	Huang Bing
吴金娣	Wu Jin Di
沈六妹	Shen Liu Mei
王清	Wang Qing
郭庆	Guo Qing
刘慧玲	Liu Hui Ling
张威	Zhang Wei
吴建国	Wu Jian Guo
杨智	Yang Zhi
杨燕	Yang Yan
彭勇	Peng Yong
张武	Zhang Wu
朱国明	Zhu Guo Ming
冯建新	Feng Jian Xin
李亚	Li Ya
苏浩	Su Hao
冯冬	Feng Dong
王丽	Wang Li
刘磊	Liu Lei
何伟	He Wei
徐维明	Xu Wei Ming
刘雪	Liu Xue
王志强	Wang Zhi Qiang
李宾	Li Bin
杨庆	Yang Qing
李和平	Li He Ping
龙军	Long Jun
黄浩	Huang Hao
张欢欢	Zhang Huan Huan
王领	Wang Ling
代田	Dai Tian
陈旭	Chen Xu
朱晓峰	Zhu Xiao Feng
刘军	Liu Jun
杨影	Yang Ying
刘丽萍	Liu Li Ping
陈竞	Chen Jing
程晨	Cheng Chen
张果	Zhang Guo
叶兴华	Ye Xing Hua
汤林	Tang Lin
陈晓	Chen Xiao
章国强	Zhang Guo Qiang
刘建华	Liu Jian Hua
钟珊	Zhong Shan
孙建华	Sun Jian Hua
沈鑫	Shen Xin
黄海波	Huang Hai Bo
李晓兰	Li Xiao Lan
杨宁	Yang Ning
杨冲	Yang Chong
张松	Zhang Song | Zhang A
李勤	Li Qin
陈勇	Chen Yong
冯磊	Feng Lei
胡建国	Hu Jian Guo
杨明	Yang Ming
王爱丽	Wang Ai Li
刘通	Liu Tong
刘建军	Liu Jian Jun
陈小凤	Chen Xiao Feng
刘宇	Liu Yu
曹文	Cao Wen
张建新	Zhang Jian Xin
田露	Tian Lu
李玉华	Li Yu Hua
王龙生	Wang Long Sheng
万众	Wan Zhong
韦伟	Wei Wei
刘俭	Liu Jian
周谨	Zhou Jin
张海强	Zhang Hai Qiang
周文	Zhou Wen
魏艳云	Wei Yan Yun
王波	Wang Bo
阿速	A Su
阿鲜	A Xian
安陵	An Ling
安平	An Ping
安期	An Qi
安阳	An Yang
敖汉	Ao Han
白马	Bai Ma
柏侯	Bai Hou
百里	Bai Li
薄野	Bo Ye
薄奚	Bo Xi
宝古	Bao Gu
鲍俎	Bao Zu
北宫	Bei Gong
北郭	Bei Guo
北门	Bei Men
北山	Bei Shan
北唐	Bei Tang
奔水	Ben Shui
逼阳	Bi Yang
必兰	Bi Lan
宾牟	Bin Mou
伯德	Bo De
蔡斯	Cai Si
曹牟	Cao Mou
曹丘	Cao Qiu
察哈尔	Cha Ha Er
昌顿	Chang Dun
常涛	Chang Tao
长儿	Chang Er
长孙	Zhang Sun
长鱼	Chang Yu
车非	Che Fei
成功	Cheng Gong
成阳	Cheng Yang
乘马	Cheng Ma
丑门	Chou Men
穿封	Chuan Feng
淳子	Chun Zi
达勃	Da Bo
达步	Da Bu
达力	Da Li
达奚	Da Xi
答禄	Da Lu
淡台	Dan Tai
邓陵	Deng Ling
地连	Di Lian
地伦	Di Lun
第五	Di Wu
东丹	Dong Dan
东方	Dong Fang
东宫	Dong Gong
东关	Dong Guan
东郭	Dong Guo
东莱	Dong Lai
东里	Dong Li
东陵	Dong Ling
东门	Dong Men
东南	Dong Nan
东乡	Dong Xiang
东阳	Dong Yang
东野	Dong Ye
东闾	Dong Lv
斗于	Dou Yu
豆卢	Dou Lu
都尉	Du Wei
独孤	Du Gu
独虎	Du Hu
杜尔伯特	Du Er Bo Te
端木	Duan Mu
段干	Duan Gan
多子	Duo Zi
额尔	E Er
尔朱	Er Zhu
方雷	Fang Lei
丰将	Feng Jiang
封父	Feng Fu
封人	Feng Ren
佛图	Fo Tu
夫蒙	Fu Meng
夫余	Fu Yu
夫馀	Fu Yu
浮丘	Fu Qiu
傅余	Fu Yu
盖楼	Gai Lou
干已	Gan Yi
皋落	Gao Luo
高车	Gao Che
高佳	Gao Jia
高陵	Gao Ling
高堂	Gao Tang
高辛	Gao Xin
高阳	Gao Yang
哥舒	Ge Shu
庚桑	Geng Sang
梗阳	Geng Yang
公乘	Gong Cheng
公敛	Gong Lian
公梁	Gong Liang
公良	Gong Liang
公门	Gong Men
公山	Gong Shan
公上	Gong Shang
公输	Gong Shu
公孙	Gong Sun
公西	Gong Xi
公晰	Gong Xi
公羊	Gong Yang
公冶	Gong Ye
公仪	Gong Yi
公族	Gong Zu
公祖	Gong Zu
公罔	Gong Wang
公皙	Gong Xi
宫孙	Gong Sun
姑布	Gu Bu
古口	Gu Kou
古龙	Gu Long
古孙	Gu Sun
谷浑	Gu Hun
谷梁	Gu Liang
瓜尔佳	Gua Er Jia
瓜田	Gua Tian
关龙	Guan Long
贯丘	Guan Qiu
归海	Gui Hai
郭尔罗斯	Guo Er Luo Si
韩馀	Han Yu
函治	Han Zhi
罕井	Han Jing
浩赏	Hao Shang
浩生	Hao Sheng
浩星	Hao Xing
何叶尔	He Ye Er
赫连	He Lian
贺拨	He Bo
贺兰	He Lan
贺楼	He Lou
贺若	He Ruo
黑齿	Hei Chi
黑肱	Hei Gong
侯冈	Hou Gang
呼延	Hu Yan
呼衍	Hu Yan
忽思慧	Hu Si Hui
壶丘	Hu Qiu
胡非	Hu Fei
胡母	Hu Mu
胡毋	Hu Wu
皇甫	Huang Fu
皇父	Huang Fu
辉特	Hui Te
吉白	Ji Bai
即墨	Ji Mo
季瓜	Ji Gua
季连	Ji Lian
季孙	Ji Sun
夹谷	Jia Gu
蒋丘	Jiang Qiu
角里	Jiao Li
揭阳	Jie Yang
解枇	Jie Pi
金齿	Jin Chi
晋楚	Jin Chu
京城	Jing Cheng
九百	Jiu Bai
九方	Jiu Fang
沮渠	Ju Qu
巨母	Ju Mu
勘阻	Kan Zu
可汗	Ke Han
渴单	Ke Dan
渴侯	Ke Hou
克什克腾	Ke Shen Ke Teng
空桐	Kong Tong
空相	Kong Xiang
昆吾	Kun Wu
老阳	Lao Yang
乐羊	Le Yang
乐正	Yue Zheng
冷沦	Leng Lun
荔菲	Li Fei
梁丘	Liang Qiu
梁由	Liang You
梁垣	Liang Yuan
梁馀	Liang Yu
伶舟	Ling Zhou
陵阳	Ling Yang
令狐	Ling Hu
刘王	Liu Wang
刘文	Liu Wen
柳下	Liu Xia
龙丘	Long Qiu
卢蒲	Lu Pu
卢妃	Lu Fei
鲁步	Lu Bu
陆费	Lu Fei
马矢	Ma Shi
麦丘	Mai Qiu
茅夷	Mao Yi
蒙古	Meng Gu
弥姐	Mi Jie
弥牟	Mi Mou
密革	Mi Ge
密茅	Mi Mao
明安	Ming An
墨台	Mo Tai
墨夷	Mo Yi
慕容	Mu Rong
木门	Mu Men
木易	Mu Yi
纳兰	Na Lan
纳坦	Na Tan
南宫	Nan Gong
南郭	Nan Guo
南门	Nan Men
南荣	Nan Rong
欧侯	Ou Hou
欧阳	Ou Yang
盆成	Pen Cheng
彭祖	Peng Zu
平陵	Ping Ling
平宁	Ping Ning
破丑	Po Chou
仆固	Pu Gu
普鲁	Pu Lu
漆雕	Qi Diao
奇介	Qi Jie
祁连	Qi Lian
乞伏	Qi Fu
铅陵	Qian Ling
千乘	Qian Sheng
千代	Qian Dai
茄众	Qie Zhong
且末	Qie Mo
勤宿	Qin Su
青阳	Qing Yang
丘丽	Qiu Li
丘陵	Qiu Ling
屈侯	Qu Hou
屈卢	Qu Lu
屈门	Qu Men
屈男	Qu Nan
屈同	Qu Tong
屈突	Qu Tu
屈引	Qu Yin
壤四	Rang Si
壤驷	Rang Si
扰龙	Rao Long
容成	Rong Cheng
汝嫣	Ru Yan
撒刻	Sa Ke
萨孤	Sa Gu
三饭	San Fan
三州	San Zhou
三闾	San Lv
桑丘	Sang Qiu
商瞿	Shang Qu
尚方	Shang Fang
少师	Shao Shi
少施	Shao Shi
少室	Shao Shi
少叔	Shao Shu
少正	Shao Zheng
社北	She Bei
社南	She Nan
申徒	Shen Tu
申屠	Shen Tu
沈犹	Shen You
胜屠	Sheng Tu
石牛	Shi Niu
石作	Shi Zuo
士季	Shi Ji
士弱	Shi Ruo
士孙	Shi Sun
士贞	Shi Zhen
侍其	Shi Qi
叔促	Shu Cu
叔孙	Shu Sun
叔先	Shu Xian
水丘	Shui Qiu
司城	Si Cheng
司鸿	Si Hong
司空	Si Kong
司寇	Si Kou
司马	Si Ma
司士	Si Shi
司徒	Si Tu
似和	Si He
素和	Su He
孙阳	Sun Yang
索卢	Suo Lu
索阳	Suo Yang
太史	Tai Shi
太叔	Tai Shu
太阳	Tai Yang
堂溪	Tang Xi
唐山	Tang Shan
陶佳	Tao Jia
陶丘	Tao Qiu
同蹄	Tong Ti
统奚	Tong Xi
秃发	Tu Fa
涂钦	Tu Qin
土默特	Tu Mo Te
吐和	Tu He
吐贺	Tu He
吐浑	Tu Hun
吐火	Tu Huo
吐罗	Tu Luo
吐门	Tu Men
吐难	Tu Nan
吐万	Tu Wan
吐奚	Tu Xi
吐缶	Tu Fou
屯浑	Tun Hun
脱脱	Tuo Tuo
拓跋	Tuo Ba
拓拨	Tuo Bo
完颜	Wan Yan
万俊	Wan Jun
万俟	Mo Qi
王官	Wang Guan
王人	Wang Ren
王孙	Wang Sun
微生	Wei Sheng
尾勺	Wei Shao
尉迟	Yu Chi
温孤	Wen Gu
温稽	Wen Ji
闻人	Wen Ren
巫马	Wu Ma
乌珠穆沁	Wu Zhu Mu Qin
屋户	Wu Hu
无钩	Wu Gou
无庸	Wu Yong
吾丘	Wu Qiu
五鹿	Wu Lu
西方	Xi Fang
西宫	Xi Gong
西郭	Xi Guo
西陵	Xi Ling
西门	Xi Men
西乞	Xi Qi
西乡	Xi Xiang
西野	Xi Ye
西钥	Xi Yao
西周	Xi Zhou
息夫	Xi Fu
戏阳	Xi Yang
霞露	Xia Lu
夏侯	Xia Hou
鲜阳	Xian Yang
鲜于	Xian Yu
鲜虞	Xian Yu
咸丘	Xian Qiu
相里	Xiang Li
谢丘	Xie Qiu
辛垣	Xin Yuan
新垣	Xin Yuan
信都	Xin Du
信平	Xin Ping
修鱼	Xiu Yu
徐吾	Xu Wu
轩丘	Xuan Qiu
轩辕	Xuan Yuan
宣于	Xuan Yu
延陵	Yan Ling
羊角	Yang Jiao
羊舌	Yang She
耶律	Ye Lv
叶阳	Ye Yang
伊尔根觉罗	Yi Er Gen Jue Luo
伊祁	Yi Qi
伊耆	Yi Qi
邑由	Yi You
义渠	Yi Qu
因孙	Yin Sun
银齿	Yin Chi
尹文	Yin Wen
雍门	Yong Men
由吾	You Wu
游水	You Shui
右师	You Shi
盂丘	Yu Qiu
虞丘	Yu Qiu
宇文	Yu Wen
运期	Yun Qi
运奄	Yun Yan
宰父	Zai Fu
宰桑	Zai Sang
辗迟	Zhan Chi
湛卢	Zhan Lu
章仇	Zhang Chou
