班昭	Banzhao
坂田荣男	Bantianrongnan
邦德	Bangde
包尔汉	Baoerhan
包公	Baogong
包冉	Baoran
包仁	Baoren
包世臣	Baoshichen
包训国	Baoxunguo
包玉刚	Baoyugang
包拯	Baozheng
保剑锋	Baojianfeng
保卢斯	Baolusi
保罗	Baoluo
保罗艾伦	Baoluoailun
鲍比	Baobi
鲍超	Baochao
鲍方	Baofang
鲍刚	Baogang
鲍革	Baoge
鲍林	Baolin
鲍曼	Baoman
鲍宁	Baoning
鲍照	Baozhao
北村	Beicun
北海王	Beihaiwang
北海王慕容超	Beihaiwangmurongchao
贝阿尔佐特	Beiaerzuote
贝贝托	Beibeituo
贝多芬	Beiduofen
贝恩	Beien
贝尔戈米	Beiergemi
贝尔纳	Beierna
贝弗里奇	Beifuliqi
贝克汉姆	Beikehanmu
贝肯鲍尔	Beikenbaoer
贝利	Beili
贝隆	Beilong
贝卢斯科尼	Beilusikeni
贝瑞	Beirui
贝斯特	Beisite
孛儿只斤铁木真	Beierzhijintiemuzhen
倍赏千惠子	Beishangqianhuizi
本杰明	Benjieming
本拉登	Benladeng
本田邦久	Bentianbangjiu
本乡健	Benxiangjian
本雅明	Benyaming
比尔	Bier
比尔盖茨	Biergaici
比干	Bigan
比拉尔多	Bilaerduo
彼得	Bide
彼得大帝	Bidedadi
彼得梅尔	Bidemeier
彼什科夫	Bishikefu
彼特	Bite
毕彬彬	Bibinbin
毕达哥拉斯	Bidagelasi
毕加索	Bijiasuo
毕荩臣	Bijinchen
毕然	Biran
毕升	Bisheng
毕熙东	Bixidong
毕晓普	Bixiaopu
毕玉玺	Biyuxi
碧珊	Bishan
碧野	Biye
扁鹊	Bianque
卞秉彬	Bianbingbin
别尔嘉耶夫	Bieerjiayefu
别拉诺夫	Bielanuofu
别林斯基	Bielinsiji
宾汉姆	Binhanmu
滨崎步	Binqibu
冰心	Bingxin
兵哥	Bingge
兵圣	Bingsheng
秉志	Bingzhi
并多次	Bingduoci
波爱修斯	Boaixiusi
波德莱尔	Bodelaier
波尔	Boer
波尔克	Boerke
波伏瓦	Bofuwa
波普	Bopu
波普尔	Bopuer
波佐	Bozuo
玻恩	Boen
玻尔	Boer
玻尔兹曼	Boerziman
玻利瓦尔	Boliwaer
伯阳	Boyang
伯夷	Boyi
勃朗宁	Bolangning
勃朗特	Bolangte
勃劳希契	Bolaoxiqi
博巴	Boba
博比	Bobi
博尔忽	Boerhu
博格坎普	Bogekanpu
博古	Bogu
博克	Boke
博拉	Bola
博涅克	Bonieke
博斯曼	Bosiman
卜凤波	Bufengbo
卜万苍	Buwancang
卜祥志	Buxiangzhi
不降	Buxiang|bujiang
不寿	Bushou
布袋和尚	Budaiheshang
布德尔	Budeer
布尔达	Buerda
布哈林	Buhalin
布坎南	Bukannan
布拉特	Bulate
布莱德雷	Bulaidelei
布莱恩	Bulaien
布莱尔	Bulaier
布莱克	Bulaike
布莱特纳	Bulaitena
布莱希特	Bulaixite
布兰科	Bulanke
布兰妮	Bulanni
布朗	Bulang
布勒东	Buledong
布雷克	Buleike
布雷默	Buleimo
布鲁查加	Buluchajia
布鲁诺	Bulunuo
布罗茨基	Buluociji
布洛欣	Buluoxin
布什	Bushi
布施	Bushi
布特拉格诺	Butelagenuo
布托	Butuo
步非烟	Bufeiyan
才溢	Caiyi
蔡哀侯	Caiaihou
蔡伯荒	Caibohuang
蔡博	Caibo
蔡灿得	Caicande
蔡畅	Caichang
蔡成侯	Caichenghou
蔡戴侯	Caidaihou
蔡悼侯	Caidaohou
蔡锷	Caie
蔡宫侯	Caigonghou
蔡共侯	Caigonghou
蔡国权	Caiguoquan
蔡海山	Caihaishan
蔡和森	Caihesen
蔡鸿岩	Caihongyan
蔡欢	Caihuan
蔡桓侯	Caihuanhou
蔡佳臻	Caijiazhen
蔡建忠	Caijianzhong
蔡健雅	Caijianya
蔡景侯	Caijinghou
蔡婧	Caijing
蔡康永	Caikangyong
蔡澜	Cailan
蔡厉侯	Cailihou
蔡伶	Cailing
蔡灵侯	Cailinghou
蔡伦	Cailun
蔡瑁	Caimao
蔡孟君	Caimengjun
蔡明	Caiming
蔡穆侯	Caimuhou
蔡佩贞	Caipeizhen
蔡平侯	Caipinghou
蔡琴	Caiqin
蔡少芬	Caishaofen
蔡叔度	Caishudu
蔡叔度姬度	Caishudujidu
蔡松年	Caisongnian
蔡廷锴	Caitingkai
蔡为民	Caiweimin
蔡文侯	Caiwenhou
蔡文姬	Caiwenji
蔡文胜	Caiwensheng
蔡武侯	Caiwuhou
蔡僖侯	Caixihou
蔡襄	Caixiang
蔡翔雄	Caixiangxiong
蔡欣云	Caixinyun
蔡宣侯	Caixuanhou
蔡雪婧	Caixuejing
蔡亚林	Caiyalin
蔡妍	Caiyan
蔡琰	Caiyan
蔡依林	Caiyilin
蔡夷侯	Caiyihou
蔡邕	Caiyong
蔡宇翔	Caiyuxiang
蔡玉珂	Caiyuke
蔡元培	Caiyuanpei
蔡昭侯	Caizhaohou
蔡照明	Caizhaoming
蔡志忠	Caizhizhong
蔡忠诚	Caizhongcheng
蔡仲	Caizhong
蔡仲姬胡	Caizhongjihu
蔡庄侯	Caizhuanghou
蔡卓妍	Caizhuoyan
蔡子华	Caizihua
残雪	Canxue
仓颉	Cangjie
仓木麻衣	Cangmumayi
沧月	Cangyue
藏霸	Cangba
曹阿瞒	Caoaman
曹霸	Caoba
曹彬	Caobin
曹参	Caocan
曹操	Caocao|caoa
曹成公	Caochenggong
