阿什哈达摩崖	Ashihadamoya
望海楼教堂	Wanghailoujiaotang
王杰墓	Wangjiemu
望京石	Wangjingshi
王澜堂	Wanglantang
伪满洲国皇宫	Weimanzhouguohuanggong
魏太和造像	Weitaihezaoxiang
韦驮像	Weituoxiang
文昌阁	Wenchangge
文峰塔	Wenfengta
文津阁	Wenjinge
文庙	Wenmiao
文殊殿	Wenshudian
文溯阁	Wensuge
文天样祠	Wentianyangci
文通塔	Wentongta
文星阁	Wenxingge
文游台	Wenyoutai
卧佛寺	Wofosi
蜗皇宫	Wohuanggong
倭子坟	Wozifen
五当召	Wudangzhao
五峰园	Wufengyuan
五佛顾	Wufogu
乌骨城	Wugucheng
乌龟石	Wuguishi
无后宫	Wuhougong
五回头城遗址	Wuhuitouchengyizhi
无纪宫碑	Wujigongbei
五盔坟五号墓	Wukuifenwuhaomu
乌拉古城	Wulagucheng
无梁殿	Wuliangdian
无量殿	Wuliangdian
五龙背温泉	Wulongbeiwenquan
五龙宫	Wulonggong
五龙亭	Wulongting
午门	Wumen
无宁寺	Wuningsi
五女山山城	Wunvshanshancheng
五人墓	Wurenmu
伍仁桥	Wurenqiao
五圣祠	Wushengci
无盛号石桥	Wushenghaoshiqiao
五十家子塔	Wushijiazita
乌素图召	Wusutuzhao
五塔寺	Wutasi
五台山	Wutaishan
舞踊墓	Wuyongmu
无柱山	Wuzhushan
无尊阁	Wuzunge
西柏坡中共中央旧址	Xibaipozhonggongzhongyangjiuzhi
西堤六桥	Xidiliuqiao
西侯度遗址	Xihouduyizhi
西黄寺	Xihuangsi
吸江楼	Xijianglou
锡晋斋	Xijinzhai
席力图召	Xilituzhao
析木城全塔	Ximuchengquanta
析木城石棚	Ximuchengshipeng
西炮台	Xipaotai
锡山	Xishan
西山八大处	Xishanbadachu
西什库教堂	Xishikujiaotang
西园	Xiyuan
西嶂排青	Xizhangpaiqing
下定林寺塔	Xiadinglinsita
夏允彝夏完淳父子墓	Xiayunyixiawanchunfuzimu
献殿	Xiandian
仙鹤寺	Xianhesi
先农坛	Xiannongtan
仙人台	Xianrentai
祆神楼	Xianshenlou
仙堂寺	Xiantangsi
显通寺	Xiantongsi
仙翁庙	Xianwengmiao
仙枕石	Xianzhenshi
襄汾造像碑	Xiangfenzaoxiangbei
香界寺	Xiangjiesi
香炉峰	Xianglufeng
响琴榭	Xiangqinxie
香山	Xiangshan
香山寺	Xiangshansi
响水玉瀑	Xiangshuiyupu
响堂铺伏击战纪念碑	Xiangtangpufujizhanjinianbei
响堂寺石富	Xiangtangsishifu
响堂寺石庙	Xiangtangsishimiao
香岩寺	Xiangyansi
萧憺石刻	Xiaodanshike
小金山	Xiaojinshan
孝陵	Xiaoling
小盘谷	Xiaopangu
小汤山温泉	Xiaotangshanwenquan
小西天	Xiaoxitian
蝎殿	Xiedian
写秋轩	Xieqiuxuan
谐趣园	Xiequyuan
新洞人遗址	Xindongrenyizhi
新乐新石器时代遗址	Xinlexinshiqishidaiyizhi
兴城温泉	Xingchengwenquan
杏花村	Xinghuacun
兴隆寺	Xinglongsi
兴圣教寺塔	Xingshengjiaosita
兴源寺	Xingyuansi
熊成基墓	Xiongchengjimu
秀道者塔	Xiudaozheta
徐达墓	Xudamu
徐光启故屠	Xuguangqigutu
徐光启墓	Xuguangqimu
徐家汇天主堂	Xujiahuitianzhutang
须弥福寿之庙	Xumifushouzhimiao
徐霞客墓	Xuxiakemu
宣化辽墓	Xuanhualiaomu
悬空石	Xuankongshi
悬空寺	Xuankongsi
玄妙观	Xuanmiaoguan
玄武湖	Xuanwuhu
悬阳洞	Xuanyangdong
玄中寺	Xuanzhongsi
学步桥	Xuebuqiao
薛仁贵寒窑	Xuerenguihanyao
亚沟摩崖石刻像	Yagoumoyashikexiang
烟波致爽	Yanbozhishuang
淹城	Yancheng
燕墩	Yandun
延福寺	Yanfusi
衍福寺双塔	Yanfusishuangta
沿河城	Yanhecheng
眼镜湖	Yanjinghu
延陵季子墓碑	Yanlingjizimubei
雁门关	Yanmenguan
延庆寺大佛殿	Yanqingsidafodian
燕塞湖	Yansehu|yansaihu
岩山寺	Yanshansi
雁塔	Yanta
燕下都遗址	Yanxiadouyizhi
烟雨楼	Yanyulou
燕州城	Yanzhoucheng
燕子矶	Yanziji
杨根思烈士陵园	Yanggensilieshilingyuan
杨翚碑	Yanghuibei
杨家祠堂	Yangjiacitang
杨椒山祠	Yangjiaoshanci
扬仁风	Yangrenfeng
阳山孝陵碑材	Yangshanxiaolingbeicai
羊头山石窟	Yangtoushanshiku
养心殿	Yangxindian
扬州唐城遗址	Yangzhoutangchengyizhi
杨子荣烈士陵园	Yangzironglieshilingyuan
姚存天祚岩题名石刻	Yaocuntianzuoyantimingshike
尧陵	Yaoling
尧庙	Yaomiao
邺城遗址	Yechengyizhi
耶律楚材墓	Yelvchucaimu
义慈惠石柱	Yicihuishizhu
猗玕亭	Yiganting
颐和园	Yiheyuan
漪澜堂	Yilantang
翼伦堂	Yiluntang
艺圃	Yipu
医巫闾山	Yiwulvshan
怡园	Yiyuan
宜芸馆	Yiyunguan
银山宝塔	Yinshanbaota
音乐寺	Yinyuesi
营城子壁画墓	Yingchengzibihuamu
鹰角亭	Yingjiaoting
瀛台	Yingtai
应县木塔	Yingxianmuta
永安莽喀诗碑	Yonganmangkashibei
永安湃围场殪虎诗碑	Yonganpaiweichangyihushibei
永安桥	Yonganqiao
永安石桥	Yonganshiqiao
永安寺	Yongansi
永筹寺塔	Yongchousita
雍和宫	Yonghegong
永乐宫	Yonglegong
永陵	Yongling
永通桥	Yongtongqiao
永佑寺舍利塔	Yongyousishelita
幽居寺塔	Youjusita
佑顺寺	Youshunsi
游仙寺	Youxiansi
雨禅寺大殿	Yuchansidadian
玉佛寺	Yufosi
禹工城址	Yugongchengzhi
雨花台	Yuhuatai
御花园	Yuhuayuan
玉皇阁	Yuhuangge
玉皇观	Yuhuangguan
玉皇庙	Yuhuangmiao
郁林观石刻	Yulinguanshike
裕陵	Yuling
禹门口	Yumenkou
于木兰作诗碑	Yumulanzuoshibei
雨涅水石刻造像	Yunieshuishikezaoxiang
于谦祠	Yuqianci
玉泉山	Yuquanshan
豫让桥	Yurangqiao
雨山积雪	Yushanjixue
豫园	Yuyuan
鱼沼飞梁	Yuzhaofeiliang
元好问墓	Yuanhaowenmu
圆觉寺砖塔	Yuanjuesizhuanta
圆明园遗址	Yuanmingyuanyizhi
原起寺	Yuanqisi
圜丘坛	Yuanqiutan
元上城遗址	Yuanshangchengyizhi
元上都城遗址	Yuanshangduchengyizhi
鼋头渚	Yuantouzhu
圆照寺	Yuanzhaosi
越城遗迹	Yuechengyiji
阅吉楼	Yuejilou
粤军阵亡烈士墓	Yuejunzhenwanglieshimu
月坛	Yuetan
悦心殿	Yuexindian
云冈第五第大窟	Yungangdiwudidaku
云冈东部窟群	Yungangdongbukuqun
云冈露天大佛	Yunganglutiandafo
云冈石窟	Yungangshiku
云冈昙曜五窟	Yungangtanyaowuku
云冈五华洞	Yungangwuhuadong
云冈西部窟群	Yungangxibukuqun
云接寺塔	Yunjiesita
云居寺塔	Yunjusita
云林寺	Yunlinsi
云龙山	Yunlongshan
云龙山石佛	Yunlongshanshifo
云山胜地	Yunshanshengdi
云水洞	Yunshuidong
云台山	Yuntaishan
云岩寺二山门	Yunyansiershanmen
云岩寺塔	Yunyansita
皂河龙王庙	Zaohelongwangmiao
藻咏厅	Zaoyongting
则天庙	Zetianmiao
憎冠蜂	Zengguanfeng
扎兰屯	Zhalantun
扎龙自然保护区	Zhalongziranbaohuqu
斋宫	Zhaigong
詹天佑铜像	Zhantianyoutongxiang
瞻园	Zhanyuan
丈和殿	Zhanghedian
赵杲观	Zhaogaoguan
昭关石塔	Zhaoguanshita
赵邯郸故城	Zhaohandangucheng
昭陵	Zhaoling
昭庙	Zhaomiao
招隐寺	Zhaoyinsi
赵州陀罗尼经幢	Zhaozhoutuoluonijingchuang
珍妃井	Zhenfeijing
镇岗塔	Zhengangta
镇国寺塔	Zhenguosita
镇海寺	Zhenhaisi
镇淮楼	Zhenhuailou
贞节贾母碑	Zhenjiejiamubei
真觉寺	Zhenjuesi
阵庆歼灭战纪念碑	Zhenqingjianmiezhanjinianbei
真如寺	Zhenrusi
镇朔楼	Zhenshuolou
郑板桥故居	Zhengbanqiaoguju
正北楼	Zhengbeilou
证果寺	Zhengguosi
正觉寺	Zhengjuesi
郑文英墓	Zhengwenyingmu
正阳门	Zhengyangmen
知春亭	Zhichunting
智度寺塔	Zhidusita
智慧海	Zhihuihai
支云塔	Zhiyunta
织造署旧址	Zhizaoshujiuzhi
中国革命博物馆	Zhongguogemingbowuguan
中国历史博物馆	Zhongguolishibowuguan
中国美术馆	Zhongguomeishuguan
中国猿人遗址	Zhongguoyuanrenyizhi
中和殿	Zhonghedian
中华门	Zhonghuamen
中会寺	Zhonghuisi
中泠泉	Zhonglingquan
钟楼	Zhonglou
中南海	Zhongnanhai
钟山	Zhongshan
中山公园	Zhongshangongyuan
中山陵	Zhongshanling
钟山陆游题名石刻	Zhongshanluyoutimingshike
中苏友谊纪念塔	Zhongsuyouyijinianta
周处庙	Zhouchumiao
周恩来故居	Zhouenlaiguju
周恩来在津活动旧址	Zhouenlaizaijinhuodongjiuzhi
周公祠	Zhougongci
周口店鱼化石产地	Zhoukoudianyuhuashichandi
竹林寺	Zhulinsi
朱氏牌楼	Zhushipailou
转轮藏	Zhuanluncang
撞道口	Zhuangdaokou
拙政园	Zhuozhengyuan
紫大阁	Zidage
自凤冢	Zifengzhong
紫禁城	Zijincheng
紫荆关	Zijingguan
紫气东来城关	Ziqidonglaichengguan
自求恩模范病室旧址	Ziqiuenmofanbingshijiuzhi
紫全山天文台	Ziquanshantianwentai
资圣寺	Zishengsi
资寿寺	Zishousi
自塔	Zita
自云观	Ziyunguan
紫竹院	Zizhuyuan
邹容墓	Zourongmu
祖氏石坊	Zushishifang
祖师塔	Zushita
祖越寺	Zuyuesi
醉白池	Zuibaichi
尊胜陀罗尼经幢	Zunshengtuoluonijingchuang
左权墓	Zuoquanmu
安平桥	Anpingqiao
白马寺	Baimasi
半坡遗址	Banpoyizhi
宝顶山摩崖造象	Baodingshanmoyazaoxiang
保国寺	Baoguosi
保圣寺罗汉塑像	Baoshengsiluohansuxiang
褒斜道石门及其摩崖石刻	Baoxiedaoshimenjiqimoyashike
北海及团城	Beihaijituancheng
北山摩崖造象	Beishanmoyazaoxiang
炳灵寺石窟	Binglingsishiku
渤海国上京龙泉府遗址	Bohaiguoshangjinglongquanfuyizhi
布达拉宫	Budalagong
沧州铁狮子	Cangzhoutieshizi
昌珠寺	Changzhusi
城子崖遗址	Chengziyayizhi
崇圣寺三塔	Chongshengsisanta
重修护国寺感应塔碑	Chongxiuhuguosiganyingtabei
楚纪南故城	Chujinangucheng
爨宝子碑	Cuanbaozibei
爨龙颜碑	Cuanlongyanbei
大明宫遗址	Daminggongyizhi
大雁塔	Dayanta
大昭寺	Dazhaosi
定县开元寺塔	Dingxiankaiyuansita
杜甫草堂	Dufucaotang
段氏与三十七部会盟碑	Duanshiyusanshiqibuhuimengbei
峨眉山圣寿万年寺铜铁佛像	Emeishanshengshouwanniansitongtiefoxiang
阿房宫遗址	Epanggongyizhi
房山云居寺塔及石经	Fangshanyunjusitajishijing
丰镐遗址	Fenggaoyizhi
冯焕阙	Fenghuanque
佛宫寺释迦塔	Fogongsishijiata
噶丹寺	Gadansi
高昌故城	Gaochanggucheng
高颐墓阙及石刻	Gaoyimuquejishike
革命遗址及革命纪念建筑物	Gemingyizhijigemingjinianjianzhuwu
古格王国遗址	Gugewangguoyizhi
古建筑及历史纪念建筑物	Gujianzhujilishijinianjianzhuwu
古墓葬	Gumuzang
古田会议会址	Gutianhuiyihuizhi
古遗址	Guyizhi
观星台	Guanxingtai
光孝寺	Guangxiaosi
广元千佛崖摩崖造象	Guangyuanqianfoyamoyazaoxiang
广州公社旧址	Guangzhougongshejiuzhi
广州农民运动讲习所旧址	Guangzhounongminyundongjiangxisuojiuzhi
海宝塔	Haibaota
海丰红宫红场旧址	Haifenghonggonghongchangjiuzhi
汉长安城遗址	Hanchanganchengyizhi
汉魏洛阳故城	Hanweiluoyanggucheng
祜国寺塔	Huguosita
黄帝陵	Huangdiling
黄花岗七十二烈士墓	Huanghuagangqishierlieshimu
皇泽寺摩崖造象	Huangzesimoyazaoxiang
霍去病墓	Huoqubingmu
嘉祥武氏墓群石刻	Jiaxiangwushimuqunshike
江孜宗山抗英遗址	Jiangzizongshankangyingyizhi
金田起义地址	Jintianqiyidizhi
井冈山革命遗址	Jinggangshangemingyizhi
开封铁塔	Kaifengtieta
克孜尔千佛洞	Kezierqianfodong
孔林	Konglin
库木吐喇千佛洞	Kumutulaqianfodong
料敌塔	Liaodita
辽上京遗址	Liaoshangjingyizhi
辽中京遗址	Liaozhongjingyizhi
临淄齐国故城	Linziqiguogucheng
六顶山古墓群	Liudingshangumuqun
六和塔	Liuheta
龙门石窟	Longmenshiku
泸定桥	Ludingqiao
麦积山石窟	Maijishanshiku
茂陵	Maoling
莫高窟	Mogaoku
南禅寺大殿	Nanchansidadian
平阳府君阙	Pingyangfujunque
普乐寺	Pulesi
启母阙	Qimuque
乾陵	Qianling
秦始皇陵	Qinshihuangling
清净寺	Qingjingsi
秋收起义文家市会师旧址	Qiushouqiyiwenjiashihuishijiuzhi
曲阜孔庙及孔府	Qufukongmiaojikongfu
曲阜鲁国故城	Qufuluguogucheng
瑞金革命遗址	Ruijingemingyizhi
萨迦寺	Sajiasi
三元里平英团遗址	Sanyuanlipingyingtuanyizhi
上海中山故居	Shanghaizhongshanguju
韶山冲毛主席旧居	Shaoshanchongmaozhuxijiuju
少室阙	Shaoshique
沈府君阙	Shenfujunque
石刻及其他	Shikejiqita
石窟寺	Shikusi
十三陵	Shisanling
石钟山石窟	Shizhongshanshiku
顺陵	Shunling
四门塔	Simenta
嵩岳寺塔	Songyuesita
苏州文庙内宋代石刻	Suzhouwenmiaoneisongdaishike
苏州云岩寺塔	Suzhouyunyansita
塔尔寺	Taersi
太和城遗址	Taihechengyizhi
太平天国忠王府	Taipingtianguozhongwangfu
太室阙	Taishique
万里长城八达岭	Wanlichangchengbadaling
万里长城嘉峪关	Wanlichangchengjiayuguan
万里长城山海关	Wanlichangchengshanhaiguan
王建墓	Wangjianmu
武昌起义军政府旧址	Wuchangqiyijunzhengfujiuzhi
武当山金殿	Wudangshanjindian
武侯祠	Wuhouci
五塔寺塔	Wutasita
西安碑林	Xianbeilin
西安城墙	Xianchengqiang
西夏碑	Xixiabei
溪州铜柱	Xizhoutongzhu
响堂山石窟	Xiangtangshanshiku
孝堂山郭氏墓石祠	Xiaotangshanguoshimushici
小雁塔	Xiaoyanta
新四军军部旧址	Xinsijunjunbujiuzhi
兴教寺塔	Xingjiaosita
雅尔湖故城	Yaerhugucheng
延安革命遗址	Yanangemingyizhi
仰韶村遗址	Yangshaocunyizhi
药王山石刻	Yaowangshanshike
殷墟	Yinxu
榆林窟	Yulinku
岳飞墓	Yuefeimu
藏王墓	Zangwangmu
扎什伦布寺	Zhashilunbusi
真觉寺金刚宝座	Zhenjuesijingangbaozuo
郑韩故城	Zhenghangucheng
郑州商代遗址	Zhengzhoushangdaiyizhi
智化寺	Zhihuasi
中国共产党第一次全国代表大会会址	Zhongguogongchandangdiyiciquanguodaibiaodahuihuizhi
中国社会主义青年团中央机关旧址	Zhongguoshehuizhuyiqingniantuanzhongyangjiguanjiuzhi
周口店遗址	Zhoukoudianyizhi
遵义会议会址	Zunyihuiyihuizhi
安源路矿工人俱乐部旧址	Anyuanlukuanggongrenjulebujiuzhi
八连城遗址	Balianchengyizhi
八七会议旧址	Baqihuiyijiuzhi
柏孜克里克千佛洞	Baizikelikeqianfodong
宝山六道沟冶钢遗址	Baoshanliudaogouyegangyizhi
北戴河秦行宫遗址	Beidaiheqinxinggongyizhi
北京宋庆龄故居	Beijingsongqinglingguju
北石窟寺	Beishikusi
北庄遗址	Beizhuangyizhi
蔡元培故居	Caiyuanpeiguju
曹氏家族墓群	Caoshijiazumuqun
查海遗址	Chahaiyizhi
常德铁幢	Changdetiezhuang
朝阳北塔	Chaoyangbeita
城村汉城遗址	Chengcunhanchengyizhi
城头山遗址	Chengtoushanyizhi
城子山遗址	Chengzishanyizhi
崇觉寺铁塔	Chongjuesitieta
初祖庵及少林寺塔林	Chuzuanjishaolinsitalin
磁州窑遗址	Cizhouyaoyizhi
大甸子遗址	Dadianziyizhi
大佛寺石窟	Dafosishiku
大工山凤凰山铜矿遗址	Dagongshanfenghuangshantongkuangyizhi
大河村遗址	Dahecunyizhi
大井古铜矿遗址	Dajinggutongkuangyizhi
大汶口遗址	Dawenkouyizhi
大伊山石棺墓	Dayishanshiguanmu
岱海遗址群	Daihaiyizhiqun
代王城遗址	Daiwangchengyizhi
地藏寺经幢	Dizangsijingchuang
雕龙碑遗址	Diaolongbeiyizhi
东山嘴遗址	Dongshanzuiyizhi
东下冯遗址	Dongxiafengyizhi
二龙湖古城遗址	Erlonghuguchengyizhi
飞来峰造像	Feilaifengzaoxiang
甘泉宫遗址	Ganquangongyizhi
巩县石窟	Gongxianshiku
古城寨城址	Guchengzhaichengzhi
广允缅寺	Guangyunmiansi
虢国墓地	Guoguomudi
果园新城墓群	Guoyuanxinchengmuqun
海城仙人洞遗址	Haichengxianrendongyizhi
汉鲁王墓	Hanluwangmu
汉书遗址西团山遗址	Hanshuyizhixituanshanyizhi
和林格尔土城子遗址	Helingeertuchengziyizhi
河姆渡遗址	Hemuduyizhi
黑山头城址	Heishantouchengzhi
洪秀全故居	Hongxiuquanguju
洪州窑遗址	Hongzhouyaoyizhi
湖田古瓷窑址	Hutianguciyaozhi
华林寺大殿	Hualinsidadian
华清宫遗址	Huaqinggongyizhi
花戏楼	Huaxilou
鸡公山遗址	Jigongshanyizhi
纪山楚墓群	Jishanchumuqun
姜寨遗址	Jiangzhaiyizhi
金界壕遗迹	Jinjiehaoyiji
金上京会宁府遗址	Jinshangjinghuiningfuyizhi
晋阳古城遗址	Jinyangguchengyizhi
金中都水关遗址	Jinzhongdoushuiguanyizhi
净藏禅师塔	Jingcangchanshita
卡若遗址	Karuoyizhi
开元寺	Kaiyuansi
孔望山摩崖造像	Kongwangshanmoyazaoxiang
蓝田猿人遗址	Lantianyuanrenyizhi
乐山大佛	Leshandafo
李时珍墓	Lishizhenmu
良渚遗址	Liangzhuyizhi
辽阳白塔	Liaoyangbaita
林则徐墓	Linzexumu
林则徐销烟池与虎门炮台旧址	Linzexuxiaoyanchiyuhumenpaotaijiuzhi
灵渠	Lingqu
灵岩寺	Lingyansi
六顶山古墓	Liudingshangumu
罗家坝遗址	Luojiabayizhi
罗通山城	Luotongshancheng
梅庵	Meian
孟庄遗址	Mengzhuangyizhi
庙子沟遗址	Miaozigouyizhi
明中都皇故城及皇陵石刻	Mingzhongduhuangguchengjihuanglingshike
南石窟寺	Nanshikusi
南庄头遗址	Nanzhuangtouyizhi
泥河湾遗址群	Nihewanyizhiqun
尼雅遗址	Niyayizhi
牛街礼拜寺	Niujielibaisi
蒲津渡与蒲州故城遗址	Pujinduyupuzhouguchengyizhi
戚城遗址	Qichengyizhi
齐家坪遗址	Qijiapingyizhi
栖霞寺舍利塔	Qixiasishelita
千佛崖造像	Qianfoyazaoxiang
青龙洞	Qinglongdong
清昭陵	Qingzhaoling
曲村天马遗址	Qucuntianmayizhi
曲回寺石佛冢	Quhuisishifozhong
萨拉乌苏遗址	Salawusuyizhi
三江平原汉魏时期遗址	Sanjiangpingyuanhanweishiqiyizhi
石家河遗址	Shijiaheyizhi
释迦文佛塔	Shijiawenfota
柿子滩遗址	Shizitanyizhi
司马迁墓和祠	Simaqianmuheci
宋陵	Songling
苏巴什佛寺遗址	Subashenfosiyizhi
隋大兴	Suidaxing
隋仁寿宫	Suirenshougong
锁阳城遗址	Suoyangchengyizhi
太平天国侍王府	Taipingtianguoshiwangfu
唐长安城遗址	Tangchanganchengyizhi
唐九成宫遗址	Tangjiuchenggongyizhi
天宁寺大殿	Tianningsidadian
铜录山古铜矿遗址	Tonglushangutongkuangyizhi
通天岩石窟	Tongtianyanshiku
统万城遗址	Tongwanchengyizhi
驼山石窟	Tuoshanshiku
丸都山故城	Wandoushangucheng
万发拨子遗址	Wanfaboziyizhi
万荣东岳庙	Wanrongdongyuemiao
王城岗及阳城遗址	Wangchenggangjiyangchengyizhi
魏长城遗址	Weichangchengyizhi
吴城遗址	Wuchengyizhi
西安清真寺	Xianqingzhensi
西安事变旧址	Xianshibianjiuzhi
息烽集中营旧址	Xifengjizhongyingjiuzhi
西山遗址	Xishanyizhi
西岳庙	Xiyuemiao
西寨遗址	Xizhaiyizhi
仙水岩崖墓群	Xianshuiyanyamuqun
新乐遗址	Xinyueyizhi|xinleyizhi
兴隆洼遗址	Xinglongwayizhi
邢窑遗址	Xingyaoyizhi
修定寺塔	Xiudingsita
许家窑侯家窑遗址	Xujiayaohoujiayaoyizhi
须弥山石窟	Xumishanshiku
玄妙观三清殿	Xuanmiaoguansanqingdian
玄贞观	Xuanzhenguan
薛家岗遗址	Xuejiagangyizhi
焉不拉克古墓群	Yanbulakegumuqun
杨粲墓	Yangcanmu
扬州城遗址	Yangzhouchengyizhi
一百零八塔	Yibailingbata
义和团吕祖堂坛口遗址	Yihetuanlvzutangtankouyizhi
应昌路故城遗址	Yingchangluguchengyizhi
玉泉寺及铁塔	Yuquansijitieta
元谋猿人遗址	Yuanmouyuanrenyizhi
元中都遗址	Yuanzhongduyizhi
郑成功墓	Zhengchenggongmu
郑国渠首遗址	Zhengguoqushouyizhi
钟山石窟	Zhongshanshiku
周原遗址	Zhouyuanyizhi
