安吉竹鸡	anjizhuji
翠玉豆糕	cuiyudougao
大救驾	dajiujia
大叶芹	dayeqin
到奉点心	daofengdianxin
洞庭碧螺春	dongtingbiluochun
豆面饽饽	doumianbobo
豆沙糕	doushagao
豆沙卷	doushajuan
豆沙苹果	doushapingguo
二龙戏珠	erlongxizhu
蕃茄马蹄	fanqiemati
飞龙脯	feilongpu
焚香入宴	fenxiangruyan
凤凰展翅	fenghuangzhanchi
蜂蜜花生	fengmihuasheng
凤尾烧麦	fengweishaomai
凤尾鱼翅	fengweiyuchi
奉香上寿	fengxiangshangshou
佛手金卷	foshoujinjuan
福建乌龙	fujianwulong
芙蓉香蕉卷	furongxiangjiaojuan
福字瓜烧里脊	fuziguashaoliji
父子同欢	fuzitonghuan
干连福海参	ganlianfuhaishen
告别香茗	gaobiexiangming
高汤水饺	gaotangshuijiao
蛤什蟆汤	hashenmatang|geshenmatang
鸽子玻璃糕	geziboligao
宫保野兔	gongbaoyetu
宫廷小黄瓜	gongtingxiaohuanggua
宫廷小萝葡	gongtingxiaoluopu
鼓板龙蟹	gubanlongxie
古乐伴宴	guyuebanyan
挂炉沙板鸡	gualushabanji
挂炉山鸡	gualushanji
怪味大扁	guaiweidabian
怪味核桃	guaiweihetao
怪味鸡条	guaiweijitiao
怪味腰果	guaiweiyaoguo
罐焖鱼唇	guanmenyuchun
罐煨山鸡丝燕窝	guanweishanjisiyanwo
桂花大头菜	guihuadatoucai
桂花酱鸡	guihuajiangji
桂花辣酱芥	guihualajiangjie
桂花鱼条	guihuayutiao
果酱金糕	guojiangjingao
蚝油牛柳	haoyouniuliu
蚝油仔鸡	haoyouziji
核桃酪	hetaolao
核桃粘	hetaozhan
荷叶鸡	heyeji
荷叶膳粥	heyeshanzhou
合意饼	heyibing
红豆膳粥	hongdoushanzhou
红梅珠香	hongmeizhuxiang
红烧赤贝	hongshaochibei
红烧麒麟面	hongshaoqilinmian
红烧鱼骨	hongshaoyugu
红油鸭子	hongyouyazi
洪字鸡丝黄瓜	hongzijisihuanggua
猴头蘑扒鱼翅	houtoumobayuchi
蝴蝶暇卷	hudiexiajuan
湖米茭白	humijiaobai
虎皮花生	hupihuasheng
花菇鸭掌	huaguyazhang
滑溜贝球	hualiubeiqiu
滑熘鸭脯	hualiuyapu
花生粘	huashengzhan
花盏龙眼	huazhanlongyan
黄金角	huangjinjiao
慧仁米粥	huirenmizhou
鸡丝豆苗	jisidoumiao
鸡丝银耳	jisiyiner
酱菜四品	jiangcaisipin
酱甘螺	jiangganluo
酱黑菜	jiangheicai
酱焖鹌鹑	jiangmenanchun
酱桃仁	jiangtaoren
酱小椒	jiangxiaojiao
姜汁鱼片	jiangzhiyupian
疆字红油百叶	jiangzihongyoubaiye
椒油茭白	jiaoyoujiaobai
椒油银耳	jiaoyouyiner
节令宴	jielingyan
芥茉鸭掌	jiemoyazhang
金蟾玉鲍	jinchanyubao
金糕	jingao
金糕卷	jingaojuan
金菇掐菜	jinguqiacai
金丝烧麦	jinsishaomai
金丝酥雀	jinsisuque
金腿烧圆鱼	jintuishaoyuanyu
敬奉环浆	jingfenghuanjiang
九百宴	jiubaiyan
菊花佛手酥	juhuafoshousu
菊花里脊	juhualiji
君山银针	junshanyinzhen
烤鹿脯	kaolupu
烤山鸡	kaoshanji
烤鱼扇	kaoyushan
可可桃仁	keketaoren
腊八粥	labazhou
辣白菜卷	labaicaijuan
喇嘛糕	lamagao
莉雀舌毫	liqueshehao
丽人献茗	lirenxianming
栗子糕	lizigao
莲花卷	lianhuajuan
莲蓬豆腐	lianpengdoufu
莲子糕	lianzigao
莲子膳粥	lianzishanzhou
溜鸡脯	liujipu
龙抱凤蛋	longbaofengdan
龙凤呈祥	longfengchengxiang
龙凤描金攒盒龙盘柱	longfengmiaojincuanhelongpanzhu
龙凤柔情	longfengrouqing
龙井竹荪	longjingzhusun
龙须面	longxumian
龙舟镢鱼	longzhoujueyu
鹿肉片	luroupian
庐山云雾	lushanyunwu
罗汉大虾	luohandaxia
萝葡条	luoputiao
麻辣鹌鹑	malaanchun
麻辣口条	malakoutiao
麻辣乳瓜片	malaruguapian
麻辣蹄筋	malatijin
麻仁鹿肉串	marenlurouchuan
满汉全席	manhanquanxi
蒙古亲潘宴	mengguqinpanyan
蜜饯槟子	mijianbinzi
蜜饯菠萝	mijianboluo
蜜饯瓜条	mijianguatiao
蜜饯桂圆	mijianguiyuan
蜜饯哈密杏	mijianhamixing
蜜饯海棠	mijianhaitang
蜜饯红果	mijianhongguo
蜜饯金枣	mijianjinzao
蜜饯桔子	mijianjuzi
蜜饯莱阳梨	mijianlaiyangli
蜜饯荔枝	mijianlizhi
蜜饯李子	mijianlizi
蜜饯菱角	mijianlingjiao
蜜饯龙眼	mijianlongyan
蜜饯马蹄	mijianmati
蜜饯苹果	mijianpingguo
蜜饯葡萄	mijianputao
蜜饯青梅	mijianqingmei
蜜饯四品	mijiansipin
蜜饯鲜桃	mijianxiantao
蜜饯香蕉	mijianxiangjiao
蜜饯小枣	mijianxiaozao
蜜饯鸭梨	mijianyali
蜜饯银杏	mijianyinxing
蜜饯樱桃	mijianyingtao
蜜汁蕃茄	mizhifanqie
蜜汁辣黄瓜	mizhilahuanggua
明珠豆腐	mingzhudoufu
茉莉雀舌毫	moliqueshehao
墨鱼羹	moyugeng
木犀糕	muxigao
奶白葡萄	naibaiputao
奶白杏仁	naibaixingren
奶白枣宝	naibaizaobao
奶油菠萝冻	naiyouboluodong
奶汁角	naizhijiao
奶汁鱼片	naizhiyupian
年字口蘑发菜	nianzikoumofacai
酿冬菇盒	niangdongguhe
牛柳炒白蘑	niuliuchaobaimo
糯米凉糕	nuomilianggao
泡绿菜花	paolvcaihua
狍子脊	paoziji
琵琶大虾	pipadaxia
片皮乳猪	pianpiruzhu
苹果软糖	pingguoruantang
前菜七品	qiancaiqipin
前菜四品	qiancaisipin
前菜五品	qiancaiwupin
千层蒸糕	qiancengzhenggao
乾果四品	qianguosipin
千叟宴	qiansouyan
巧手烧雁鸢	qiaoshoushaoyanyuan
清炸鹌鹑	qingzhaanchun
清蒸时鲜	qingzhengshixian
热炒四品	rechaosipin
人参果	renshenguo
绒鸡待哺	rongjidaibu
肉丁黄瓜酱	roudinghuangguajiang
肉末烧饼	roumoshaobing
肉未烧饼	rouweishaobing
如意卷	ruyijuan
三丝瓜卷	sansiguajuan
三鲜龙凤球	sanxianlongfengqiu
三仙丸子	sanxianwanzi
砂锅煨鹿筋	shaguoweilujin
沙舟踏翠	shazhoutacui
山鸡片	shanjipian
膳汤一品	shantangyipin
山珍刺龙芽	shanzhencilongya
山珍刺五加	shanzhenciwujia
山珍大叶芹	shanzhendayeqin
山珍蕨菜	shanzhenjuecai
膳粥一品	shanzhouyipin
烧烤二品	shaokaoerpin
烧鹧鸪	shaozhegu
参芪炖白凤	canqidunbaifeng|shenqidunbaifeng
什香菜	shenxiangcai
生烤狍肉	shengkaopaorou
狮峰龙井	shifenglongjing
什锦花篮	shijinhualan
时令点心	shilingdianxin
柿霜软糖	shishuangruantang
首乌鸡丁	shouwujiding
寿字五香大虾	shouziwuxiangdaxia
双色豆糕	shuangsedougao
双色马蹄糕	shuangsematigao
双色软糖	shuangseruantang
水果一品	shuiguoyipin
水晶梅花包	shuijingmeihuabao
水晶软糖	shuijingruantang
四甜蜜饯	sitianmijian
四喜乾果	sixiqianguo
松鹤延年	songheyannian
松树猴头蘑	songshuhoutoumo
松子海罗干	songzihailuogan
素炒鳝丝	suchaoshansi
酥炸金糕	suzhajingao
酥炸腰果	suzhayaoguo
酸辣黄瓜	suanlahuanggua
随上薄饼	suishangbaobing
随上荷叶卷	suishangheyejuan
随上围碟十二品	suishangweidieshierpin
糖炒大扁	tangchaodabian
糖炒花生	tangchaohuasheng
糖醋荷藕	tangcuheou
糖蒜	tangsuan
桃仁山鸡丁	taorenshanjiding
甜合锦	tianhejin
甜酱	tianjiang
甜酱姜牙	tianjiangjiangya
甜酱萝葡	tianjiangluopu
甜辣乾	tianlaqian
甜面酱	tianmianjiang
甜酸乳瓜	tiansuanrugua
天香鲍鱼	tianxiangbaoyu
廷臣宴	tingchenyan
豌豆黄	wandouhuang
万寿宴	wanshouyan
万字麻辣肚丝	wanzimaladusi
万字珊瑚白	wanzishanhubai
万字珊瑚白菜	wanzishanhubaicai
维族烤羊肉	weizukaoyangrou
芜爆散丹	wubaosandan
五彩抄手	wucaichaoshou
五彩炒驼峰	wucaichaotuofeng
五彩牛柳	wucainiuliu
乌龙吐珠	wulongtuzhu
五丝洋粉	wusiyangfen
五香鳜鱼	wuxiangguiyu
五香熟芥	wuxiangshujie
五香杏仁	wuxiangxingren
五香腰果	wuxiangyaoguo
五香仔鸽	wuxiangzige|wuxiangzaige
无字盐水牛肉	wuziyanshuiniurou
喜鹊登梅	xiquedengmei
稀珍黑米粥	xizhenheimizhou
暇油黄瓜	xiayouhuanggua
虾籽冬笋	xiazidongsun
鲜豆苗	xiandoumiao
鲜蘑菜心	xianmocaixin
鲜鱼肉	xianyurou
香辣黄瓜条	xianglahuangguatiao
祥龙双飞	xianglongshuangfei
香麻鹿肉饼	xiangmaluroubing
香烹狍脊	xiangpengpaoji
香酥苹果	xiangsupingguo
香油膳糊	xiangyoushanhu
箱子豆腐	xiangzidoufu
小豆糕	xiaodougao
蟹肉双笋丝	xieroushuangsunsi
信阳毛尖	xinyangmaojian
杏仁豆腐	xingrendoufu
杏仁佛手	xingrenfoshou
熊猫蟹肉虾	xiongmaoxierouxia
绣球乾贝	xiuqiuqianbei
雪里蕻	xuelihong
雪山梅	xueshanmei
腌水芥皮	yanshuijiepi
盐水里脊	yanshuiliji
杨河春绿	yanghechunlv
腰果鹿丁	yaoguoluding
腰果芹心	yaoguoqinxin
野味火锅	yeweihuoguo
野鸭脯	yeyapu
野鸭桃仁丁	yeyataorending
野猪肉	yezhurou
椰子盏	yezizhan
一品官燕	yipinguanyan
应时水果拼盘一品	yingshishuiguopinpanyipin
油焖草菇	youmencaogu
油焖鲜蘑	youmenxianmo
油焖鲜蘑蜜汁蕃茄	youmenxianmomizhifanqie
鱿鱼卷	youyujuan
御菜三品	yucaisanpin
御菜四品	yucaisipin
御菜五品	yucaiwupin
御菜一品	yucaiyipin
玉面葫芦	yumianhulu
御膳豆黄	yushandouhuang
御膳烤鸡	yushankaoji
玉笋蕨菜	yusunjuecai
玉兔白菜	yutubaicai
玉掌献寿	yuzhangxianshou
芫爆仔鸽	yuanbaozige|yuanbaozaige
原壳鲜鲍鱼	yuankexianbaoyu
鸳鸯卷	yuanyangjuan
月饼	yuebing
芸豆卷	yundoujuan
枣泥糕	zaonigao
珍珠鱼丸	zhenzhuyuwan
芝麻卷	zhimajuan
芝麻南糖	zhimanantang
芝麻鱼	zhimayu
珠兰大方	zhulandafang
籽冬笋	zidongsun
紫香乾	zixiangqian
