安吉竹鸡	anjizhuji
桂花蹄筋	guihuatijin
桂花楂糕	guihuazhagao
龟羊汤	guiyangtang
锅巴肉片	guobaroupian
锅边糊	guobianhu
锅烧鳗	guoshaoman
锅烧肘子	guoshaozhouzi
海参扒肘子	haishenbazhouzi
海参盆蒸	haishenpenzheng
海参蒸盆	haishenzhengpen
海棠冬菇	haitangdonggu
海星玉笋	haixingyusun
韩包子	hanbaozi
杭州煨鸡	hangzhouweiji
杭州油乡豆腐皮	hangzhouyouxiangdoufupi
蚝皇凤爪	haohuangfengzhao
蚝烙	haolao
荷包豆腐	hebaodoufu
荷花铁雀	hehuatieque
荷花鱼肚	hehuayudu
合江烤鱼	hejiangkaoyu
合浦还珠	hepuhuanzhu
荷叶粉蒸肉	heyefenzhengrou
荷叶肉	heyerou
轰动大陆界	hongdongdalujie
红炖鱼翅	hongdunyuchi
红色烧牛蹄筋	hongseshaoniutijin
红烧果子狸	hongshaoguozili
红烧寒菌	hongshaohanjun
红烧鳝片	hongshaoshanpian
红烧鱼皮	hongshaoyupi
红煨八宝鸭	hongweibabaoya
红煨牛肉	hongweiniurou
红煨水鱼裙边	hongweishuiyuqunbian
红煨羊蹄花	hongweiyangtihua
红煨鱼翅	hongweiyuchi
红星兔丁	hongxingtuding
红糟鸡	hongzaoji
红糟鱼排	hongzaoyupai
蝴蝶海参	hudiehaishen
蝴蝶飘海	hudiepiaohai
蝴蝶馓子	hudiesanzi
护国菜	huguocai
虎跑素火煺	hupaosuhuotui
虎皮毛豆腐	hupimaodoufu
花菇无黄蛋	huaguwuhuangdan
滑鸡粥	huajizhou
花茹无黄蛋	huaruwuhuangdan
怀抱鲤	huaibaoli
淮扬菜	huaiyangcai
黄粑	huangba
黄耙	huangba
黄葱扒蹄筋	huangcongbatijin
黄焖鸡块	huangmenjikuai
黄焖栗子鸡	huangmenliziji
黄焖鸭肝	huangmenyagan
黄焖子铜鹅	huangmenzitonge
黄泥煨鸡	huangniweiji
黄埔炒蛋	huangpuchaodan
黄山炖鸽	huangshandunge
黄鳝席	huangshanxi
黄岩蜜桔	huangyanmiju
黄鱼豆腐羹	huangyudoufugeng
回锅肉	huiguorou
烩牛脑髓	huiniunaosui
徽州圆子	huizhouyuanzi
火爆黄喉	huobaohuanghou
火爆毛肚	huobaomaodu
火鞭子牛肉	huobianziniurou
火腿炖甲鱼	huotuidunjiayu
火煮干丝	huozhugansi
及第粥和艇仔粥	jidizhouhetingzaizhou
纪妃伴龙颜	jifeibanlongyan
鸡烩蛇	jihuishe
鸡米芽菜	jimiyacai
鸡茸金丝笋	jirongjinsisun
鸡丝燕窝	jisiyanwo
鸡汤汆海蚌	jitangcuanhaibang
鸡汤氽海蚌	jitangtunhaibang
鸡汤煮干丝	jitangzhugansi
鸡油菜心	jiyoucaixin
鸡汁煮干丝	jizhizhugansi
鸡爪草	jizhuacao
嘉禾脆皮鸡	jiahecuipiji
家乡豆腐	jiaxiangdoufu
家乡南肉	jiaxiangnanrou
嘉兴的炒蟹粉	jiaxingdechaoxiefen
鉴湖鱼味	jianhuyuwei
建瓯风干的鸭子	jianoufenggandeyazi
煎薯饼	jianshubing
简阳羊肉汤	jianyangyangroutang
煎糟鳗鱼	jianzaomanyu
蒋排骨	jiangpaigu
姜氏卤菜一绝	jiangshilucaiyijue
姜汁青口	jiangzhiqingkou
酱汁鸭子	jiangzhiyazi
叫花鸡	jiaohuaji
叫化童鸡	jiaohuatongji
焦熘里脊	jiaoliuliji
窖沙珍珠丸	jiaoshazhenzhuwan
椒盐青虾	jiaoyanqingxia
焦炸肥肠	jiaozhafeichang
浇汁鱼	jiaozhiyu
金蟾戏珠	jinchanxizhu
金华火腿	jinhuahuotui
金陵板鸭	jinlingbanya
金陵菜	jinlingcai
金陵丸子	jinlingwanzi
金钱鱼	jinqianyu
金丝豆腐干	jinsidoufugan
金香饼	jinxiangbing
金银裹蛎子	jinyinguolizi
金鱼戏莲	jinyuxilian
靖江的肉脯	jingjiangderoupu
靖江肉脯	jingjiangroupu
镜箱豆腐	jingxiangdoufu
镜镶豆腐	jingxiangdoufu
酒酿圆子	jiuniangyuanzi
九味鸡	jiuweiji
九转大肠	jiuzhuandachang
菊花鱼	juhuayu
桔络鱼脑	juluoyunao
卷煎	juanjian
开屏柴把桂鱼	kaipingchaibaguiyu
开水白菜	kaishuibaicai
开阳炒苔菜	kaiyangchaotaicai
烤大虾	kaodaxia
烤方	kaofang
烤乳猪	kaoruzhu
口水鸡	koushuiji
苦瓜酿肉	kuguaniangrou
苦斋汤	kuzhaitang
葵花鱼	kuihuayu
腊肉炖鳝片	laroudunshanpian
辣汤	latang
腊味合蒸	laweihezheng
辣子肥肠	lazifeichang
辣子鸡	laziji
辣子田螺	lazitianluo
赖汤圆	laitangyuan
烂糊	lanhu
兰花春笋	lanhuachunsun
兰花扒鸡茸豆腐	lanhuapajirongdoufu
阆中张飞牛肉	langzhongzhangfeiniurou
老法虾仁	laofaxiaren
老姜鸡块	laojiangjikuai
老麻抄手	laomachaoshou
老妈蹄花	laomatihua
烙馍	laomo
老牌鸭子	laopaiyazi
老烧鱼	laoshaoyu
醪糟红烧肉	laozaohongshaorou
老灶火锅	laozaohuoguo
乐山甜皮鸭	leshantianpiya
乐天鸭子	letianyazi
冷吃兔	lengchitu
冷锅串串	lengguochuanchuan
冷锅鱼	lengguoyu
鲤干	ligan
李家湾退鳅鱼	lijiawantuiqiuyu
荔枝肉	lizhirou
李庄白肉	lizhuangbairou
栗子鸡	liziji
两吃干贝	liangchiganbei
两吃鲤鱼	liangchiliyu
两河桃片	lianghetaopian
