阿保之劳	abaozhilao
鞍马劳倦	anmalaojuan
鞍马劳困	anmalaokun
鞍马劳神	anmalaoshen
鞍马之劳	anmazhilao
安眉带眼	anmeidaiyan
安民济物	anminjiwu
安民则惠	anminzehui
按名责实	anmingzeshi
按捺不下	annabuxia
按捺不住	annabuzhu
安难乐死	annanlesi
安内攮外	anneinangwai
安内攘外	anneirangwai
按辔徐行	anpeixuxing
安贫乐道	anpinledao
安贫乐贱	anpinlejian
安贫守道	anpinshoudao
安贫知命	anpinzhiming
暗气暗恼	anqiannao
安其所习	anqisuoxi
鞍前马后	anqianmahou
按强扶弱	anqiangfuruo
按强助弱	anqiangzhuruo
岸然道貌	anrandaomao
黯然魂消	anranhunxiao
黯然魂销	anranhunxiao
安然如故	anranrugu
黯然伤神	anranshangshen
黯然神伤	anranshenshang
黯然失色	anranshise
黯然无色	anranwuse
安然无事	anranwushi
安然无恙	anranwuyang
黯然销魂	anranxiaohun
安忍无亲	anrenwuqin
安忍之怀	anrenzhihuai
安忍阻兵	anrenzubing
安如磐石	anrupanshi
安如泰山	anrutaishan
安弱守雌	anruoshouci
安若泰山	anruotaishan
暗弱无断	anruowuduan
安神定魄	anshendingpo
安身乐业	anshenleye
安身立命	anshenliming
安身立业	anshenliye
安身为乐	anshenweile
安生服业	anshengfuye
安生乐业	anshengleye
暗室不欺	anshibuqi
安时处顺	anshichushun
暗室逢灯	anshifengdeng
暗室亏心	anshikuixin
安室利处	anshilichu
安世默识	anshimoshi
暗室欺心	anshiqixin
暗室求物	anshiqiuwu
安适如常	anshiruchang
安世三箧	anshisanqie
暗室私心	anshisixin
暗室屋漏	anshiwulou
暗室无欺	anshiwuqi
暗送秋波	ansongqiubo
安土乐业	antuleye
安土恋本	antulianben
按图索骥	antusuoji
按图索骏	antusuojun
安土息民	antuximin
安土重旧	antuzhongjiu
安土重居	antuzhongju
安土重迁	antuzhongqian|antuchongqian
安危冷暖	anweilengnuan
安危相易	anweixiangyi
安危与共	anweiyugong
安危之机	anweizhiji
案无留牍	anwuliudu
暗无天日	anwutianri
安闲自得	anxianzide
安闲自在	anxianzizai
安详恭敬	anxianggongjing
暗香疏影	anxiangshuying
安心定志	anxindingzhi
安心乐业	anxinleye
安心乐意	anxinleyi
安心立命	anxinliming
安心落意	anxinluoyi
安心恬荡	anxintiandang
安行疾斗	anxingjidou
按行自抑	anxingziyi
按需知密	anxuzhimi
案萤干死	anyinggansi
安营下寨	anyingxiazhai
安营扎寨	anyingzhazhai
安于覆盂	anyufuyu
安于故俗	anyugusu
安于磐石	anyupanshi
安于所习	anyusuoxi
安于泰山	anyutaishan
安于现状	anyuxianzhuang
安于一隅	anyuyiyu
暗约私期	anyuesiqi
暗约偷期	anyuetouqi
安宅正路	anzhaizhenglu
安枕而卧	anzhenerwo
安之若固	anzhiruogu
安之若命	anzhiruoming
安之若素	anzhiruosu
暗中摸索	anzhongmosuo
暗中倾轧	anzhongqingya
暗中作梗	anzhongzuogeng
安坐待毙	anzuodaibi
昂昂不动	angangbudong
昂昂得意	angangdeyi
昂昂自若	angangziruo
昂藏七尺	angcangqichi
昂然而入	angranerru
昂然直入	angranzhiru
昂然自得	angranzide
昂然自若	angranziruo
昂首阔步	angshoukuobu
昂首齐步	angshouqibu
昂首伸眉	angshoushenmei
昂首天外	angshoutianwai
昂首挺胸	angshoutingxiong
昂首望天	angshouwangtian
卬首信眉	angshouxinmei
卬头阔步	angtoukuobu
昂头阔步	angtoukuobu
昂头天外	angtoutianwai
昂头挺胸	angtoutingxiong
昂霄耸壑	angxiaosonghe
盎盂相击	angyuxiangji
盎盂相敲	angyuxiangqiao
嗷嗷待哺	aoaodaibu
嗷嗷待食	aoaodaishi
嗷嗷无告	aoaowugao
鏖兵赤壁	aobingchibi
傲不可长	aobukezhang|aobukechang
熬肠刮肚	aochangguadu
鳌愤龙愁	aofenlongchou
熬更守夜	aogengshouye
傲骨嶙嶙	aogulinlin
傲骨天生	aogutiansheng
懊悔无及	aohuiwuji
熬姜呷醋	aojiangxiacu|aojianggacu
熬枯受淡	aokushoudan
鳌里夺尊	aoliduozun
傲慢不逊	aomanbuxun
敖慢不逊	aomanbuxun
傲慢少礼	aomanshaoli
傲慢无礼	aomanwuli
鳌鸣鳖应	aomingbieying
傲睨得志	aonidezhi
傲睨万物	aoniwanwu
傲睨一切	aoniyiqie
傲睨一世	aoniyishi
傲睨自若	aoniziruo
熬清受淡	aoqingshoudan
熬清守淡	aoqingshoudan
傲然矗立	aoranchuli
傲然睥睨	aoranpini
傲然挺立	aorantingli
傲然屹立	aoranyili
傲上矜下	aoshangjinxia
傲世轻才	aoshiqingcai
傲世轻物	aoshiqingwu
傲世妄荣	aoshiwangrong
傲世忘荣	aoshiwangrong
傲霜斗雪	aoshuangdouxue
傲霜凌雪	aoshuanglingxue
傲头傲脑	aotouaonao
鳌头独步	aotoudubu
鳌头独占	aotouduzhan
傲贤慢士	aoxianmanshi
遨翔自得	aoxiangzide
熬心费力	aoxinfeili
傲雪凌霜	aoxuelingshuang
傲雪欺霜	aoxueqishuang
聱牙戟口	aoyajikou
聱牙佶屈	aoyajiqu
聱牙诘屈	aoyajiqu
聱牙诘曲	aoyajiequ|aoyajiqu
謷牙诘屈	aoyajiequ|aoyajiqu
