阿保之劳	abaozhilao
绝口不谈	juekoubutan
绝类离伦	jueleililun
攫戾执猛	juelizhimeng
角力中原	juelizhongyuan
绝路逢生	juelufengsheng
绝伦逸群	juelunyiqun
绝妙好辞	juemiaohaoci
决命争首	juemingzhengshou
掘墓鞭尸	juemubianshi
抉目东门	juemudongmen
抉目吴门	juemuwumen
抉目胥门	juemuxumen
抉目悬门	juemuxuanmen
绝其本根	jueqibengen
绝情寡义	jueqingguayi
绝裙而去	juequnerqu
觉人觉世	juerenjueshi
绝仁弃义	juerenqiyi
绝色佳人	juesejiaren
绝少分甘	jueshaofengan
决胜庙堂	jueshengmiaotang
绝圣弃智	jueshengqizhi
决胜千里	jueshengqianli
决胜之机	jueshengzhiji
绝世超伦	jueshichaolun
绝世出尘	jueshichuchen
绝世独立	jueshiduli
绝世佳人	jueshijiaren
绝世离世	jueshilishi
绝世蔑俗	jueshimiesu
绝世无伦	jueshiwulun
绝世无双	jueshiwushuang
橛守成规	jueshouchenggui
撅竖小人	jueshuxiaoren
撅天扑地	juetianpudi
倔头强脑	juetoujiangnao
攫为己有	jueweijiyou
绝无间有	juewujianyou
绝无仅有	juewujinyou
抉瑕掩瑜	juexiayanyu
抉瑕摘衅	juexiazhaixin
绝薪止火	juexinzhihuo
抉意抽华	jueyichouhua
决一雌雄	jueyicixiong
决一胜负	jueyishengfu
决一死战	jueyisizhan
决痈溃疽	jueyongkuiju
决疣溃痈	jueyoukuiyong
决狱断刑	jueyuduanxing
绝域殊方	jueyushufang
绝域异方	jueyuyifang
谲诈多端	juezhaduoduan
绝子绝孙	juezijuesun
君暗臣蔽	junanchenbi
峻阪盐车	junbanyanche
骏波虎浪	junbohulang
军不血刃	junbuxueren
军不厌诈	junbuyanzha
君侧之恶	juncezhie
君唱臣和	junchangchenhe
君臣佐使	junchenzuoshi
军多将广	junduojiangguang
军法从事	junfacongshi
峻法严刑	junfayanxing
骏骨牵盐	junguqianyan
麇骇雉伏	junhaizhifu
君火之位	junhuozhiwei
俊杰廉悍	junjielianhan
军临城下	junlinchengxia
峻岭崇山	junlingchongshan
军令如山	junlingrushan
骏命不易	junmingbuyi
君命无二	junmingwuer
君平卖卜	junpingmaibu
君仁臣直	junrenchenzhi
军容风纪	junrongfengji
君辱臣死	junruchensi
君射臣决	junshechenjue
君圣臣贤	junshengchenxian
皲手茧足	junshoujianzu
钧天广乐	juntianguangyue|juntianguangle
钧天之乐	juntianzhile
军团前线	juntuanqianxian
军团要塞	juntuanyaosai
君王板甲	junwangbanjia
军务倥偬	junwukongzong
君无戏言	junwuxiyan
军衔徽章	junxianhuizhang
峻宇雕墙	junyudiaoqiang
君子安平	junzianping
君子固穷	junziguqiong
君子好逑	junzihaoqiu
君子三戒	junzisanjie
君子协定	junzixieding
君子一言	junziyiyan
君子之过	junzizhiguo
君子之交	junzizhijiao
开诚布公	kaichengbugong
开诚布信	kaichengbuxin
开诚相见	kaichengxiangjian
慨当以慷	kaidangyikang
岂弟君子	kaidijunzi|qidijunzi
开顶风船	kaidingfengchuan
开国承家	kaiguochengjia
开国功臣	kaiguogongchen
开国济民	kaiguojimin
开国元老	kaiguoyuanlao
开国元勋	kaiguoyuanxun
开合自如	kaiheziru
慨乎言之	kaihuyanzhi
开花结果	kaihuajieguo
开花结实	kaihuajieshi
开怀畅饮	kaihuaichangyin
开基创业	kaijichuangye
开基立业	kaijiliye
开疆辟土	kaijiangpitu
开疆拓境	kaijiangtuojing
开疆拓土	kaijiangtuotu
开疆拓宇	kaijiangtuoyu
开疆展土	kaijiangzhantu
开阶立极	kaijieliji
开卷有得	kaijuanyoude
开卷有益	kaijuanyouyi
开科取士	kaikequshi
开口见胆	kaikoujiandan
开口见心	kaikoujianxin
开阔思维	kaikuosiwei
开阔眼界	kaikuoyanjie
开来继往	kailaijiwang
开利除害	kailichuhai
开笼放雀	kailongfangque
开聋启聩	kailongqikui
开路先锋	kailuxianfeng
开锣喝道	kailuohedao
开眉笑眼	kaimeixiaoyan
开眉展眼	kaimeizhanyan
开门见山	kaimenjianshan
开门纳寇	kaimennakou
开门纳狼	kaimennalang
开门纳贼	kaimennazei
开门受徒	kaimenshoutu
开门延盗	kaimenyandao
开门揖盗	kaimenyidao
开启符文	kaiqifuwen
慨然领诺	kairanlingnuo
慨然应允	kairanyingyun
慨然允诺	kairanyunnuo
开山鼻祖	kaishanbizu
开山老祖	kaishanlaozu
开山始祖	kaishanshizu
开山之祖	kaishanzhizu
开山祖师	kaishanzushi
开山作师	kaishanzuoshi
开台锣鼓	kaitailuogu
恺悌君子	kaitijunzi
开天辟地	kaitianpidi
欬唾成珠	kaituochengzhu
开脱罪责	kaituozuize
开物成务	kaiwuchengwu
开雾睹天	kaiwudutian
开柙出虎	kaixiachuhu
开心见肠	kaixinjianchang
开心见诚	kaixinjiancheng
开心见胆	kaixinjiandan
开心明目	kaixinmingmu
开心如意	kaixinruyi
开心写意	kaixinxieyi
开源节流	kaiyuanjieliu
开云见日	kaiyunjianri
开云见天	kaiyunjiantian
开宗明义	kaizongmingyi
看碧成朱	kanbichengzhu
看菜吃饭	kancaichifan
看风使船	kanfengshichuan
看风使舵	kanfengshiduo
看风使帆	kanfengshifan
看风驶蓬	kanfengshipeng
看风行船	kanfengxingchuan
看风行事	kanfengxingshi
看风转舵	kanfengzhuanduo
砍瓜切菜	kanguaqiecai
看家本领	kanjiabenling
看家本事	kanjiabenshi
看景生情	kanjingshengqing
坎井之蛙	kanjingzhiwa
侃侃谔谔	kankanee
侃侃而谈	kankanertan
侃侃而言	kankaneryan
侃侃訚訚	kankanyinyin
侃侃正论	kankanzhenglun
侃侃直谈	kankanzhitan
坎坷不平	kankebuping
看破红尘	kanpohongchen
看人眉睫	kanrenmeijie
看人眉眼	kanrenmeiyan
看人行事	kanrenxingshi
看杀卫玠	kanshaweijie
看守傀儡	kanshoukuilei
砍铁如泥	kantieruni
堪托死生	kantuosisheng
瞰亡往拜	kanwangwangbai
看文巨眼	kanwenjuyan
看文老眼	kanwenlaoyan
瞰瑕伺隙	kanxiasixi
堪以告慰	kanyigaowei
看朱成碧	kanzhuchengbi
抗尘走俗	kangchenzousu
扛鼎抃牛	kangdingbianniu|gangdingbianniu
扛鼎之作	kangdingzhizuo
糠豆不赡	kangdoubushan
抗寒图腾	kanghantuteng
抗怀物外	kanghuaiwuwai
抗火图腾	kanghuotuteng
亢极之悔	kangjizhihui
慷慨悲歌	kangkaibeige
慷慨陈词	kangkaichenci
慷慨赴义	kangkaifuyi
慷慨激昂	kangkaijiang
慷慨激烈	kangkaijilie
慷慨激扬	kangkaijiyang
慷慨解囊	kangkaijienang
慷慨就义	kangkaijiuyi
慷慨捐生	kangkaijuansheng
慷慨淋漓	kangkailinli
慷慨输将	kangkaishujiang
慷慨仗义	kangkaizhangyi
康了之中	kanglezhizhong
伉丽情笃	kangliqingdu
伉俪情深	kangliqingshen
亢厉之悔	kanglizhihui
亢龙有悔	kanglongyouhui
康强逢吉	kangqiangfengji
康衢之谣	kangquzhiyao
慷人之慨	kangrenzhikai
亢心憍气	kangxinjiaoqi
抗颜高议	kangyangaoyi
亢音高唱	kangyingaochang
康哉之歌	kangzaizhige
康庄大道	kangzhuangdadao
康庄大逵	kangzhuangdakui
康庄之衢	kangzhuangzhiqu
亢宗之子	kangzongzhizi
考绩黜陟	kaojichuzhi
考绩幽明	kaojiyouming
尻轮神马	kaolunshenma
尻马尻神	kaomakaoshen
考名责实	kaomingzeshi
靠山吃山	kaoshanchishan
犒赏三军	kaoshangsanjun
靠水吃水	kaoshuichishui
靠天吃饭	kaotianchifan
靠胸贴肉	kaoxiongtierou
尻舆神马	kaoyushenma
克爱克威	keaikewei
科班出身	kebanchushen
刻薄成家	kebochengjia
刻薄寡恩	keboguaen
刻薄寡思	keboguasi
刻不待时	kebudaishi
刻不容迟	keburongchi
刻不容缓	keburonghuan
刻不容松	keburongsong
客不送客	kebusongke
渴不择饮	kebuzeyin
渴尘万斛	kechenwanhu
可趁之机	kechenzhiji
可乘之机	kechengzhiji
可乘之隙	kechengzhixi
可乘之衅	kechengzhixin
可耻下场	kechixiachang
刻楮功巧	kechugongqiao
克传弓冶	kechuangongye
刻船求剑	kechuanqiujian
刻翠裁红	kecuicaihong
克逮克容	kedaikerong
克敌制胜	kedizhisheng
克丁克卯	kedingkemao
渴而穿井	keerchuanjing
渴而掘井	keerjuejing
克伐怨欲	kefayuanyu
可歌可泣	kegekeqi
可歌可涕	kegeketi
克恭克顺	kegongkeshun
刻骨崩心	kegubengxin
刻骨仇恨	keguchouhen
刻骨镂心	kegulouxin
刻骨铭肌	kegumingji
刻骨铭心	kegumingxin
刻骨相思	keguxiangsi
刻鹄成鹜	kehuchengwu
刻鹄类鹜	kehuleiwu|keguleiwu
刻画入微	kehuaruwei
刻画无盐	kehuawuyan
渴骥奔泉	kejibenquan
克己奉公	kejifenggong
克己复礼	kejifuli
刻肌刻骨	kejikegu
渴骥怒猊	kejinuni
克己慎行	kejishenxing
刻己自责	kejizize
克俭克勤	kejiankeqin
可见一斑	kejianyiban
克肩一心	kejianyixin
克尽厥职	kejinjuezhi
可惊可愕	kejingkee
苛捐杂税	kejuanzashui
可科之机	kekezhiji
刻苦耐劳	kekunailao
颗粒无存	keliwucun
颗粒无收	keliwushou
刻镂心骨	kelouxingu
渴鹿奔泉	kelubenquan
刻木为鹄	kemuweihu
刻木为吏	kemuweili
客囊羞涩	kenangxiuse
可泣可歌	keqikege
恪勤匪懈	keqinfeixie
克勤克俭	keqinkejian
溘然长逝	keranchangshi
溘然长往	keranchangwang
溘然而逝	keranershi
可人风味	kerenfengwei
可设雀罗	keshequeluo
恪守不渝	keshoubuyu
恪守成式	keshouchengshi
恪守成宪	keshouchengxian
克嗣良裘	kesiliangqiu
客死他乡	kesitaxiang
客随主便	kesuizhubian
可谈怪论	ketanguailun
客听主便	ketingzhubian
科头箕踞	ketoujiju
磕头礼拜	ketoulibai
磕头碰脑	ketoupengnao
磕头如捣	ketourudao
科头跣足	ketouxianzu
磕头撞脑	ketouzhuangnao
咳唾成珠	ketuochengzhu
咳唾凝珠	ketuoningzhu
咳唾珠玉	ketuozhuyu
刻雾裁风	kewucaifeng
可喜可愕	kexikee
溘先朝露	kexianzhaolu
可想而知	kexiangerzhi
可心如意	kexinruyi
磕牙嗑嘴	keyakezui
嗑牙料嘴	keyaliaozui
刻意求工	keyiqiugong
可有可无	keyoukewu
课语讹言	keyueyan
刻章琢句	kezhangzhuoju|kezhangzuoju
渴者易饮	kezheyiyin
刻舟求剑	kezhouqiujian
刻烛成诗	kezhuchengshi
咳珠唾玉	kezhutuoyu
克奏肤功	kezoufugong
刻足适屦	kezushiju
课嘴撩牙	kezuiliaoya
肯构肯堂	kengoukentang
肯堂肯构	kentangkengou
啃硬骨头	kenyinggutou
坑绷拐骗	kengbengguaipian
坑道蝎毒	kengdaoxiedu
坑灰未冷	kenghuiweileng
坑家败业	kengjiabaiye
铿金霏玉	kengjinfeiyu
铿金戛玉	kengjinjiayu
硁硁之见	kengkengzhijian
硁硁之信	kengkengzhixin
硁硁之愚	kengkengzhiyu
坑蒙拐骗	kengmengguaipian
铿镪顿挫	kengqiangduncuo
铿锵有力	kengqiangyouli
硜然自首	kengranzishou
坑儒焚典	kengrufendian
坑儒焚书	kengrufenshu
孔壁古文	kongbiguwen
空车走阪	kongchezouban
空大老脬	kongdalaopao
空洞无物	kongdongwuwu
空费词说	kongfeicishuo
空腹高心	kongfugaoxin
空腹便便	kongfupianpian
空谷白驹	konggubaiju
空谷传声	kongguchuansheng
空古绝今	konggujuejin
空谷跫然	kongguqiongran
空谷跫音	kongguqiongyin
空谷幽兰	kongguyoulan
空谷之音	kongguzhiyin
空谷足音	kongguzuyin
恐吓嚎叫	konghehaojiao
恐吓尖啸	konghejianxiao
恐吓咆哮	konghepaoxiao
恐后争先	konghouzhengxian
空话连篇	konghualianpian
孔怀兄弟	konghuaixiongdi
孔怀之亲	konghuaizhiqin
孔怀之重	konghuaizhizhong
恐慌万状	konghuangwanzhuang
空空道人	kongkongdaoren
空空如也	kongkongruye
空口无凭	kongkouwuping
空旷无人	kongkuangwuren
孔鲤过娣	kongliguodi
孔孟之道	kongmengzhidao
空名告身	kongminggaoshen
控名责实	kongmingzeshi
空前绝后	kongqianjuehou
空前团结	kongqiantuanjie
孔情周思	kongqingzhousi
空舍清野	kongsheqingye
空室蓬户	kongshipenghu
空室清野	kongshiqingye
孔思周情	kongsizhouqing
空谈快意	kongtankuaiyi
空头冤家	kongtouyuanjia
空头支票	kongtouzhipiao
孔武有力	kongwuyouli
孔席不栗	kongxibuli
孔席不暖	kongxibunuan
孔席不适	kongxibushi
孔席墨突	kongximotu
空心架子	kongxinjiazi
空心老官	kongxinlaoguan
空心汤团	kongxintangtuan
空心汤圆	kongxintangyuan
空心翼骨	kongxinyigu
空穴来风	kongxuelaifeng
空牙之刃	kongyazhiren
空言无补	kongyanwubu
空言虚辞	kongyanxuci
空言虚语	kongyanxuyu
空臆尽言	kongyijinyan
恐遭物议	kongzaowuyi
孔章望斗	kongzhangwangdou
空中枷锁	kongzhongjiasuo
空中楼阁	kongzhonglouge
口碑载道	koubeizaidao
口辩户说	koubianhushuo
口不二价	koubuerjia
口不绝吟	koubujueyin
寇不可玩	koubukewan
口不言钱	koubuyanqian
口不应心	koubuyingxin
口不择言	koubuzeyan
口才辨给	koucaibiangei
口称三味	kouchengsanwei
口齿便给	kouchibiangei
口齿伶俐	kouchilingli
口齿清晰	kouchiqingxi
口齿生香	kouchishengxiang
口出不逊	kouchubuxun
口出大言	kouchudayan
口出秽言	kouchuhuiyan
口出狂言	kouchukuangyan
口传耳受	kouchuanershou
口传家书	kouchuanjiashu
口传心授	kouchuanxinshou
口呆目瞪	koudaimudeng
口呆目钝	koudaimudun
寇德加兹	koudejiazi
口多食寡	kouduoshigua
口耳并重	kouerbingzhong|kouerbingchong
口耳讲说	kouerjiangshuo
口耳相承	kouerxiangcheng
口耳相传	kouerxiangchuan
口耳之学	kouerzhixue
口沸目赤	koufeimuchi
口福不浅	koufubuqian
口服心服	koufuxinfu
口腹之累	koufuzhilei
口腹之养	koufuzhiyang
口腹之慾	koufuzhiyu
口腹自役	koufuziyi
口干舌焦	kouganshejiao
口干舌燥	kouganshezao
口隔心慌	kougexinhuang
口乖心歪	kouguaixinwai
口含天宪	kouhantianxian
扣壶长吟	kouhuchangyin
口黄未退	kouhuangweitui
叩阍无计	kouhunwuji
叩阍无路	kouhunwulu
口祸之门	kouhuozhimen
扣楫中流	koujizhongliu
口颊留芳	koujialiufang
口讲指画	koujiangzhihua
口角春风	koujiaochunfeng
口角风情	koujiaofengqing
口角流涎	koujiaoliuxian
叩角商歌	koujiaoshangge
口角生风	koujiaoshengfeng
口就月将	koujiuyuejiang
口举手画	koujushouhua
口角垂涎	koujuechuixian
口角锋芒	koujuefengmang
口绝行语	koujuehangyu
口角流沫	koujueliumo
口口声声	koukoushengsheng
口口相传	koukouxiangchuan
口枯眼涩	koukuyanse
口快如刀	koukuairudao
口快心直	koukuaixinzhi
口令攻击	koulinggongji
叩马而谏	koumaerjian
口蜜腹剑	koumifujian
口能舌便	kounengshebian
扣盘扪钥	koupanmenyao
扣槃扪龠	koupanmenyue
扣槃扪烛	koupanmenzhu
扣盘扪烛	koupanmenzhu
口轻舌薄	kouqingshebo|kouqingshebao
口呿目瞪	kouqumudeng
扣人心弦	kourenxinxian
口如悬河	kouruxuanhe
口若河悬	kouruohexuan
口若悬河	kouruoxuanhe
口尚乳臭	koushangruxiu|koushangruchou
口舌成疮	koushechengchuang
口舌呆钝	koushedaidun
口舌俱香	koushejuxiang
口舌之便	koushezhibian
口舌之间	koushezhijian
口舌之快	koushezhikuai
口舌之劳	koushezhilao
口舌之争	koushezhizheng
叩石垦壤	koushikenrang
口是心非	koushixinfei
口是心苗	koushixinmiao
口授心传	koushouxinchuan
口说无凭	koushuowuping
口似悬河	kousixuanhe
口诵心惟	kousongxinwei
口诵心维	kousongxinwei
口体之奉	koutizhifeng
口体之养	koutizhiyang
口甜如蜜	koutianrumi
叩天无路	koutianwulu
口头诽谤	koutoufeibang
口头之交	koutouzhijiao
口吐珠玑	koutuzhuji
口吻生花	kouwenshenghua
口无烦言	kouwufanyan
口无择言	kouwuzeyan
口衔天宪	kouxiantianxian
口谐辞给	kouxiecigei
叩心泣血	kouxinqixue
抠心挖胆	kouxinwadan
抠心挖肚	kouxinwadu
抠心挖血	kouxinwaxue
口血未干	kouxueweigan
口血未乾	kouxueweiqian
抠衣趋隅	kouyiquyu
口吟舌言	kouyinsheyan
口壅若川	kouyongruochuan
口有同嗜	kouyoutongshi
口有余香	kouyouyuxiang
口语籍籍	kouyujiji
口燥唇干	kouzaochungan
口燥唇乾	kouzaochunqian
口燥喉干	kouzaohougan
口者关也	kouzheguanye
口直心快	kouzhixinkuai
口中雌黄	kouzhongcihuang
口中荆棘	kouzhongjingji
口中蚤虱	kouzhongzaoshi
口诛笔伐	kouzhubifa
口坠天花	kouzhuitianhua
枯本竭源	kubenjieyuan
苦绷苦拽	kubengkuzhuai
苦不堪言	kubukanyan
苦不可言	kubukeyan
苦不聊生	kubuliaosheng
枯茶淡饭	kuchadanfan
枯肠渴肺	kuchangkefei
苦打成招	kudachengzhao
苦大仇深	kudachoushen
刳肝沥胆	kuganlidan
枯槁之士	kugaozhishi
楛耕伤稼	kugengshangjia
枯骨生肉	kugushengrou
苦海茫茫	kuhaimangmang
苦海无边	kuhaiwubian
苦海无涯	kuhaiwuya
苦尽甘来	kujinganlai
苦尽甜来	kujintianlai
刳精呕血	kujingouxue
刳精鉥心	kujingshuxin
枯井颓巢	kujingtuichao
枯茎朽骨	kujingxiugu
苦口良药	kukouliangyao
苦口逆耳	kukounier
苦口婆心	kukoupoxin
哭哭啼啼	kukutiti
矻矻终日	kukuzhongri
苦乐不均	kulebujun
苦乐之境	kulezhijing
苦眉愁脸	kumeichoulian
枯苗望雨	kumiaowangyu
枯木发荣	kumufarong
枯木逢春	kumufengchun
枯木生花	kumushenghua
枯木生叶	kumushengye
枯木死灰	kumusihui
枯木朽株	kumuxiuzhu
枯木再生	kumuzaisheng
苦难深重	kunanshenzhong|kunanshenchong
枯脑焦心	kunaojiaoxin
枯枿朽株	kuniexiuzhu
枯蓬断草	kupengduancao
枯歧泣练	kuqiqilian
苦身焦思	kushenjiaosi
枯瘦如柴	kushouruchai
枯树逢春	kushufengchun
枯树开花	kushukaihua
枯树生花	kushushenghua
枯树生枝	kushushengzhi
枯树重花	kushuzhonghua
苦思恶想	kusiexiang
苦思冥想	kusimingxiang
刳胎焚夭	kutaifenyao
刳胎杀夭	kutaishayao
枯体灰心	kutihuixin
哭天喊地	kutianhandi
哭天抹泪	kutianmolei
苦痛堡垒	kutongbaolei
苦痛之路	kutongzhilu
哭笑不得	kuxiaobude
刳心雕肾	kuxindiaoshen
苦心孤诣	kuxinguyi
苦心极力	kuxinjili
苦心积虑	kuxinjilv
苦心焦思	kuxinjiaosi
苦心竭力	kuxinjieli
苦心经营	kuxinjingying
枯形灰心	kuxinghuixin
刳形去皮	kuxingqupi
枯朽之余	kuxiuzhiyu
苦学力文	kuxueliwen
哭眼擦泪	kuyancalei
哭眼抹泪	kuyanmolei
枯杨生华	kuyangshenghua
枯杨生稊	kuyangshengti
枯鱼病鹤	kuyubinghe
枯雨得水	kuyudeshui
枯鱼涸辙	kuyuhezhe
苦雨凄风	kuyuqifeng
苦语软言	kuyuruanyan
枯鱼衔索	kuyuxiansuo
枯鱼之肆	kuyuzhisi
枯耘伤岁	kuyunshangsui
枯燥无味	kuzaowuwei
苦争恶战	kuzhengezhan
枯枝败叶	kuzhibaiye
刳脂剔膏	kuzhitigao
枯枝再春	kuzhizaichun
苦中作乐	kuzhongzuole
枯竹空言	kuzhukongyan
枯株朽木	kuzhuxiumu
夸辩之徒	kuabianzhitu
跨步而过	kuabuerguo
夸大其词	kuadaqici
夸诞大言	kuadandayan
夸诞生感	kuadanshenggan
夸诞之语	kuadanzhiyu
夸多斗靡	kuaduodoumi
跨凤乘龙	kuafengchenglong
跨凤乘鸾	kuafengchengluan
夸父逐日	kuafuzhuri
夸父追日	kuafuzhuiri
夸夸而谈	kuakuaertan
夸夸其谈	kuakuaqitan
夸毗以求	kuapiyiqiu
夸强道会	kuaqiangdaohui
夸强说会	kuaqiangshuohui
姱容修态	kuarongxiutai|hurongxiutai
跨山压海	kuashanyahai
胯下蒲伏	kuaxiapufu
胯下之辱	kuaxiazhiru
夸州兼郡	kuazhoujianjun
快步流星	kuaibuliuxing
脍不厌细	kuaibuyanxi
快刀斩麻	kuaidaozhanma
快犊破车	kuaidupoche
块阜之山	kuaifuzhishan
快捷箭袋	kuaijiejiandai
快马加鞭	kuaimajiabian
快马一鞭	kuaimayibian
块然独处	kuairanduchu
快人快事	kuairenkuaishi
快人快性	kuairenkuaixing
快人快语	kuairenkuaiyu
郐下无讥	kuaixiawuji
快心满意	kuaixinmanyi
快心满志	kuaixinmanzhi
快心遂意	kuaixinsuiyi
快意当前	kuaiyidangqian
脍炙海内	kuaizhihainei
脍炙人口	kuaizhirenkou
脍炙天下	kuaizhitianxia
脍炙一时	kuaizhiyishi
宽大为怀	kuandaweihuai
宽打窄用	kuandazhaiyong
宽宏大度	kuanhongdadu
宽洪大度	kuanhongdadu
宽宏大量	kuanhongdaliang
宽洪大量	kuanhongdaliang
宽洪海量	kuanhonghailiang
宽怀大度	kuanhuaidadu
宽豁大度	kuanhuodadu
款款而谈	kuankuanertan
款款深深	kuankuanshenshen
款款之愚	kuankuanzhiyu
宽廉平正	kuanlianpingzheng
宽猛并济	kuanmengbingji
宽猛相济	kuanmengxiangji
宽猛相资	kuanmengxiangzi
款启寡闻	kuanqiguawen
款曲周至	kuanquzhouzhi
宽仁大度	kuanrendadu
宽衫大袖	kuanshandaxiu
款学寡闻	kuanxueguawen
宽严得体	kuanyandeti
宽以待人	kuanyidairen
款语温言	kuanyuwenyan
宽中有严	kuanzhongyouyan
狂白虎变	kuangbaihubian
狂悖无道	kuangbeiwudao
匡床蒻席	kuangchuangruoxi
旷达不羁	kuangdabuji
旷大之度	kuangdazhidu
矿道地铁	kuangdaoditie
矿道老鼠	kuangdaolaoshu
匡鼎解颐	kuangdingjieyi
狂断岩斩	kuangduanyanzhan
狂吠狴犴	kuangfeibian
狂风暴雨	kuangfengbaoyu
狂风恶浪	kuangfengelang
狂蜂浪蝶	kuangfenglangdie
狂风怒号	kuangfengnuhao
狂风怒吼	kuangfengnuhou
狂风峭壁	kuangfengqiaobi
狂风小径	kuangfengxiaojing
狂风骤雨	kuangfengzhouyu
旷夫怨女	kuangfuyuannv
旷古绝伦	kuanggujuelun
旷古奇闻	kuangguqiwen
旷古未闻	kuangguweiwen
旷古未有	kuangguweiyou
旷古无两	kuangguwuliang
旷古一人	kuangguyiren
狂瞽之说	kuangguzhishuo
狂瞽之言	kuangguzhiyan
匡国济时	kuangguojishi
匡合之功	kuanghezhigong
匡衡凿壁	kuanghengzaobi
狂轰滥炸	kuanghonglanzha
匡剂时艰	kuangjishijian
匡济之才	kuangjizhicai
匡救扶正	kuangjiufuzheng
匡救弥缝	kuangjiumifeng
旷绝一世	kuangjueyishi
匡君救主	kuangjunjiuzhu
狂龙卷风	kuanglongjuanfeng
匡乱反正	kuangluanfanzheng
旷邈无家	kuangmiaowujia
匡谬正俗	kuangmiuzhengsu
狂朋怪侣	kuangpengguailv
狂朋怪友	kuangpengguaiyou
狂嫖滥赌	kuangpiaolandu
匡其不逮	kuangqibudai
狂千斤锤	kuangqianjinchui
恇怯不前	kuangqiebuqian
筐箧中物	kuangqiezhongwu
狂犬吠日	kuangquanfeiri
旷日长久	kuangrichangjiu
旷日持久	kuangrichijiu
旷日积晷	kuangrijigui
旷日经久	kuangrijingjiu
旷日经年	kuangrijingnian
旷日累时	kuangrileishi
旷日离久	kuangrilijiu
旷日弥久	kuangrimijiu
旷日引久	kuangriyinjiu
旷日引月	kuangriyinyue
旷若发蒙	kuangruofameng
狂三诈四	kuangsanzhasi
矿山瀑布	kuangshanpubu
旷世不羁	kuangshibuji
诳时惑众	kuangshihuozhong
匡时济世	kuangshijishi
匡时济俗	kuangshijisu
匡时救世	kuangshijiushi
旷世奇才	kuangshiqicai
旷世无匹	kuangshiwupi
旷世逸才	kuangshiyicai
匡俗济时	kuangsujishi
旷岁持久	kuangsuichijiu
匡所不逮	kuangsuobudai
狂涛骇浪	kuangtaohailang
狂涛巨浪	kuangtaojulang
狂妄自大	kuangwangzida
狂为乱道	kuangweiluandao
匡我不逮	kuangwobudai
旷心怡神	kuangxinyishen
旷性怡情	kuangxingyiqing
狂言瞽说	kuangyangushuo
诓言诈语	kuangyanzhayu
狂咬乱抓	kuangyaoluanzhua
狂易筋经	kuangyijinjing
狂吟老监	kuangyinlaojian
旷职偾事	kuangzhifenshi
狂抓乱咬	kuangzhualuanyao
窥豹一斑	kuibaoyiban
溃兵游勇	kuibingyouyong
跬步不离	kuibubuli
跬步不休	kuibubuxiu
溃不成军	kuibuchengjun
溃不成阵	kuibuchengzhen
愧不敢当	kuibugandang
跬步千里	kuibuqianli
窥测一斑	kuiceyiban
愧汗无地	kuihanwudi
葵花向日	kuihuaxiangri
愧悔无地	kuihuiwudi
葵藿倾阳	kuihuoqingyang
葵藿之心	kuihuozhixin
窥间伺隙	kuijiansixi|kuijiancixi
窥见一斑	kuijianyiban
傀儡登场	kuileidengchang
魁垒挤摧	kuileijicui
揆理度情	kuiliduoqing
揆理度势	kuiliduoshi
夔龙礼乐	kuilongliyue
亏名损实	kuimingsunshi
馈贫之粮	kuipinzhiliang
窥其全豹	kuiqiquanbao
窥窃神器	kuiqieshenqi
揆情度理	kuiqingduoli|kuiqingduli
揆情审势	kuiqingshenshi
葵倾向日	kuiqingxiangri
岿然不动	kuiranbudong
喟然长叹	kuiranchangtan
岿然独存	kuiranducun
喟然太息	kuirantaixi
喟然叹息	kuirantanxi
窥涉百家	kuishebaijia
揆时度势	kuishidushi
揆事度理	kuishiduoli
窥伺间隙	kuisijianxi
窥伺效慕	kuisixiaomu
愧天怍人	kuitianzuoren
揆文奋武	kuiwenfenwu
魁梧奇伟	kuiwuqiwei
窥闲伺隙	kuixiansixi
亏心短行	kuixinduanxing
窥牖小儿	kuiyouxiaoer
窥觎非望	kuiyufeiwang
亏于一篑	kuiyuyikui
溃于蚁穴	kuiyuyixue
悃愊无华	kunbiwuhua
昆弟之好	kundizhihao
困而不学	kunerbuxue
困而学之	kunerxuezhi
昆冈之火	kungangzhihuo
壸浆箪食	kunjiangdanshi
困勉下学	kunmianxiaxue
困难问题	kunnanwenti
鹍鹏得志	kunpengdezhi
昆山片玉	kunshanpianyu
昆山之玉	kunshanzhiyu
困兽思斗	kunshousidou
困兽犹斗	kunshouyoudou
困心衡虑	kunxinhenglv
琨玉秋霜	kunyuqiushuang
捆载而归	kunzaiergui
困知勉行	kunzhimianxing
悃质无华	kunzhiwuhua
阔步高谈	kuobugaotan
廓达大度	kuodadadu
廓开大计	kuokaidaji
阔论高谈	kuolungaotan
括囊避咎	kuonangbijiu
括囊不言	kuonangbuyan
括囊拱手	kuonanggongshou
括囊守禄	kuonangshoulu
括囊四海	kuonangsihai
拉捭摧藏	labaicuicang
拉帮结派	labangjiepai
腊鼓频催	lagupincui
腊尽春回	lajinchunhui
腊尽春来	lajinchunlai
腊尽冬残	lajindongcan
拉枯折朽	lakushexiu
拉拉扯扯	lalacheche
拉拉杂杂	lalazaza
拉三扯四	lasanchesi
拉闲散闷	laxiansanmen
拉朽摧枯	laxiucuiku
拉杂摧烧	lazacuishao
来处不易	laichubuyi
来而不拒	laierbuju
来鸿去燕	laihongquyan
