阿鼻	abi
安徽淮南上窑古观音寺	anhuihuainanshangyaoguguanyinsi
安徽怀宁福慧寺	anhuihuainingfuhuisi
安徽省安庆市灵山寺	anhuishenganqingshilingshansi
安徽省阜阳市东狱禅寺	anhuishengfuyangshidongyuchansi
安徽省阜阳市颍州西湖铁佛寺	anhuishengfuyangshiyingzhouxihutiefosi
安徽省淮南市弘法堂	anhuishenghuainanshihongfatang
安徽省南陵县千佛禅寺	anhuishengnanlingxianqianfochansi
安慧则	anhuize
安居	anju
安居竟	anjujing
安克迭都培龙	ankediedoupeilong
安乐国	anleguo
安乐行院	anlehangyuan
安乐集	anleji
安乐净土	anlejingtu
安乐律	anyuelv|anlelv
安乐律院	anyuelvyuan|anlelvyuan
安乐寿院	anleshouyuan
安乐寺	anlesi
安乐易养	anleyiyang
安乐因	anleyin
安立	anli
安立推理	anlituili
安廪	anlin
安廪法师	anlinfashi
安令首	anlingshou
安流传授纪要	anliuchuanshoujiyao
鞍马寺	anmasi
庵没罗园	anmeiluoyuan
庵摩罗识	anmoluoshi
安那般那	annabanna
安尼伯森夫人	annibosenfuren
安清	anqing
安忍	anren
安忍波罗蜜多	anrenboluomiduo
案山吉道	anshanjidao
安生塑真容菩萨	anshengsuzhenrongpusa
安世高	anshigao
安世高大师	anshigaodashi
安受苦忍	anshoukuren
安顺妙法禅寺	anshunmiaofachansi
安藤俊雄	antengjunxiong
安土宗论	antuzonglun
安陀会	antuohui
安息沙门昙谛	anxishamentandi
安县飞鸣禅院	anxianfeimingchanyuan
安祥寺	anxiangsi
安心超行	anxinchaoxing
安心决定钞	anxinjuedingchao
安雅衮丹雅	anyagundanya
安养抄	anyangchao
安养集	anyangji
安阳沮渠侯	anyangjuquhou
安养寺	anyangsi
庵元禅师	anyuanchanshi
安岳了悟	anyueliaowu
安岳磨崖佛像	anyuemoyafoxiang
腤臜	anza
安宅神咒经	anzhaishenzhoujing
安章竹巴	anzhangzhuba
安住何处	anzhuhechu
鞍作鸟	anzuoniao
盎嘎	angga
昂旺敦振	angwangdunzhen
昂旺朗吉堪布	angwanglangjikanbu
奥俱啰那陀	aojuluonatuo
奥义书	aoyishu
八瓣莲花	babanlianhua
八辈	babei
八背舍	babeishe
八辩	babian
八变化	babianhua
八不	babu
八部鬼众	babuguizhong
八不净	babujing
八不净物	babujingwu
八不可越	babukeyue
八不显实	babuxianshi
八不正观	babuzhengguan
八不正见	babuzhengjian
八部众	babuzhong
八不中道	babuzhongdao
八不中观	babuzhongguan
巴操尼玛札	bacaonimazha
巴查巴	bachaba
巴察贡巴	bachagongba
八缠	bachan
八触	bachu
八除入	bachuru
八大	bada
八大地狱	badadiyu
吧大叫怕	badajiaopa
八大金刚	badajingang
巴达利	badali
巴嗒厘子	badalizi
八大灵塔	badalingta
八大灵塔梵赞	badalingtafanzan
八大灵塔名号经	badalingtaminghaojing
八大龙王	badalongwang
巴达弥	badami
八大明王	badamingwang
八大奈落	badanailuo
八大菩萨	badapusa
八大菩萨法	badapusafa
八大菩萨曼荼罗经	badapusamantuluojing
八大菩萨传记	badapusazhuanji
八大人觉经	badarenjuejing
八大童子	badatongzi
八大辛苦	badaxinku
八大夜叉	badayecha
八大自在我	badazizaiwo
巴丹闍梨	badanduli
巴丹巿	badanfu
八倒	badao
巴德拉巴夫	badelabafu
巴帝摩卡	badimoka
八地菩萨	badipusa
八颠倒	badiandao
八定	bading
八段	baduan
八段五篇	baduanwupian
拔队得胜	baduidesheng
八堕	baduo
巴尔拉姆与乔萨发特	baerlamuyuqiaosafate
八法	bafa
八梵	bafan
八幡大菩萨	bafandapusa
八分斋戒	bafenzhaijie
八风	bafeng
八风吹不动	bafengchuibudong
八风吹不动一屁过江来	bafengchuibudongyipiguojianglai
八风任吹动	bafengrenchuidong
八佛	bafo
八福生处	bafushengchu
八福田	bafutian
八干	bagan
巴格石窟	bageshiku
八供	bagong
八功德水	bagongdeshui
八功德水想	bagongdeshuixiang
吧古喇	bagula
八关会	baguanhui
八关斋戒	baguanzhaijie
八海	bahai
八寒八热	bahanbare
巴壶天	bahutian
巴壶天居士	bahutianjushi
八会	bahui
八秽	bahui
巴吉帝亚	bajidiya
八吉祥经	bajixiangjing
八吉祥颂	bajixiangsong
巴迦巴帝苟答弥	bajiabadigoudami
八憍	bajiao
八教	bajiao
八解脱	bajietuo
八戒斋	bajiezhai
八戒斋八种胜法	bajiezhaibazhongshengfa
八敬法	bajingfa
八敬戒	bajingjie
八句义	bajuyi
八觉	bajue
八苦	baku
拔苦	baku
巴拉基嘎	balajiga
巴拉密	balami
巴拉纳西	balanaxi
巴朗达	balangda
巴利律藏	balilvcang
巴利圣典协会	balishengdianxiehui
巴利语佛典	baliyufodian
巴林右旗荟福寺	balinyouqihuifusi
巴路特	balute
八轮	balun
巴玛旺嘉	bamawangjia
八慢	baman
八迷	bami
巴米扬石窟	bamiyangshiku
八魔	bamo
拔目鸟	bamuniao
巴拿哈	banaha
八难	banan
八念	banian
八弃	baqi
跋祇国	baqiguo|bachiguo
八千枚护摩供	baqianmeihumogong
八忍	baren
八忍八智	barenbazhi
巴戎巴达玛旺秀	barongbadamawangxiu
巴赛囊	basainang
巴桑希译师	basangxiyishi
拔舌地狱	bashediyu
八神变	bashenbian
