阿鼻	abi
华严菩萨松堂老人	huayanpusasongtanglaoren
华严三昧	huayansanmei
华严三圣	huayansansheng
华严时	huayanshi
华严疏主澄观	huayanshuzhuchengguan
华严疏主澄观法师	huayanshuzhuchengguanfashi
华严寺	huayansi
华严五教章	huayanwujiaozhang
华严五教止观	huayanwujiaozhiguan
华严五十要问答	huayanwushiyaowenda
华严玄谈	huayanxuantan
华严一乘十玄门	huayanyichengshixuanmen
华严颙禅	huayanyongchan
华严游心法界记	huayanyouxinfajieji
华严游意	huayanyouyi
华严元禅师	huayanyuanchanshi
华严圆融念佛	huayanyuanrongnianfo
华严宗	huayanzong
华严宗三观	huayanzongsanguan
花药英禅师	huayaoyingchanshi
化仪	huayi
花亦不曾生	huayibuzengsheng
化仪四教	huayisijiao
华雨精舍	huayujingshe
化缘	huayuan
化缘度众	huayuanduzhong
华岳玄伟禅师	huayuexuanweichanshi
华藏安民禅师	huacanganminchanshi|huazanganminchanshi
华藏界	huazangjie
华藏世界	huazangshijie
华藏寺	huacangsi|huazangsi
华藏有权禅师	huacangyouquanchanshi|huazangyouquanchanshi
化制二教	huazhierjiao
华智仁波切	huazhirenboqie
华智仁波切略传	huazhirenboqieluezhuan
华智仁波切之教言	huazhirenboqiezhijiaoyan
华种虽因地	huazhongsuiyindi
华种有生性	huazhongyoushengxing
化主	huazhu
化转	huazhuan
怀道	huaidao
坏道沙门	huaidaoshamen
怀迪	huaidi
怀感	huaigan
怀海	huaihai
怀海禅师	huaihaichanshi
怀晖	huaihui
坏劫	huaijie
怀浚	huaijun
怀空	huaikong
坏苦	huaiku
怀琏	huailian
怀琏禅师	huailianchanshi
怀琏法师	huailianfashi
怀灵	huailing
淮南祐上座	huainanyoushangzuo
怀念法王如意宝	huainianfawangruyibao
怀让	huairang
怀让禅师	huairangchanshi
怀让法师	huairangfashi
怀柔佛母咒	huairoufomuzhou
坏色	huaise
坏色衣	huaiseyi
怀深法师	huaishenfashi
怀素	huaisu
怀素大师	huaisudashi
怀素四	huaisusi
怀王山宣首座	huaiwangshanxuanshouzuo
怀渭	huaiwei
怀问	huaiwen
怀贤禅师	huaixianchanshi
坏相	huaixiang
怀信	huaixin
怀信禅师	huaixinchanshi
怀一	huaiyi
怀玉法师	huaiyufashi
怀恽	huaiyun
怀腪禅师	huaiyunchanshi
怀恽禅师	huaiyunchanshi
怀志	huaizhi
幻出浮生变灭旋	huanchufushengbianmiexuan
幻出无根无实性	huanchuwugenwushixing
环钏女	huanchuannv
还到此中望莲台	huandaocizhongwangliantai|haidaocizhongwangliantai
幻垢	huangou
幻观成就法	huanguanchengjiufa
幻化八喻	huanhuabayu
幻化不是	huanhuabushi
幻化力	huanhuali
幻化身	huanhuashen
幻化性	huanhuaxing
幻化之中无罪福	huanhuazhizhongwuzuifu
幻居法师	huanjufashi
寰普	huanpu
唤取归来住	huanquguilaizhu
幻人心识本来无	huanrenxinshibenlaiwu
幻身	huanshen
幻生	huansheng
还俗	huansu
幻堂讲主宝严	huantangjiangzhubaoyan
幻堂严讲主	huantangyanjiangzhu
圜悟禅师	huanwuchanshi
圜悟克勤	huanwukeqin
圜悟勤禅师	huanwuqinchanshi
欢喜藏	huanxicang
欢喜大悲咒	huanxidabeizhou
欢喜地	huanxide
欢喜会	huanxihui
欢喜日	huanxiri
欢喜天法	huanxitianfa
欢喜丸	huanxiwan
欢喜心	huanxixin
欢喜踊跃	huanxiyongyue
欢喜园	huanxiyuan
幻相	huanxiang
桓因	huanyin
幻隐禅师慧明	huanyinchanshihuiming
幻有	huanyou
幻斋	huanzhai
幻璋禅师	huanzhangchanshi
寰中	huanzhong
寰中禅师	huanzhongchanshi
幻住派	huanzhupai
黄檗	huangbo
黄檗柏树	huangbobaishu
黄檗慧	huangbohui
黄檗积翠永庵主	huangbojicuiyonganzhu
黄檗清规	huangboqinggui
黄檗全禅师	huangboquanchanshi
黄檗山	huangboshan
黄檗山断际禅师传心法要	huangboshanduanjichanshichuanxinfayao
黄檗山希运禅师	huangboshanxiyunchanshi
黄檗胜	huangbosheng
黄檗无念禅师语录	huangbowunianchanshiyulu
黄檗希运禅师	huangboxiyunchanshi
黄檗宗	huangbozong
黄财神	huangcaishen
黄财神大佛寺	huangcaishendafosi
黄忏华	huangchanhua
黄端伯之母李氏	huangduanbozhimulishi
黄介子	huangjiezi
黄晋卿	huangjinqing
黄鹂鸣柳落岸边	huanglimingliuluoanbian
黄龙庵主	huanglonganzhu
黄龙宝觉禅师	huanglongbaojuechanshi
黄龙宝觉心禅师	huanglongbaojuexinchanshi
黄龙禅师	huanglongchanshi
黄龙逢禅师	huanglongfengchanshi
黄龙佛寿清禅师	huanglongfoshouqingchanshi
黄龙慧南禅师	huanglonghuinanchanshi
黄龙慧南禅师语录	huanglonghuinanchanshiyulu
黄龙机	huanglongji
黄龙南禅师	huanglongnanchanshi
黄龙派	huanglongpai
黄龙山灵源禅师	huanglongshanlingyuanchanshi
皇龙寺	huanglongsi
黄龙死心禅师	huanglongsixinchanshi
黄龙心禅师	huanglongxinchanshi
黄龙震禅师	huanglongzhenchanshi
黄龙忠道	huanglongzhongdao
黄鲁直	huangluzhi
黄梅五祖寺	huangmeiwuzusi
黄面老子	huangmianlaozi
黄念祖	huangnianzu
黄念祖居士	huangnianzujushi
黄蘖希运禅师	huangniexiyunchanshi
黄平倩	huangpingqian
皇祇寺田州古塔	huangqisitianzhouguta|huangchisitianzhouguta
黄氏仆母	huangshipumu
黄淑德	huangshude
黄树因先生	huangshuyinxiansheng
黄庭坚居士	huangtingjianjushi
黄彦节	huangyanjie
黄彦节居士	huangyanjiejushi
黄元孚	huangyuanfu
黄元公	huangyuangong
黄蕴生	huangyunsheng
皇泽寺	huangzesi
黄子羽	huangziyu
慧安	huian
慧岸	huian
惠安禅师	huianchanshi
慧安禅师	huianchanshi
晦庵慧明	huianhuiming
慧宝	huibao
慧壁	huibi
慧弼	huibi
慧辨	huibian
慧辩	huibian
慧辩法师	huibianfashi
慧斌	huibin
慧布	huibu
讳才	huicai
慧才	huicai
慧藏	huicang
慧旵禅师	huichanchanshi
慧常	huichang
慧畅	huichang
会昌法难	huichangfanan
惠超	huichao
慧超	huichao
慧超法师	huichaofashi
慧超往五天竺国传	huichaowangwutianzhuguochuan
慧彻	huiche
慧谌	huichen
慧诚	huicheng
慧乘	huicheng
慧成	huicheng
慧澄	huicheng
慧乘法师	huichengfashi
慧成法师	huichengfashi
慧持	huichi
慧持法师	huichifashi
慧绰	huichuo
慧次	huici
慧达禅师	huidachanshi
慧诞	huidan
慧灯普照	huidengpuzhao
慧灯之光	huidengzhiguang
慧定	huiding
会二归一	huierguiyi
毁犯	huifan
惠方	huifang
慧方	huifang
慧方禅师	huifangchanshi
慧芬	huifen
慧峰	huifeng
慧峰法师	huifengfashi
回峰行	huifengxing
惠符	huifu
恢复本简介	huifubenjianjie
恢复本圣经	huifubenshengjing
恢复戒	huifujie
慧根	huigen
慧暅	huixuan|huigeng
荟供	huigong
会供	huigong
慧恭	huigong
慧观	huiguan
慧观法师	huiguanfashi
慧光	huiguang
慧广禅师	huiguangchanshi
惠光法师	huiguangfashi
慧光法师	huiguangfashi
回光返照	huiguangfanzhao
悔过	huiguo
惠果	huiguo
慧果	huiguo
慧海	huihai
慧皓	huihao
慧鹤	huihe
灰河地狱	huihediyu
慧亨	huiheng
慧洪禅师	huihongchanshi
慧欢	huihuan
惠晖	huihui
诲机	huiji
慧集	huiji
慧基	huiji
慧寂	huiji
会集本	huijiben
慧寂禅师	huijichanshi
慧集法师	huijifashi
慧寂法师	huijifashi
晦机熙禅师	huijixichanshi
慧剑	huijian
慧简	huijian
慧皎	huijiao
慧皎大师	huijiaodashi
恚结	huijie
慧进	huijin
慧琎	huijin
惠镜	huijing
惠精	huijing
慧警	huijing
慧静	huijing
慧敬	huijing
慧经	huijing
慧经禅师	huijingchanshi
慧炬	huiju
慧炬三昧	huijusanmei
慧觉禅师	huijuechanshi
慧浚	huijun
慧开	huikai
慧开禅师	huikaichanshi
慧侃	huikan
慧可	huike
慧可安心	huikeanxin
慧可禅师	huikechanshi
慧空	huikong
惠宽	huikuan
慧宽大师	huikuandashi
慧旷	huikuang
惠榄	huilan
慧览	huilan
慧兰禅师	huilanchanshi
慧朗	huilang
慧棱	huileng
慧棱禅师	huilengchanshi
慧棱三	huilengsan
惠立	huili
慧力	huili
慧立	huili
慧亮	huiliang
慧琳	huilin
慧林性机	huilinxingji
慧琳音义	huilinyinyi
慧林圆照本禅师	huilinyuanzhaobenchanshi
慧灵	huiling
慧隆	huilong
会龙禅寺	huilongchansi
慧轮	huilun
慧律	huilv
慧满	huiman
慧门	huimen
慧门古寺	huimengusi
慧弥	huimi
惠敏	huimin
慧旻	huimin
慧旻法师	huiminfashi
慧命	huiming
慧明	huiming
慧明大师	huimingdashi
慧明寺	huimingsi
慧木	huimu
慧沐	huimu
慧目	huimu
慧南	huinan
慧南禅师	huinanchanshi
慧南法师	huinanfashi
惠能	huineng
慧能	huineng
慧能大师	huinengdashi
惠能大师说	huinengdashishuo
慧年	huinian
慧凝	huining
恚怒	huinu
慧平尼师	huipingnishi
慧普	huipu
慧虔	huiqian
慧迁	huiqian
慧勤	huiqin
慧勤禅师	huiqinchanshi
惠庆	huiqing
慧庆	huiqing
慧琼	huiqiong
慧球	huiqiu
慧璩	huiqu
慧铨	huiquan
慧泉禅寺	huiquanchansi
慧然禅师	huiranchanshi
慧忍	huiren
慧日	huiri
慧日大师	huiridashi
慧日法师	huirifashi
慧日讲堂	huirijiangtang
慧荣	huirong
慧睿	huirui
慧三	huisan
慧三法师	huisanfashi
会三归一	huisanguiyi
慧僧法师	huisengfashi
秽刹	huisha
慧善	huishan
慧韶	huishao
慧绍	huishao
慧涉	huishe
秽身	huishen
灰身灭智	huishenmiezhi
慧胜	huisheng
慧生	huisheng
慧实	huishi
慧寔	huishi
慧受	huishou
慧顺	huishun
慧思	huisi
慧思大师	huisidashi
慧嵩	huisong
慧昙	huitan
慧昙禅师	huitanchanshi
灰炭塔	huitanta
会堂禅师自缘	huitangchanshiziyuan
晦堂心禅师	huitangxinchanshi
会堂缘师	huitangyuanshi
慧眺	huitiao
蕙庭法师	huitingfashi
会通禅师	huitongchanshi
回头是岸	huitoushian
秽土	huitu
慧威	huiwei
慧嵬	huiwei
慧闻	huiwen
慧文	huiwen
慧文禅师	huiwenchanshi
慧闻大师发明心观	huiwendashifamingxinguan
慧文法师	huiwenfashi
惠汶律师	huiwenlvshi
慧悟	huiwu
慧无减	huiwujian
慧熙	huixi
慧显	huixian
回向	huixiang
惠祥	huixiang
回向偈	huixiangji
回向门	huixiangmen
回向一切有情	huixiangyiqieyouqing
慧萧	huixiao
回小向大	huixiaoxiangda
回心戒	huixinjie
回心向大	huixinxiangda
会性	huixing
惠秀	huixiu
慧休	huixiu
慧绪	huixu
慧璇	huixuan
慧学	huixue
慧询	huixun
慧严	huiyan
慧岩	huiyan
慧演	huiyan
慧琰	huiyan
慧眼	huiyan
慧耀	huiyao
慧业	huiye
慧义	huiyi
慧意	huiyi
会隐	huiyin
慧印	huiyin
慧因	huiyin
慧印三昧	huiyinsanmei
慧因寺	huiyinsi
惠永	huiyong
慧勇	huiyong
慧永	huiyong
慧颙禅师	huiyongchanshi
慧勇法师	huiyongfashi
慧猷	huiyou
慧豫	huiyu
慧玉	huiyu
慧瑜	huiyu
慧苑	huiyuan
慧远	huiyuan
慧圆	huiyuan
慧远禅师	huiyuanchanshi
慧远大师	huiyuandashi
慧苑法师	huiyuanfashi
慧远法师	huiyuanfashi
慧原法师	huiyuanfashi
慧圆上座	huiyuanshangzuo
惠渊首座	huiyuanshouzuo
慧越	huiyue
慧岳	huiyue
慧约	huiyue
惠约法师	huiyuefashi
慧约法师	huiyuefashi
慧约国师	huiyueguoshi
慧頵	huiyun
慧云	huiyun
慧瓒	huizan
慧赜	huize
慧则	huize
慧湛	huizhan
慧昭	huizhao
慧沼	huizhao
慧照禅师	huizhaochanshi
慧沼大师	huizhaodashi
慧照法邻	huizhaofalin
回遮	huizhe
慧哲	huizhe
回遮仪轨	huizheyigui
惠瑱	huitian|huizhen
慧震	huizhen
慧瑱	huitian|huizhen
回诤论	huizhenglun
慧智	huizhi
惠忠	huizhong
慧重	huizhong
慧忠	huizhong
慧忠禅师	huizhongchanshi
慧忠法师	huizhongfashi
慧忠国师	huizhongguoshi
慧胄	huizhou
徽州太守吴公文昭	huizhoutaishouwugongwenzhao
惠主	huizhu
慧主	huizhu
汇宗寺	huizongsi
慧足	huizu
慧最	huizui
惛沉	hunchen
昏沉	hunchen
混沌清浊混沌音	hundunqingzhuohundunyin
昏懦	hunnuo
魂魄	hunpo
魂神	hunshen
荤辛	hunxin
或庵师体禅师	huoanshitichanshi
或庵体	huoanti
或庵体禅师	huoantichanshi
霍尔却穹	huoerqueqiong
火焚地狱	huofendiyu
火界定	huojieding
火净	huojing
惑染	huoran
或如无福即无财	huoruwufujiwucai
火生三昧	huoshengsanmei
火施仪轨	huoshiyigui
活水龙	huoshuilong
豁堂远禅师	huotangyuanchanshi
火涂道	huotudao
惑业苦	huoyeku
火灾	huozai
火宅	huozhai
惑障	huozhang
或者是证悟空性	huozheshizhengwukongxing
火中应光有	huozhongyingguangyou
吉安王氏女	jianwangshinv
及宝罗网	jibaoluowang
记别	jibie
罽宾佛驮耶舍尊者	jibinfotuoyeshezunzhe
罽宾沙门昙无谶	jibinshamentanwuchen
吉布瓦	jibuwa
吉藏	jicang
吉藏大师	jicangdashi
寂常	jichang
继成	jicheng
继承密付	jichengmifu
即此身心是幻生	jicishenxinshihuansheng
吉答	jida
极大欢喜心	jidahuanxixin
极大加持	jidajiachi
吉达利	jidali
基道果	jidaoguo
即到西方界	jidaoxifangjie
集德一之母邹氏	jideyizhimuzoushi
继灯录	jidenglu
集谛	jidi
济颠	jidian
济度	jidu
基督得胜	jidudesheng
笈多王朝	jiduowangchao
饥饿地狱	jiediyu
即非如一	jifeiruyi
吉嘎力巴	jigaliba
几个别无	jigebiewu
基格力	jigeli
机根	jigen
济公外传	jigongwaizhuan
济公游记	jigongyouji
集古今佛道论衡	jigujinfodaolunheng
寂光寺	jiguangsi
极果	jiguo
季蘅若法师	jihengruofashi
寂护	jihu
讥毁	jihui
机会非常难得可贵	jihuifeichangnandekegui
即获成就	jihuochengjiu
即假	jijia
机教	jijiao
击节录	jijielu
饥馑灾	jijinzai
寂静	jijing
集经论	jijinglun
寂静圣地	jijingshengdi
极觉	jijue
即空即假即中	jikongjijiajizhong
吉拉巴拉	jilabala
饥来吃饭困来即眠	jilaichifankunlaijimian
妓乐	jile
技乐	jile
极乐国土	jileguotu
极乐净土	jilejingtu
极乐刹土	jileshatu
极乐世界	jileshijie
极乐寺	jilesi
积累福德	jileifude
即离	jili
集量论	jilianglun
吉林市灵岩寺	jilinshilingyansi
继伦	jilun
吉美林巴	jimeilinba
吉美林巴仁波且	jimeilinbarenboqie
寂灭	jimie
寂灭道场	jimiedaochang
寂灭为乐	jimieweile
寂灭无二	jimiewuer
寂灭相	jimiexiang
鸡鸣寺	jimingsi
寂默	jimo
寂寞花瓣路	jimohuabanlu
极难胜地	jinanshengdi
寂念	jinian
继齐	jiqi
及其人民	jiqirenmin
济群法师	jiqunfashi
寂然	jiran
寂然法师	jiranfashi
寂然界	jiranjie
既然执着有	jiranzhizhuoyou
极热地狱	jirediyu
集沙门不应拜俗等事	jishamenbuyingbaisudengshi
即身成佛	jishenchengfo
即身成佛义	jishenchengfoyi
即身成就	jishenchengjiu
己身弥陀唯心净土	jishenmituoweixinjingtu
集神州塔寺三宝感通录	jishenzhoutasisanbaogantonglu
肌生成就	jishengchengjiu
即生成就	jishengchengjiu
即生当中	jishengdangzhong
即生即灭	jishengjimie
即生里面	jishenglimian
济世	jishi
即是本师处	jishibenshichu
即事而真	jishierzhen
即是化佛身	jishihuafoshen
及释提桓因等	jishitihuanyindeng
寂室元光	jishiyuanguang
寂寿道人范氏	jishoudaorenfanshi
吉司洛桑金巴	jisiluosangjinba
偈颂	jisong
寄宿婆	jisupo
偈他	jita
季潭宗泐禅师	jitanzonglechanshi
济涛法师	jitaofashi
寂天论师	jitianlunshi
寂天菩萨	jitianpusa
基瓦咖	jiwaka
继万阇黎	jiwanduli|jiwansheli
偈文	jiwen
讥嫌	jixian
讥嫌戒	jixianjie
季羡林	jixianlin
吉祥	jixiang
吉祥草	jixiangcao
吉祥忏法	jixiangchanfa
吉祥果	jixiangguo
吉祥偈	jixiangji
吉祥妙瓶	jixiangmiaoping
吉祥师	jixiangshi
吉祥天	jixiangtian
吉祥喜金刚集轮甘露泉	jixiangxijingangjilunganluquan
吉祥坐	jixiangzuo
即心即佛	jixinjifo
即心念佛	jixinnianfo
即心是佛	jixinshifo
机性	jixing
纪修法师	jixiufashi
集学论	jixuelun
纪一点钱	jiyidianqian
集异门足论	jiyimenzulun
即以食时	jiyishishi
伎艺天	jiyitian
记忆无痕心有痕	jiyiwuhenxinyouhen
鸡胤部	jiyinbu
寂音尊者	jiyinzunzhe
寂音尊者洪公	jiyinzunzhehonggong
亟应宗海	jiyingzonghai
寂友	jiyou
即有即空	jiyoujikong
机缘	jiyuan
鸡园寺	jiyuansi
伎乐	jiyue
忌月	jiyue
鸡泽县开明禅寺	jizexiankaimingchansi
己证	jizheng
骥钟	jizhong
即中	jizhong
寂种	jizhong
继忠	jizhong
吉州禾山方禅师	jizhouheshanfangchanshi
吉州禾山殷禅师	jizhouheshanyinchanshi
集诸经礼忏仪	jizhujinglichanyi
集资净障	jizijingzhang
鸡足山	jizushan
家案例题呀	jiaanlitiya
加被	jiabei
加倍咒	jiabeizhou
贾曹达玛仁钦	jiacaodamarenqin
贾曹杰	jiacaojie
嘉曹杰	jiacaojie
嘉曹杰大师	jiacaojiedashi
加持	jiachi
加持大宝藏	jiachidabaozang
加持力	jiachili
迦絺那衣	jiachinayi
加持身	jiachishen
加持世界	jiachishijie
加持物	jiachiwu
加持香水	jiachixiangshui
加持印明	jiachiyinming
加持之	jiachizhi
加持咒	jiachizhou
加岛法难	jiadaofanan
假谛	jiadi
迦多衍尼子	jiaduoyannizi
假法	jiafa
跏趺	jiafu
跏趺坐	jiafuzuo
迦格瓦	jiagewa
假观	jiaguan
加行	jiaxing|jiahang
加行道	jiaxingdao|jiahangdao
加行得	jiaxingde|jiahangde
加行果	jiahangguo
加行精进	jiahangjingjin
加行善	jiaxingshan|jiahangshan
加行位	jiaxingwei|jiahangwei
加行相	jiahangxiang
假合	jiahe
假和合	jiahehe
嘉禾人钟婆	jiaherenzhongpo
假合之身	jiahezhishen
嘉禾周氏	jiahezhoushi
嘉华巴支	jiahuabazhi
迦迦	jiajia
假借四大以为身	jiajiesidayiweishen
迦俱致波	jiajuzhibo
嘉堪布札巴坚赞	jiakanbuzhabajianzan
迦兰陀竹园	jialantuozhuyuan
假立	jiali
加力	jiali
迦里迦尊者	jialijiazunzhe
佳丽缇亚	jialitiya
迦梨陀沙	jialituosha
迦陵	jialing
迦陵频迦	jialingpinjia
迦陵频伽	jialingpinjia|jialingpinga
迦留陀夷	jialiutuoyi
迦楼罗	jialouluo
嘉禄法难	jialufanan
迦罗加伐蹉尊者	jialuojiafacuozunzhe
迦罗育王	jialuoyuwang
假名	jiaming
假名世间	jiamingshijian
假名有	jiamingyou
迦摩	jiamo
嘉木样丹贝坚赞	jiamuyangdanbeijianzan
嘉木样活佛	jiamuyanghuofo
嘉木样晋美旺波	jiamuyangjinmeiwangbo
嘉木样一世	jiamuyangyishi
伽那	gana|jiana
加拿大佛教	jianadafojiao
迦那提婆	jianatipo
迦腻色迦王	jianisejiawang
迦腻色加王	jianisejiawang
迦诺迦跋黎堕阇者	jianuojiabaliduoduzhe|jianuojiabaliduoshezhe
迦毗罗卫	jiapiluowei
贾菩萨	jiapusa
迦耆布罗城	jiaqibuluocheng
甲切喀瓦益西多杰	jiaqiekawayixiduojie
甲日瓦	jiariwa
假色	jiase
嘉色桑波	jiasesangbo
贾色陀美桑波	jiasetuomeisangbo
袈裟	jiasha
袈裟吉他在倾诉	jiashajitazaiqingsu
袈裟十二名	jiashashierming
袈裟十利	jiashashili
袈裟五德	jiashawude
夹山	jiashan
夹山本禅师	jiashanbenchanshi
夹山会禅师	jiashanhuichanshi
夹山善会禅师	jiashanshanhuichanshi
嘉尚	jiashang
假实二法	jiashierfa
迦尸国	jiashiguo
迦湿弥罗国	jiashimiluoguo
加诵	jiasong
嘉泰普灯录	jiataipudenglu
假堂俊禅师	jiatangjunchanshi
加藤精神	jiatengjingshen
贾题韬居士	jiatitaojushi
家庭经	jiatingjing
伽陀	gatuo|jiatuo
嘉瓦	jiawa
嘉瓦典尼	jiawadianni
嘉瓦鞠勒	jiawajule
假我	jiawo
嘉祥	jiaxiang
嘉祥寺	jiaxiangsi
嘉兴大藏经	jiaxingdazangjing
甲修寺	jiaxiusi
假修行人	jiaxiuxingren
加羊加措格西	jiayangjiacuogexi
迦叶	jiaye
伽耶城	jiayecheng|gayecheng
迦叶殿	jiayedian
迦叶佛	jiayefo
伽耶山	jiayeshan|gayeshan
伽耶舍多	gayesheduo|jiayesheduo
迦叶仙	jiayexian
迦叶尊者	jiayezunzhe
贾逸	jiayi
假有	jiayou
嘉裕瓦	jiayuwa
甲域哇钦波循努沃	jiayuwaqinboxunnuwo
迦旃邻提	jiazhanlinti
迦旃延	jiazhanyan
迦智山	jiazhishan
夹紵像	jiazhuxiang
跏坐	jiazuo
见爱	jianai
见爱二烦恼	jianaierfannao
坚白赤列	jianbaichilie
煎茶婆	jianchapo
建长寺	jianchangsi
建初寺	jianchusi
渐次观	jianciguan
见此觉心最饶益	jiancijuexinzuiraoyi
兼但对带	jiandanduidai
见道	jiandao
见道位	jiandaowei
见谛	jiandi
见地	jiandi
犍度	jiandu
渐断	jianduan
渐顿教	jiandunjiao
箭锋相拄	jianfengxiangzhu
见缚	jianfu
荐福本禅师	jianfubenchanshi
荐福古	jianfugu
荐福古禅师	jianfuguchanshi
荐福寺弘辨禅师	jianfusihongbianchanshi
荐福悟本	jianfuwuben
简供	jiangong
简轨	jiangui
见惑	jianhuo
蹇家寺	jianjiasi
见犍度	jianjiandu
渐教	jianjiao
见结	jianjie
减劫	jianjie
鉴空	jiankong
兼利	jianli
见流	jianliu
见论	jianlun
犍那	jianna
艰难一忘	jiannanyiwang
见取	jianqu
见取见	jianqujian
见取使	jianqushi
建仁龙关	jianrenlongguan
建仁寺	jianrensi
间色	jianse
间色服	jiansefu
剑山	jianshan
坚上座	jianshangzuo
见身无实是佛身	jianshenwushishifoshen
简师	jianshi
剑树地狱	jianshudiyu
见思	jiansi
见思惑	jiansihuo
见所断	jiansuoduan
监坛	jiantan
简堂机	jiantangji
简堂机禅师	jiantangjichanshi
见桃犹记旧曾花	jiantaoyoujijiucenghua
揵陀勒	jiantuole
犍陀罗国	jiantuoluoguo
见网	jianwang
见闻觉知	jianwenjuezhi
建文南路	jianwennanlu
见闻所致	jianwensuozhi
渐悟	jianwu
见性	jianxing
见性成佛	jianxingchengfo
见性法师	jianxingfashi
见修二惑	jianxiuerhuo
见修行果	jianxiuxingguo
鉴源	jianyuan
减缘	jianyuan
渐源	jianyuan
见障	jianzhang
鉴真和尚	jianzhenheshang
鉴真律师	jianzhenlvshi
鉴真四	jianzhensi
犍稚	jianzhi
建志补罗城	jianzhibuluocheng
建中靖国续灯录	jianzhongjingguoxudenglu
见浊	jianzhuo
鉴宗禅师	jianzongchanshi
奖禅师	jiangchanshi
降诞	jiangdan
江岛惠教	jiangdaohuijiao
讲到究竟圆满处	jiangdaojiujingyuanmanchu
蒋贡阿旺累巴	jianggongawangleiba
蒋贡康楚	jianggongkangchu
江公望	jianggongwang
江含洁	jianghanjie
蒋虎臣	jianghuchen
江户佛教	jianghufojiao
讲记	jiangji
讲经	jiangjing
讲经说法	jiangjingshuofa
将净土教度有缘人	jiangjingtujiaoduyouyuanren
将军宝	jiangjunbao
疆良耶舍	jiangliangyeshe
江陵李氏女	jianglinglishinv
将毛病改正	jiangmaobinggaizheng
蒋门马	jiangmenma
江民表	jiangminbiao
江南梵刹志	jiangnanfanchazhi
绛秋仁清	jiangqiurenqing
降三世明王	jiangsanshimingwang
蒋山佛慧泉禅师	jiangshanfohuiquanchanshi
蒋山善直	jiangshanshanzhi
蒋山元禅师	jiangshanyuanchanshi
蒋山赞元禅师	jiangshanzanyuanchanshi
蒋十八妻	jiangshibaqi
江味农居士	jiangweinongjushi
江文通	jiangwentong
江西道一禅师	jiangxidaoyichanshi
江西靖安古刹传奇	jiangxijinganguchachuanqi
江西马祖大师道一	jiangximazudashidaoyi
江西马祖道一禅师	jiangximazudaoyichanshi
讲修	jiangxiu
蒋阳钦则旺波	jiangyangqinzewangbo
绛央却杰札西华丹	jiangyangquejiezhaxihuadan
蒋义斌	jiangyibin
讲圆满	jiangyuanman
江月宗玩	jiangyuezongwan
江州东林禅师	jiangzhoudonglinchanshi
江州归宗宣禅师	jiangzhouguizongxuanchanshi
教禅	jiaochan
教禅二宗	jiaochanerzong
轿车少	jiaocheshao
憍陈如	jiaochenru
教乘法数	jiaochengfashu
教典	jiaodian
教典派	jiaodianpai
教法	jiaofa
教法史	jiaofashi
憍梵波提	jiaofanboti
教观	jiaoguan
教观二门	jiaoguanermen
教观纲宗	jiaoguangangzong
教亨	jiaoheng
角虎集	jiaohuji
教化	jiaohua
叫唤地狱	jiaohuandiyu
教诲甘露明点	jiaohuiganlumingdian
教诫轮	jiaojielun
教诫律仪	jiaojielvyi
教理	jiaoli
窖里肉	jiaolirou
教理行果	jiaolixingguo
教令轮	jiaolinglun
憍慢	jiaoman
蕉敏	jiaomin
教内	jiaonei
教判	jiaopan
焦热地狱	jiaorediyu
焦弱侯	jiaoruohou
憍萨罗国	jiaosaluoguo
焦山系	jiaoshanxi
憍赏弥国	jiaoshangmiguo
教时义	jiaoshiyi
教授阿阇梨	jiaoshouasheli
教授派	jiaoshoupai
教授师	jiaoshoushi
脚踏平川手抬天	jiaotapingchuanshoutaitian
教体	jiaoti
教徒	jiaotu
教外	jiaowai
教外别传	jiaowaibiezhuan|jiaowaibiechuan
教王护国寺	jiaowanghuguosi
教相	jiaoxiang
教相判释	jiaoxiangpanshi
教行	jiaoxing
教行信证	jiaoxingxinzheng
教行证	jiaoxingzheng
焦芽败种	jiaoyabaizhong
教言	jiaoyan
教言书	jiaoyanshu
教一	jiaoyi
教苑清规	jiaoyuanqinggui
教证	jiaozheng
教主	jiaozhu
皆阿罗汉	jiealuohan
介庵禅师	jieanchanshi
介庵进禅师语录	jieanjinchanshiyulu
介庵良大师	jieanliangdashi
戒本	jieben
劫簸	jiebo
戒波罗蜜	jieboluomi
戒禅师	jiechanshi
玠禅师	jiechanshi
戒场	jiechang
戒乘缓急	jiechenghuanji
戒尺	jiechi
劫初	jiechu
戒单	jiedan
戒刀	jiedao
杰道者	jiedaozhe
戒德	jiede
界地	jiedi
揭谛揭谛	jiedijiedi
戒牒	jiedie
戒定	jieding
戒定慧	jiedinghui
戒定慧解脱解脱知见	jiedinghuijietuojietuozhijian
戒度	jiedu
戒法	jiefa
界分	jiefen
杰峰禅师	jiefengchanshi
杰峰禅师世愚	jiefengchanshishiyu
杰峰英禅师	jiefengyingchanshi
杰峰愚公	jiefengyugong
结缚	jiefu
节个别	jiegebie
杰贡巴	jiegongba
杰贡次臣僧格	jiegongcichensengge
戒灌顶	jieguanding
结果自然成	jieguozirancheng
劫海	jiehai
结护	jiehu
戒慧法师	jiehuifashi
解惑	jiehuo
劫火	jiehuo
结集	jieji
结跏趺坐	jiejiafuzuo
结解	jiejie
结界	jiejie
戒禁取见	jiejinqujian
戒经	jiejing
解境十佛	jiejingshifo
