耙活	bahuo
树疙斗	shugedou
树笼笼	shulonglong
刷把签儿	shuabaqianer
水凼凼	shuidangdang
水垮垮	shuikuakua
说个屁老二	shuogepilaoer
说你二爷日牛	shuonieryeriniu
死草狗	sicaogou
死龟儿	siguier
死婆娘	siponiang
索索	suosuo
梭梭板儿	suosuobaner
榻位儿	taweier
烫盘儿	tangpaner
讨口子	taokouzi
桃屋	taowu
讨嫌	taoxian
田炕	tiankang
迢不脱	tiaobutuo
迢得脱	tiaodetuo
偷人生的	tourenshengde
娃巴儿	wabaer
豌豆颠儿	wandoudianer
蚊儿	wener
蕹菜	wengcai
翁到起	wengdaoqi
我儿咯	woerge
我儿嘛	woerma
窝棉筋儿屎	womianjinershi
窝尿	woniao
窝屎	woshi
呜儿啦呜儿啦	wuerlawuerla
芜芜	wuwu
细滴会儿	xidihuier
西灰儿	xihuier
嬉壳	xike
细娃儿	xiwaer
瞎赖人	xialairen
先言盘儿	xianyanpaner
小见把式	xiaojianbashi
宵夜	xiaoye
擤皮子	xingpizi
须瓜儿	xuguaer
须瓜儿瓤	xuguaerrang
旭宁	xuning
丫塌塌儿	yatataer
檐老鼠儿	yanlaoshuer
眼老水儿	yanlaoshuier
阳后兜	yanghoudou
洋芋	yangyu
腰不到台	yaobudaotai
腰不了台	yaobuliaotai
窑裤儿	yaokuer
幺圆儿	yaoyuaner
幺圆儿活甩	yaoyuanerhuoshuai
夜蚊子	yewenzi
一锭子	yidingzi
一哈	yiha
一抠心	yikouxin
医万	yiwan
以弯儿肉	yiwanerrou
医治	yizhi
引娃儿	yinwaer
幼不动	youbudong
幼一哈	youyiha
悠悠汤圆儿	youyoutangyuaner
箢篼	yuandou
灶烘	zaohong
灶妈子	zaomazi
灶屋	zaowu
占欺头	zhanqitou
爪梦脚	zhaomengjiao
猪儿虫	zhuerchong
昨斗儿天	zuodouertian
左滑	zuohua
昨晚歇	zuowanxie
