安驾	anjia
杀仔	shazai
山顶	shanding
山东梨	shandongli
善好	shanhao
上堂	shangtang
上语文	shangyuwen
烧护	shaohu
烧亚	shaoya
烧纸节	shaozhijie
生鸡目	shengjimu
生调	shengtiao
生仔	shengzai
食笨	shiben
食诐唔落	shibiwuluo
驶车	shiche
石狗卵	shigouluan
食教	shijiao
试流	shiliu
虱母	shimu
食人酒肉赠人福	shirenjiurouzengrenfu
十外	shiwai
食桌	shizhuo
十嘴九脚仓	shizuijiujiaocang
手布	shoubu
收冬	shoudong
手扶	shoufu
书册	shuce
输甲在人	shujiazairen
树泥擦	shunica
税厝	shuicuo
水浮莲	shuifulian
水滚目汁流	shuigunmuzhiliu
水鸡	shuiji
水生	shuisheng
死觉	sijiao
四直	sizhi
缩头乌龟未打先输	suotouwuguiweidaxianshu
索竹膏	suozhugao
踏车	tache
踏脚车	tajiaoche
讨赚	taozhuan
天顶	tianding
田料	tianliao
天时	tianshi
天时好	tianshihao
田洋中	tianyangzhong
跳棋	tiaoqi
条题	tiaoti
通街市掠无	tongjieshiluewu
同暹罗诐到猪槽	tongxianluobidaozhucao
偷放尿	toufangniao
头家	toujia
头毛	toumao
头形	touxing
头早	touzao
偷走书	touzoushu
土下	tuxia
土直硬性	tuzhiyingxing
退货	tuihuo
哇父	wafu
哇浪	walang
挽草	wancao
碗橱	wanchu
畏凊	weiqing
未烧香先点烛	weishaoxiangxiandianzhu
未学行先学飞	weixuexingxianxuefei
尾鱼	weiyu
沃水	woshui
唔北	wubei
无变	wubian
唔见	wujian
物件	wujian
无脚蟹	wujiaoxie
无脸当过死	wuliandangguosi
无日	wuri
乌乌正是滴埠	wuwuzhengshidibu
无相干	wuxianggan
无影无迹	wuyingwuji
无用禾埠赚无食	wuyonghebuzhuanwushi
无用姿娘行蚀屐	wuyongziniangxingshiji
喜顶	xiding
喜个	xige
惜肉	xirou
洗液	xiye
洗亿	xiyi
喜珍时	xizhenshi
虾姑	xiagu
下卦	xiagua
下脚	xiajiao
咸涩	xianse
相好	xianghao
相骂	xiangma
相拍	xiangpai
小狗	xiaogou
小哩	xiaoli
小姆	xiaomu
鞋底鱼	xiediyu
鞋捞	xielao
心不在马	xinbuzaima
新妇	xinfu
新正如意	xinzhengruyi
醒姆	xingmu
行棋	xingqi
秀才读弦诗渌渌淖	xiucaiduxianshilulunao
牙工	yagong
雅浪屎	yalangshi
雅死	yasi
哑仔	yazai
雅芝娘	yazhiniang
烟仔蒂	yanzaidi
烟仔呢	yanzaine
杨桃	yangtao
腰龟	yaogui
摇头伴耳	yaotoubaner
一肚火	yiduhuo
椅头	yitou
应肥	yingfei
硬虎	yinghu
赢老爷	yinglaoye
有和算	youhesuan
有架势	youjiashi
油麻	youma
有钱无块使买龟放落海	youqianwukuaishimaiguifangluohai
鱼春	yuchun
欲勿	yuwu
雨歇	yuxie
鱼栽	yuzai
雨遮	yuzhe
月光	yueguang
月娘	yueniang
在你	zaini
仔婿	zaixu
灶布	zaobu
早醒	zaoxing
泽日	zeri
丈姆婆	zhangmupo
丈人	zhangren
正十	zhengshi
正手边	zhengshoubian
支灯	zhideng
只飞机	zhifeiji
只个	zhige
只狗	zhigou
只块	zhikuai
指头公	zhitougong
指尾仔	zhiweizai
只阵	zhizhen
猪头肥喇做脸肿	zhutoufeilazuolianzhong
竹叶包沙母假壮	zhuyebaoshamujiazhuang
竹蔗	zhuzhe
专爱	zhuanai
紫船	zichuan
姿娘	ziniang
姿娘仔	ziniangzai
总草	zongcao
走起	zouqi
走仔	zouzai
嘴阔	zuikuo
做把戏	zuobaxi
做大水	zuodashui
做公德	zuogongde
做忌	zuoji
做节	zuojie
做康课	zuokangke
做咧卖担咧镪	zuoliemaidanlieqiang
做尼	zuoni
