哀公	aigong
补飨礼	buxiangli
补校	buxiao
不校校之	buxiaoxiaozhi
补元史艺文志	buyuanshiyiwenzhi
补正	buzheng
补证	buzheng
补注	buzhu
补注杜诗	buzhudushi
不主一本	buzhuyiben
补缀	buzhui
蔡卞	caibian
才调集	caidiaoji
采蘩	caifan
采葛	caige
采苓	cailing
采绿	cailv
蔡谟	caimo
采苹	caiping
采芑	caiqi
蔡千秋	caiqianqiu
采芹录	caiqinlu
蔡沈	caishen
采诗	caishi
采菽	caishu
采薇	caiwei
蔡谊	caiyi
采治录	caizhilu
蔡中郎集	caizhonglangji
蔡仲之命	caizhongzhiming
采撰	caizhuan
参读礼志疑	candulizhiyi
参校本	canjiaoben
骖鸾录	canluanlu
参证	canzheng
藏春集	cangchunji
藏海诗话	canghaishihua
沧海遗珠	canghaiyizhu
仓颉篇	cangjiepian
沧浪集	canglangji
沧浪诗话	canglangshihua
沧螺集	cangluoji
沧溟集	cangmingji
藏书题识	cangshutizhi
藏一话腴	cangyihuayu
沧洲尘缶编	cangzhouchenfoubian
曹褒	caobao
曹曾	caoceng
曹充	caochong
草虫	caochong
曹耽	caodan
曹风	caofeng
草阁诗集	caogeshiji
曹金籀	caojinzhou
草木鸟兽虫鱼	caomuniaoshouchongyu
草木外类	caomuwailei
草木子	caomuzi
曹社	caoshe
草堂诗话	caotangshihua
草堂诗馀	caotangshiyu
草堂雅集	caotangyaji
曹文贞公诗集	caowenzhengongshiji
曹寅	caoyin
曹元忠	caoyuanzhong
曹月川集	caoyuechuanji
草泽狂歌	caozekuangge
草纸	caozhi
曹子建集	caozijianji
册府元龟	cefuyuangui
测海楼	cehailou
测海楼藏书目录	cehailoucangshumulu
测量法义	celiangfayi
册页制度	ceyezhidu
测圆海镜	ceyuanhaijing
测圆海镜分类释术	ceyuanhaijingfenleishishu
曾南丰先生文粹	cengnanfengxianshengwencui
曾朴	cengpu
茶经	chajing
茶录	chalu
查嗣庭	chasiting
槎翁诗集	chawengshiji
柴氏四隐集	chaishisiyinji
产宝诸方	chanbaozhufang
禅林僧宝传	chanlinsengbaochuan
羼入	chanru
产育宝庆集	chanyubaoqingji
长安志	changanzhi
长安志图	changanzhitu
长编	changbian
常棣	changdi
长短经	changduanjing
长发	changfa
昌谷集	changguji
昌国州图志	changguozhoutuzhi
唱名录	changminglu
常璩	changqu
常裳	changshang
长书	changshu
常谈	changtan
常武	changwu
长物志	changwuzhi
常用字训	changyongzixun
常语	changyu
抄本	chaoben
钞本	chaoben
晁错	chaocuo
晁公武	chaogongwu
晁瑮	chaoli
晁氏宝文堂书目	chaoshibaowentangshumu
晁氏客语	chaoshikeyu
巢氏诸病源候总论	chaoshizhubingyuanhouzonglun
晁无咎词	chaowujiuci
剿袭	chaoxi
朝鲜赋	chaoxianfu
朝鲜史略	chaoxianshilue
朝鲜志	chaoxianzhi
朝野类要	chaoyeleiyao
朝野佥载	chaoyeqianzai
朝邑县志	chaoyixianzhi
车攻	chegong
车邻	chelin
车舝	chexia
车制图考	chezhitukao
陈白沙集	chenbaishaji
陈大昌	chendachang
陈大猷	chendayou
臣道	chendao
陈第	chendi
晨风	chenfeng
陈风	chenfeng
陈逢衡	chenfengheng
陈傅良	chenfuliang
陈刚中诗集	chengangzhongshiji
陈澔	chengao
臣工	chengong
陈厚耀	chenhouyao
陈奂	chenhuan
陈鉴	chenjian
陈检讨四六	chenjiantaosiliu
陈经	chenjing
陈景沂	chenjingyi
陈景云	chenjingyun
陈均	chenjun
陈揆	chenkui
陈彭年	chenpengnian
陈起	chenqi
陈耆卿	chenqiqing
陈启源	chenqiyuan
陈乔枞	chenqiaocong
陈钦	chenqin
陈仁子	chenrenzi
陈鳣	chenshan
陈氏礼记集说	chenshilijijishuo
陈氏礼记集说补正	chenshilijijishuobuzheng
陈世隆	chenshilong
陈氏尚书详解	chenshishangshuxiangjie
臣事实辨	chenshishibian
陈氏香谱	chenshixiangpu
陈拾遗集	chenshiyiji
陈寿祺	chenshouqi
陈书	chenshu
陈树杓	chenshubiao
陈思	chensi
陈廷祚	chentingzuo
谶纬	chenwei
陈文纪	chenwenji
陈文耀	chenwenyao
陈瓮生	chenwengsheng
陈侠	chenxia
陈玄	chenxuan
陈弇	chenyan
陈姚察	chenyaocha
臣瓒	chenzan
陈振孙	chenzhensun
陈郑众	chenzhengzhong
成伯玙	chengboyu
程大昌	chengdachang
成都文类	chengduwenlei
成公	chenggong
程公说	chenggongshuo
程颢	chenghao
乘弘	chenghong
程迥	chengjiong
成均图	chengjuntu
程敏政	chengminzheng
程氏春秋或问	chengshichunqiuhuowen
程氏经说	chengshijingshuo
程廷祚	chengtingzuo
成相	chengxiang
成玄英	chengxuanying
程瑶田	chengyaotian
诚意伯文集	chengyibowenji
诚斋集	chengzhaiji
诚斋诗话	chengzhaishihua
诚斋易传	chengzhaiyizhuan
池北偶谈	chibeioutan
赤城集	chichengji
赤城志	chichengzhi
持静斋	chijingzhai
持静斋藏书纪要	chijingzhaicangshujiyao
持静斋书目	chijingzhaishumu
饬令	chiling
赤雀命	chiqueming
赤水玄珠	chishuixuanzhu
赤松山志	chisongshanzhi
耻堂存稿	chitangcungao
鸱鸮	chixiao
赤雅	chiya
敕撰	chizhuan
重编琼台藁	chongbianqiongtaigao
重订诗经疑问	chongdingshijingyiwen
崇古文诀	chongguwenjue
重刻	chongke
重刻本	chongkeben|zhongkeben
崇文院	chongwenyuan
崇文总目	chongwenzongmu
重修革象新书	chongxiugexiangxinshu
重修广韵	chongxiuguangyun
重修宣和博古图	chongxiuxuanhebogutu
重修玉篇	chongxiuyupian
冲虚至德真经解	chongxuzhidezhenjingjie
崇有	chongyou
崇元总目	chongyuanzongmu
仇池笔记	chouchibiji
筹海图编	chouhaitubian
抽毁书目	chouhuishumu
