阿笛	adi
晋昭侯姬伯	jinzhaohoujibo
金兆梓	jinzhaozi
金之骏	jinzhijun
金之俊	jinzhijun
金志勋	jinzhixun
金忠淳	jinzhongchun
金仲华	jinzhonghua
金准	jinzhun
金梓	jinzi
金宗墉	jinzongyong
金宗钺	jinzongyue
金祖静	jinzujing
金作霖	jinzuolin
敬才	jingcai
景初	jingchu
景春	jingchun
敬达	jingda
荆道干	jingdaogan
敬悼公	jingdaogong
敬悼公张玄靓	jingdaogongzhangxuanliang
敬帝	jingdi
敬帝萧方智	jingdixiaofangzhi
惊帆	jingfan
敬风	jingfeng
荆馥	jingfu
荆歌	jingge
荆浩	jinghao
景焕	jinghuan
精绝	jingjue
境吏	jingli
净莲	jinglian
景炼之	jinglianzhi
景梁曾	jingliangceng
敬烈公	jingliegong
敬烈公张重华	jingliegongzhangchonghua
京陵	jingling
竟陵	jingling
景明	jingming
荆南	jingnan
静嫔	jingpin
敬嫔	jingpin
晶品	jingpin
景平	jingping
景迁	jingqian
景倩	jingqian
景日昣	jingrizhen
景瑞璇	jingruixuan
井上要	jingshangyao
景升	jingsheng
景王	jingwang
景王秃发偄檀	jingwangtufarutan
井勿幕	jingwumu
京县	jingxian
景兴	jingxing
景星杓	jingxingbiao
景炎	jingyan
景耀	jingyao
净伊	jingyi
净玉	jingyu
井玉树	jingyushu
景元	jingyuan
经元善	jingyuanshan
经正监	jingzhengjian
敬仲	jingzhong
景宗	jingzong
景宗李元昊	jingzongliyuanhao
景宗王曦	jingzongwangxi
酒泉郡	jiuquanjun
臼水	jiushui
九寺	jiusi
厩奚	jiuxi
九逸	jiuyi
九原	jiuyuan
九真郡	jiuzhenjun
句安	juan
居巢	juchao
菊池宽	juchikuan
揟次	juci|xuci
巨达	juda
居风	jufeng
居福基	jufuji
巨高	jugao
沮鹄	juhu
居节	jujie
居廉	julian
巨鹿	julu
巨鹿郡	julujun
居鲁士	julushi
巨平	juping
沮渠安固	juquangu
沮渠蒙逊	juqumengxun
沮渠牧犍	juqumujian
沮渠无讳	juquwuhui
居摄	jushe
沮授	jushou
居肃	jusu
剧县	juxian
巨先	juxian
沮县	juxian
剧阳	juyang
句阳	juyang
沮阳	juyang
鞠咏	juyong
巨源	juyuan
句章	juzhang
居正	juzheng
鄄城	juancheng
鋗人	juanren|xuanren
涓人	juanren
卷县	juanxian
决波瑜	jueboyu
觉澄	juecheng
觉铭	jueming
绝群	juequn
觉堂	juetang
駃騠	jueti|kuaiti
绝影	jueying
觉征	juezheng
军祭酒	junjijiu
君郎	junlang
俊靡	junmi
军器监	junqijian
浚遒	junqiu
君荣	junrong
军士	junshi
君嗣	junsi
军尉	junwei
浚仪	junyi
卡郎	kalang
卡雷卡	kaleika
卡纳斯	kanasi
开封公	kaifenggong
开封公慕容详	kaifenggongmurongxiang
凯末尔	kaimoer
开平	kaiping
凯塞林	kaisailin
开熙	kaixi
阚维雍	kanweiyong
阚沢	kanze
阚泽	kanze|kana
康辰	kangchen
康丁	kangding
亢父	kangfu
康广仁	kangguangren
康国平	kangguoping
康国器	kangguoqi
康姬冕	kangjimian
康建刚	kangjiangang
康进之	kangjinzhi
康军	kangjun
康恺	kangkai
康昆	kangkun
康琨	kangkun
康吕赐	kanglvci
康懋	kangmao
康乃心	kangnaixin
康丕扬	kangpiyang
康千里	kangqianli
康绍镛	kangshaoyong
康时万	kangshiwan
康时行	kangshixing
康同壁	kangtongbi
康王	kangwang
康王秃发利鹿孤	kangwangtufalilugu
康熙帝	kangxidi
康有为	kangyouwei
康仲熊	kangzhongxiong
康子妮	kangzini
亢宗	kangzong
康宗	kangzong
康宗王昶	kangzongwangchang
考课院	kaokeyuan
考试院	kaoshiyuan
轲比能	kebineng
柯崇朴	kechongpu
柯赐海	kecihai
恪妃	kefei
可浩	kehao
可矜	kejin
科举制	kejuzhi
珂轮	kelun
科内霍	keneihuo
科内鲁	keneilu
科涅夫	keniefu
柯平	keping
柯祺	keqi
柯奇士	keqishi
柯潜	keqian
柯琴	keqin
柯善林	keshanlin
柯尚迁	keshangqian
柯劭忞	keshaomin
客省	kesheng
柯铁	ketie
柯维桢	keweizhen
克文	kewen
柯夏卿	kexiaqing
柯暹	kexian
克信	kexin
克新	kexin
柯怡	keyi
柯一鄂	keyie
柯有榛	keyouzhen
柯煜	keyu
可韵	keyun
柯泽时	kezeshi
刻字司	kezisi
孔伯华	kongbohua
孔才	kongcai
孔传焯	kongchuanchao
孔传鋕	kongchuanzhi
孔从洲	kongcongzhou
孔亻由	kongdanyou
孔繁菱	kongfanling
孔庚	konggeng
孔公璜	konggonghuang
孔广福	kongguangfu
孔广林	kongguanglin
孔广森	kongguangsen
孔广陶	kongguangtao
孔继汾	kongjifen
孔继檊	kongjigan
孔继涵	kongjihan
孔继浣	kongjihuan
孔继涑	kongjisu
孔继泰	kongjitai
孔继菼	kongjitan
孔继尧	kongjiyao
孔甲	kongjia
孔琳琳	konglinlin
孔令晖	konglinghui
孔明	kongming
孔齐	kongqi
孔千秋	kongqianqiu
孔庆熔	kongqingrong
孔融	kongrong
孔尚典	kongshangdian
孔尚任	kongshangren
孔硕	kongshuo
孔四可	kongsike
孔天允	kongtianyun
孔铁山	kongtieshan
孔宪培	kongxianpei
孔宪彝	kongxianyi
孔祥明	kongxiangming
孔祥瑞	kongxiangrui
孔祥熙	kongxiangxi
孔兴燮	kongxingxie
孔休	kongxiu
孔秀	kongxiu
孔衍栻	kongyanshi
孔艺霏	kongyifei
孔昱	kongyu
孔毓圻	kongyuqi
孔元措	kongyuancuo
孔媛媛	kongyuanyuan
孔璋	kongzhang
孔昭杰	kongzhaojie
孔昭薰	kongzhaoxun
孔贞瑄	kongzhenxuan
孔宙	kongzhou
寇慎	koushen
寇遐	kouxia
寇准	kouzhun
库巴拉	kubala
库利克	kulike
库伦	kulun
库人	kuren
苦县	kuxian
蒯光典	kuaiguangdian
会稽王	kuaijiwang
会稽王孙亮	kuaijiwangsunliang
蒯良	kuailiang
蒯祥	kuaixiang
蒯越	kuaiyue
邝宝强	kuangbaoqiang
匡斌	kuangbin
旷处良	kuangchuliang
邝露	kuanglu
邝敏本	kuangminben
况叔祺	kuangshuqi
况仙根	kuangxiangen
况祥麟	kuangxianglin
揆常在	kuichangzai
馈人	kuiren
揆叙	kuixu
揆一	kuiyi
奎瑛	kuiying
髡残	kuncan
坤儿	kuner
昆阳	kunyang
昆泽	kunze
阔阔术	kuokuoshu
扩张至锦州	kuozhangzhijinzhou
拉西德	laxide
赖传湘	laichuanxiang
赖恭	laigong
赖和	laihe
赖际熙	laijixi
来集之	laijizhi
赖佳微	laijiawei
赖镜	laijing
来库宁	laikuning
赖来	lailai
来敏	laimin
赖名汤	laimingtang
莱纳特	lainate
赖先	laixian
赖歇瑙	laixienao
来行学	laixingxue
来学棠	laixuetang
赖妍彤	laiyantong
赖以邠	laiyibin
蓝鼎元	landingyuan
蓝东	landong
兰菲尔	lanfeier
蓝贵人	languiren
兰陵	lanling
兰茂	lanmao
蓝美芬	lanmeifen
蓝千秋	lanqianqiu
兰卿	lanqing
兰石	lanshi
蓝涛	lantao
蓝田	lantian
蓝田人	lantianren
蓝廷芳	lantingfang
蓝廷珍	lantingzhen
蓝瑛	lanying
蓝祖蔚	lanzuwei
郎葆辰	langbaochen
郎际昌	langjichang
郎简	langjian
郎陵	langling
狼孟	langmeng
郎清相	langqingxiang
郎绍安	langshaoan
郎遂	langsui
郎廷极	langtingji
琅邪	langxie
琅邪国	langxieguo
郎钟騋	langzhonglai
郎祚昌	langzuochang
劳春燕	laochunyan
劳格	laoge
劳梦鲤	laomengli
劳乃宣	laonaixuan
劳权	laoquan
老舍	laoshe
劳史	laoshi
劳潼	laotong
老韦	laowei
劳之辨	laozhibian
乐安国	leanguo
乐綝	lechen|leshen
乐纯	lechun
勒方錡	lefangqi
乐涫	leguan
勒贵人	leguiren
乐进	lejin
乐靖宜	lejingyi
乐就	lejiu
乐钧	lejun
乐浪郡	lelangjun
楽林	lelin
勒普	lepu
勒深之	leshenzhi
乐尹	leyin
雷保华	leibaohua
雷秉钧	leibingjun
雷薄	leibo|leibao
雷大升	leidasheng
雷德尔	leideer
雷发达	leifada
雷公鞭	leigongbian
雷鋐	leihong
雷涧	leijian
雷金桧	leijingui
雷恺	leikai
雷恪	leike
雷鲤	leili
雷龙济	leilongji
雷涅	leinie
雷诺德	leinuode
雷腾云	leitengyun
雷铜	leitong
雷晓丽	leixiaoli
雷叙	leixu
雷学淇	leixueqi
雷以诚	leiyicheng
雷永青	leiyongqing
雷越姝	leiyueshu
雷震	leizhen
雷震案	leizhenan
雷作和	leizuohe
冷枚	lengmei
冷士嵋	lengshimei
冷士湄	lengshimei
冷永成	lengyongcheng
冷月梅	lengyuemei
李阿隆	lialong
李阿齐	liaqi
李艾东	liaidong
李霭之	liaizhi
黎安理	lianli
李安全	lianquan
李昂	liang
李邦炽	libangchi
黎邦瑊	libangjian
李宝嘉	libaojia
李葆恂	libaoxun
李宝章	libaozhang
李本恂	libenxun
李本一	libenyi
李璧	libi
李必蕃	libifan
李别	libie
李滨	libin
李炳	libing
李秉常	libingchang
李秉德	libingde
李秉衡	libingheng
李秉礼	libingli
李丙令	libingling
李秉绶	libingshou
李伯瞻	libozhan
李步蟾	libuchan
李步墀	libuchi
李材	licai
李彩升	licaisheng
李曾蔚	licengwei
李常	lichang
李昌	lichang
李长庚	lichanggeng
李长科	lichangke
李长倩	lichangqian
李昌泉	lichangquan
李长熙	lichangxi
李常在	lichangzai
李尝之	lichangzhi
李昌祚	lichangzuo
李超孙	lichaosun
李朝珠	lichaozhu
李忱	lichen
李琛	lichen
利城	licheng
李承宝	lichengbao
李承道	lichengdao
李成桂	lichenggui
李承基	lichengji
李承箕	lichengji
李诚儒	lichengru
李呈祥	lichengxiang
李承熊	lichengxiong
李澄中	lichengzhong
李赤虹	lichihong
李崇	lichong
李重华	lichonghua
李崇礼	lichongli
李畴	lichou
李拀	lichu|lizhu
李楚瀛	lichuying
李传道	lichuandao
李春	lichun
李纯	lichun
黎春华	lichunhua
李春熙	lichunxi
李春香	lichunxiang
李纯祐	lichunyou
李慈铭	liciming
李从厚	liconghou
李从珂	licongke
李漼	licui
李粹	licui
李翠菊	licuiju
李存孝	licunxiao
李存信	licunxin
李存勖	licunxu
李大昌	lidachang
李大亮	lidaliang
李大钊	lidazhao
李聃	lidan
李亶	lidan
李旦	lidan
李德纯	lidechun
李德钢	lidegang
李德光	lideguang
立德乐	lidele
李德林	lidelin
黎德玲	lideling
李德旺	lidewang
李德孝	lidexiao
李登	lideng
李典	lidian
李殿图	lidiantu
李鼎峰	lidingfeng
李东奎	lidongkui
李东阳	lidongyang
李敦白	lidunbai
厉鹗	lie
李萼	lie
李恩元	lienyuan
立法院	lifayuan
李蕃	lifan
李藩	lifan
理藩部	lifanbu
理藩院	lifanyuan
李放	lifang
李方膺	lifangying
李丰	lifeng
李封	lifeng
李丰永	lifengyong
李辅	lifu
李馥	lifu
李伏	lifu
李孚	lifu
李服	lifu
李福	lifu
李符	lifu
李绂	lifu
李符清	lifuqing
李符桐	lifutong
李辅耀	lifuyao
李盖凡	ligaifan
骊肝	ligan
李淦	ligan
李纲	ligang
李暠	ligao|lihao
李羔	ligao
李耕隐	ligengyin
李贡	ligong
李塨	ligong
李公麟	ligonglin
李公朴	ligongpu
李谷	ligu
黎光	liguang
李广	liguang
李光弼	liguangbi
李光波	liguangbo
李光地	liguangdi
李光斗	liguangdou
李光久	liguangjiu
李光理	liguangli
李广田	liguangtian
李光炘	liguangxin
李珪	ligui
李贵人	liguiren
厉归真	liguizhen
郦国	liguo
李国江	liguojiang
李国模	liguomo
李国文	liguowen
李国训	liguoxun
李国勋	liguoxun
李海观	lihaiguan
李海青	lihaiqing
李翰华	lihanhua
李翰卿	lihanqing
李汉仪	lihanyi
李贺	lihe
李和	lihe
郦珩	liheng
李亨	liheng
李恒	liheng
李恒沛	lihengpei
李翃	lihong
李鸿裔	lihongyi
李鸿藻	lihongzao
李鸿章	lihongzhang
郦琥	lihu
李虎	lihu
离狐	lihu
李虎军	lihujun
李华国	lihuaguo
李淮春	lihuaichun
李怀民	lihuaimin
李桓	lihuan
李焕章	lihuanzhang
李恢	lihui
李辉仁	lihuiren
李霁	liji
李济	liji
李玑	liji
李绩	liji
李基德	lijide
李济平	lijiping
李际期	lijiqi
李吉寿	lijishou
李基宇	lijiyu
李骥元	lijiyuan
李纪珠	lijizhu
李嘉福	lijiafu
李嘉绩	lijiaji
李佳璘	lijialin
李葭荣	lijiarong
李佳豫	lijiayu
李家钰	lijiayu
黎简	lijian
李健	lijian
李建兵	lijianbing
李建成	lijiancheng
李见明	lijianming
李肩吾	lijianwu
李健吾	lijianwu
李劫	lijie
李锦	lijin
李觐曾	lijinceng
黎锦晖	lijinhui
李锦眉	lijinmei
李劲然	lijinran
李荩宣	lijinxuan
李靖	lijing
李璟	lijing
李经	lijing
李静芳	lijingfang
李经方	lijingfang
李经垓	lijinggai
李京鸿	lijinghong
李景黄	lijinghuang
李镜清	lijingqing
李敬思	lijingsi
李敬泽	lijingze
李駉	lijiong
李驹	liju
李觉	lijue
李傕	lijue
李瑴	lijue
李銁	lijun
李俊慧	lijunhui
李筠嘉	lijunjia
李俊民	lijunmin
李俊山	lijunshan
黎凯	likai
李楷	likai
李开芳	likaifang
李凯年	likainian
李开先	likaixian
李开叶	likaiye
李堪	likan
李衎孙	likansun
李康华	likanghua
李恪	like
李可玖	likejiu
李可栻	likeshi
李克用	likeyong
李孔修	likongxiu
李魁春	likuichun
李昆芳	likunfang
李坤军	likunjun
李涞	lilai
李来泰	lilaitai
李兰娟	lilanjuan
李乐	lile
李立锐	lilirui
李立三	lilisan
李丽珊	lilishan
黎立武	liliwu
李濂	lilian
黎良德	liliangde
李良年	liliangnian
李谅祚	liliangzuo
李烈钧	liliejun
李麟	lilin
李林	lilin
李麟光	lilinguang
李林松	lilinsong
历陵	liling
李玲蔚	lilingwei
李流芳	liliufang
李隆萼	lilonge
李隆基	lilongji
李峦	liluan
李銮宣	liluanxuan
李懋绪	limaoxu
李蒙	limeng
李梦璁	limengcong
李梦箕	limengji
李梦阳	limengyang
李梦月	limengyue
李密	limi
李弥	limi
黎民表	liminbiao
黎民怀	liminhuai
李名	liming
李明澈	limingche
李明性	limingxing
李明雪	limingxue
李鸣真	limingzhen
李默庵	limoan
李莫儿	limoer
李牧	limu
李慕龙	limulong
李念慈	linianci
李攀龙	lipanlong
黎培敬	lipeijing
李培紫	lipeizi
李丕则	lipize
李品仙	lipinxian
李苹	liping
李平书	lipingshu
李菩	lipu
李溥光	lipuguang
李期	liqi
李启河	liqihe
李奇玉	liqiyu
李琪枝	liqizhi
黎骞	liqian
李迁宝	liqianbao
李乾顺	liqianshun
李樯	liqiang
李苘	liqing
李青川	liqingchuan
李青海	liqinghai
李庆莱	liqinglai
李庆良	liqingliang
李庆霄	liqingxiao
李清藻	liqingzao
李清照	liqingzhao
李球	liqiu
郦权	liquan
隶人	liren
李仁孝	lirenxiao
李仍	lireng
李日纯	lirichun
李日华	lirihua
李日茂	lirimao
李荣陛	lirongbi
李儒	liru|lia
李汝华	liruhua
李如蕙	liruhui
李汝霖	lirulin
李汝龙	lirulong
黎汝清	liruqing
李如一	liruyi
李汝珍	liruzhen
李瑞清	liruiqing
李傻傻	lishasha
李鳝	lishan
李善兰	lishanlan
李上贤	lishangxian
李商隐	lishangyin
李绍珍	lishaozhen
李屾	lishen
李慎修	lishenxiu
李胜	lisheng
李昇	lisheng
李晟	lisheng
李盛铎	lishengduo
李生光	lishengguang
李圣天	lishengtian
李生寅	lishengyin
李绳远	lishengyuan
李适	lishi|likuo
李势	lishi
李时	lishi
李栻	lishi
李氏	lishi
李士彬	lishibin
李士瑸	lishibin
李石曾	lishiceng
李世芳	lishifang
李式谷	lishigu
李时渐	lishijian
李士逵	lishikui
李士麟	lishilin
李时勉	lishimian
李是男	lishinan
李士溥	lishipu
李诗琪	lishiqi
李时行	lishixing
李世熊	lishixiong
李仕学	lishixue
李世英	lishiying
李时雍	lishiyong
李世则	lishize
李世泽	lishize
李士桢	lishizhen
李时珍	lishizhen
李世倬	lishizhuo
李寿	lishou
李绶	lishou
李寿朋	lishoupeng
励守谦	lishouqian
李守钦	lishouqin
李恕	lishu
黎庶昌	lishuchang
李树谷	lishugu
李书华	lishuhua
李淑华	lishuhua
李曙寰	lishuhuan
李淑卿	lishuqing
梨树神	lishushen
李叔同	lishutong
李舜臣	lishunchen
李朔	lishuo
李偲	lisi
李嗣	lisi
李嗣聪	lisicong
李嗣璁	lisicong
李思揆	lisikui
李思绶	lisishou
李思衍	lisiyan
李嗣源	lisiyuan
李诵	lisong
李崧	lisong
李嵩	lisong
李肃	lisu
李泰成	litaicheng
李坛	litan
李唐	litang
李唐宾	litangbin
李棠阶	litangjie
李焘	litao|lidao
李特	lite
李腾蛟	litengjiao
李倜	liti
李体德	litide
李天宠	litianchong
李天馥	litianfu
李天根	litiangen
李天任	litianren
李天植	litianzhi
李廷敬	litingjing
李廷相	litingxiang
励廷仪	litingyi
李通	litong
李同芳	litongfang
李图南	litunan
李万居	liwanju
李万轴	liwanzhou
骊望	liwang
厉王	liwang
厉王苻生	liwangfusheng
李望洋	liwangyang
李霨	liwei
李威	liwei
李威克	liweike
李惟淼	liweimiao
李为宪	liweixian
李惟柱	liweizhu
李汶	liwen
李文范	liwenfan
李文耕	liwengeng
李文瀚	liwenhan
李文田	liwentian
李文通	liwentong
李文显	liwenxian
李文藻	liwenzao
李文炤	liwenzhao
李玟真	liwenzhen
李文烛	liwenzhu
李文子	liwenzi
李文缵	liwenzuan
蠡吾	liwu
李伍渶	liwuying
李熹	lixi
李锡龄	lixiling
李西闽	liximin
李希乔	lixiqiao
李锡秦	lixiqin
李西胜	lixisheng
李熙垣	lixiyuan
李兮簪	lixizan
李霞	lixia
利县	lixian
厉娴	lixian
李显	lixian
李暹	lixian
李睍	lixian
李仙得	lixiande
李先芳	lixianfang
李宪乔	lixianqiao
李显卿	lixianqing
李详	lixiang
李相	lixiang
李祥凤	lixiangfeng
李翔鸿	lixianghong
李象鹍	lixiangkun
李相勋	lixiangxun
厉晓秋	lixiaoqiu
李澥	lixie
李歆	lixin
李心传	lixinchuan
李新芳	lixinfang
李心复	lixinfu
李鑫淼	lixinmiao
李心怡	lixinyi
李欣娱	lixinyu
李惺	lixing
李兴春	lixingchun
黎杏群	lixingqun
李星沅	lixingyuan
李诇	lixiong
李雄	lixiong
李秀成	lixiucheng
李修易	lixiuyi
李徐	lixu
李续宾	lixubin
李续宜	lixuyi
李儇	lixuan
李暄	lixuan
李玄霸	lixuanba
李学川	lixuechuan
李学吾	lixuewu
李学正	lixuezheng
黎恂	lixun
李恂	lixun
李洵	lixun
李旬金	lixunjin
李亚春	liyachun
李亚蓉	liyarong
李严	liyan
李延	liyan
李晏	liyan
李炎	liyan
李延昰	liyanshi
李言闻	liyanwen
李妍熙	liyanxi
黎阳	liyang
历阳	liyang
李阳	liyang
李阳春	liyangchun
李尧文	liyaowen
李冶	liye
李晔	liye
李颐	liyi
李异	liyi
李意	liyi
李焲	liyi
李贻德	liyide
李宜芳	liyifang
李宜开	liyikai
李以麟	liyilin
李一氓	liyimang
李依桐	liyitong
李亦雯	liyiwen
李一鑫	liyixin
礼仪院	liyiyuan
李仪祉	liyizhi
李因	liyin
李因笃	liyindu
李因培	liyinpei
李尹桑	liyinsang
李寅希	liyinxi
李膺	liying
李潆	liying
李瑛	liying
李瀛寰	liyinghuan
李应升	liyingsheng
李萤书	liyingshu
李颙	liyong
李涌	liyong
利用监	liyongjian
李用清	liyongqing
李勇勇	liyongyong
李用章	liyongzhang
李祐	liyou
李右谠	liyoudang
李友梅	liyoumei
李友太	liyoutai
李豫	liyu
李遹	liyu
李昱	liyu
李渔	liyu
李煜	liyu
李玉	liyu
李禹东	liyudong
李雨霏	liyufei
李毓芬	liyufen
李豫亨	liyuheng
李于坚	liyujian
李玉琳	liyulin
栗毓美	liyumei
李遇孙	liyusun
黎玉玺	liyuxi
李煜瀛	liyuying
李裕中	liyuzhong
李渊	liyuan
李源道	liyuandao
李元度	liyuandu
李元昊	liyuanhao
黎元洪	liyuanhong
李元闳	liyuanhong
厉元吉	liyuanji
李元阳	liyuanyang
李元振	liyuanzhen
李玥	liyue
李筼桥	liyunqiao
李允泉	liyunquan
李再华	lizaihua
李在皇	lizaihuang
李在青	lizaiqing
李再雯	lizaiwen
李赞	lizan
李瓒	lizan
黎崱	lize
黎泽泰	lizetai
李增灿	lizengcan
李湛	lizhan
李瞻	lizhan
李暲	lizhang
李璋煜	lizhangyu
李肇亨	lizhaoheng
李兆洛	lizhaoluo
李兆年	lizhaonian
李昭玘	lizhaoqi
李哲	lizhe
黎贞	lizhen
李贞	lizhen
李桢	lizhen
李真常	lizhenchang
李振祜	lizhenhu
李振清	lizhenqing
李振裕	lizhenyu
李正伦	lizhenglun
李正先	lizhengxian
李正瑜	lizhengyu
厉志	lizhi
李贽	lizhi
李治	lizhi
礼制处	lizhichu
李之鼎	lizhiding
李之芳	lizhifang
李植纲	lizhigang
礼制馆	lizhiguan
李之和	lizhihe
李之郇	lizhihuan
李之晋	lizhijin
李志礼	lizhili
李之龙	lizhilong
李治民	lizhimin
李智屏	lizhiping
李之绍	lizhishao
李之世	lizhishi
李芝绶	lizhishou
李知先	lizhixian
李志星	lizhixing
李志已	lizhiyi
李枝源	lizhiyuan
李治运	lizhiyun
李钟璧	lizhongbi
李衷灿	lizhongcan
李钟峨	lizhonge
李中简	lizhongjian
黎仲瑾	lizhongjin
李中立	lizhongli
李仲略	lizhonglue
李重茂	lizhongmao
李中南	lizhongnan
李仲南	lizhongnan
李仲宁	lizhongning
李中师	lizhongshi
李钟文	lizhongwen
李中襄	lizhongxiang
李钟秀	lizhongxiu
李仲扬	lizhongyang
李钟元	lizhongyuan
李著	lizhu
李柷	lizhu
李撰	lizhuan
李灼然	lizhuoran
李自成	lizicheng
李子亮	liziliang
李子旸	liziyang
李宗潮	lizongchao
李宗传	lizongchuan
李宗昉	lizongfang
李宗瀚	lizonghan
李宗黄	lizonghuang
李宗谟	lizongmo
李宗仁	lizongren
励宗万	lizongwan
李宗信	lizongxin
李宗扬	lizongyang
李宗植	lizongzhi
李祖年	lizunian
李祖陶	lizutao
李祖望	lizuwang
李遵顼	lizunxu
李佐贤	lizuoxian
练安	lianan
廉布	lianbu
连道	liandao
连横	lianheng
连婕	lianjie
连鑛	liankuang
连阔如	liankuoru
练鲁	lianlu
廉颇	lianpo
连然	lianran
莲儒	lianru
连文澄	lianwencheng
连文凤	lianwenfeng
廉县	lianxian
连震东	lianzhendong
梁蔼如	liangairu
梁柏台	liangbaitai
梁邦俊	liangbangjun
梁本之	liangbenzhi
良臣	liangchen
良成	liangcheng
梁诚	liangcheng
梁崇忠	liangchongzhong
梁储	liangchu
梁春辉	liangchunhui
梁春湘	liangchunxiang
梁岱	liangdai
梁道	liangdao
梁德绳	liangdesheng
梁登庸	liangdengyong
良娣	liangdi
梁鼎芬	liangdingfen
梁恩淇	liangenqi
梁发芾	liangfafu
良妃	liangfei
两府	liangfu
梁甫	liangfu
梁刚	lianggang
凉公	lianggong
凉公李歆	lianggonglixin
梁珪	lianggui
梁国雄	liangguoxiong
梁国治	liangguozhi
梁寒操	lianghancao
梁鹤年	lianghenian
梁华盛	lianghuasheng
梁楫	liangji
梁畿	liangji
梁九图	liangjiutu
梁楷	liangkai
梁宽	liangkuan
梁立柱	lianglizhu
梁梿	lianglian
梁璐	lianglu
梁纶枢	lianglunshu
梁末帝	liangmodi
梁末帝朱友贞	liangmodizhuyouzhen
梁末帝朱瑱	liangmodizhuzhen
梁木公	liangmugong
梁期	liangqi
梁琦	liangqi
梁启超	liangqichao
梁虔	liangqian
梁清标	liangqingbiao
梁庆桂	liangqinggui
梁清平	liangqingping
梁清远	liangqingyuan
梁镕	liangrong
梁绍壬	liangshaoren
梁实秋	liangshiqiu
梁士泰	liangshitai
梁士诒	liangshiyi
梁时元	liangshiyuan
梁诗正	liangshizheng
梁枢	liangshu
梁树功	liangshugong
梁淑贞	liangshuzhen
梁思礼	liangsili
梁簌铭	liangsuming
梁菼	liangtan
梁檀	liangtan
梁廷楠	liangtingnan
梁伟棠	liangweitang
梁维亚	liangweiya
梁文泓	liangwenhong
梁文濂	liangwenlian
梁武帝	liangwudi
梁武帝萧衍	liangwudixiaoyan
梁无技	liangwuji
梁溪	liangxi
梁熙	liangxi
梁希贤	liangxixian
梁县	liangxian
梁兴	liangxing
梁绪	liangxu
梁序璇	liangxuxuan
梁序昭	liangxuzhao
梁学昌	liangxuechang
梁耀汉	liangyaohan
梁彝	liangyi
梁溢	liangyi
梁毅超	liangyichao
梁以樟	liangyizhang
梁寅	liangyin
梁瑛	liangying
梁迎利	liangyingli
梁于浚	liangyujun
梁玉绳	liangyusheng
梁于涘	liangyusi
梁玉珍	liangyuzhen
良媛	liangyuan
梁元翀	liangyuanchong
梁运昌	liangyunchang
梁宰豪	liangzaihao
梁章钜	liangzhangju
梁芷珊	liangzhishan
凉州	liangzhou
梁周翰	liangzhouhan
梁孜	liangzi
梁紫	liangzi
梁邹	liangzou
梁邹成	liangzoucheng
廖安福	liaoanfu
廖宝秦	liaobaoqin
寥城	liaocheng
廖淳	liaochun
廖春海	liaochunhai
辽道宗	liaodaozong
辽道宗耶律洪基	liaodaozongyelvhongji
辽东	liaodong
辽队	liaodui
廖辅	liaofu
廖桂永	liaoguiyong
廖汉臣	liaohanchen
廖化	liaohua
廖纪	liaoji
辽景宗	liaojingzong
辽景宗耶律贤	liaojingzongyelvxian
廖烂廷	liaolanting
廖磊	liaolei
廖立	liaoli
廖麟书	liaolinshu
廖龄	liaoling
辽穆宗	liaomuzong
辽穆宗耶律璟	liaomuzongyelvjing
廖平	liaoping
廖荣纶	liaoronglun
辽圣宗	liaoshengzong
辽圣宗耶律隆绪	liaoshengzongyelvlongxu
辽世宗	liaoshizong
辽世宗耶律阮	liaoshizongyelvruan
廖寿丰	liaoshoufeng
廖寿恒	liaoshouheng
廖寿彭	liaoshoupeng
辽太宗	liaotaizong
辽太宗耶律德光	liaotaizongyelvdeguang
辽太祖	liaotaizu
辽太祖耶律阿保机	liaotaizuyelvabaoji
廖腾煃	liaotengkui
辽天祚帝	liaotianzuodi
辽天祚帝耶律延禧	liaotianzuodiyelvyanxi
辽西郡	liaoxijun
寥县	liaoxian
廖新波	liaoxinbo
辽兴宗	liaoxingzong
辽兴宗耶律宗真	liaoxingzongyelvzongzhen
辽阳	liaoyang
廖逸群	liaoyiqun
廖寅	liaoyin
廖应淮	liaoyinghuai
廖玉湘	liaoyuxiang
廖云鹤	liaoyunhe
廖云锦	liaoyunjin
廖造唐	liaozaotang
廖政国	liaozhengguo
廖仲恺	liaozhongkai
廖祖笙	liaozusheng
列科	lieke
列口	liekou
列卿	lieqing
列人	lieren
埒县	liexian
烈宗	liezong
烈宗刘聪	liezongliucong
烈宗慕容实	liezongmurongshi
烈祖	liezu
烈祖李昇	liezulisheng
烈祖慕容儁	liezumurongjun
烈祖乞伏国仁	liezuqifuguoren
烈祖秃发乌孤	liezutufawugu
临安	linan
林柏生	linbaisheng
林白水	linbaishui
林彪	linbiao
林昺	linbing
林秉汉	linbinghan
林伯光	linboguang
林伯渠	linboqu
林伯桐	linbotong
林昌彝	linchangyi
林朝栋	linchaodong
林朝崧	linchaosong
林朝炭	linchaotan
临尘	linchen
林春溥	linchunpu
林春山	linchunshan
林纯贤	linchunxian
林垐	linci
林从直	lincongzhi
林大北	lindabei
林道元	lindaoyuan
林顶立	lindingli
林侗	lindong
林芳春	linfangchun
临汾	linfen
林凤华	linfenghua
