介子推	jiezitui
金钱记	jinqianji
京娘怨	jingniangyuan
九龙庙	jiulongmiao
菊花会	juhuahui
勘风情	kanfengqing
哭孺子	kuruzi
哭晏婴	kuyanying
老君堂	laojuntang
梨花雨	lihuayu
李师师	lishishi
两无功	liangwugong
刘公书	liugongshu
刘寄奴	liujinu
刘行首	liuhangshou|liuxingshou
留鞋记	liuxieji
马陵道	malingdao
梅妃旦	meifeidan
梅梢月	meishaoyue
魔合罗	moheluo
牡丹记	mudanji
蟠桃会	pantaohui
盆儿鬼	penergui
七德舞	qidewu
七里滩	qilitan
气球末	qiqiumo
钱神论	qianshenlun
秦楼月	qinlouyue
秦少游	qinshaoyou
认玉钗	renyuchai
神奴儿	shennuer
手卷记	shoujuanji
双卖华	shuangmaihua
四春园	sichunyuan
唐庄宗	tangzhuangzong
桃花女	taohuanv
替杀妻	tishaqi
托公书	tuogongshu
卫灵公	weilinggong
问牛喘	wenniuchuan
卧龙冈	wolonggang
误元宵	wuyuanxiao
西湖梦	xihumeng
贤孝妇	xianxiaofu
小孙屠	xiaosuntu
小张屠	xiaozhangtu
邢台记	xingtaiji
烟花鬼	yanhuagui
燕子楼	yanzilou
扬州梦	yangzhoumeng
玉溪馆	yuxiguan
鸳鸯被	yuanyangbei
鸳鸯会	yuanyanghui
斩陈馀	zhanchenyu
章台柳	zhangtailiu
正阳门	zhengyangmen
执笏谏	zhihujian
朱蛇记	zhusheji
竹叶舟	zhuyezhou
庄周梦	zhuangzhoumeng
追韩信	zhuihanxin
紫云娘	ziyunniang
梅香	meixiang
还牢末	hailaomo
白莲池	bailianchi
百花亭	baihuating
婢生子	bishengzi
碧桃花	bitaohua
陈仓路	chencanglu
赤壁赋	chibifu
村乐堂	cunletang
打陈平	dachenping
打董达	dadongda
打韩通	dahantong
打毬会	daqiuhui
大报仇	dabaochou
大劫牢	dajielao
盗虎皮	daohupi
东平府	dongpingfu
独角牛	dujiaoniu
杜鹃啼	dujuanti
度黄龙	duhuanglong
冯玉兰	fengyulan
符金锭	fujinding
罟罟旦	gugudan
鬼提牢	guitilao
桂花精	guihuajing
后姚婆	houyaopo
花下子	huaxiazi
