安重荣	anzhongrong
穆黄花	muhuanghua
慕容皇后	muronghuanghou
慕容三藏	murongsanzang
慕容绍宗	murongshaozong
穆提婆	mutipo
穆邪利	muxieli
穆子容	muzirong
那罗延	naluoyan
南安公主	nanangongzhu
南安惠王拓跋桢	nananhuiwangtuobazhen
南安隐王拓跋余	nananyinwangtuobayu
南赵郡公	nanzhaojungong
念贤	nianxian
牛弘	niuhong
潘相乐	panxiangle
裴果	peiguo
裴宽	peikuan
裴让之	peirangzhi
裴文举	peiwenju
彭城公主	pengchenggongzhu
彭城武宣王元勰	pengchengwuxuanwangyuanxie
毗贺突	pihetu
匹娄氏	piloushi
平秦王	pingqinwang
平阳公主	pingyanggongzhu
平原公主	pingyuangongzhu
破六汗拔陵	poliuhanbaling
破六韩常	poliuhanchang
破六汗裒	poliuhanpou
婆罗	poluo
普六茹坚	puliurujian
普屯氏	putunshi
乞伏慧	qifuhui
乞伏令和	qifulinghe
齐郡顺王拓跋简	qijunshunwangtuobajian
綦母怀文	qimuhuaiwen
千金公主	qianjingongzhu
乾明	qianming
强练	qianglian
谯国夫人洗氏	qiaoguofurenxishi
秦族	qinzu
清都公主	qingdougongzhu
清河王拓跋绍	qinghewangtuobashao
清河王元怿	qinghewangyuanyi
权景宣	quanjingxuan
泉企	quanqi
权如玖	quanrujiu
权如璋	quanruzhang
泉元礼	quanyuanli
泉仲遵	quanzhongzun
任城康王拓跋云	renchengkangwangtuobayun
任果	renguo
任胄	renzhou
柔然公主	rourangongzhu
汝南王元悦	runanwangyuanyue
茹茹公主	rurugongzhu
蠕蠕公主	rurugongzhu
汝阴灵王拓跋天赐	ruyinlingwangtuobatianci
若干惠	ruoganhui
若口引氏	ruokouyinshi
萨保	sabao
三辅著姓	sanfuzhuxing
上谷公主	shanggugongzhu
绍信	shaoxin
厍狄昌	shedichang
厍汗氏	shehanshi
神武	shenwu
沈重	shenzhong
史宁	shining
石平	shiping
始平公元孝矩	shipinggongyuanxiaoju
始平公主	shipinggongzhu
是云宝	shiyunbao
顺阳公主	shunyanggongzhu
司马令姬	simalingji
司马消难	simaxiaonan
司马裔	simayi
司马子如	simaziru
宋安公元景山	songangongyuanjingshan
宋钦道	songqindao
宋游道	songyoudao
苏椿	suchun
苏夔	sukui
苏亮	suliang
苏琼	suqiong
苏威	suwei
孙搴	sunqian
孙腾	sunteng
太武帝拓跋焘	taiwudituobatao
太原公主	taiyuangongzhu
太原长公主	taiyuanzhanggongzhu
檀翥	tanzhu
唐瑾	tangjin
唐邕	tangyong
天保	tianbao
天和	tianhe|tianhu
田弘	tianhong
天平	tianping
天统	tiantong
统万突	tongwantu
徒河氏	tuheshi
拓跋拔	tuobaba
拓跋绰立	tuobachuoli
拓跋聪	tuobacong
拓跋纥那	tuobahena
拓跋贺傉	tuobahenu
拓跋晃	tuobahuang
拓跋浑	tuobahun
拓跋禄官	tuobaluguan
拓跋普根	tuobapugen
拓跋涉圭	tuobashegui
拓跋悉鹿	tuobaxilu
拓跋翳槐	tuobayihuai
拓跋猗卢	tuobayilu
拓跋猗迤	tuobayiyi
拓跋郁律	tuobayulv
陀罗尼	tuoluoni
拓王氏	tuowangshi
万宝常	wanbaochang
万纽于氏	wanniuyushi
王褒	wangbao
王德	wangde
王轨	wanggui
王纮	wanghong
王杰	wangjie
王励	wangli
王茂	wangmao
王盟	wangmeng
王罴	wangpi
王谦	wangqian
王庆	wangqing
王庆远	wangqingyuan
王氏	wangshi
王士良	wangshiliang
王师罗	wangshiluo
王述	wangshu
王思政	wangsizheng
王伟	wangwei
王雄	wangxiong
王雅	wangya
王谊	wangyi
王勇	wangyong
王悦	wangyue
王子直	wangzizhi
尉景	weijing
卫可孤	weikegu
魏兰根	weilangen
魏收	weishou
韦孝宽	weixiaokuan
韦敻	weixiong
魏玄	weixuan
韦祐	weiyou
卫元嵩	weiyuansong
韦瑱	weizhen
韦子迁	weiziqian
文成帝拓跋浚	wenchengdituobajun
文明皇后冯有	wenminghuanghoufengyou
文襄	wenxiang
文宣	wenxuan
文宣叱奴皇后	wenxuanchinuhuanghou
武成	wucheng
武帝阿史那皇后	wudiashinahuanghou
武平	wuping
乌丸轨	wuwangui
武威公主	wuweigongzhu
武邑公主	wuyigongzhu
吴遵世	wuzunshi
席固	xigu
西河公主	xihegongzhu
西河长公主	xihezhanggongzhu
席世雅	xishiya
献文帝拓跋弘	xianwendituobahong
咸阳王元禧	xianyangwangyuanxi
鲜于世荣	xianyushirong
鲜于修礼	xianyuxiuli
先治心	xianzhixin
显祖	xianzu
襄城郡公主	xiangchengjungongzhu
襄阳公主	xiangyanggongzhu
萧瑒	xiaochang
萧琮	xiaocong
小尔朱	xiaoerzhu
萧纲	xiaogang
孝瓘	xiaoguan
孝珩	xiaoheng
孝基	xiaoji
萧岿	xiaokui
孝明皇帝元诩	xiaominghuangdiyuanxu
萧詧	xiaoqie
小蠕蠕公主	xiaorurugongzhu
孝琬	xiaowan
孝文帝拓跋宏	xiaowendituobahong
萧瓛	xiaoya
萧绎	xiaoyi
孝瑜	xiaoyu
萧渊明	xiaoyuanming
孝昭	xiaozhao
孝庄帝元子攸	xiaozhuangdiyuanziyou
萧综	xiaozong
新丰公主	xinfenggongzhu
辛庆之	xinqingzhi
辛术	xinshu
辛威	xinwei
新兴公主	xinxinggongzhu
新兴王拓跋俊	xinxingwangtuobajun
辛仲景	xinzhongjing
兴和	xinghe
邢邵	xingshao
熊安生	xiongansheng
许善心	xushanxin
徐招	xuzhao
徐之才	xuzhicai
许遵	xuzun
宣武帝元恪	xuanwudiyuanke
宣政	xuanzheng
薛道衡	xuedaoheng
薛憕	xuedeng
薛氏	xueshi
薛置	xuezhi
阎毗	yanpi
阎庆	yanqing
阎氏	yanshi
颜之仪	yanzhiyi
燕子献	yanzixian
延宗	yanzong
杨阿五	yangawu
杨敷	yangfu
杨荐	yangjian
杨俭	yangjian
杨宽	yangkuan
杨丽华	yanglihua
杨穆	yangmu
阳平公主	yangpinggongzhu
阳平王拓跋熙	yangpingwangtuobaxi
阳平幽王拓跋新成	yangpingyouwangtuobaxincheng
杨乾运	yangqianyun
杨绍	yangshao
阳雄	yangxiong
阳休之	yangxiuzhi
杨愔	yangyin
阳翟公主	yangzhaigongzhu
杨整	yangzheng
杨忠	yangzhong
杨纂	yangzuan
杨遵彦	yangzunyan
姚察	yaocha
姚僧垣	yaosengyuan
姚思廉	yaosilian
姚最	yaozui
义安长公主	yianzhanggongzhu
怡峰	yifeng
乙弗库根	yifukugen
乙弗虔	yifuqian
义归公主	yiguigongzhu
伊娄穆	yiloumu
义平陵	yipingling
义阳公主	yiyanggongzhu
永昌庄王拓跋健	yongchangzhuangwangtuobajian
永富公主	yongfugongzhu
游夫人	youfuren
幽皇后冯润	youhuanghoufengrun
尉迟炽繁	yuchichifan
尉迟惇	yuchidun
尉迟纲	yuchigang
尉迟迥	yuchijiong
尉迟俟兜	yuchisidou
尉迟运	yuchiyun
尉迟真檀	yuchizhentan
于皇后	yuhuanghou
于谨	yujin
虞庆则	yuqingze
于寔	yushi
虞世基	yushiji
宇文弼	yuwenbi
宇文宾	yuwenbin
宇文测	yuwence
宇文阐	yuwenchan
宇文充	yuwenchong
宇文椿	yuwenchun
宇文纯	yuwenchun
宇文达	yuwenda
宇文导	yuwendao
宇文兑	yuwendui
宇文娥英	yuweneying
宇文肱	yuwengong
宇文广	yuwenguang
宇文贵	yuwengui
宇文颢	yuwenhao
宇文黑獭	yuwenheita
宇文会	yuwenhui
宇文俭	yuwenjian
宇文静	yuwenjing
宇文恺	yuwenkai
宇文康	yuwenkang
宇文连	yuwenlian
宇文亮	yuwenliang
宇文洛生	yuwenluosheng
宇文明	yuwenming
宇文菩提	yuwenputi
宇文洽	yuwenqia
宇文虬	yuwenqiu
宇文善	yuwenshan
宇文深	yuwenshen
宇文什肥	yuwenshenfei
宇文神举	yuwenshenju
宇文神庆	yuwenshenqing
宇文盛	yuwensheng
宇文述	yuwenshu
宇文术	yuwenshu
宇文通	yuwentong
宇文温	yuwenwen
宇文贤	yuwenxian
宇文宪	yuwenxian
宇文孝伯	yuwenxiaobo
宇文忻	yuwenxin
宇文衍	yuwenyan
宇文翼	yuwenyi
宇文颖	yuwenying
宇文邕	yuwenyong
宇文逌	yuwenyou
宇文毓	yuwenyu
宇文元	yuwenyuan
宇文元宝	yuwenyuanbao
宇文赟	yuwenyun
宇文允	yuwenyun
宇文云英	yuwenyunying
宇文赞	yuwenzan
宇文招	yuwenzhao
宇文震	yuwenzhen
宇文至	yuwenzhi
宇文质	yuwenzhi
宇文贽	yuwenzhi
宇文直	yuwenzhi
宇文众	yuwenzhong
宇文胄	yuwenzhou
于玺	yuxi
庾信	yuxin
渔阳王	yuyangwang
于翼	yuyi
舆珍	yuzhen
羽真氏	yuzhenshi
于智	yuzhi
于仲文	yuzhongwen
元昂	yuanang
元弼	yuanbi
元斌	yuanbin
元昌	yuanchang
元颢	yuanhao
元宏	yuanhong
元胡摩	yuanhumo
元皇后李氏	yuanhuanghoulishi
元黄头	yuanhuangtou
元晖业	yuanhuiye
元蒺藜	yuanjili
元季艳	yuanjiyan
元静仪	yuanjingyi
元恪	yuanke
元乐尚	yuanleshang
元烈	yuanlie
元罗	yuanluo
元明月	yuanmingyue
元谦	yuanqian
元韶	yuanshao
元晟	yuansheng
元氏	yuanshi
元坦	yuantan
元天穆	yuantianmu
元恌	yuantiao
元伟	yuanwei
元威	yuanwei
元文遥	yuanwenyao
元象	yuanxiang
元孝友	yuanxiaoyou
元谐	yuanxie
元勰	yuanxie
元欣	yuanxin
元恂	yuanxun
元岩	yuanyan
元怿	yuanyi
元玉仪	yuanyuyi
元悦	yuanyue
元湛	yuanzhan
元仲华	yuanzhonghua
元胄	yuanzhou
元子孝	yuanzixiao
元纂	yuanzuan
张轨	zhanggui
长孙澄	zhangsuncheng
长孙俭	zhangsunjian
长孙览	zhangsunlan
长孙绍远	zhangsunshaoyuan
章武敬王拓跋太洛	zhangwujingwangtuobatailuo
张元	zhangyuan
章昭达	zhangzhaoda
赵昶	zhaochang
赵道德	zhaodaode
赵刚	zhaogang
赵贵	zhaogui
赵郡灵王元干	zhaojunlingwangyuangan
赵善	zhaoshan
赵肃	zhaosu
赵王拓跋深	zhaowangtuobashen
赵文表	zhaowenbiao
赵文深	zhaowenshen
赵文渊	zhaowenyuan
赵彦深	zhaoyanshen
赵隐	zhaoyin
赵育	zhaoyu
赵仲卿	zhaozhongqing
郑大车	zhengdache
郑氏	zhengshi
郑述祖	zhengshuzu
郑伟	zhengwei
郑孝穆	zhengxiaomu
郑译	zhengyi
郑颐	zhengyi
郑仲礼	zhengzhongli
周惠达	zhouhuida
褚该	zhugai
朱满月	zhumanyue
祖珽	zuting
都城	ducheng
伶人	lingren
三司使	sansishi
苏逢吉	sufengji
