安重荣	anzhongrong
齐高帝	qigaodi
丘迟	qiuchi
儒学	ruxue
散骑常侍	sanqichangshi
沈约	shenyue|chenyue
升明	shengming
石头城	shitoucheng
史学	shixue
世家大族	shijiadazu
司马	sima
司徒	situ
宋明帝	songmingdi
宋顺帝	songshundi
宋文帝	songwendi
孙超	sunchao
太尉	taiwei
王华	wanghua
王敬则	wangjingze
王融	wangrong
王琨	wangkun
文帝	wendi
王俭	wangjian
吴均	wujun
武帝	wudi
武进	wujin
五言诗	wuyanshi
湘州	xiangzhou
萧宝卷	xiaobaojuan
萧宝融	xiaobaorong
萧道成	xiaodaocheng
萧衍	xiaoyan
萧昭文	xiaozhaowen
萧昭业	xiaozhaoye
萧子良	xiaoziliang
萧子显	xiaozixian
萧赜	xiaoze
萧鸾	xiaoluan
宣帝	xuandi
玄学	xuanxue
阴阳	yinyang
永明体	yongmingti
游击将军	youjijiangjun
右将军	youjiangjun
郁林王	yulinwang
袁粲	yuancan
征虏将军	zhenglujiangjun
中书舍人	zhongshusheren
兖州	yanzhou
谶纬	chenwei
郢州	yingzhou
玺绶	xishou
梓潼	zitong
禅让	shanrang
洺州	mingzhou
安徽	anhui
安州	anzhou
北京	beijing
兵部	bingbu
博州	bozhou
曹州	caozhou
长兴	changxing
成德	chengde
出帝	chudi
打草谷	dacaogu
大臣	dachen
邓州	dengzhou
帝位	diwei
东川	dongchuan
东都	dongdu
东京	dongjing
都督	dudu
都尉	duwei
都指挥使	duzhihuishi
杜威	duwei
儿皇帝	erhuangdi
藩镇	fanzhen
方镇	fangzhen
防御使	fangyushi
凤翔	fengxiang
甘肃	gansu
高丽	gaoli
高祖	gaozu
宫苑使	gongyuanshi
河东	hedong
河东节度使	hedongjiedushi
河南	henan
河阳	heyang
后晋	houjin
后唐	houtang
湖北	hubei
回鹘	huihu
蓟州	jizhou
江苏	jiangsu
疆域	jiangyu
金国	jinguo
景延广	jingyanguang
开封	kaifeng
开封府	kaifengfu
开运	kaiyun
可汗	kehan
李从珂	licongke
李圣天	lishengtian
李崧	lisong
辽国	liaoguo
灵州	lingzhou
留守	liushou
刘知远	liuzhiyuan
六军	liujun
卢文纪	luwenji
潞王	luwang
门下侍郎	menxiashilang
庙号	miaohao
明宗	mingzong
末帝	modi
南汉	nanhan
南平	nanping
南唐	nantang
宁夏	ningxia
判官	panguan
齐州	qizhou
契丹	qidan
迁都	qiandu
秦王	qinwang
清泰	qingtai
儒州	ruzhou
桑维翰	sangweihan
山东	shandong
山西	shanxi
陕西	shanxi
深州	shenzhou
石重贵	shizhonggui
侍郎	shilang
首都	shoudu
枢密副使	shumifushi
枢密使	shumishi
顺州	shunzhou
朔州	shuozhou
宋朝	songchao
岁贡	suigong
太宗	taizong
檀州	tanzhou
天福	tianfu
同州	tongzhou
投降	touxiang
突厥	tujue
吐浑	tuhun
吐蕃	tufan|tubo
王晖	wanghui
蔚州	weizhou
卫州	weizhou
吴越	wuyue
武州	wuzhou
五代	wudai
西京	xijing
新州	xinzhou
行营	xingying
巡检	xunjian
巡检使	xunjianshi
燕云十六州	yanyunshiliuzhou
耀州	yaozhou
耶律德光	yelvdeguang
夷离毕	yilibi
应州	yingzhou
幽州	youzhou
右监门卫大将军	youjianmenweidajiangjun
右卫大将军	youweidajiangjun
右卫上将军	youweishangjiangjun
于阗	yutian
御札	yuzha
元帅	yuanshuai
云州	yunzhou
赵延寿	zhaoyanshou
赵莹	zhaoying
政权	zhengquan
指挥使	zhihuishi
中书令	zhongshuling
中原	zhongyuan
众叛亲离	zhongpanqinli
庄宗	zhuangzong
总管	zongguan
左仆射	zuopuye|zuopushe
亳州	bozhou
汜水关	sishuiguan
汴州	bianzhou
涿州	zhuozhou
澶州	chanzhou
瀛州	yingzhou
寰州	huanzhou
妫州	guizhou
