按察官	anchaguan
殿帅	dianshuai
殿帅府	dianshuaifu
殿司	diansi
殿岩	dianyan
殿直	dianzhi
东班承旨	dongbanchengzhi
东第三班	dongdisanban
东上	dongshang
东上閤门	dongshanggemen
东西班	dongxiban
都点检	doudianjian
都副	doufu
都军头	doujuntou
都帅	doushuai
都统制	doutongzhi
都头	doutou
都指挥使	duzhihuishi
队将	duijiang
耳目之司	ermuzhisi
二十四班	ershisiban
奉宸队	fengchendui
奉国军	fengguojun
副兵马使	fubingmashi
副都点检	fudoudianjian
副都头	fudoutou
副将	fujiang
副介	fujie
干办	ganban
干办司	ganbansi
干当官	gandangguan
干管官	ganguanguan
閤门	gemen
閤门副使	gemenfushi
閤门官	gemenguan
閤门舍人	gemensheren
閤门使	gemenshi
閤门使副	gemenshifu
閤门司	gemensi
閤门宣舍	gemenxuanshe
閤门宣赞	gemenxuanzan
閤门祗侯	gemenzhihou
閤使	geshi
閤职	gezhi
弓箭直	gongjianzhi
勾当官	goudangguan
骨朵直	guduozhi
管军	guanjun
馆老	guanlao
馆主	guanzhu
广武	guangwu
广勇	guangyong
横行五司	hengxingwusi
后司	housi
虎捷	hujie
护圣	husheng
虎翼	huyi
虎翼军	huyijun
环列	huanlie
环卫	huanwei
环卫官	huanweiguan
环卫郎将	huanweilangjiang
环尹	huanyin
皇城	huangcheng
皇城司	huangchengsi
皇司	huangsi
监门	jianmen
将级	jiangji
将军	jiangjun
将校	jiangxiao
将虞侯	jiangyuhou
将佐	jiangzuo
节级	jieji
禁班	jinban
金枪右班	jinqiangyouban
金枪左班	jinqiangzuoban
禁卫所	jinweisuo
金吾将军	jinwujiangjun
军都校	jundouxiao
军都虞侯	jundouyuhou
军侯	junhou
钧容	junrong
军使	junshi
军司	junsi
军头	juntou
军头司	juntousi
军主	junzhu
看班	kanban
看班祗侯	kanbanzhihou
客省	kesheng
客省承受	keshengchengshou
客省承旨	keshengchengzhi
客省副使	keshengfushi
客省使	keshengshi
控鹤	konghe
快行	kuaixing
宽衣	kuanyi
郎将	langjiang
两司三衙	liangsisanya
领閤门事	linggemenshi
领卫	lingwei
六军	liujun
六统军	liutongjun
龙捷	longjie
龙卫	longwei
龙卫右厢	longweiyouxiang
龙卫左厢	longweizuoxiang
龙武统军	longwutongjun
龙直	longzhi
逻司	luosi
逻卒	luozu
马军	majun
马军帅	majunshuai
马军司	majunsi
马军行司	majunxingsi
马帅	mashuai
马直	mazhi
内等子	neidengzi
内客省使	neikeshengshi
弩直	nuzhi
判閤门事	pangemenshi
捧日	pengri
捧日队	pengridui
捧日右厢	pengriyouxiang
捧日左厢	pengrizuoxiang
亲从官	qincongguan
亲从亲事	qincongqinshi
亲事官	qinshiguan
亲卫	qinwei
亲卫府郎	qinweifulang
亲卫官	qinweiguan
日骑	riqi
入内院子	runeiyuanzi
三军	sanjun
三帅	sanshuai
三司	sansi
