按察官	anchaguan
军院	junyuan
军资库	junziku
郡佐	junzuo
开封兵曹	kaifengbingcao
开封府	kaifengfu
开封府牧	kaifengfumu
开封府司	kaifengfusi
开封府尹	kaifengfuyin
开封六职	kaifengliuzhi
开封牧	kaifengmu
开封判官	kaifengpanguan
开封推官	kaifengtuiguan
开封尹	kaifengyin
理掾	liyuan
里正	lizheng
两军巡	liangjunxun
两军巡院	liangjunxunyuan
两尉	liangwei
临安府	linanfu
临安府学	linanfuxue
临安府尹	linanfuyin
临安府院	linanfuyuan
临安府知	linanfuzhi
临安同判	linantongpan
铃阁	lingge
铃下	lingxia
令尹	lingyin
铃斋	lingzhai
留守	liushou
留守北都	liushoubeidu
留守司	liushousi
留司	liusi
留钥	liuyao
录参	lucan
录参军	lucanjun
录曹	lucao
录事	lushi
录事参	lushican
录事参军	lushicanjun
马步判官	mabupanguan
马步院	mabuyuan
马递	madi
马递铺	madipu
马铺	mapu
明府	mingfu
明公	minggong
某州	mouzhou
某州教授	mouzhoujiaoshou
幕府	mufu
幕官	muguan
牧民天府	mumintianfu
幕属	mushu
幕职	muzhi
幕职官	muzhiguan
南府	nanfu
南海庙令	nanhaimiaoling
南京留守	nanjingliushou
南京留司	nanjingliusi
南京书院	nanjingshuyuan
南内	nannei
南衙	nanya
内史	neishi
泥轼	nishi
判府	panfu
判临安府	panlinanfu
判南衙	pannanya
判州	panzhou
陪京	peijing
耆长	qichang
钱监	qianjian
签判	qianpan
签判厅	qianpanting
佥书判官	qianshupanguan
签书判官	qianshupanguan
签厅	qianting
琴堂	qintang
权知府	quanzhifu
权知州	quanzhizhou
三狱院	sanyuyuan
山长	shanchang
上官	shangguan
上佐官	shangzuoguan
少府	shaofu
省府学士	shengfuxueshi
使君	shijun
史君	shijun
师帅	shishuai
使院	shiyuan
师长	shizhang
使州两院	shizhouliangyuan
守北门	shoubeimen
守臣	shouchen
守倅	shoucui
守贰	shouer
守南京	shounanjing
守宰	shouzai
书记	shuji
书堂	shutang
书院	shuyuan
帅藩	shuaifan
四渎庙令	sidumiaoling
司法	sifa
司法参军	sifacanjun
司户	sihu
司户参军	sihucanjun
司寇	sikou
司寇院	sikouyuan
司理	sili
司理参军	silicanjun
司理院	siliyuan
司录参军	silucanjun
司录司	silusi
司士	sishi
司士参军	sishicanjun
四书院	sishuyuan
嵩阳书院	songyangshuyuan
睢阳书院	suiyangshuyuan
太守	taishou
潭州三学	tanzhousanxue
堂长	tangchang
提将	tijiang
添倅	tiancui
天府	tianfu
天府尹	tianfuyin
同判	tongpan
同判临安	tongpanlinan
通判某府	tongpanmoufu
通判某军	tongpanmoujun
同判厅	tongpanting
同判州事	tongpanzhoushi
通州	tongzhou
通州军州	tongzhoujunzhou
土曹	tucao
土曹参军	tucaocanjun
团练判官	tuanlianpanguan
团练推官	tuanliantuiguan
团练州	tuanlianzhou
推典	tuidian
推官	tuiguan
外任监当	wairenjiandang
尉曹	weicao
尉察	weicha
尉督	weidu
尉司	weisi
尉治	weizhi
文学	wenxue
文学参军	wenxuecanjun
卧护北门	wohubeimen
五筦之长	wuguanzhichang
五马	wuma
物务	wuwu
五岳庙令	wuyuemiaoling
西京留守	xijingliushou
西京守	xijingshou
西尉	xiwei
县簿	xianbu
县丞	xiancheng
县丞厅	xianchengting
县家	xianjia
县令	xianling
县司	xiansi
县尉	xianwei
县尉司	xianweisi
县小学	xianxiaoxue
县廨	xianxie
县学	xianxue
县学谕	xianxueyu
县学长	xianxuezhang
县尹	xianyin
县宰	xianzai
县主簿	xianzhubu
县主簿厅	xianzhubuting
县佐	xianzuo
厢坊	xiangfang
厢官	xiangguan
厢界所由	xiangjiesuoyou
乡手	xiangshou
乡书手	xiangshushou
厢巡	xiangxun
乡长	xiangzhang
小长	xiaochang
小学教谕	xiaoxuejiaoyu
行在	xingzai
行在所	xingzaisuo
行者	xingzhe
学官	xueguan
巡马递铺	xunmadipu
巡铺	xunpu
巡铺官	xunpuguan
巡铺使臣	xunpushichen
巡辖	xunxia
巡辖递铺	xunxiadipu
巡辖官	xunxiaguan
巡辖使臣	xunxiashichen
押铺	yapu
医博士	yiboshi
邑簿	yibu
邑长	yichang
邑丞	yicheng
驿传	yichuan
一麾	yihui
邑令	yiling
驿遣使	yiqianshi
驿使	yishi
邑尉	yiwei
邑廨	yixie
邑宰	yizai
一障	yizhang
驿置	yizhi
邑佐	yizuo
尹臣	yinchen
尹京	yinjing
尹天府	yintianfu
尹正	yinzheng
尹中都	yinzhongdu
应天府	yingtianfu
拥麾	yonghui
邮传	youchuan
右军巡	youjunxun
右军巡检	youjunxunjian
右军巡使	youjunxunshi
右军巡院	youjunxunyuan
右司理	yousili
右司理院	yousiliyuan
有土之官	youtuzhiguan
右厢官	youxiangguan
右巡院	youxunyuan
邮置	youzhi
员外	yuanwai
院长	yuanzhang
岳麓精舍	yuelujingshe
岳麓书院	yuelushuyuan
宰字	zaizi
寨官	zhaiguan
寨主	zhaizhu
长官	zhangguan
长吏	zhangli
掌留务	zhangliuwu
掌书记	zhangshuji
镇官	zhenguan
镇将	zhenjiang
镇判官	zhenpanguan
镇司	zhensi
知堡	zhibao
知城	zhicheng
知府	zhifu
知府事	zhifushi
知关	zhiguan
知管	zhiguan
职官	zhiguan
知监	zhijian
知郡	zhijun
至军	zhijun
知开封府	zhikaifengfu
知临安府	zhilinanfu
知录	zhilu
知某监事	zhimoujianshi
知某军事	zhimoujunshi
知某县事	zhimouxianshi
支使	zhishi
知通	zhitong
知县	zhixian
知县丞事	zhixianchengshi
知寨	zhizhai
治中	zhizhong
知州	zhizhou
知州事	zhizhoushi
知州帅	zhizhoushuai
知佐	zhizuo
中岳庙令	zhongyuemiaoling
州别驾	zhoubiejia
州从事	zhoucongshi
州倅	zhoucui
州纲	zhougang
州麾	zhouhui
州家	zhoujia
州监	zhoujian
州将	zhoujiang
州教授	zhoujiaoshou
州郡学校	zhoujunxuexiao
州两院	zhouliangyuan
州牧	zhoumu
州判	zhoupan
州司	zhousi
州司马	zhousima
州学	zhouxue
州掾	zhouyuan
州院	zhouyuan
州长史	zhouzhangshi
州佐	zhouzuo
主簿	zhubu
主簿厅	zhubuting
诸曹官	zhucaoguan
诸路教授	zhulujiaoshou
诸路学校	zhuluxuexiao
诸路医学	zhuluyixue
主泮	zhupan
铸钱监	zhuqianjian
主县簿	zhuxianbu
专城	zhuancheng
专诚	zhuancheng
资尹	ziyin
总辖房	zongxiafang
走马奉使	zoumafengshi
左符	zuofu
佐官厅	zuoguanting
左军巡	zuojunxun
左军巡检	zuojunxunjian
左军巡使	zuojunxunshi
左军巡院	zuojunxunyuan
佐使府	zuoshifu
佐守	zuoshou
左司理	zuosili
左司理院	zuosiliyuan
佐厅	zuoting
左厢官	zuoxiangguan
左巡院	zuoxunyuan
作邑	zuoyi
作院	zuoyuan
鞍辔库使	anpeikushi
班官	banguan
保安大夫	baoandaifu
保安郎	baoanlang
保和大夫	baohedaifu
保和郎	baohelang
保义郎	baoyilang
保章正	baozhangzheng
兵部尚书	bingbushangshu
兵部侍郎	bingbushilang
兵防	bingfang
兵团	bingtuan
秉义郎	bingyilang
茶酒殿侍	chajiudianshi
差使	chaishi
朝奉	chaofeng
朝奉大夫	chaofengdaifu
朝奉郎	chaofenglang
朝请	chaoqing
朝请大夫	chaoqingdaifu
朝请郎	chaoqinglang
朝散	chaosan
朝散大夫	chaosandaifu
朝散郎	chaosanlang
朝议	chaoyi
朝议大夫	chaoyidaifu
成安大夫	chengandaifu
成安郎	chenganlang
承奉郎	chengfenglang
成和大夫	chenghedaifu
成和郎	chenghelang
承节郎	chengjielang
承流	chengliu
成全大夫	chengquandaifu
成全郎	chengquanlang
承事	chengshi
承事郎	chengshilang
承务	chengwu
承务郎	chengwulang
承信郎	chengxinlang
承宣使	chengxuanshi
承议	chengyi
承议郎	chengyilang
承制	chengzhi
承旨	chengzhi
承直郎	chengzhilang
成忠郎	chengzhonglang
崇班	chongban
崇仪副使	chongyifushi
崇仪使	chongyishi
初等职官	chudengzhiguan
春官大夫	chunguandaifu
春官正	chunguanzheng
刺部	cibu
从事郎	congshilang
从义郎	congyilang
从政	congzheng
从政郎	congzhenglang
大朝官	dachaoguan
大虫	dachong
大理评事	dalipingshi
大理寺丞	dalisicheng
大使臣	dashichen
大中	dazhong
大中大夫	dazhongdafu
大夫	daifu
登仕	dengshi
登仕郎	dengshilang
迪功	digong
迪功郎	digonglang
殿前承旨	dianqianchengzhi
殿使	dianshi
殿头	diantou
殿中丞	dianzhongcheng
殿中崇班	dianzhongchongban
定远将军	dingyuanjiangjun
东八作使	dongbazuoshi
东班	dongban
冬官大夫	dongguandaifu
冬官正	dongguanzheng
东绫锦使	donglingjinshi
东染院使	dongranyuanshi
东作坊使	dongzuofangshi
敦武郎	dunwulang
法酒库使	fajiukushi
防团判官	fangtuanpanguan
防御	fangyu
防御使	fangyushi
奉议	fengyi
奉议郎	fengyilang
奉直	fengzhi
奉职	fengzhi
奉直大夫	fengzhidaifu
奉直郎	fengzhilang
副尉	fuwei
高班	gaoban
高品	gaopin
给事郎	geishilang
供备库使	gongbeikushi
工部尚书	gongbushangshu
工部侍郎	gongbushilang
供奉官	gongfengguan
弓箭库使	gongjiankushi
公据	gongju
拱卫大夫	gongweidaifu
拱卫郎	gongweilang
宫苑副使	gongyuanfushi
宫苑使	gongyuanshi
观察	guancha
观察留后	guanchaliuhou
观察使	guanchashi
光禄	guanglu
光禄大夫	guangludaifu
光禄卿	guangluqing
光禄少卿	guanglushaoqing
光禄寺丞	guanglusicheng
归德将军	guidejiangjun
国子博士	guoziboshi
翰林副使	hanlinfushi
翰林良医	hanlinliangyi
翰林使	hanlinshi
翰林医官	hanlinyiguan
翰林医候	hanlinyihou
翰林医痊	hanlinyiquan
翰林医效	hanlinyixiao
翰林医学	hanlinyixue
翰林医愈	hanlinyiyu
翰林医诊	hanlinyizhen
翰林医正	hanlinyizheng
翰林医证	hanlinyizheng
翰林祗侯	hanlinzhihou
和安大夫	heandaifu
和安郎	heanlang
鹖弁	hebian
横班	hengban
横行	hengxing
后行郎中	houxinglangzhong
户部尚书	hubushangshu
户部侍郎	hubushilang
皇城副使	huangchengfushi
皇城使	huangchengshi
黄门	huangmen
给事中	jishizhong
伎术官阶	jishuguanjie
甲头	jiatou
监察御史	jianchayushi
将仕	jiangshi
将仕郎	jiangshilang
借差	jiecha
节度	jiedu
节度使	jiedushi
节旌	jiejing
节目	jiemu
节使	jieshi
节下	jiexia
节钺	jieyue
借职	jiezhi
借职承旨	jiezhichengzhi
进武副尉	jinwufuwei
进武校尉	jinwuxiaowei
进义副尉	jinyifuwei
进义校尉	jinyixiaowei
进勇副尉	jinyongfuwei
金紫	jinzi
景福殿使	jingfudianshi
京府推官	jingfutuiguan
旌钺	jingyue
酒坊副使	jiufangfushi
酒坊使	jiufangshi
局生	jusheng
军大将	jundajiang
军防	junfang
军监判官	junjianpanguan
军器库使	junqikushi
开府仪同	kaifuyitong
郎官	langguan
礼宾副使	libinfushi
礼宾使	libinshi
吏部尚书	libushangshu
礼部尚书	libushangshu
吏部侍郎	libushilang
礼部侍郎	libushilang
廉察	liancha
廉车	lianche
廉车正任	lianchezhengren
廉使	lianshi
两使留后	liangshiliuhou
两使职官	liangshizhiguan
两镇	liangzhen
领防郡	lingfangjun
令录	linglu
灵台郎	lingtailang
留后	liuhou
留守判官	liushoupanguan
留守推官	liushoutuiguan
留台	liutai
留务	liuwu
六宅副使	liuzhaifushi
六宅使	liuzhaishi
洛苑副使	luoyuanfushi
洛苑使	luoyuanshi
履正大夫	lvzhengdaifu
履正郎	lvzhenglang
秘书丞	mishucheng
秘书监	mishujian
秘书郎	mishulang
秘书少监	mishushaojian
明威将军	mingweijiangjun
某州刺史	mouzhoucishi
内藏库使	neicangkushi
内常侍	neichangshi
内殿承制	neidianchengzhi
内殿崇班	neidianchongban
内品	neipin
内侍阶官	neishijieguan
内园副使	neiyuanfushi
内园使	neiyuanshi
宁远将军	ningyuanjiangjun
牛羊副使	niuyangfushi
牛羊使	niuyangshi
判司簿尉	pansibuwei
陪戎副尉	peirongfuwei
陪戎校尉	peirongxiaowei
平和大夫	pinghedaifu
平和郎	pinghelang
起居郎	qijulang
起居舍人	qijusheren
前行郎中	qianxinglangzhong
挈壶正	qiehuzheng
亲卫大夫	qinweidaifu
亲卫郎	qinweilang
秋官大夫	qiuguandaifu
秋官正	qiuguanzheng
榷易副使	queyifushi
榷易使	queyishi
仁勇副尉	renyongfuwei
仁勇校尉	renyongxiaowei
如京副使	rujingfushi
如京使	rujingshi
儒林郎	rulinlang
三班差使	sanbanchaishi
三班奉职	sanbanfengzhi
三班借	sanbanjie
三班借差	sanbanjiecha
三班借职	sanbanjiezhi
三班使臣	sanbanshichen
三丞	sancheng
三城节	sanchengjie
三光禄	sanguanglu
三朝郎	sanzhaolang
三镇	sanzhen
尚食副使	shangshifushi
尚食使	shangshishi
尚书右丞	shangshuyoucheng
尚书左丞	shangshuzuocheng
少府监	shaofujian
使臣	shichen
侍禁	shijin
十祥锦	shixiangjin
侍御史	shiyushi
守阙军将	shouquejunjiang
司空	sikong
司农卿	sinongqing
司农少卿	sinongshaoqing
司徒	situ
太保	taibao
太常博士	taichangboshi
太常少卿	taichangshaoqing
太常寺丞	taichangsicheng
太傅	taifu
太师	taishi
太史局丞	taishijucheng
太尉	taiwei
太中	taizhong
太中大夫	taizhongdafu
太子宾客	taizibinke
太子少保	taizishaobao
太子少傅	taizishaofu
太子少师	taizishaoshi
太子太保	taizitaibao
太子太傅	taizitaifu
太子太师	taizitaishi
太子洗马	taizixima
太子中舍	taizizhongshe
太子中允	taizizhongyun
特进	tejin
通奉	tongfeng
通奉大夫	tongfengdaifu
通仕	tongshi
通侍大夫	tongshidaifu
通仕郎	tongshilang
通议	tongyi
通议大夫	tongyidaifu
通直	tongzhi
通直郎	tongzhilang
团兵	tuanbing
团结	tuanjie
团练	tuanlian
团练使	tuanlianshi
尉府	weifu
卫尉卿	weiweiqing
卫尉少卿	weiweishaoqing
文班承旨	wenbanchengzhi
文阶	wenjie
文林	wenlin
文林郎	wenlinlang
文散官	wensanguan
文思副使	wensifushi
文思使	wensishi
武德大夫	wudedaifu
武德副使	wudefushi
武德郎	wudelang
武德使	wudeshi
武功大夫	wugongdaifu
武功郎	wugonglang
武阶	wujie
武节大夫	wujiedaifu
武节郎	wujielang
武经大夫	wujingdaifu
武经郎	wujinglang
武略大夫	wuluedaifu
武略郎	wuluelang
武散官	wusanguan
武显大夫	wuxiandaifu
武显郎	wuxianlang
武义大夫	wuyidaifu
武翼大夫	wuyidaifu
武义郎	wuyilang
武翼郎	wuyilang
西八作使	xibazuoshi
西班	xiban
西绫锦使	xilingjinshi
西染院使	xiranyuanshi
西作坊使	xizuofangshi
下班	xiaban
下班殿侍	xiabandianshi
夏官大夫	xiaguandaifu
夏官正	xiaguanzheng
香药库使	xiangyaokushi
小朝官	xiaochaoguan
小使臣	xiaoshichen
校尉	xiaowei
协忠大夫	xiezhongdaifu
协忠郎	xiezhonglang
刑部尚书	xingbushangshu
刑部侍郎	xingbushilang
修武郎	xiuwulang
修职	xiuzhi
修职郎	xiuzhilang
宣德	xuande
宣德郎	xuandelang
宣奉	xuanfeng
宣奉大夫	xuanfengdaifu
宣奉郎	xuanfenglang
宣教	xuanjiao
宣教郎	xuanjiaolang
宣节副尉	xuanjiefuwei
宣节校尉	xuanjiexiaowei
宣庆使	xuanqingshi
选人阶官	xuanrenjieguan
宣威将军	xuanweijiangjun
宣义	xuanyi
宣义郎	xuanyilang
宣正大夫	xuanzhengdaifu
宣正郎	xuanzhenglang
宣政使	xuanzhengshi
训武郎	xunwulang
亚节	yajie
延福宫使	yanfugongshi
遥察	yaocha
遥刺	yaoci
遥防	yaofang
遥郡承宣	yaojunchengxuan
遥郡刺史	yaojuncishi
遥郡官	yaojunguan
遥郡使	yaojunshi
遥郡团练	yaojuntuanlian
遥团	yaotuan
遥州	yaozhou
翊麾副尉	yihuifuwei
翊麾校尉	yihuixiaowei
衣库副使	yikufushi
衣库使	yikushi
仪鸾副使	yiluanfushi
仪鸾使	yiluanshi
仪同	yitong
仪同三司	yitongsansi
翊卫大夫	yiweidaifu
翊卫郎	yiweilang
银青	yinqing
右班殿直	youbandianzhi
右朝奉郎	youchaofenglang
右朝请郎	youchaoqinglang
右朝散郎	youchaosanlang
右朝议	youchaoyi
右承奉郎	youchengfenglang
右承事郎	youchengshilang
右承务郎	youchengwulang
右承议郎	youchengyilang
右奉议郎	youfengyilang
右光禄	youguanglu
游击将军	youjijiangjun
右骐骥使	youqijishi
游骑将军	youqijiangjun
右侍禁	youshijin
右司谏	yousijian
右司郎中	yousilangzhong
右通直郎	youtongzhilang
右武大夫	youwudaifu
右武郎	youwulang
右宣德郎	youxuandelang
右宣教郎	youxuanjiaolang
右宣义郎	youxuanyilang
右银青	youyinqing
右正言	youzhengyan
右正议	youzhengyi
右中大夫	youzhongdafu
右中散	youzhongsan
御厨副使	yuchufushi
御厨使	yuchushi
御武副尉	yuwufuwei
御武校尉	yuwuxiaowei
员郎	yuanlang
员外郎	yuanwailang
云麾将军	yunhuijiangjun
毡毯副使	zhantanfushi
毡毯使	zhantanshi
昭武副尉	zhaowufuwei
昭武校尉	zhaowuxiaowei
昭宣使	zhaoxuanshi
振威副尉	zhenweifuwei
振威校尉	zhenweixiaowei
正刺史	zhengcishi
正奉	zhengfeng
正奉大夫	zhengfengdaifu
正郎	zhenglang
正令录	zhenglinglu
正名军将	zhengmingjunjiang
正任官	zhengrenguan
正使	zhengshi
正侍大夫	zhengshidaifu
正侍郎	zhengshilang
正团练使	zhengtuanlianshi
正议大夫	zhengyidaifu
致果副尉	zhiguofuwei
致果校尉	zhiguoxiaowei
祗侯殿直	zhihoudianzhi
祗侯内品	zhihouneipin
职令	zhiling
知令录	zhilinglu
中大	zhongda
中大夫	zhongdafu|zhongdaifu
中奉	zhongfeng
中奉大夫	zhongfengdaifu
中官大夫	zhongguandaifu
中官正	zhongguanzheng
中行郎中	zhonghanglangzhong
中亮大夫	zhongliangdaifu
中亮郎	zhonglianglang
中散	zhongsan
中散大夫	zhongsandafu
中侍大夫	zhongshidaifu
中侍郎	zhongshilang
中书舍人	zhongshusheren
中卫大夫	zhongweidaifu
中卫郎	zhongweilang
忠武将军	zhongwujiangjun
忠训郎	zhongxunlang
忠翊郎	zhongyilang
州团	zhoutuan
诸司副使	zhusifushi
诸寺监丞	zhusijiancheng
诸司使	zhusishi
诸司正使	zhusizhengshi
著作郎	zhuzuolang
著作佐郎	zhuzuozuolang
壮武将军	zhuangwujiangjun
庄宅副使	zhuangzhaifushi
庄宅使	zhuangzhaishi
宗正寺丞	zongzhengsicheng
左班殿直	zuobandianzhi
左藏库使	zuocangkushi
左朝奉郎	zuochaofenglang
左朝请郎	zuochaoqinglang
左朝散郎	zuochaosanlang
左朝议	zuochaoyi
左承奉郎	zuochengfenglang
左承事郎	zuochengshilang
左承务郎	zuochengwulang
左承议郎	zuochengyilang
左奉议郎	zuofengyilang
左光禄	zuoguanglu
左骐骥使	zuoqijishi
左侍禁	zuoshijin
左司谏	zuosijian
左司郎中	zuosilangzhong
左通直郎	zuotongzhilang
左武大夫	zuowudaifu
左武郎	zuowulang
左宣德郎	zuoxuandelang
左宣教郎	zuoxuanjiaolang
左宣义郎	zuoxuanyilang
左银青	zuoyinqing
左正言	zuozhengyan
左正议	zuozhengyi
左中大夫	zuozhongdafu
左中散	zuozhongsan
安民靖难	anminjingnan
安运	anyun
保德	baode
保节	baojie
宝箓官	baoluguan
保顺	baoshun
崇仁	chongren
崇义	chongyi
纯诚	chuncheng
祠官	ciguan
祠馆	ciguan
祠禄官	ciluguan
德寿宫使	deshougongshi
防御副使	fangyufushi
飞骑尉	feiqiwei
奉化	fenghua
奉庆	fengqing
功臣	gongchen
宫祠	gongci
宫观	gongguan
宫观都监	gongguandoujian
宫观副使	gongguanfushi
宫观判官	gongguanpanguan
宫观使	gongguanshi
拱极	gongji
宫使	gongshi
拱卫	gongwei
管勾宫观	guangougongguan
观使	guanshi
国公	guogong
果毅	guoyi
和众辅国	hezhongfuguo
护军	hujun
怀忠	huaizhong
会灵观使	huilingguanshi
继美	jimei
集禧观使	jixiguanshi
兼官	jianguan
检校官	jianjiaoguan
检校少保	jianjiaoshaobao
检校少傅	jianjiaoshaofu
检校少师	jianjiaoshaoshi
检校司空	jianjiaosikong
检校司徒	jianjiaositu
检校太保	jianjiaotaibao
检校太傅	jianjiaotaifu
检校太师	jianjiaotaishi
检校太尉	jianjiaotaiwei
监庙	jianmiao
监岳庙	jianyuemiao
竭诚	jiecheng
节度副使	jiedufushi
节度司马	jiedusima
经邦	jingbang
景灵宫使	jinglinggongshi
景灵使	jinglingshi
郡公	jungong
郡侯	junhou
军司马	junsima
郡王	junwang
开国伯	kaiguobo
开国公	kaiguogong
开国侯	kaiguohou
开国郡公	kaiguojungong
开国男	kaiguonan
开国县公	kaiguoxiangong
开国子	kaiguozi
励节	lijie
醴泉观使	liquanguanshi
亮节	liangjie
内祠	neici
破格岳庙	pogeyuemiao
骑都尉	qiduwei
轻车都尉	qingcheduwei|qingchedouwei
散参军	sancanjun
散官	sanguan
散秩	sanzhi
上护军	shanghujun
上骑都尉	shangqiduwei
上柱国	shangzhuguo
神馆	shenguan
食实封	shishifeng
试衔	shixian
食邑	shiyi
试秩	shizhi
守正	shouzheng
顺化	shunhua
司马	sima
嗣王	siwang
肃卫	suwei
提点宫观	tidiangongguan
提举宫观	tijugongguan
同德	tongde
同使	tongshi
团副使	tuanfushi
团练副使	tuanlianfushi
推诚	tuicheng
推忠	tuizhong
外词	waici
万寿观使	wanshouguanshi
卫圣	weisheng
武骑尉	wuqiwei
宪衔	xianxian
香火祠	xianghuoci
祥源观使	xiangyuanguanshi
骁骑尉	xiaoqiwei
效顺	xiaoshun
协恭	xiegong
协谋	xiemou
行军司马	xingjunsima
雄勇	xiongyong
扬武	yangwu
翊戴	yidai
翊运	yiyun
银酒监武	yinjiujianwu
佑神观使	youshenguanshi
玉局	yuju
岳庙	yuemiao
云骑尉	yunqiwei
赞治	zanzhi
彰善	zhangshan
长史	zhangshi
忠果	zhongguo
忠亮	zhongliang
州助教	zhouzhujiao
柱国	zhuguo
助教	zhujiao
佐理	zuoli
佐运	zuoyun
秉衡钧	binghengjun
秉钧	bingjun
参大政	candazheng
参机政	canjizheng
参预	canyu
参预政事	canyuzhengshi
参鬷嘏	canzenggu
参政	canzheng
参知政事	canzhizhengshi
常伯	changbo
丞相	chengxiang
次辅	cifu
次相	cixiang
大参	dacan
大丞相	dachengxiang
当国	dangguo
当轴	dangzhou
道揆	daokui
登庸	dengyong
貂蝉	diaochan
鼎鼐	dingnai
鼎席	dingxi
二三大臣	ersandachen
凤池	fengchi
公孤	gonggu
公师	gongshi
公相	gongxiang
冠台席	guantaixi
衮钺	gunyue
国钧	guojun
国老	guolao
国相	guoxiang
集贤	jixian
集贤相	jixianxiang
集相	jixiang
将相	jiangxiang
节相	jiexiang
钧横	junheng
夔龙	kuilong
揆门相	kuimenxiang
揆席	kuixi
揆相	kuixiang
老风	laofeng
门下平章	menxiapingzhang
门下侍郎	menxiashilang
门下相	menxiaxiang
末相	moxiang
平章	pingzhang
平章军国	pingzhangjunguo
平章事	pingzhangshi
平章重事	pingzhangzhongshi
千岁	qiansui
三师	sanshi
三相	sanxiang
上台	shangtai
上相	shangxiang
上宰	shangzai
使弼	shibi
史馆相	shiguanxiang
使相	shixiang
时相	shixiang
时宰	shizai
首参	shoucan
首台	shoutai
首厅	shouting
首相	shouxiang
首宰	shouzai
台辅	taifu
台官	taiguan
台司	taisi
台席	taixi
调鼎	tiaoding
同二品	tongerpin
同平章事	tongpingzhangshi
相公	xianggong
相国	xiangguo
相君	xiangjun
亚鼎司	yadingsi
亚相	yaxiang
右丞相	youchengxiang
右揆	youkui
右仆射	youpuye|youpushe
右相	youxiang
元台	yuantai
宰臣	zaichen
宰路	zailu
宰司	zaisi
宰席	zaixi
宰相	zaixiang
宰执	zaizhi
昭文相	zhaowenxiang
昭文相公	zhaowenxianggong
真宰	zhenzai
执政官	zhizhengguan
知政事	zhizhengshi
重事	zhongshi
中书侍郎	zhongshushilang
中书相	zhongshuxiang
冢司	zhongsi
冢宰	zhongzai
左丞相	zuochengxiang
左揆	zuokui
左仆射	zuopuye|zuopushe
左相	zuoxiang
百官案	baiguanan
保和殿	baohedian
宝文	baowen
宝文待制	baowendaizhi
宝文学士	baowenxueshi
宝章阁	baozhangge
宝直	baozhi
北院	beiyuan
北院使	beiyuanshi
编校官	bianjiaoguan
编校书籍	bianjiaoshuji
编修	bianxiu
兵刑案	bingxingan
册府	cefu
茶案	chaan
常平案	changpingan
崇文内院	chongwenneiyuan
崇文外院	chongwenwaiyuan
崇文院	chongwenyuan
催欠司	cuiqiansi
催驱司	cuiqusi
大观	daguan
大观文	daguanwen
大龙	dalong
大龙图	dalongtu
大农	danong
大宣	daxuan
大学士	daxueshi
大资	dazi
大资政	dazizheng
待制	daizhi
典吏	dianli
殿学士	dianxueshi
殿撰	dianzhuan
东观	dongguan
都勾院	dougouyuan
都磨勘	doumokan
都盐案	douyanan
度支	duzhi
度支副使	duzhifushi
度支勾院	duzhigouyuan
度支使	duzhishi
度支院	duzhiyuan
端殿	duandian
端明	duanming
端明学士	duanmingxueshi
发放司	fafangsi
发运案	fayunan
敷文	fuwen
敷学	fuxue
阁待制	gedaizhi
阁学	gexue
阁学士	gexueshi
阁职	gezhi
阁直学士	gezhixueshi
勾簿司	goubusi
勾当	goudang
勾押	gouya
勾院	gouyuan
勾凿司	gouzaosi
估马	guma
故纸仓	guzhicang
馆阁	guange
馆阁读书	guangedushu
馆阁校勘	guangejiaokan
观文	guanwen
馆下	guanxia
馆职	guanzhi
河北监牧	hebeijianmu
河南监牧	henanjianmu
河渠司	hequsi
宏文馆	hongwenguan
弘文馆	hongwenguan
户部	hubu
户部副使	hubufushi
户部勾院	hubugouyuan
户部判官	hubupanguan
户部使	hubushi
户部院	hubuyuan
斛斗案	hudouan
户判	hupan
户税案	hushuian
华文待制	huawendaizhi
徽猷	huiyou
徽猷待制	huiyoudaizhi
徽猷学士	huiyouxueshi
计府	jifu
畿内十监	jineishijian
计省	jisheng
计廷	jiting
集贤校理	jixianxiaoli
集贤修撰	jixianxiuzhuan
集贤学士	jixianxueshi
集贤院	jixianyuan
计相	jixiang
集校	jixiao
集英	jiying
计院	jiyuan
集撰	jizhuan
假龙	jialong
监牧使	jianmushi
监牧司	jianmusi
监牧指挥	jianmuzhihui
监使臣	jianshichen
检讨	jiantao
监图书官	jiantushuguan
兼修	jianxiu
兼修国史	jianxiuguoshi
监主簿	jianzhubu
校勘	jiaokan
校勘官	jiaokanguan
旧馆阁	jiuguange
拘收司	jushousi
蠲纳司	juannasi
颗盐案	keyanan
老龙	laolong
冷撰	lengzhuan
理欠	liqian
理欠词	liqianci
粮料案	liangliaoan
粮料院	liangliaoyuan
两税案	liangshuian
留守三司	liushousansi
龙图	longtu
龙图学士	longtuxueshi
龙图直阁	longtuzhige
龙图直学	longtuzhixue
龙学	longxue
龙制	longzhi
马官	maguan
马监	majian
秘府	mifu
秘阁校理	migexiaoli
秘阁修撰	migexiuzhuan
秘馆	miguan
密谏	mijian
秘教	mijiao
密学	mixue
密直	mizhi
密直学士	mizhixueshi
秘撰	mizhuan
磨勘	mokan
末盐案	moyanan
牧监	mujian
牧龙坊	mulongfang
木天	mutian
南院	nanyuan
内阁	neige
判都勾院	pandougouyuan
判阁	pange
判勾	pangou
判勾院	pangouyuan
判馆	panguan
判馆事	panguanshi
判集贤院	panjixianyuan
判秘阁	panmige
判秘阁事	panmigeshi
