太仆寺	taipusi
外承运库大使	waichengyunkudashi
外承运库副使	waichengyunkufushi
文华殿大学士	wenhuadiandaxueshi
文选清吏司	wenxuanqinglisi
文选清吏司郎中	wenxuanqinglisilangzhong
文选清吏司员外郎	wenxuanqinglisiyuanwailang
文选清吏司主事	wenxuanqinglisizhushi
文渊阁大学士	wenyuangedaxueshi
武库清吏司	wukuqinglisi
武选清吏司	wuxuanqinglisi
武英殿大学士	wuyingdiandaxueshi
戊字库	wuziku
戊字库大使	wuzikudashi
戊字库副使	wuzikufushi
西安门仓	xianmencang
西安门仓副使	xianmencangfushi
协理京营戎政	xielijingyingrongzheng
协同	xietong
新军袭替	xinjunxiti
刑部	xingbu
行人	xingren
行人司	xingrensi
行用库	xingyongku
行用库大使	xingyongkudashi
行用库副使	xingyongkufushi
续黄	xuhuang
验封清吏司	yanfengqinglisi
验封清吏司郎中	yanfengqinglisilangzhong
验封清吏司员外郎	yanfengqinglisiyuanwailang
验封清吏司主事	yanfengqinglisizhushi
仪制清吏司	yizhiqinglisi
乙字库	yiziku
乙字库大使	yizikudashi
乙字库副使	yizikufushi
印钞局	yinchaoju
印钞局大使	yinchaojudashi
印钞局副使	yinchaojufushi
营缮清吏司	yingshanqinglisi
优给优养官舍	yougeiyouyangguanshe
右韶舞	youshaowu
右侍郎	youshilang
右司副	yousifu
右司乐	yousile
右宗人	youzongren
右宗正	youzongzheng
御马仓	yumacang
御马仓大使	yumacangdashi
御马仓副使	yumacangfushi
员外郎	yuanwailang
云南清吏司	yunnanqinglisi
云南清吏司郎中	yunnanqinglisilangzhong
云南清吏司郎中通州管理粮储	yunnanqinglisilangzhongtongzhouguanliliangchu
云南清吏司员外郎	yunnanqinglisiyuanwailang
云南清吏司主事	yunnanqinglisizhushi
云南清吏司主事管旧太仓	yunnanqinglisizhushiguanjiutaicang
赃罚库	zangfaku
赃罚库大使	zangfakudashi
赃罚库副使	zangfakufushi
张家湾盐仓检校批验所	zhangjiawanyancangjianjiaopiyansuo
张家湾盐仓检校批验所大使	zhangjiawanyancangjianjiaopiyansuodashi
张家湾盐仓检校批验所副使	zhangjiawanyancangjianjiaopiyansuofushi
照磨	zhaomo
照磨所	zhaomosuo
浙江清吏司	zhejiangqinglisi
浙江清吏司郎中	zhejiangqinglisilangzhong
浙江清吏司员外郎	zhejiangqinglisiyuanwailang
浙江清吏司主事	zhejiangqinglisizhushi
职方清吏司	zhifangqinglisi
中极殿大学士	zhongjidiandaxueshi
主客清吏司	zhukeqinglisi
主事	zhushi
铸印局	zhuyinju
总督仓场	zongducangchang
宗人府	zongrenfu
宗人令	zongrenling
左韶舞	zuoshaowu
左侍郎	zuoshilang
左司副	zuosifu
左司乐	zuosile
左宗人	zuozongren
左宗正	zuozongzheng
