孙权	sunquan
费观	feiguan
费耀	feiyao
范滂	fanpang
范康	fankang
范成	fancheng
范疆	fanjiang
冯方女	fengfangnv
冯礼	fengli
冯习	fengxi
封谞	fengxu
方悦	fangyue
逢纪	fengji
法正	fazheng|faa
郭胜	guosheng
郭汜	guosi
郭妻	guoqi
郭嘉	guojia|guoa
郭图	guotu
郭常	guochang
郭常子	guochangzi
郭奕	guoyi
郭恩	guoen
郭淮	guohuai
郭永	guoyong
郭贵妃	guoguifei
郭攸之	guoyouzhi
郭夫人	guofuren
顾雍	guyong
妫览	guilan
干休	ganxiu
公孙越	gongsunyue
公孙康	gongsunkang
公孙恭	gongsungong
公孙渊	gongsunyuan
公孙晃	gongsunhuang
公孙修	gongsunxiu
甘夫人	ganfuren
甘宁	ganning
巩志	gongzhi
关纯	guanchun
关定	guanding
关宁	guanning
关平	guanping
关兴	guanxing
关索	guansuo
关彝	guanyi
高升	gaosheng
高顺	gaoshun
高览	gaolan
高干	gaogan
高沛	gaopei
高定	gaoding
高翔	gaoxiang
高柔	gaorou
龚景	gongjing
龚都	gongdu|gongdou
龚起	gongqi
戈定	geding
谷利	guli
管亥	guanhai
管宁	guanning
管辂	guanlu
管辂舅	guanlujiu
耿武	gengwu
耿纪	gengji
葛雍	geyong
侯览	houlan
侯成	houcheng
侯选	houxuan
何顒	heyong|heyu
何苗	hemiao
何仪	heyi
何曼	heman
何宗	hezong
何晏	heyan
何氏	heshi
何植	hezhi
韩忠	hanzhong
韩馥	hanfu
韩当	handang
韩暹	hanxian
韩胤	hanyin
韩融	hanrong
韩嵩	hansong
韩福	hanfu
韩猛	hanmeng
韩莒子	hanjuzi
韩珩	hanheng
韩浩	hanhao
韩玄	hanxuan
韩德	hande
韩瑛	hanying
韩瑶	hanyao
韩琼	hanqiong
韩琪	hanqi
韩祯	hanzhen
韩暨	hanji
韩综	hanzong
黄盖	huanggai
黄琬	huangwan
黄祖	huangzu
黄劭	huangshao
黄承彦	huangchengyan
黄忠	huangzhong
黄奎	huangkui
黄权	huangquan
黄皓	huanghao
黄氏	huangshi
黄崇	huangchong
皇甫嵩	huangfusong
皇甫郦	huangfuli
皇甫闿	huangfukai
胡轸	huzhen
胡赤儿	huchier
胡邈	humiao
胡才	hucai
胡车儿	hucheer
胡华	huhua
胡班	huban
胡济	huji
胡质	huzhi
胡忠	huzhong
胡遵	huzun
胡奋	hufen
胡氏	hushi
胡烈	hulie
胡渊	huyuan
胡冲	huchong
华雄	huaxiong
华佗	huatuo
华歆	huaxin
华核	huahe
桓阶	huanjie
桓范	huanfan
桓嘉	huanjia
桓彝	huanyi
郝萌	haomeng
郝昭	haozhao|haoa
和洽	heqia
霍峻	huojun
霍弋	huoyi
花永	huayong
汉灵帝	hanlingdi
后槽	houcao
蒋钦	jiangqin
蒋奇	jiangqi
蒋义渠	jiangyiqu
蒋济	jiangji
蒋延	jiangyan
蒋班	jiangban
蒋舒	jiangshu
蒋斌	jiangbin
蒋显	jiangxian
贾诩	jiaxu|jiaa
贾华	jiahua
贾逵	jiakui
贾范	jiafan
贾充	jiachong
吉太	jitai
吉邈	jimiao
吉穆	jimu
金尚	jinshang
金旋	jinxuan
靳祥	jinxiang
焦触	jiaochu
焦炳	jiaobing
焦彝	jiaoyi
焦伯	jiaobo
姜叙	jiangxu
姜叙母	jiangxumu
姜维	jiangwei|jianga
姜冏	jiangjiong
沮授	jushou
沮鹄	juhu
句安	juan
纪灵	jiling
简雍	jianyong
军士	junshi
孔亻由	kongdanyou
孔融	kongrong
孔宙	kongzhou
孔昱	kongyu
孔秀	kongxiu
蒯良	kuailiang
蒯越	kuaiyue
阚泽	kanze|kana
轲比能	kebineng
刘焉	liuyan
刘元起	liuyuanqi
刘恢	liuhui
刘陶	liutao
刘虞	liuyu
刘苌	liuchang
刘岱	liudai
刘表	liubiao
刘范	liufan
刘晔	liuye
刘繇	liuyao
刘艾	liuai
刘宠	liuchong
刘安	liuan
刘延	liuyan
刘辟	liupi
刘勋	liuxun
刘子扬	liuziyang
刘禅	liushan|liuchan
刘琦	liuqi
刘泌	liumi
刘封	liufeng
刘先	liuxian
刘馥	liufu
刘熙	liuxi
刘度	liudu
刘贤	liuxian
刘磐	liupan
刘王贵	liuwanggui
刘巴	liuba
刘循	liuxun
刘日俊	liurijun
刘氏	liushi
刘瑁	liumao
刘永	liuyong
刘理	liuli
刘豹	liubao
刘宁	liuning
刘琰	liuyan
刘敏	liumin
刘合	liuhe
刘劭	liushao
刘放	liufang
刘达	liuda
刘丞	liucheng
刘寔	liushi
刘瑶	liuyao
刘瓒	liuzan
刘谌	liushen|liuchen
刘恂	liuxun
刘璩	liuqu
李傕	lijue
李儒	liru|lia
李肃	lisu
李典	lidian
李蒙	limeng
李别	libie
李膺	liying
李封	lifeng
李暹	lixian
李乐	lile
李丰	lifeng
李通	litong
李孚	lifu
李珪	ligui
李春香	lichunxiang
李堪	likan
李恢	lihui
李严	liyan
李氏	lishi
李伏	lifu
李意	liyi
李异	liyi
李撰	lizhuan
李辅	lifu
李服	lifu
李福	lifu
李胜	lisheng
李歆	lixin
李鹏	lipeng
李崇	lichong
李球	liqiu
李虎	lihu
吕伯奢	lvboshe
吕公	lvgong
吕虔	lvqian
吕范	lvfan
吕威璜	lvweihuang
吕旷	lvkuang
吕翔	lvxiang
吕蒙	lvmeng|lva
吕通	lvtong
吕义	lvyi
吕常	lvchang
吕建	lvjian
吕霸	lvba
吕凯	lvkai
吕岱	lvdai
吕据	lvju
陆康	lukang
陆绩	luji
陆纡	luyu
陆骏	lujun
陆抗	lukang
陆凯	lukai
陆景	lujing
梁刚	lianggang
梁兴	liangxing
梁宽	liangkuan
梁绪	liangxu
梁虔	liangqian
梁畿	liangji
廖化	liaohua
廖淳	liaochun
廖立	liaoli
路昭	luzhao
骆统	luotong
卢植	luzhi
卢逊	luxun
留赞	liuzan
留略	liulue
留平	liuping
鲁馗	lukui
鲁芝	luzhi
凌操	lingcao
凌统	lingtong
雷薄	leibo|leibao
雷叙	leixu
雷铜	leitong
娄子伯	louzibo
泠苞	lingbao
梨树神	lishushen
赖恭	laigong
来敏	laimin
卤城太守	luchengtaishou
伦直	lunzhi
柳甫	liufu
楼玄	louxuan
马元义	mayuanyi
马肃	masu
马日磾	maridi
马宇	mayu
马超	machao
马融	marong
马延	mayan
马谡	masu|maa
马良	maliang|maa
马休	maxiu
马铁	matie
马岱	madai
马玩	mawan
马汉	mahan
马忠	mazhong
马遵	mazun
马玉	mayu
马均	majun
马邈	mamiao
孟坦	mengtan
孟公威	menggongwei
孟达	mengda
孟光	mengguang
孟获	menghuo
孟优	mengyou
孟节	mengjie
孟宗	mengzong
糜竺	mizhu
糜芳	mifang
糜夫人	mifuren
闵贡	mingong
穆顺	mushun
满宠	manchong
祢衡	miheng
苗泽	miaoze
慕容烈	muronglie
忙牙长	mangyachang
木鹿大王	muludawang
迷当	midang
牛辅	niufu
牛金	niujin
宁随	ningsui
南华老仙	nanhualaoxian
区星	quxing
潘隐	panyin
潘凤	panfeng
潘璋	panzhang
潘举	panju
潘夫人	panfuren
庞舒	pangshu
庞德公	pangdegong
庞统	pangtong|panga
庞德	pangde
庞羲	pangxi
庞义	pangyi
庞柔	pangrou
庞会	panghui
彭伯	pengbo
彭安	pengan
彭和	penghe
裴元绍	peiyuanshao
裴绪	peixu
裴景	peijing
裴秀	peixiu
普净	pujing
濮阳兴	puyangxing
全琮	quancong
全端	quanduan
全怿	quanyi
全尚	quanshang
全尚妻	quanshangqi
全后	quanhou
秦庆童	qinqingtong
秦琪	qinqi
秦宓	qinmi
秦良	qinliang
秦朗	qinlang
秦明	qinming
桥玄	qiaoxuan
桥蕤	qiaorui
乔瑁	qiaomao
乔国老	qiaoguolao
丘建	qiujian
丘本	qiuben
谯周	qiaozhou
仇连	choulian
牵弘	qianhong
任峻	renjun
任夔	renkui
单子春	danzichun
孙仲	sunzhong
孙坚	sunjian
孙策	sunce
孙翊	sunyi
孙匡	sunkuang
孙朗	sunlang
孙仁	sunren
孙韶	sunshao
孙静	sunjing
孙端	sunduan
孙乾	sunqian
孙观	sunguan
孙高	sungao
孙瑜	sunyu
孙皎	sunjiao
孙桓	sunhuan
孙河	sunhe
孙礼	sunli
孙资	sunzi
孙登	sundeng
孙谦	sunqian
孙和	sunhe
孙亮	sunliang
孙峻	sunjun
孙恭	sungong
孙据	sunju
孙恩	sunen
孙干	sungan
孙闿	sunkai
孙楷	sunkai
孙休	sunxiu
孙皓	sunhao
孙异	sunyi
孙冀	sunji
孙歆	sunxin
孙秀	sunxiu
苏双	sushuang
苏由	suyou
苏飞	sufei
苏越	suyue
苏顒	suyong|suyu
司马徽	simahui
司马懿	simayi|simaa
司马隽	simajuan
司马防	simafang
司马朗	simalang
司马孚	simafu
司马师	simashi
司马昭	simazhao|simaa
司马望	simawang
司马炎	simayan
司马攸	simayou
司蕃	sifan
宋宪	songxian
宋果	songguo
宋忠	songzhong
宋谦	songqian
宋白	songbai
眭固	guigu
眭元进	guiyuanjin
尚弘	shanghong
尚广	shangguang
石广元	shiguangyuan
石苞	shibao
审配	shenpei
审荣	shenrong
申仪	shenyi
申耽	shendan
史涣	shihuan
史迹	shiji
沙摩柯	shamoke
山神	shanshen
师纂	shizuan
施朔	shishuo
师婆	shipo
邵悌	shaoti
山涛	shantao
沈莹	shenying
田丰	tianfeng|tiana
田楷	tiankai
田氏	tianshi
田畴	tianchou
田豫	tianyu
田续	tianxu
田章	tianzhang
唐周	tangzhou
唐咨	tangzi
唐妃	tangfei
唐彬	tangbin
陶商	taoshang
陶应	taoying
太史亨	taishiheng
滕胤	tengyin
滕循	tengxun
檀敷	tanfu
蹋顿	tadun
谭雄	tanxiong
