孙权	sunquan
元异	yuanyi
伯达	boda
子初	zichu
德操	decao
仲达	zhongda
文礼	wenli
思然	siran
文然	wenran
昭先	zhaoxian
奉先	fengxian
子衡	ziheng
季平	jiping
定公	dinggong
子恪	zike
世议	shiyi
子明	ziming
公伟	gongwei
义封	yifeng
德瑜	deyu
元化	yuanhua
子鱼	ziyu
永先	yongxian
机伯	jibo
巨达	juda
子璜	zihuang
公寿	gongshou
伯和	bohe
始宗	shizong
令元	lingyuan
孔才	kongcai
景升	jingsheng
公山	gongshan
玄德	xuande
子弃	ziqi
祖荣	zurong
子台	zitai
子扬	ziyang
子奇	ziqi
奉孝	fengxiao
君郎	junlang
威硕	weishuo
公嗣	gongsi
伯安	boan
恭嗣	gongsi
季玉	jiyu
文衡	wenheng
元颖	yuanying
叔子	shuzi
云长	yunchang
土宗	tuzong
子远	ziyuan
子将	zijiang
文休	wenxiu
仲康	zhongkang
仁笃	rendu
德达	deda
季佐	jizuo
仲谋	zhongmou
子烈	zilie
仲台	zhongtai
文台	wentai
子孝	zixiao
伯海	bohai
叔武	shuwu
彦龙	yanlong
公祜	gonghu
亢宗	kangzong
叔明	shuming
叔弼	shubi
子通	zitong
伯符	bofu
子高	zigao
仲异	zhongyi
幼台	youtai
公礼	gongli
子叔	zishu
曼才	mancai
元凯	yuankai
子绪	zixu
伯瑜	boyu
国辅	guofu
威公	weigong
义山	yishan
德祖	dezu
季休	jixiu
文先	wenxian
休先	xiuxian
正方	zhengfang
曼成	mancheng
公昭	gongzhao
德昂	deang
文达	wenda
孙德	sunde
钦仲	qinzhong
孔休	kongxiu
根矩	genju
敬达	jingda
子山	zishan
季重	jizhong
公孝	gongxiao
遂高	suigao
彦英	yanying
平叔	pingshu
颖老	yinglao
伯求	boqiu
仲远	zhongyuan
佐治	zuozhi
泰雍	taiyong
仲子	zhongzi
翼德	yide
文选	wenxuan
叔嗣	shusi
茂先	maoxian
子纲	zigang
彦林	yanlin
永年	yongnian
仲嗣	zhongsi
文进	wenjin
子布	zibu
子云	ziyun
子产	zichan
巨先	juxian
德容	derong
公祺	gongqi
惠恕	huishu
敬仲	jingzhong
君嗣	junsi
伯歧	boqi
孟卓	mengzhuo
伯恭	bogong
叔盘	shupan
幼节	youjie
敬风	jingfeng
伯言	boyan
季才	jicai
季宁	jining
公纪	gongji
公台	gongtai
玄伯	xuanbo
季弼	jibi
孔璋	kongzhang
仲麟	zhonglin
元龙	yuanlong
休渊	xiuyuan
长文	changwen
孝起	xiaoqi
元伯	yuanbo
仲真	zhongzhen
孟溥	mengpu
阳土	yangtu
元休	yuanxiu
德伟	dewei
元机	yuanji
文明	wenming
大明	daming
幼平	youping
公瑾	gongjin
仲直	zhongzhi
土元	tuyuan
令明	lingming
公业	gongye
林叔	linshu
孝直	xiaozhi
德艳	deyan
子仲	zizhong
正南	zhengnan
子度	zidu
孝裕	xiaoyu
恭武	gongwu
公威	gongwei
子龙	zilong
邠卿	binqing
伟章	weizhang
德度	dedu
公达	gongda
长倩	changqian
文若	wenruo
慈明	ciming
公曾	gongceng
友若	youruo
景倩	jingqian
玄威	xuanwei
文德	wende
伟度	weidu
玄武	xuanwu
敬才	jingcai
士季	shiji
稚叔	zhishu
元常	yuanchang
申甫	shenfu
颖伯	yingbo
义真	yizhen
鸿豫	hongyu
令先	lingxian
伯奕	boyi
伯约	boyue
子伯	zibo
大荣	darong
正平	zhengping
宾伯	binbo
文伟	wenwei
子敕	zichi
元明	yuanming
公路	gonglu
显甫	xianfu
本初	benchu
周扬	zhouyang
次阳	ciyang
伯业	boye
显奕	xianyi
显思	xiansi
季行	jixing
伯绪	boxu
元则	yuanze
公祖	gongzu
公闾	gonglv
文和	wenhe
梁道	liangdao
大初	dachu
伯仁	boren
义权	yiquan
季权	jiquan
元让	yuanrang
妙才	miaocai
稚权	zhiquan
子林	zilin
仲权	zhongquan
元叹	yuantan
公明	gongming
文向	wenxiang
元直	yuanzhi
孟玉	mengyu
元升	yuansheng
正明	zhengming
公绩	gongji
元才	yuancai
文惠	wenhui
演长	yanchang
伯益	boyi
义博	yibo
伯济	boji
公休	gongxiu
孔明	kongming
元逊	yuanxun
子贡	zigong
景春	jingchun
仲思	zhongsi
子瑜	ziyu
思远	siyuan
恭祖	gongzu
公衡	gongheng
汉升	hansheng
公覆	gongfu
子桓	zihuan
彭祖	pengzu
兰卿	lanqing
景明	jingming
子和	zihe
子修	zixiu
子廉	zilian
子丹	zidan
昭伯	zhaobo
子建	zijian
巨高	jugao
彦士	yanshi
元仲	yuanzhong
子文	ziwen
孟德	mengde
白兔	baitu
季珪	jigui
仲简	zhongjian
休昭	xiuzhao
仲颖	zhongying
幼宰	youzai
公仁	gongren
元代	yuandai
龚袭	gongxi
子翼	ziyi
公奕	gongyi
公琰	gongyan
义公	yigong
子佩	zipei
元嗣	yuansi
文约	wenyue
德高	degao
公至	gongzhi
文节	wenjie
德枢	deshu
仲德	zhongde
德谋	demou
季然	jiran
彦材	yancai
公悌	gongti
兰石	lanshi
子敬	zijing
子柔	zirou
异度	yidu
承先	chengxian
仲翔	zhongxiang
文蔚	wenwei
宪和	xianhe
伯宁	boning
伯喈	bojie
文姬	wenji
宣高	xuangao
季彦	jiyan
三国兵制	sanguobingzhi
中军	zhongjun
外军	waijun
中领	zhongling
中护	zhonghu
中坚	zhongjian
中垒	zhonglei
武卫	wuwei
将军	jiangjun
校尉	xiaowei
领军	lingjun
护军	hujun
都督	dudu
步军	bujun
骑军	qijun
水军	shuijun
士家	shijia
兵户	binghu
前军	qianjun
后军	houjun
左军	zuojun
右军	youjun
叟兵	soubing
蛮兵	manbing
夷兵	yibing
州郡兵	zhoujunbing
屯田兵	tuntianbing
中郎将	zhonglangjiang
青羌兵	qingqiangbing
山越兵	shanyuebing
度支都尉	duzhiduwei
度支校尉	duzhixiaowei
司金中郎	sijinzhonglang
大司马	dasima
大鸿胪	dahonglu
卫尉	weiwei
太尉	taiwei
太傅	taifu
太常	taichang
太仆	taipu
太守	taishou
少府	shaofu
中常侍	zhongchangshi
中书监令	zhongshujianling
中领军	zhonglingjun
中护军	zhonghujun
长史	zhangshi
从事	congshi
仓曹掾属	cangcaoyuanshu
司徒	situ
司空	sikong
司隶校尉	silixiaowei
主簿	zhubu
功曹	gongcao
丞相	chengxiang
光禄勋	guangluxun
执金吾	zhijinyu|zhijinwu
别驾	biejia
廷尉	tingwei
县令长	xianlingchang
尚书	shangshu
尚书令	shangshuling
尚书郎	shangshulang
侍中	shizhong
宗正	zongzheng
征东将军	zhengdongjiangjun
征南将军	zhengnanjiangjun
征西将军	zhengxijiangjun
征北将军	zhengbeijiangjun
刺史	cishi
治中	zhizhong
参军	canjun
河南尹	henanyin
城门校尉	chengmenxiaowei
相国	xiangguo
将作大臣	jiangzuodachen
给事中	jishizhong
校事	xiaoshi
监冶谒者	jianyeyezhe
御史大夫	yushidafu
御史中丞	yushizhongcheng
黄门侍郎	huangmenshilang
散骑常侍	sanqichangshi
督军	dujun
安南将军	annanjiangjun
安东将军	andongjiangjun
安北将军	anbeijiangjun
安西将军	anxijiangjun
安远将军	anyuanjiangjun
兵曹掾	bingcaoyuan
步兵校尉	bubingxiaowei
骠骑将军	piaoqijiangjun
别驾从事	biejiacongshi
别部司马	biebusima
从事中郎	congshizhonglang
从事祭酒	congshijijiu
车骑将军	cheqijiangjun
大都督	dadudu
大理	dali
大尚书	dashangshu
大长秋	dachangqiu
东中郎将	dongzhonglangjiang
东观令	dongguanling
东曹属	dongcaoshu
东曹掾	dongcaoyuan
荡寇将军	dangkoujiangjun
督军校尉	dujunxiaowei
督军从事	dujuncongshi
邸阁督	digedu
典学从事	dianxuecongshi
典曹都尉	diancaoduwei
都尉	duwei
都护	duhu
奋威校尉	fenweixiaowei
奋武校尉	fenwuxiaowei
奋武将军	fenwujiangjun
奋威将军	fenweijiangjun
符节令	fujieling
奉尚	fengshang
奉车都尉	fengcheduwei
辅国将军	fuguojiangjun
光禄大夫	guangludaifu
横江将军	hengjiangjiangjun
黄门丞	huangmencheng
黄门令	huangmenling
护军将军	hujunjiangjun
侯相	houxiang
后典军	houdianjun
后将军	houjiangjun
虎威将军	huweijiangjun
金曹从事	jincaocongshi
建武将军	jianwujiangjun
建威将军	jianweijiangjun
监农御史	jiannongyushi
监军春秋	jianjunchunqiu
记室	jishi
家令	jialing
军师	junshi
军祭酒	junjijiu
军师祭酒	junshijijiu
军议校尉	junyixiaowei
谏议大夫	jianyidafu|jianyidaifu
领军将军	lingjunjiangjun
列侯	liehou
彻侯	chehou
通侯	tonghou
金印紫绶	jinyinzishou
封邑	fengyi
得食租税	deshizushui
五等爵制	wudengjuezhi
令史	lingshi
秘书	mishu
秘府郎	mifulang
门下循行	menxiaxunxing
门下督将	menxiadujiang
门下录事	menxialushi
门吏	menli
门下书	menxiashu
南中郎将	nanzhonglangjiang
破虏将军	polujiangjun
平戎将军	pingrongjiangjun
平东将军	pingdongjiangjun
平南将军	pingnanjiangjun
平北将军	pingbeijiangjun
平西将军	pingxijiangjun
偏将军	pianjiangjun
前护军	qianhujun
前将军	qianjiangjun
前军师	qianjunshi
骑都尉	qiduwei
劝学从事	quanxuecongshi
儒林校尉	rulinxiaowei
上大将军	shangdajiangjun
射声校尉	sheshengxiaowei
司马	sima
司盐校尉	siyanxiaowei
师友从事	shiyoucongshi
师友祭酒	shiyoujijiu
庶子	shuzi
舍人	sheren
尚书仆射	shangshupuye
尚书台	shangshutai
都尉尚书	duweishangshu
书部从事	shubucongshi
书部	shubu
书佐	shuzuo
屯骑校尉	tunqixiaowei
太子	taizi
少傅	shaofu
太中大夫	taizhongdafu
亭侯	tinghou
乡侯	xianghou
讨逆将军	taonijiangjun
讨虏将军	taolujiangjun
讨寇将军	taokoujiangjun
武卫都尉	wuweiduwei
武卫将军	wuweijiangjun
五官掾	wuguanyuan
军尉	junwei
县尉	xianwei
卫将军	weijiangjun
选曹尚书	xuancaoshangshu
先登校尉	xiandengxiaowei
县侯	xianhou
相国参军	xiangguocanjun
洗马	xima
相职	xiangzhi
西曹掾	xicaoyuan
西部都尉	xibuduwei
翼正都尉	yizhengduwei
越骑校尉	yueqixiaowei
掾属	yuanshu
掾吏	yuanli
掾史	yuanshi
牙门将军	yamenjiangjun
扬武将军	yangwujiangjun
右部督	youbudu
右中郎	youzhonglang
右国史	youguoshi
右大将军	youdajiangjun
右护军	youhujun
右将军	youjiangjun
议郎	yilang
议曹从事	yicaocongshi
佐军司马	zuojunsima
奏曹掾	zoucaoyuan
赞军校尉	zanjunxiaowei
折冲将军	zhechongjiangjun
折冲校尉	zhechongxiaowei
左执法	zuozhifa
左典军	zuodianjun
左节度	zuojiedu
左司马	zuosima
左军师	zuojunshi
左丞相	zuochengxiang
左右都护	zuoyouduhu
左护军	zuohujun
言必行	yanbixing
计必从	jibicong
祸福共之	huofugongzhi
奈何死乎	naihesihu
夫英雄者	fuyingxiongzhe
胸怀大志	xionghuaidazhi
腹有良谋	fuyouliangmou
非梧不栖	feiwubuqi
非主不依	feizhubuyi
吾爱吾庐	wuaiwulu
以待天时	yidaitianshi
是无智也	shiwuzhiye
今日受死	jinrishousi
夫何足惜	fuhezuxi
用兵之道	yongbingzhidao
亦然如此	yiranruci
万民皆怨	wanminjieyuan
德政不举	dezhengbuju
威刑不肃	weixingbusu
君臣之道	junchenzhidao
渐以陵替	jianyilingti
宠之以位	chongzhiyiwei
位极则残	weijizecan
顺之以恩	shunzhiyien
恩竭则慢	enjiezeman
所以致弊	suoyizhibi
实由于此	shiyouyuci
限之以爵	xianzhiyijue
恩荣并济	enrongbingji
上下有节	shangxiayoujie
为治之道	weizhizhidao
于斯着矣	yusizheyi
主公之言	zhugongzhiyan
虽合天理	suihetianli
用兵争强	yongbingzhengqiang
固非一道	gufeiyidao
金石之言	jinshizhiyan
当铭肺腑	dangmingfeifu
破之必矣	pozhibiyi
虽能用兵	suinengyongbing
疑则多败	yizeduobai
何足忧乎	hezuyouhu
为人者	weirenzhe
收而杀之	shouershazhi
不念忠诚	bunianzhongcheng
若胜而喜	ruoshengerxi
犹能赦我	younengshewo
色厉胆薄	selidanbo
好谋无断	haomouwuduan
斩将搴旗	zhanjiangqianqi
威振疆场	weizhenjiangchang
终无一成	zhongwuyicheng
陨身致败	yunshenzhibai
轻而无备	qingerwubei
性急少谋	xingjishaomou
以道御之	yidaoyuzhi
无所不可	wusuobuke
皆言其情	jieyanqiqing
贤者疑之	xianzheyizhi
公知其一	gongzhiqiyi
未知其二	weizhiqier
镇国家	zhenguojia
抚百姓	fubaixing
给馈饟	geikuixiang
不绝粮道	bujueliangdao
战必胜	zhanbisheng
攻必取	gongbiqu
皆人杰也	jierenjieye
吾能用之	wunengyongzhi
京兆尹	jingzhaoyin
长安	changan
长陵	changling
阳唆	yangsuo
霸陵	baling
杜陵	duling
新丰	xinfeng
蓝田	lantian
郑县	zhengxian
上雒	shangluo
商县	shangxian
右扶风	youfufeng
槐里	huaili
茂陵	maoling
平陵	pingling
鄠县	huxian
武功	wugong
美阳	meiyang
雍县	yongxian
杜阳	duyang
陈仓	chencang
渝麇	yujun
漆县	qixian
旬邑	xunyi
安陵	anling
左冯翎	zuofengling
高陵	gaoling
池阳	chiyang
万年	wannian
重泉	zhongquan
临晋	linjin
颌阳	heyang
夏阳	xiayang
频阳	pinyang
粟邑	suyi
衙县	yaxian
没栩	meixu
云阳	yunyang
河东郡	hedongjun
安邑	anyi
闻喜	wenxi
猗氏	yishi
大河	dahe
河北	hebei
蒲坂	puban
汾阴	fenyin
皮氏	pishi
绛邑	jiangyi
临汾	linfen
襄陵	xiangling
杨县	yangxian
平阳	pingyang
永安	yongan
北屈	beiqu
蒲子	puzi
端氏	duanshi
蠖泽	huoze
东垣	dongyuan
弘农郡	hongnongjun
弘农	hongnong
陕县	shanxian
湖县	huxian
华阴	huayin
卢氏	lushi
黾池	minchi
新安	xinan
宜阳	yiyang
陆浑	luhun
雒阳	luoyang
平县	pingxian
平阴	pingyin
谷城	gucheng
河南	henan
新城	xincheng
梁县	liangxian
偃师	yanshi
缑氏	goushi
巩县	gongxian
成皋	chenggao
荥阳	xingyang
卷县	juanxian
原武	yuanwu
阳武	yangwu
中牟	zhongmu
苑陵	yuanling
新郑	xinzheng
密县	mixian
京县	jingxian
河内郡	heneijun
怀县	huaixian
武德	wude
平皋	pinggao
州县	zhouxian
温县	wenxian
河阳	heyang
野王	yewang
波县	boxian
轵县	zhixian
沁水	qinshui
山阳	shanyang
修武	xiuwu
获嘉	huojia
汲县	jixian
共县	gongxian
朝歌	zhaoge|chaoge
荡阴	dangyin
林虑	linlv
颍川郡	yingchuanjun
阳翟	yangdi|yangzhai
阳城	yangcheng
轮氏	lunshi
郏县	jiaxian
父城	fucheng
颍阳	yingyang
襄城	xiangcheng
昆阳	kunyang
舞阳	wuyang
定陵	dingling
郾县	yanxian
临颍	linying
颍阴	yingyin
新汲	xinji
鄢陵	yanling
长社	changshe
汝南郡	runanjun
平舆	pingyu
上蔡	shangcai
灈阳	quyang
吴房	wufang
西平	xiping
定颍	dingying
召陵	zhaoling
洇强	yinqiang
西华	xihua
征羌	zhengqiang
汝阳	ruyang
南顿	nandun
阳安	yangan
郎陵	langling
北宜春	beiyichun
安城	ancheng
慎阳	shenyang
安阳	anyang
新息	xinxi
弋阳	yiyang
期思	qisi
原鹿	yuanlu
富波	fubo
褒信	baoxin
新蔡	xincai
鲖阳	tongyang
固始	gushi
项县	xiangxian
宜禄	yilu
新阳	xinyang
宋国	songguo
思善	sishan
城父	chengfu
山桑	shansang
细阳	xiyang
汝阴	ruyin
慎县	shenxian
陈国	chenguo
陈县	chenxian
新平	xinping
宁平	ningping
武平	wuping
苦县	kuxian
柘县	zhexian
阳夏	yangxia
扶乐	fule
长平	changping
梁国	liangguo
睢阳	suiyang
蒙县	mengxian
宁陵	ningling
鄢县	yanxian
谷熟	gushu
虞县	yuxian
下邑	xiayi
砀县	dangxian
沛国	peiguo
相县	xiangxian
肖县	xiaoxian
杼秋	zhuqiu
丰县	fengxian
沛县	peixian
临睢	linsui
太丘	taiqiu
建平	jianping
鄼县	cuoxian|zanxian
谯县	qiaoxian
郸县	danxian
锧县	zhixian
竹邑	zhuyi
蕲县	qixian
符离	fuli
谷阳	guyang
洨县	xiaoxian
虹县	hongxian
向县	xiangxian
龙亢	longkang
公丘	gongqiu
鲁国	luguo
鲁县	luxian
汶阳	wenyang
卞县	bianxian
驺县	zouxian
蕃县	fanxian
薛县	xuexian
陈留郡	chenliujun
雍丘	yongqiu
尉氏	weishi
扶沟	fugou
圉县	yuxian
襄邑	xiangyi
己吾	jiwu
考城	kaocheng
外黄	waihuang
济阴	jiyin
东昏	donghun
小黄	xiaohuang
浚仪	junyi
封丘	fengqiu
平丘	pingqiu
长垣	changyuan
酸枣	suanzao
东郡	dongjun
濮阳	puyang
白马	baima
燕县	yanxian
顿丘	dunqiu
卫国	weiguo
东武阳	dongwuyang
阳平	yangping
东阿	donga|donge
范县	fanxian
临邑	linyi
乐平	leping
发平	faping
聊城	liaocheng
博平	boping
济阴郡	jiyinjun
定陶	dingtao
冤句	yuanju
乘氏	chengshi
句阳	juyang
成阳	chengyang
鄄城	juancheng
廪丘	linqiu
离狐	lihu
成武	chengwu
单父	danfu
己氏	jishi
山阳郡	shanyangjun
昌邑	changyi
巨野	juye
金乡	jinxiang
东缗	dongmian|dongmin
防东	fangdong
方与	fangyu
高平	gaoping
湖陆	hulu
南平阳	nanpingyang
瑕丘	xiaqiu
任城国	renchengguo
任城	rencheng
亢父	kangfu
樊县	fanxian
东平国	dongpingguo
无盐	wuyan
寿张	shouzhang
须昌	xuchang
富城	fucheng
章县	zhangxian
东于陆	dongyulu
宁阳	ningyang
济北国	jibeiguo
卢县	luxian
茌平	chiping
蛇丘	sheqiu
刚县	gangxian
成县	chengxian
泰山郡	taishanjun
奉高	fenggao
博县	boxian
梁甫	liangfu
巨平	juping
茌县	chixian
嬴县	yingxian
牟县	mouxian
莱芜	laiwu
盖县	gaixian
南武阳	nanwuyang
费国	feiguo
南城	nancheng
平原郡	pingyuanjun
平原	pingyuan
高唐	gaotang
祝阿	zhua
漯阴	luoyin
安德	ande
鬲国	geguo
西平昌	xipingchang
般县	banxian
乐陵	laoling|leling
厌次	yanci
济南国	jinanguo
东平陵	dongpingling
土鼓	tugu
历城	licheng
台县	taixian
著县	zhuxian
菅县	jianxian
东朝	dongchao
邹平	zouping
梁邹	liangzou
于陵	yuling
乐安国	leanguo
临济	linji
高苑	gaoyuan
千乘	qiansheng
乐安	lean
博昌	bochang
利县	lixian
寥城	liaocheng
寿光	shouguang
益县	yixian
齐国	qiguo
临菑	linzi|linzai
西安	xian
昌国	changguo
般阳	banyang
广县	guangxian
北海国	beihaiguo
剧县	juxian
东安平	donganping
平寿	pingshou
营陵	yingling
朱虚	zhuxu
安丘	anqiu
昌安	changan
平安	pingan
高密	gaomi
夷安	yian
淳于	chunyu
都昌	duchang
下密	xiami
胶东	jiaodong
即墨	jimo
壮武	zhuangwu
挺县	tingxian
观阳	guanyang
东莱郡	donglaijun
黄县	huangxian
嵫国	ziguo
曲城	qucheng
掖国	yeguo
当利	dangli
卢乡	luxiang
牟平	muping
东牟	dongmou
昌阳	changyang
长广	changguang
不其	buqi
黔陬	qianzou
琅邪国	langxieguo
莒县	juxian
东安	dongan
东莞	dongguan
姑幕	gumu
诸县	zhuxian
东武	dongwu
琅邪	langxie
沟曲	gouqu
阳都	yangdou
临沂	linyi
开阳	kaiyang
即丘	jiqiu
缯国	zengguo
东海郡	donghaijun
郯县	tanxian
襄贲	xiangben
兰陵	lanling
丞县	chengxian
阴平	yinping
戚县	qixian
昌虑	changlv
合乡	hexiang
祝其	zhuqi
利城	licheng
赣榆	ganyu
朐县	quxian
厚丘	houqiu
彭城国	pengchengguo
彭城	pengcheng
留县	liuxian
广戚	guangqi
傅阳	fuyang
武原	wuyuan
吕县	lvxian
梧县	wuxian
甾丘	zaiqiu
下邳国	xiapiguo
下邳	xiapi
良成	liangcheng
司吾	siwu
下相	xiaxiang
取虑	qulv
僮国	tongguo
夏丘	xiaqiu
徐县	xuxian
睢陵	suiling
盱眙	xuyi
高山	gaoshan
淮陵	huailing
东城	dongcheng
曲阳	quyang
淮浦	huaipu
淮阴	huaiyin
广陵郡	guanglingjun
广陵	guangling
江都	jiangdu
舆国	yuguo
堂邑	tangyi
海陵	hailing
高邮	gaoyou
东阳	dongyang
诲西	huixi
盐渎	yandu
魏郡	weijun
邺县	yexian
内黄	neihuang
黎阳	liyang
繁阳	fanyang
阴安	yinan
魏县	weixian
元城	yuancheng
馆陶	guantao
清渊	qingyuan
平思	pingsi
斥丘	chiqiu
曲梁	quliang
梁期	liangqi
武安	wuan
涉国	sheguo
清河国	qingheguo
甘陵	ganling
贝丘	beiqiu
灵县	lingxian
郁县	yuxian
绎幕	yimu
广川	guangchuan
东武城	dongwucheng
安平国	anpingguo
信都	xindu
扶柳	fuliu
堂阳	tangyang
南宫	nangong
陉县	xingxian
武邑	wuyi
观津	guanjin
下博	xiabo
武遂	wusui
饶阳	raoyang
安平	anping
南深泽	nanshenze
阜城	fucheng
巨鹿郡	julujun
庄陶	zhuangtao
郧县	yunxian
下曲阳	xiaquyang
南辔	nanpei
任县	renxian
平乡	pingxiang
南和	nanhe
巨鹿	julu
广干	guanggan
曲周	quzhou
广宗	guangzong
广年	guangnian
斥章	chizhang
列人	lieren
赵国	zhaoguo
邯郸	handan
易阳	yiyang
襄国	xiangguo
中丘	zhongqiu
柏人	bairen
常山国	changshanguo
元氏	yuanshi
栾城	luancheng
平棘	pingji
高邑	gaoyi
房子	fangzi
上艾	shangai
真定	zhending
九门	jiumen
蒲吾	puwu
井陉	jingxing
灵寿	lingshou
南行唐	nanxingtang
中山国	zhongshanguo
卢奴	lunu
安熹	anxi
汉昌	hanchang
蠡吾	liwu
安国	anguo
毋极	wuji
新市	xinshi
上曲阳	shangquyang
望都	wangdu
唐县	tangxian
蒲阴	puyin
北平	beiping
广昌	guangchang
河间国	hejianguo
乐成	lecheng
弓高	gonggao
成平	chengping
中水	zhongshui
武垣	wuyuan
束州	shuzhou
东平舒	dongpingshu
高阳	gaoyang
鄚县	maoxian
文安	wenan
易县	yixian
渤海郡	bohaijun
南皮	nanpi
东光	dongguang
重合	chonghe
高城	gaocheng
阳信	yangxin
修县	xiuxian
浮阳	fuyang
章武	zhangwu
南阳郡	nanyangjun
苑县	yuanxian
西鄂	xie
博望	bowang
堵阳	duyang
雉县	zhixian
叶县	yexian
犨县	chouxian
鲁阳	luyang
郦国	liguo
析县	xixian
丹水	danshui
南乡	nanxiang
顺阳	shunyang
武当	wudang
冠军	guanjun
阴县	yinxian
筑阳	zhuyang
山都	shandou
邓县	dengxian
章陵	zhangling
襄乡	xiangxiang
湖阳	huyang
朝阳	zhaoyang|chaoyang
新野	xinye
安众	anzhong
穰县	rangxian
涅阳	nieyang
棘阳	jiyang
育阳	yuyang
舞阴	wuyin
比阳	biyang
平氏	pingshi
复阳	fuyang
随县	suixian
江夏郡	jiangxiajun
西陵	xiling
邾县	zhuxian
鄂县	exian
蕲春	qichun
下雉	xiazhi
沙羡	shaxian
安陆	anlu
南新市	nanxinshi
云杜	yundu
竟陵	jingling
西阳	xiyang
软国	ruanguo
郡县	junxian
平春	pingchun
南郡	nanjun
江陵	jiangling
华容	huarong
州陵	zhouling
枝江	zhijiang
夷道	yidao
当阳	dangyang
编县	bianxian
宜城	yicheng
却国	queguo
中卢	zhonglu
襄阳	xiangyang
临沮	linju
秭归	zigui
巫县	wuxian
佷山	henshan
长沙郡	changshajun
临湘	linxiang
湘南	xiangnan
益阳	yiyang
罗县	luoxian
下隽	xiajuan
连道	liandao
昭陵	zhaoling
醴陵	liling
茶陵	chaling
攸县	youxian
容陵	rongling
武陵郡	wulingjun
临沅	linyuan
沅南	yuannan
汉寿	hanshou
作唐	zuotang
孱陵	chanling
零阳	lingyang
充县	chongxian
酉阳	youyang
迁陵	qianling
沅陵	yuanling
辰阳	chenyang
镡成	chancheng
零陵郡	linglingjun
泉陵	quanling
营浦	yingpu
营道	yingdao
泠道	lingdao
重安	chongan
湘乡	xiangxiang
昭阳	zhaoyang
燕阳	yanyang
夫夷	fuyi
都梁	duliang
洮阳	taoyang
零陵	lingling
始安	shian
桂阳郡	guiyangjun
郴县	chenxian
汉宁	hanning
便县	bianxian
耒阳	leiyang
阴山	yinshan
临武	linwu
南平	nanping
桂阳	guiyang
曲江	qujiang
浈阳	zhenyang
含洭	hankuang
九江郡	jiujiangjun
阴陵	yinling
西曲阳	xiquyang
寿春	shouchun
当徐	dangxu
下蔡	xiacai
平阿	pinga
义成	yicheng
钟离	zhongli
成德	chengde
合肥	hefei
浚遒	junqiu
全椒	quanjiao
阜陵	fuling
历阳	liyang
庐山郡	lushanjun
舒县	shuxian
临湖	linhu
襄安	xiangan
居巢	juchao
皖县	wanxian
寻阳	xunyang
龙舒	longshu
六安	luan
安丰	anfeng
潜县	qianxian
雩娄	yulou
阳泉	yangquan
寥县	liaoxian
丹阳郡	danyangjun
宛陵	wanling
芜湖	wuhu
春谷	chungu
溧阳	liyang
丹阳	danyang
石城	shicheng
秣陵	moling
湖熟	hushu
江乘	jiangcheng
句容	jurong
故鄣	guzhang
于潜	yuqian
泾县	jingxian
陵阳	lingyang
黟县	yixian
歙县	shexian
吴郡	wujun
吴县	wuxian
娄县	louxian
无锡	wuxi
毗陵	piling
曲阿	qua
丹徒	dantu
阳羡	yangxian
乌程	wucheng
由拳	youquan
海盐	haiyan
余杭	yuhang
钱唐	qiantang
富春	fuchun
会稽郡	kuaijijun
山阴	shanyin
余暨	yuji
上虞	shangyu
余姚	yuyao
句章	juzhang
鄮县	maoxian
鄞县	yinxian
诸暨	zhuji
剡县	shanxian
乌伤	wushang
大末	damo
章安	zhangan
永宁	yongning
东治	dongzhi
豫章郡	yuzhangjun
南昌	nanchang
余汗	yuhan
鄱阳	poyang
郧阳	yunyang
海昏	haihun
历陵	liling
彭泽	pengze
艾县	aixian
建昌	jianchang
建城	jiancheng
新淦	xingan
宜春	yichun
平都	pingdou
石阳	shiyang
庐陵	luling
临汝	linru
雩都	yudou
赣县	ganxian
南野	nanye
夷洲	yizhou
汉中郡	hanzhongjun
南郑	nanzheng
褒中	baozhong
成固	chenggu
西城	xicheng
锡县	xixian
上庸	shangyong
房陵	fangling
巴郡	bajun
江州	jiangzhou
垫江	dianjiang
安汉	anhan
宕渠	dangqu
宣汉	xuanhan
充国	chongguo
阆中	langzhong
涪陵	fuling
枳县	zhixian
临江	linjiang
朐忍	quren
鱼复	yufu
广汉郡	guanghanjun
雒县	luoxian
新都	xindu
什邡	shifang
绵竹	mianzhu
涪县	fuxian
梓潼	zitong
葭萌	jiameng
臼水	jiushui
德阳	deyang
阴平道	yinpingdao
甸氏道	dianshidao
刚氏道	gangshidao
蜀郡	shujun
成都	chengdu
广都	guangdou
江原	jiangyuan
临邛	linqiong
郫县	pixian
繁县	fanxian
广柔	guangrou
蚕陵	canling
绵厩道	mianjiudao
汶江道	wenjiangdao
湔氐道	jiandidao
蜀郡属国	shujunshuguo
汉嘉	hanjia
徒县	tuxian
严道	yandao
旄牛	maoniu
键为郡	jianweijun
武阳	wuyang
南安	nanan
资中	zizhong
汉安	hanan
江阳	jiangyang
符节	fujie
南广	nanguang
朱提	shushi|zhuti
汉阳	hanyang
堂狼	tanglang
牂牁郡	zangkejun
且兰	qielan
毋敛	wulian
鄨县	bixian
平夷	pingyi
夜郎	yelang
淡稿	dangao
谈指	tanzhi
漏江	loujiang
同并	tongbing
毋单	wudan
甸町	dianding
宛温	wanwen
镡封	chanfeng
进乘	jincheng
西随	xisui
