雍己	yongji
虞舜	yushun
玉器	yuqi
中壬	zhongren
仲虺	zhonghui
祖丁	zuding
祖辛	zuxin
祖乙	zuyi
纣王	zhouwang
伯蚠	bofen
大蒐	dasou
樊顷子	fanqingzi
籍谈	jitan
泠州鸠	lingzhoujiu
刘蚠	liufen
闵子马	minzima
阙巩	quegong
荣锜氏	rongqishi
孙伯黡	sunboyan
谿泉	xiquan
鲜虞	xianyu
荀跞	xunluo
鄩肸	xunxi
亶父	danfu
安邑	anyi
八百诸侯	babaizhuhou
把持	bachi
霸主	bazhu
白公胜	baigongsheng
白圭	baigui
百虫将军	baichongjiangjun
百家	baijia
帮助	bangzhu
褒姒	baosi
薄姑	bogu
暴虐无道	baonuewudao
奔戎	benrong
鞭刑	bianxing
边境地区	bianjingdiqu
编年体	biannianti
扁鹊	bianque
滨海	binhai
兵圣	bingsheng
伯禽	boqin
伯邑考	boyikao
伯益	boyi
伯禹	boyu
伯翳	boyi
补给	buji|bugei
不降	buxiang|bujiang
不可胜数	bukeshengshu
采桑	caisang
蔡叔	caishu
苍王	cangwang
苍颉	cangxie
仓颉	cangjie
城濮	chengpu
成汤	chengtang
成王	chengwang
成周	chengzhou
赤帝	chidi
崇禹	chongyu
楚人	churen
大国	daguo
大学	daxue
大禹	dayu
大禹治水	dayuzhishui
道德经	daodejing
邓陵子	denglingzi
地税	dishui
帝辛	dixin
东夷	dongyi
动乱	dongluan
都君	doujun
娥皇	ehuang
娥女	env
发兵	fabing
发展	fazhan
发展经济	fazhanjingji
范蠡	fanli
放勋	fangxun
丰京	fengjing
封建制度	fengjianzhidu
锋芒	fengmang
冯媛	fengyuan
伏戏	fuxi
伏羲	fuxi
赴火蹈刃	fuhuodaoren
改革内政	gaigeneizheng
干涉	ganshe
高密	gaomi
高阳氏	gaoyangshi
供应	gongying
公输班	gongshuban
公孙鞅	gongsunyang
古代	gudai
关尹	guanyin
关尹子	guanyinzi
管叔	guanshu
管子	guanzi
鬼谷子	guiguzi
国家	guojia
国王	guowang
国语	guoyu
韩非	hanfei
寒浞	hanzhuo
洪范	hongfan
侯嬴	houying
后稷	houji
后羿	houyi
后羿射日	houyisheri
化益	huayi
淮夷	huaiyi
黄帝	huangdi
火帝	huodi
霍叔	huoshu
稽山大王	jishandaiwang
姬旦	jidan
即位	jiwei
纪年	jinian
家老	jialao
姜嫄	jiangyuan
姜尚	jiangshang
姜氏	jiangshi
金天氏	jintianshi
进攻	jingong
